Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
25092020,57.72,236.8,244.95,260.45,244.0,258.55,9.18
28092020,57.52,258.55,258.55,270.0,252.1,258.85,0.12
29092020,33.29,258.85,257.2,278.95,257.0,266.5,2.96
30092020,81.34,266.5,272.0,286.8,266.8,282.3,5.93
01102020,39.61,282.3,290.0,294.45,271.0,274.7,-2.69
05102020,40.12,274.7,282.95,282.95,256.05,262.6,-4.4
06102020,30.99,262.6,251.2,273.0,251.2,261.3,-0.5
07102020,92.78,261.3,261.05,264.35,249.95,251.8,-3.64
08102020,76.06,251.8,255.3,255.3,241.0,246.45,-2.12
09102020,82.94,246.45,248.05,248.05,234.25,237.1,-3.79
12102020,65.98,237.1,245.0,259.0,243.25,254.7,7.42
13102020,97.83,254.7,244.7,269.0,244.7,260.95,2.45
14102020,86.19,260.95,260.95,268.95,252.3,255.75,-1.99
15102020,59.02,255.75,247.1,263.5,242.5,248.1,-2.99
16102020,65.14,248.1,246.35,255.1,246.35,250.5,0.97
19102020,94.78,250.5,254.85,261.0,249.35,255.15,1.86
20102020,93.0,255.15,251.2,264.7,251.15,262.7,2.96
21102020,82.13,262.7,269.4,270.05,260.0,264.1,0.53
22102020,72.85,264.1,264.1,265.05,261.8,264.4,0.11
23102020,81.83,264.4,258.05,267.7,252.25,255.05,-3.54
26102020,85.34,255.05,264.35,264.35,256.0,257.2,0.84
27102020,36.21,257.2,260.0,263.95,244.1,256.3,-0.35
28102020,36.04,256.3,258.0,262.95,250.05,254.15,-0.84
29102020,72.3,254.15,262.0,262.0,246.95,248.45,-2.24
30102020,85.19,248.45,259.75,259.75,244.0,250.15,0.68
02112020,29.81,250.15,259.0,259.0,241.4,246.1,-1.62
03112020,51.99,246.1,247.95,248.0,240.05,241.75,-1.77
04112020,38.67,241.75,249.0,249.0,239.0,241.35,-0.17
05112020,38.68,241.35,256.0,256.0,241.05,242.65,0.54
06112020,25.59,242.65,249.9,249.9,240.0,245.35,1.11
09112020,55.37,245.35,245.35,262.0,240.0,259.7,5.85
10112020,20.31,259.7,264.0,274.0,251.1,259.5,-0.08
11112020,39.91,259.5,269.0,269.0,243.0,253.1,-2.47
12112020,29.81,253.1,259.3,259.3,243.5,249.35,-1.48
13112020,49.13,249.35,251.85,253.9,245.1,245.55,-1.52
16112020,25.86,245.55,255.0,255.0,237.05,245.05,-0.2
17112020,53.49,245.05,253.0,253.0,245.1,245.15,0.04
