Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
03072026,79.43,33.16,33.32,33.38,32.92,33.2,0.12
06072026,84.12,33.2,33.21,33.44,32.78,33.13,-0.21
07072026,77.14,33.13,32.97,33.13,32.8,32.96,-0.51
08072026,45.56,32.96,32.96,32.96,32.3,32.35,-1.85
09072026,72.91,32.35,32.35,32.7,32.35,32.48,0.4
10072026,70.32,32.48,32.86,32.95,32.42,32.82,1.05
13072026,69.8,32.82,32.52,33.07,32.32,32.86,0.12
14072026,56.76,32.86,33.68,33.68,32.62,32.66,-0.61
15072026,50.38,32.66,32.97,32.97,32.52,32.64,-0.06
16072026,48.88,32.64,32.53,32.96,32.48,32.68,0.12
17072026,64.12,32.68,32.6,32.96,32.38,32.62,-0.18
20072026,54.41,32.62,33.27,33.47,32.71,32.92,0.92
21072026,60.43,32.92,32.4,33.19,32.4,33.09,0.52
22072026,62.31,33.09,33.09,33.1,32.75,32.79,-0.91
23072026,53.55,32.79,32.81,32.98,32.4,32.52,-0.82
24072026,52.62,32.52,32.53,32.78,32.18,32.55,0.09
