Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,58.98,11.35,11.7,11.9,11.45,11.9,4.85
03102019,77.27,11.9,12.0,12.35,11.35,11.5,-3.36
04102019,71.08,11.5,11.35,11.7,10.95,11.0,-4.35
07102019,84.85,11.0,10.8,11.0,10.45,10.45,-5.0
08102019,84.85,11.0,10.8,11.0,10.45,10.45,-5.0
09102019,66.0,10.45,10.3,10.55,10.1,10.2,-2.39
10102019,88.26,10.2,10.0,10.45,10.0,10.1,-0.98
11102019,85.85,10.1,10.0,10.45,10.0,10.25,1.49
14102019,65.25,10.25,10.75,10.75,10.35,10.75,4.88
15102019,70.2,10.75,11.25,11.25,10.35,10.85,0.93
16102019,75.02,10.85,10.65,11.0,10.4,10.45,-3.69
17102019,75.55,10.45,10.45,10.95,10.4,10.9,4.31
18102019,81.87,10.9,11.0,11.0,10.65,10.75,-1.38
21102019,81.87,10.9,11.0,11.0,10.65,10.75,-1.38
22102019,73.51,10.75,10.75,10.75,10.25,10.35,-3.72
23102019,84.08,10.35,10.75,10.75,10.0,10.15,-1.93
24102019,82.22,10.15,10.1,10.65,10.1,10.15,0.0
25102019,80.55,10.15,10.5,10.5,10.15,10.25,0.99
28102019,88.59,10.25,10.35,10.45,10.25,10.3,0.49
29102019,79.37,10.3,10.75,10.75,10.1,10.25,-0.49
30102019,74.42,10.25,10.2,10.45,10.05,10.2,-0.49
31102019,84.35,10.2,10.2,10.3,10.0,10.05,-1.47
01112019,73.65,10.05,10.3,10.55,10.05,10.3,2.49
04112019,66.9,10.3,10.4,10.5,10.1,10.15,-1.46
05112019,62.26,10.15,10.15,10.3,10.05,10.1,-0.49
06112019,78.37,10.1,10.1,10.3,9.9,9.95,-1.49
07112019,78.7,9.95,10.1,10.15,9.8,9.95,0.0
08112019,77.05,9.95,9.9,10.15,9.85,9.9,-0.5
11112019,81.56,9.9,10.0,10.15,9.7,9.75,-1.52
12112019,81.56,9.9,10.0,10.15,9.7,9.75,-1.52
13112019,81.97,9.75,9.9,10.2,9.5,10.2,4.62
14112019,92.1,10.2,9.7,9.7,9.7,9.7,-4.9
15112019,63.06,9.7,9.25,9.75,9.25,9.25,-4.64
18112019,75.32,9.25,8.95,9.45,8.8,9.3,0.54
19112019,75.64,9.3,9.6,9.75,9.25,9.75,4.84
20112019,73.76,9.75,9.9,10.2,9.9,10.15,4.1
21112019,59.61,10.15,10.15,10.3,9.65,9.75,-3.94
22112019,68.81,9.75,9.8,10.2,9.55,9.7,-0.51
25112019,42.46,9.7,9.45,10.15,9.45,9.8,1.03
26112019,75.24,9.8,10.05,10.05,9.6,9.8,0.0
27112019,55.14,9.8,9.5,9.85,9.5,9.65,-1.53
28112019,76.37,9.65,9.55,9.7,9.2,9.25,-4.15
29112019,70.72,9.25,9.5,9.7,9.0,9.7,4.86
02122019,59.02,9.7,9.7,9.75,9.25,9.3,-4.12
03122019,89.18,9.3,9.55,9.55,9.15,9.35,0.54
04122019,70.56,9.35,9.35,9.5,8.95,9.1,-2.67
05122019,60.63,9.1,9.25,9.4,9.0,9.25,1.65
06122019,73.32,9.25,9.15,9.45,9.15,9.15,-1.08
09122019,61.07,9.15,9.15,9.45,8.85,9.15,0.0
10122019,73.66,9.15,9.05,9.3,8.95,8.95,-2.19
11122019,73.82,8.95,8.9,9.1,8.7,8.75,-2.23
12122019,70.94,8.75,8.8,9.6,8.8,9.35,6.86
13122019,66.72,9.35,9.4,10.25,9.3,9.45,1.07
16122019,83.35,9.45,9.5,9.75,8.9,9.05,-4.23
17122019,68.73,9.05,9.0,9.15,8.8,8.9,-1.66
18122019,74.02,8.9,9.25,9.25,8.85,8.95,0.56
19122019,73.25,8.95,9.0,9.45,8.9,9.15,2.23
20122019,75.17,9.15,9.25,9.35,8.8,8.95,-2.19
23122019,82.15,8.95,8.8,9.2,8.8,9.0,0.56
24122019,77.66,9.0,8.9,9.15,8.85,8.9,-1.11
25122019,77.66,9.0,8.9,9.15,8.85,8.9,-1.11
26122019,67.91,8.9,9.05,9.1,8.6,8.9,0.0
27122019,68.45,8.9,9.0,9.35,8.8,8.85,-0.56
30122019,91.78,8.85,8.85,9.25,8.85,8.85,0.0
31122019,88.83,8.85,9.0,9.0,8.75,8.8,-0.56
01012020,75.42,8.8,8.85,8.95,8.75,8.8,0.0
02012020,73.73,8.8,8.75,9.3,8.7,9.25,5.11
03012020,69.9,9.25,9.3,9.35,8.7,8.85,-4.32
06012020,66.32,8.85,9.15,9.15,8.6,8.75,-1.13
07012020,88.69,8.75,8.8,8.9,8.6,8.7,-0.57
08012020,75.11,8.7,8.8,8.8,8.3,8.45,-2.87
09012020,82.08,8.45,8.75,8.75,8.35,8.5,0.59
