Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
29062021,52.57,56.15,61.0,67.35,61.0,67.35,19.95
30062021,25.39,67.35,73.0,80.8,70.35,80.8,19.97
01072021,39.78,80.8,81.7,88.0,72.75,74.05,-8.35
02072021,34.52,74.05,74.0,81.45,71.0,81.45,9.99
05072021,61.24,81.45,84.9,89.55,84.9,89.55,9.94
06072021,96.7,89.55,98.5,98.5,98.5,98.5,9.99
07072021,42.98,98.5,108.35,108.35,100.9,108.35,10.0
08072021,90.7,108.35,113.75,113.75,113.6,113.75,4.98
09072021,48.61,113.75,115.8,119.4,108.1,119.4,4.97
12072021,46.02,119.4,123.0,124.0,113.45,113.45,-4.98
13072021,57.75,113.45,107.8,112.8,107.8,107.8,-4.98
14072021,100.0,107.8,102.45,102.45,102.45,102.45,-4.96
15072021,53.18,102.45,97.35,107.5,97.35,97.35,-4.98
16072021,42.52,97.35,92.5,102.2,92.5,102.2,4.98
19072021,56.33,102.2,102.0,107.3,100.3,107.3,4.99
20072021,43.24,107.3,112.6,112.65,109.1,112.65,4.99
21072021,43.24,107.3,112.6,112.65,109.1,112.65,4.99
22072021,44.98,112.65,115.45,118.25,109.1,118.25,4.97
23072021,51.92,118.25,119.45,122.9,112.55,115.8,-2.07
26072021,51.34,115.8,119.0,119.0,112.6,113.75,-1.77
27072021,61.09,113.75,118.0,118.0,108.1,108.55,-4.57
28072021,51.41,108.55,110.0,113.95,105.0,113.9,4.93
29072021,46.59,113.9,118.0,118.0,108.55,109.8,-3.6
30072021,65.21,109.8,113.3,114.8,109.5,111.8,1.82
02082021,64.04,111.8,114.9,114.9,109.0,109.9,-1.7
03082021,64.13,109.9,111.8,111.8,104.5,106.75,-2.87
04082021,54.83,106.75,105.25,111.8,102.3,108.4,1.55
05082021,62.13,108.4,110.45,112.3,104.05,105.4,-2.77
06082021,57.3,105.4,107.8,108.0,104.5,105.0,-0.38
09082021,52.86,105.0,107.5,108.2,101.1,101.8,-3.05
10082021,68.19,101.8,101.7,102.65,96.75,96.75,-4.96
11082021,51.88,96.75,97.9,100.5,91.95,93.35,-3.51
12082021,42.52,93.35,92.05,97.85,92.0,97.1,4.02
13082021,51.77,97.1,97.1,97.1,92.25,93.05,-4.17
16082021,60.87,93.05,94.95,94.95,88.4,88.75,-4.62
17082021,66.15,88.75,89.5,89.5,84.35,84.35,-4.96
18082021,66.64,84.35,81.05,82.75,80.15,80.15,-4.98
19082021,66.64,84.35,81.05,82.75,80.15,80.15,-4.98
20082021,51.4,80.15,76.2,84.15,76.15,81.7,1.93
23082021,89.18,81.7,84.85,85.5,77.65,77.65,-4.96
24082021,43.39,77.65,73.8,81.4,73.8,74.0,-4.7
25082021,52.61,74.0,76.4,77.7,74.3,77.7,5.0
26082021,65.81,77.7,81.5,81.55,79.1,81.55,4.95
27082021,59.62,81.55,84.5,85.6,81.75,85.1,4.35
30082021,42.86,85.1,85.1,89.35,85.1,89.05,4.64
31082021,56.6,89.05,89.2,89.85,84.6,85.1,-4.44
01092021,56.52,85.1,85.05,86.65,80.85,81.2,-4.58
02092021,55.4,81.2,81.2,84.95,81.0,81.55,0.43
03092021,51.48,81.55,83.2,83.8,79.05,82.35,0.98
06092021,77.53,82.35,84.0,84.0,81.15,82.0,-0.43
07092021,76.98,82.0,81.0,82.15,79.0,79.65,-2.87
08092021,65.35,79.65,79.15,81.0,76.9,77.9,-2.2
09092021,57.91,77.9,78.15,80.0,75.0,78.3,0.51
10092021,57.91,77.9,78.15,80.0,75.0,78.3,0.51
13092021,59.6,78.3,82.0,82.0,78.5,80.95,3.38
14092021,76.01,80.95,81.3,83.0,80.0,80.3,-0.8
15092021,73.47,80.3,80.1,81.95,78.5,79.05,-1.56
16092021,59.63,79.05,80.0,80.55,78.0,78.3,-0.95
17092021,53.64,78.3,78.15,80.2,75.2,79.75,1.85
20092021,80.33,79.75,77.15,81.75,77.15,80.5,0.94
21092021,61.08,80.5,82.5,82.5,76.65,77.5,-3.73
22092021,78.2,77.5,77.65,78.65,74.35,75.7,-2.32
23092021,63.76,75.7,76.5,78.8,75.95,77.35,2.18
24092021,66.77,77.35,79.0,79.0,74.05,75.5,-2.39
27092021,77.64,75.5,76.15,77.9,72.7,73.6,-2.52
28092021,72.46,73.6,73.5,74.75,72.25,73.7,0.14
29092021,71.82,73.7,73.75,76.0,72.45,75.25,2.1
30092021,75.57,75.25,73.2,76.0,73.2,75.5,0.33
01102021,73.97,75.5,75.5,77.2,74.3,76.85,1.79
04102021,66.66,76.85,77.0,77.55,75.0,77.05,0.26
05102021,74.97,77.05,77.0,79.9,76.7,79.0,2.53
06102021,66.67,79.0,78.0,79.9,77.0,77.9,-1.39
07102021,73.38,77.9,78.9,79.55,77.75,78.8,1.16
08102021,75.8,78.8,75.15,78.7,75.15,77.5,-1.65
11102021,82.37,77.5,76.75,79.55,75.25,75.9,-2.06
12102021,67.78,75.9,75.9,79.65,74.6,79.65,4.94
13102021,82.47,79.65,83.6,83.6,81.0,83.6,4.96
14102021,71.36,83.6,86.0,87.75,85.05,86.15,3.05
15102021,71.36,83.6,86.0,87.75,85.05,86.15,3.05
18102021,65.1,86.15,89.0,89.0,83.6,83.65,-2.9
19102021,72.95,83.65,86.0,86.7,82.5,83.5,-0.18
20102021,79.02,83.5,83.95,83.95,79.35,79.35,-4.97
21102021,66.84,79.35,81.45,81.45,76.35,77.45,-2.39
22102021,59.74,77.45,79.35,81.3,77.45,79.15,2.19
25102021,56.99,79.15,78.15,83.1,76.55,78.4,-0.95
26102021,33.57,78.4,80.95,81.0,75.35,76.5,-2.42
27102021,92.45,76.5,77.05,80.3,77.0,80.3,4.97
28102021,63.88,80.3,84.0,84.3,78.2,79.35,-1.18
29102021,40.33,79.35,81.0,83.3,77.55,79.6,0.32
01112021,57.85,79.6,83.0,83.5,80.4,81.45,2.32
02112021,63.09,81.45,81.0,83.0,80.4,81.85,0.49
03112021,70.74,81.85,80.55,82.65,77.8,78.75,-3.79
04112021,70.74,81.85,80.55,82.65,77.8,78.75,-3.79
05112021,76.71,78.75,81.0,82.65,78.95,81.35,3.3
08112021,57.82,81.35,81.0,83.55,78.55,82.5,1.41
09112021,68.01,82.5,83.15,84.0,79.05,80.2,-2.79
10112021,59.82,80.2,80.25,81.0,76.5,80.05,-0.19
11112021,48.77,80.05,77.3,84.05,76.65,84.05,5.0
12112021,81.85,84.05,86.8,88.25,84.05,88.25,5.0
15112021,69.51,88.25,92.0,92.0,83.85,83.85,-4.99
16112021,68.44,83.85,82.25,85.0,79.8,81.3,-3.04
17112021,57.23,81.3,82.0,82.1,80.0,80.85,-0.55
18112021,71.42,80.85,80.65,81.65,77.95,78.15,-3.34
19112021,71.42,80.85,80.65,81.65,77.95,78.15,-3.34
22112021,63.7,78.15,78.15,79.6,74.55,75.05,-3.97
23112021,59.79,75.05,78.15,78.15,72.0,75.0,-0.07
24112021,60.3,75.0,75.3,78.0,73.1,73.85,-1.53
25112021,61.06,73.85,74.2,77.5,72.05,74.45,0.81
26112021,60.53,74.45,73.85,76.3,72.85,73.65,-1.07
29112021,53.8,73.65,73.15,74.95,71.05,72.6,-1.43
30112021,61.28,72.6,72.4,73.8,69.65,71.25,-1.86
01122021,68.59,71.25,71.1,71.7,69.0,70.2,-1.47
02122021,67.41,70.2,72.35,72.35,68.0,68.85,-1.92
03122021,56.96,68.85,70.8,72.25,69.2,71.2,3.41
06122021,66.04,71.2,72.45,72.45,67.8,68.8,-3.37
07122021,75.39,68.8,69.7,70.95,68.5,70.0,1.74
08122021,45.93,70.0,70.0,72.0,68.25,69.55,-0.64
09122021,61.81,69.55,69.5,72.2,68.5,70.15,0.86
10122021,60.48,70.15,72.4,77.15,69.5,77.15,9.98
13122021,69.57,77.15,78.35,78.35,74.4,75.15,-2.59
