Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
28112022,88.85,78.75,81.0,82.65,81.0,82.65,4.95
29112022,100.0,82.65,86.75,86.75,86.75,86.75,4.96
30112022,100.0,86.75,91.05,91.05,91.05,91.05,4.96
01122022,62.98,91.05,95.6,95.6,87.25,95.6,5.0
02122022,70.65,95.6,98.95,100.35,96.05,100.15,4.76
05122022,53.53,100.15,105.0,105.15,96.75,102.75,2.6
06122022,64.07,102.75,107.0,107.85,97.65,97.9,-4.72
07122022,73.05,97.9,95.55,100.0,93.25,95.0,-2.96
08122022,56.94,95.0,97.0,99.75,91.25,99.75,5.0
09122022,68.75,99.75,101.95,104.7,99.0,103.6,3.86
12122022,49.46,103.6,99.15,108.0,99.15,107.65,3.91
13122022,92.85,107.65,109.75,113.0,103.5,113.0,4.97
14122022,55.27,113.0,118.45,118.65,110.3,114.7,1.5
15122022,65.46,114.7,113.25,119.8,109.0,113.65,-0.92
16122022,53.31,113.65,116.5,116.95,108.0,112.95,-0.62
19122022,91.39,112.95,115.5,118.55,108.9,118.55,4.96
20122022,89.19,118.55,121.0,124.45,121.0,124.45,4.98
21122022,82.04,124.45,130.65,130.65,125.0,125.75,1.04
22122022,57.68,125.75,131.0,131.0,119.5,127.3,1.23
23122022,83.76,127.3,129.5,129.5,120.95,120.95,-4.99
26122022,84.1,120.95,123.45,126.95,118.4,126.9,4.92
27122022,82.26,126.9,133.1,133.2,125.0,133.2,4.96
28122022,82.23,133.2,139.85,139.85,135.0,139.85,4.99
29122022,56.22,139.85,135.0,144.95,133.0,136.8,-2.18
30122022,71.82,136.8,142.0,143.0,135.2,140.75,2.89
02012023,66.24,140.75,147.0,147.75,142.55,147.25,4.62
03012023,56.03,147.25,152.75,154.6,147.35,154.6,4.99
04012023,69.99,154.6,160.0,162.3,157.7,162.3,4.98
05012023,63.23,162.3,168.95,170.4,165.1,170.4,4.99
06012023,94.39,170.4,178.9,178.9,178.9,178.9,4.99
09012023,67.78,178.9,187.5,187.8,172.6,179.5,0.34
10012023,82.93,179.5,172.1,176.45,170.55,170.55,-4.99
11012023,72.3,170.55,162.05,166.9,162.05,162.05,-4.98
23052023,77.54,7.0,6.85,7.35,6.85,7.2,2.86
24052023,74.22,7.2,7.05,7.25,6.95,7.05,-2.08
25052023,82.49,7.05,7.2,7.2,6.8,6.95,-1.42
26052023,60.85,6.95,7.2,7.2,6.95,7.05,1.44
29052023,56.8,7.05,7.15,7.15,6.7,6.7,-4.96
30052023,66.54,6.7,6.65,6.65,6.4,6.4,-4.48
31052023,61.69,6.4,6.4,6.6,6.1,6.1,-4.69
01062023,66.14,6.1,6.05,6.35,5.95,6.15,0.82
02062023,63.42,6.15,6.15,6.45,5.85,5.85,-4.88
05062023,58.21,5.85,5.7,5.8,5.55,5.55,-5.13
06062023,54.2,5.55,5.45,5.5,5.3,5.4,-2.7
22042024,73.14,4.15,4.2,4.25,4.05,4.1,-1.2
23042024,84.3,4.1,4.05,4.25,4.05,4.2,2.44
24042024,77.74,4.2,4.25,4.3,4.2,4.25,1.19
25042024,92.14,4.25,4.2,4.25,4.1,4.1,-3.53
26042024,71.46,4.1,4.15,4.25,4.05,4.15,1.22
29042024,80.77,4.15,4.2,4.25,4.15,4.2,1.2
30042024,87.21,4.2,4.25,4.4,4.2,4.4,4.76
01052024,87.21,4.2,4.25,4.4,4.2,4.4,4.76
02052024,66.84,4.4,4.6,4.6,4.5,4.6,4.55
03052024,71.17,4.6,4.8,4.8,4.7,4.8,4.35
06052024,49.26,4.8,5.0,5.0,4.6,4.6,-4.17
07052024,67.77,4.6,4.55,4.55,4.4,4.4,-4.35
08052024,75.96,4.4,4.4,4.6,4.35,4.6,4.55
09052024,42.25,4.6,4.8,4.8,4.45,4.45,-3.26
10052024,69.07,4.45,4.5,4.65,4.45,4.6,3.37
13052024,63.15,4.6,4.7,4.8,4.45,4.5,-2.17
14052024,64.68,4.5,4.6,4.7,4.55,4.6,2.22
15052024,69.42,4.6,4.65,4.65,4.4,4.45,-3.26
16052024,58.26,4.45,4.45,4.55,4.35,4.4,-1.12
17052024,71.1,4.4,4.45,4.5,4.3,4.35,-1.14
20052024,77.66,4.35,4.45,4.5,4.4,4.5,3.45
21052024,69.02,4.5,4.5,4.55,4.4,4.45,-1.11
22052024,66.93,4.45,4.5,4.5,4.35,4.35,-2.25
23052024,79.21,4.35,4.4,4.4,4.25,4.3,-1.15
24052024,66.99,4.3,4.3,4.3,4.15,4.2,-2.33
27052024,74.92,4.2,4.25,4.25,4.1,4.15,-1.19
28052024,74.99,4.15,4.15,4.15,4.0,4.05,-2.41
29052024,79.74,4.05,4.05,4.05,4.0,4.0,-1.23
30052024,59.55,4.0,4.05,4.2,4.0,4.2,5.0
31052024,59.4,4.2,4.35,4.4,4.3,4.4,4.76
03062024,68.97,4.4,4.6,4.6,4.35,4.4,0.0
04062024,64.15,4.4,4.4,4.4,4.2,4.2,-4.55
05062024,56.3,4.2,4.2,4.25,4.0,4.05,-3.57
06062024,75.2,4.05,4.05,4.25,4.05,4.25,4.94
07062024,62.02,4.25,4.35,4.65,4.3,4.5,5.88
10062024,69.31,4.5,4.65,4.72,4.46,4.62,2.67
11062024,70.48,4.62,4.65,4.71,4.46,4.52,-2.16
12062024,69.18,4.52,4.69,4.69,4.47,4.51,-0.22
13062024,72.35,4.51,4.58,4.58,4.41,4.48,-0.67
14062024,74.7,4.48,4.53,4.53,4.39,4.43,-1.12
17062024,74.7,4.48,4.53,4.53,4.39,4.43,-1.12
18062024,69.49,4.43,4.49,4.53,4.37,4.39,-0.9
19062024,69.18,4.39,4.45,4.49,4.4,4.4,0.23
20062024,63.53,4.4,4.41,4.48,4.33,4.38,-0.45
21062024,77.71,4.38,4.48,4.49,4.39,4.42,0.91
24062024,78.22,4.42,4.47,4.47,4.36,4.41,-0.23
25062024,65.32,4.41,4.46,4.46,4.31,4.32,-2.04
26062024,84.7,4.32,4.38,4.38,4.26,4.28,-0.93
27062024,78.83,4.28,4.28,4.34,4.17,4.25,-0.7
28062024,73.95,4.25,4.3,4.34,4.24,4.32,1.65
01072024,83.31,4.32,4.38,4.5,4.33,4.46,3.24
02072024,73.96,4.46,4.54,4.54,4.42,4.46,0.0
03072024,70.68,4.46,4.53,4.53,4.4,4.4,-1.35
04072024,62.82,4.4,4.52,4.52,4.4,4.43,0.68
05072024,75.03,4.43,4.51,4.51,4.39,4.41,-0.45
08072024,69.38,4.41,4.48,4.48,4.25,4.28,-2.95
09072024,67.77,4.28,4.3,4.33,4.11,4.27,-0.23
10072024,69.35,4.27,4.27,4.3,4.16,4.21,-1.41
11072024,71.03,4.21,4.29,4.34,4.18,4.28,1.66
12072024,57.25,4.28,4.31,4.4,4.16,4.19,-2.1
15072024,75.09,4.19,4.27,4.34,4.13,4.21,0.48
16072024,62.26,4.21,4.29,4.31,4.16,4.25,0.95
17072024,62.26,4.21,4.29,4.31,4.16,4.25,0.95
18072024,78.19,4.25,4.25,4.3,4.16,4.19,-1.41
19072024,68.8,4.19,4.19,4.21,4.05,4.07,-2.86
22072024,54.87,4.07,4.12,4.22,3.97,4.09,0.49
23072024,66.39,4.09,4.14,4.2,4.05,4.08,-0.24
24072024,79.29,4.08,4.07,4.15,4.06,4.08,0.0
25072024,61.1,4.08,4.1,4.14,4.0,4.05,-0.74
26072024,59.61,4.05,4.05,4.22,4.05,4.19,3.46
29072024,72.71,4.19,4.23,4.28,4.17,4.24,1.19
30072024,65.3,4.24,4.28,4.3,4.15,4.21,-0.71
31072024,68.9,4.21,4.28,4.29,4.18,4.26,1.19
01082024,71.46,4.26,4.29,4.29,4.18,4.21,-1.17
02082024,73.63,4.21,4.2,4.29,4.18,4.22,0.24
05082024,69.11,4.22,4.21,4.22,3.97,4.07,-3.55
06082024,74.87,4.07,4.11,4.28,4.11,4.17,2.46
07082024,42.5,4.17,4.5,4.88,4.1,4.22,1.2
08082024,63.14,4.22,4.22,4.42,4.2,4.25,0.71
09082024,53.64,4.25,4.8,4.9,4.35,4.61,8.47
12082024,70.58,4.61,4.93,4.93,4.65,4.77,3.47
13082024,54.0,4.77,4.89,4.9,4.47,4.83,1.26
14082024,66.89,4.83,3.59,4.1,3.5,4.1,-15.11
16082024,47.17,4.1,4.39,4.92,4.3,4.92,20.0
19082024,62.85,4.92,5.13,5.41,5.05,5.41,9.96
20082024,68.5,5.41,5.69,5.95,5.57,5.95,9.98
04082025,52.99,1.25,1.25,1.37,1.25,1.37,9.6
05082025,56.17,1.37,1.39,1.42,1.34,1.35,-1.46
06082025,58.79,1.35,1.35,1.36,1.33,1.34,-0.74
07082025,91.59,1.34,1.36,1.36,1.3,1.31,-2.24
08082025,83.71,1.31,1.31,1.34,1.3,1.31,0.0
11082025,90.28,1.31,1.31,1.33,1.28,1.29,-1.53
12082025,79.63,1.29,1.29,1.33,1.27,1.28,-0.78
13082025,66.29,1.28,1.3,1.32,1.28,1.29,0.78
14082025,89.31,1.29,1.3,1.32,1.29,1.3,0.78
18082025,78.33,1.3,1.31,1.32,1.24,1.25,-3.85
19082025,77.13,1.25,1.25,1.32,1.25,1.29,3.2
20082025,86.77,1.29,1.31,1.34,1.3,1.31,1.55
21082025,77.79,1.31,1.34,1.36,1.3,1.32,0.76
22082025,93.33,1.32,1.34,1.34,1.3,1.31,-0.76
25082025,75.8,1.31,1.31,1.4,1.31,1.35,3.05
26082025,93.69,1.35,1.35,1.35,1.33,1.33,-1.48
28082025,85.42,1.33,1.33,1.33,1.29,1.29,-3.01
29082025,82.89,1.29,1.29,1.32,1.28,1.28,-0.78
01092025,85.05,1.28,1.28,1.4,1.23,1.38,7.81
02092025,76.08,1.38,1.42,1.42,1.32,1.37,-0.72
03092025,87.28,1.37,1.37,1.38,1.33,1.37,0.0
04092025,85.61,1.37,1.38,1.39,1.34,1.34,-2.19
05092025,86.44,1.34,1.35,1.37,1.3,1.31,-2.24
08092025,82.62,1.31,1.33,1.36,1.3,1.31,0.0
09092025,89.87,1.31,1.34,1.34,1.32,1.33,1.53
10092025,71.69,1.33,1.33,1.4,1.31,1.31,-1.5
11092025,92.14,1.31,1.35,1.35,1.31,1.34,2.29
12092025,79.09,1.34,1.35,1.35,1.31,1.32,-1.49
15092025,91.7,1.32,1.32,1.35,1.32,1.33,0.76
16092025,78.4,1.33,1.32,1.36,1.32,1.33,0.0
17092025,85.74,1.33,1.35,1.36,1.33,1.35,1.5
18092025,79.45,1.35,1.35,1.4,1.35,1.37,1.48
19092025,78.78,1.37,1.37,1.42,1.34,1.35,-1.46
22092025,73.22,1.35,1.35,1.38,1.31,1.33,-1.48
23092025,64.37,1.33,1.35,1.35,1.23,1.31,-1.5
24092025,65.68,1.31,1.3,1.33,1.24,1.29,-1.53
25092025,43.6,1.29,1.28,1.33,1.28,1.31,1.55
26092025,80.14,1.31,1.33,1.33,1.29,1.29,-1.53
29092025,75.46,1.29,1.31,1.31,1.24,1.26,-2.33
30092025,74.35,1.26,1.26,1.29,1.25,1.27,0.79
01102025,73.51,1.27,1.27,1.28,1.25,1.26,-0.79
03102025,87.71,1.26,1.26,1.28,1.25,1.27,0.79
06102025,76.94,1.27,1.29,1.29,1.24,1.24,-2.36
07102025,84.82,1.24,1.24,1.26,1.22,1.24,0.0
08102025,70.22,1.24,1.24,1.27,1.23,1.25,0.81
09102025,69.65,1.25,1.24,1.27,1.23,1.24,-0.8
10102025,59.82,1.24,1.24,1.27,1.23,1.26,1.61
13102025,71.67,1.26,1.25,1.27,1.23,1.25,-0.79
14102025,74.78,1.25,1.25,1.27,1.24,1.24,-0.8
15102025,91.38,1.24,1.26,1.26,1.23,1.23,-0.81
16102025,86.51,1.23,1.23,1.25,1.23,1.24,0.81
17102025,55.0,1.24,1.24,1.37,1.22,1.23,-0.81
20102025,85.48,1.23,1.23,1.28,1.23,1.26,2.44
21102025,77.08,1.26,1.24,1.26,1.23,1.23,-2.38
22102025,77.08,1.26,1.24,1.26,1.23,1.23,-2.38
23102025,65.11,1.23,1.26,1.26,1.23,1.25,1.63
24102025,86.96,1.25,1.25,1.26,1.23,1.23,-1.6
27102025,81.65,1.23,1.23,1.25,1.23,1.24,0.81
28102025,77.74,1.24,1.25,1.25,1.23,1.23,-0.81
29102025,85.33,1.23,1.25,1.25,1.23,1.23,0.0
30102025,85.48,1.23,1.24,1.24,1.23,1.23,0.0
31102025,74.52,1.23,1.24,1.26,1.23,1.24,0.81
03112025,81.88,1.24,1.25,1.26,1.23,1.24,0.0
04112025,64.1,1.24,1.26,1.26,1.23,1.24,0.0
05112025,64.1,1.24,1.26,1.26,1.23,1.24,0.0
06112025,67.72,1.24,1.24,1.25,1.22,1.24,0.0
07112025,89.28,1.24,1.25,1.25,1.21,1.23,-0.81
10112025,78.32,1.23,1.25,1.25,1.21,1.21,-1.63
11112025,70.3,1.21,1.21,1.25,1.2,1.24,2.48
12112025,84.55,1.24,1.24,1.26,1.23,1.23,-0.81
13112025,77.72,1.23,1.23,1.25,1.22,1.22,-0.81
14112025,87.27,1.22,1.22,1.24,1.21,1.21,-0.82
17112025,72.41,1.21,1.22,1.24,1.19,1.2,-0.83
18112025,83.23,1.2,1.2,1.32,1.19,1.27,5.83
19112025,83.52,1.27,1.27,1.35,1.25,1.31,3.15
20112025,78.96,1.31,1.35,1.35,1.3,1.34,2.29
21112025,82.57,1.34,1.34,1.35,1.3,1.33,-0.75
24112025,78.97,1.33,1.33,1.34,1.29,1.33,0.0
25112025,79.46,1.33,1.34,1.37,1.25,1.33,0.0
26112025,84.03,1.33,1.35,1.35,1.31,1.32,-0.75
27112025,83.31,1.32,1.32,1.34,1.32,1.33,0.76
28112025,80.69,1.33,1.34,1.34,1.31,1.32,-0.75
01122025,87.61,1.32,1.3,1.32,1.3,1.3,-1.52
02122025,94.13,1.3,1.3,1.32,1.29,1.29,-0.77
03122025,80.38,1.29,1.29,1.3,1.26,1.26,-2.33
04122025,80.46,1.26,1.27,1.28,1.26,1.27,0.79
