Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,29.59,106.35,106.7,110.85,100.25,102.0,-4.09
03102019,40.57,102.0,101.0,104.0,98.35,100.65,-1.32
04102019,53.27,100.65,102.55,103.5,96.95,98.1,-2.53
07102019,38.94,98.1,98.95,101.3,97.0,98.1,0.0
08102019,38.94,98.1,98.95,101.3,97.0,98.1,0.0
09102019,55.49,98.1,98.95,100.05,96.35,96.75,-1.38
10102019,42.58,96.75,96.5,101.7,95.1,98.65,1.96
11102019,47.11,98.65,99.0,101.0,96.8,97.2,-1.47
14102019,29.55,97.2,97.9,100.3,97.15,98.0,0.82
15102019,42.88,98.0,98.1,99.4,97.05,97.65,-0.36
16102019,32.42,97.65,98.5,105.0,96.6,101.3,3.74
17102019,43.53,101.3,102.0,103.65,100.0,100.45,-0.84
18102019,42.37,100.45,100.6,106.4,99.3,104.45,3.98
21102019,42.37,100.45,100.6,106.4,99.3,104.45,3.98
22102019,38.93,104.45,108.0,114.0,108.0,111.0,6.27
23102019,53.95,111.0,111.95,112.1,106.55,107.6,-3.06
24102019,55.22,107.6,108.1,109.2,102.0,103.25,-4.04
25102019,62.78,103.25,105.85,108.05,102.65,105.8,2.47
28102019,49.89,105.8,107.1,107.35,100.95,103.15,-2.5
29102019,54.21,103.15,104.55,110.8,103.1,107.85,4.56
30102019,45.52,107.85,108.7,111.0,105.0,108.05,0.19
31102019,54.39,108.05,108.5,109.5,107.1,107.55,-0.46
01112019,55.0,107.55,108.3,109.05,106.3,107.2,-0.33
04112019,48.53,107.2,107.75,112.1,107.0,110.85,3.4
05112019,63.0,110.85,111.1,111.15,106.45,107.3,-3.2
06112019,26.84,107.3,108.75,128.75,108.75,128.75,19.99
07112019,14.46,128.75,133.0,152.9,117.15,144.15,11.96
08112019,20.26,144.15,142.9,153.9,140.0,144.2,0.03
11112019,39.84,144.2,143.7,148.8,140.0,143.15,-0.73
12112019,39.84,144.2,143.7,148.8,140.0,143.15,-0.73
13112019,41.42,143.15,140.4,144.85,134.15,135.4,-5.41
14112019,36.64,135.4,137.0,151.85,137.0,146.45,8.16
15112019,38.28,146.45,138.0,138.0,125.0,129.8,-11.37
18112019,51.65,129.8,130.5,130.5,121.15,122.5,-5.62
19112019,44.9,122.5,120.25,125.85,114.0,114.75,-6.33
20112019,27.69,114.75,115.05,121.95,112.75,117.0,1.96
21112019,38.93,117.0,117.8,118.65,114.0,114.3,-2.31
22112019,32.5,114.3,115.0,120.0,114.0,117.35,2.67
25112019,21.98,117.35,118.5,123.9,118.0,120.85,2.98
26112019,49.48,120.85,121.95,123.1,116.6,117.95,-2.4
27112019,33.72,117.95,117.0,122.55,117.0,118.25,0.25
28112019,52.96,118.25,119.0,119.0,115.0,115.35,-2.45
29112019,43.9,115.35,115.5,118.4,114.15,115.6,0.22
02122019,56.56,115.6,116.2,116.2,110.7,111.25,-3.76
03122019,51.23,111.25,112.7,112.95,108.0,110.8,-0.4
04122019,48.14,110.8,110.4,112.7,109.5,109.85,-0.86
05122019,49.24,109.85,110.0,113.9,109.0,112.35,2.28
06122019,58.94,112.35,111.95,113.7,107.2,108.2,-3.69
09122019,41.2,108.2,108.9,109.0,103.85,104.8,-3.14
10122019,50.64,104.8,105.0,106.6,102.0,102.7,-2.0
11122019,55.03,102.7,103.5,105.25,101.0,101.7,-0.97
12122019,16.72,101.7,102.9,118.8,102.3,113.7,11.8
13122019,21.32,113.7,114.25,117.4,111.75,116.15,2.15
16122019,25.04,116.15,116.0,123.0,116.0,117.5,1.16
17122019,34.56,117.5,117.5,118.5,114.5,115.25,-1.91
18122019,28.35,115.25,115.0,119.55,115.0,116.15,0.78
19122019,14.17,116.15,115.95,137.8,115.5,129.8,11.75
20122019,15.37,129.8,130.5,134.9,126.8,129.35,-0.35
23122019,12.98,129.35,128.0,146.4,127.6,140.5,8.62
24122019,21.88,140.5,141.35,148.7,138.7,140.25,-0.18
25122019,21.88,140.5,141.35,148.7,138.7,140.25,-0.18
26122019,28.81,140.25,139.85,142.2,136.0,137.35,-2.07
27122019,18.42,137.35,138.0,144.6,135.5,139.15,1.31
30122019,34.12,139.15,139.95,141.4,134.55,135.6,-2.55
31122019,23.79,135.6,136.5,137.25,132.2,134.6,-0.74
01012020,13.7,134.6,135.65,154.8,135.5,149.1,10.77
02012020,22.63,149.1,149.1,158.5,146.15,149.65,0.37
03012020,32.05,149.65,148.9,151.0,142.6,144.3,-3.58
06012020,33.07,144.3,143.9,143.9,135.05,136.3,-5.54
07012020,17.09,136.3,138.0,146.7,138.0,141.1,3.52
08012020,15.76,141.1,138.4,143.75,135.65,139.75,-0.96
09012020,23.39,139.75,142.0,145.9,141.35,142.7,2.11
10012020,25.67,142.7,143.9,144.7,139.0,139.8,-2.03
13012020,27.29,139.8,140.7,148.0,139.5,146.6,4.86
14012020,17.34,146.6,148.0,160.85,148.0,152.95,4.33
15012020,21.12,152.95,153.75,162.6,150.3,159.55,4.32
16012020,24.4,159.55,158.8,164.45,157.65,160.55,0.63
17012020,32.89,160.55,161.5,161.5,154.1,155.4,-3.21
20012020,37.35,155.4,154.1,155.9,147.1,149.5,-3.8
21012020,23.54,149.5,149.1,155.6,148.55,153.45,2.64
22012020,17.65,153.45,157.0,161.7,155.4,157.6,2.7
23012020,23.49,157.6,158.4,159.95,152.95,155.85,-1.11
24012020,38.68,155.85,154.0,156.85,150.5,151.25,-2.95
27012020,44.92,151.25,150.0,151.75,146.1,146.85,-2.91
28012020,41.55,146.85,146.2,149.5,136.7,139.6,-4.94
29012020,36.14,139.6,140.35,144.4,140.1,141.1,1.07
30012020,42.15,141.1,142.0,142.0,135.5,137.05,-2.87
31012020,19.09,137.05,137.05,143.1,136.05,137.85,0.58
