Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
20042026,62.73,414.65,417.05,435.0,399.0,428.4,3.32
21042026,66.51,428.4,433.9,435.9,428.4,434.5,1.42
22042026,58.52,434.5,437.6,437.6,423.25,426.55,-1.83
23042026,58.34,426.55,428.65,428.65,420.0,422.3,-1.0
24042026,54.71,422.3,422.3,427.15,407.0,414.95,-1.74
27042026,48.69,414.95,419.1,431.4,408.95,427.55,3.04
28042026,72.65,427.55,429.2,434.0,422.3,429.95,0.56
29042026,63.4,429.95,429.95,445.8,423.05,441.35,2.65
30042026,53.55,441.35,440.0,441.5,430.0,431.9,-2.14
01052026,53.55,441.35,440.0,441.5,430.0,431.9,-2.14
04052026,75.13,431.9,431.9,436.45,406.55,408.35,-5.45
05052026,54.46,408.35,406.1,419.8,406.0,415.35,1.71
06052026,61.77,415.35,412.0,431.3,412.0,426.5,2.68
07052026,81.88,426.5,428.0,441.0,425.75,439.4,3.02
08052026,63.17,439.4,439.4,441.55,428.0,439.1,-0.07
11052026,43.96,439.1,437.5,437.5,408.05,423.75,-3.5
12052026,64.0,423.75,425.0,439.0,417.1,433.1,2.21
13052026,30.72,433.1,425.15,474.4,425.1,456.9,5.5
14052026,53.86,456.9,462.95,465.55,443.2,446.0,-2.39
15052026,44.94,446.0,456.0,456.15,383.55,424.8,-4.75
18052026,28.1,424.8,445.0,450.0,430.1,442.05,4.06
19052026,59.42,442.05,450.0,469.9,449.0,462.35,4.59
20052026,42.73,462.35,428.0,446.3,407.0,435.95,-5.71
21052026,46.94,435.95,433.0,442.85,426.0,432.85,-0.71
22052026,76.31,432.85,436.0,438.1,420.6,424.6,-1.91
25052026,63.27,424.6,433.8,465.9,431.6,459.4,8.2
26052026,47.31,459.4,460.9,467.0,440.0,440.6,-4.09
27052026,51.52,440.6,446.5,449.05,439.0,443.95,0.76
28052026,51.52,440.6,446.5,449.05,439.0,443.95,0.76
29052026,56.24,443.95,448.8,455.0,421.5,432.35,-2.61
01062026,54.11,432.35,432.0,446.7,428.6,435.25,0.67
02062026,55.3,435.25,432.75,442.95,432.75,437.0,0.4
03062026,60.32,437.0,436.7,436.85,427.2,430.35,-1.52
04062026,61.7,430.35,433.0,435.1,422.0,422.8,-1.75
05062026,58.49,422.8,424.0,429.0,420.6,422.0,-0.19
08062026,59.11,422.0,419.15,432.3,414.7,418.45,-0.84
09062026,45.8,418.45,418.0,425.1,417.85,422.55,0.98
10062026,69.88,422.55,424.2,429.0,420.0,422.3,-0.06
11062026,60.93,422.3,423.4,437.0,413.4,422.6,0.07
12062026,24.48,422.6,433.65,469.7,423.0,455.65,7.82
15062026,51.79,455.65,460.0,473.7,456.55,464.5,1.94
16062026,57.11,464.5,469.0,474.9,462.05,469.1,0.99
17062026,71.44,469.1,464.05,468.7,452.0,457.85,-2.4
18062026,55.49,457.85,458.15,470.0,451.6,468.65,2.36
19062026,47.66,468.65,471.25,484.6,460.45,467.15,-0.32
22062026,58.81,467.15,468.1,495.55,467.55,488.25,4.52
23062026,48.59,488.25,485.0,500.95,481.0,493.95,1.17
24062026,61.3,493.95,498.0,509.0,490.55,505.8,2.4
25062026,58.6,505.8,509.0,510.35,481.25,493.55,-2.42
26062026,58.6,505.8,509.0,510.35,481.25,493.55,-2.42
29062026,43.19,493.55,486.75,500.0,461.6,493.05,-0.1
30062026,55.45,493.05,490.0,508.4,488.0,489.5,-0.72
01072026,89.17,489.5,490.0,495.95,475.0,479.1,-2.12
02072026,53.81,479.1,482.0,486.25,474.15,479.0,-0.02
03072026,50.82,479.0,482.0,496.85,471.0,475.15,-0.8
06072026,50.1,475.15,475.15,499.0,471.55,486.5,2.39
07072026,67.39,486.5,488.0,488.0,473.6,477.3,-1.89
08072026,61.19,477.3,485.0,485.0,465.0,468.75,-1.79
09072026,50.77,468.75,473.9,484.3,471.0,476.55,1.66
10072026,53.9,476.55,477.85,495.55,463.6,465.45,-2.33
13072026,56.19,465.45,465.45,471.0,456.6,461.75,-0.79
14072026,53.92,461.75,464.1,468.9,456.0,460.0,-0.38
15072026,74.61,460.0,460.35,470.55,454.0,458.6,-0.3
16072026,36.86,458.6,464.95,464.95,452.0,455.05,-0.77
17072026,28.35,455.05,457.35,467.9,451.5,462.1,1.55
20072026,48.69,462.1,462.1,468.6,448.4,458.2,-0.84
