Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,46.66,63.3,67.8,67.8,62.4,64.0,1.11
03102019,61.7,64.0,62.0,69.0,62.0,65.75,2.73
04102019,36.05,65.75,62.05,67.95,62.05,67.2,2.21
07102019,87.37,67.2,65.05,69.7,64.0,67.05,-0.22
08102019,87.37,67.2,65.05,69.7,64.0,67.05,-0.22
09102019,58.51,67.05,69.7,69.7,65.25,67.05,0.0
10102019,71.64,67.05,69.65,70.0,65.3,69.0,2.91
11102019,50.2,69.0,70.5,70.5,67.0,68.05,-1.38
14102019,59.73,68.05,68.05,70.0,64.1,65.05,-4.41
15102019,75.94,65.05,66.0,66.0,63.1,63.2,-2.84
16102019,89.02,63.2,64.4,65.9,60.0,64.9,2.69
17102019,37.52,64.9,57.0,75.0,57.0,67.9,4.62
18102019,25.98,67.9,68.9,68.9,65.0,65.8,-3.09
21102019,25.98,67.9,68.9,68.9,65.0,65.8,-3.09
22102019,41.17,65.8,68.9,68.9,62.0,65.25,-0.84
23102019,23.46,65.25,67.95,67.95,63.5,64.25,-1.53
24102019,44.55,64.25,67.2,67.8,64.3,65.55,2.02
25102019,63.14,65.55,67.95,67.95,63.05,67.05,2.29
28102019,68.07,67.05,68.65,68.7,65.05,66.4,-0.97
29102019,75.84,66.4,65.0,67.35,63.0,63.85,-3.84
30102019,77.67,63.85,65.85,65.85,63.5,64.9,1.64
31102019,62.79,64.9,64.0,67.0,62.0,65.0,0.15
01112019,38.89,65.0,63.3,65.95,63.3,64.55,-0.69
04112019,61.36,64.55,66.0,76.0,63.0,71.05,10.07
05112019,79.45,71.05,71.05,72.5,67.0,67.45,-5.07
06112019,76.97,67.45,69.7,75.0,65.35,73.7,9.27
07112019,52.67,73.7,68.2,72.2,68.2,70.8,-3.93
08112019,36.22,70.8,70.7,70.75,69.25,70.0,-1.13
11112019,56.54,70.0,70.0,75.95,67.0,68.5,-2.14
12112019,56.54,70.0,70.0,75.95,67.0,68.5,-2.14
13112019,60.7,68.5,71.0,72.95,67.05,67.5,-1.46
14112019,40.71,67.5,67.5,68.45,66.05,67.3,-0.3
15112019,50.87,67.3,65.55,70.0,63.45,64.9,-3.57
18112019,41.74,64.9,68.7,69.3,63.65,66.25,2.08
19112019,9.68,66.25,68.7,68.7,64.2,67.9,2.49
20112019,55.46,67.9,65.3,68.0,58.4,66.0,-2.8
21112019,50.04,66.0,65.25,68.7,65.1,65.1,-1.36
22112019,51.34,65.1,64.05,67.5,64.05,64.25,-1.31
25112019,48.88,64.25,64.2,65.7,64.2,64.5,0.39
26112019,59.37,64.5,66.9,70.0,64.25,65.2,1.09
27112019,83.77,65.2,65.0,67.5,64.1,65.2,0.0
28112019,38.02,65.2,56.2,64.9,56.2,63.1,-3.22
29112019,16.95,63.1,63.0,65.6,63.0,63.55,0.71
02122019,81.12,63.55,65.5,69.8,63.15,66.75,5.04
03122019,62.46,66.75,68.0,68.0,60.05,62.2,-6.82
04122019,55.63,62.2,64.5,68.5,61.0,67.8,9.0
05122019,38.14,67.8,65.0,68.7,64.0,66.35,-2.14
06122019,29.63,66.35,68.7,68.7,63.0,63.55,-4.22
09122019,22.13,63.55,63.05,65.7,63.0,65.5,3.07
10122019,28.07,65.5,66.5,66.5,63.25,63.5,-3.05
11122019,51.62,63.5,65.95,65.95,62.6,63.45,-0.08
12122019,11.31,63.45,64.95,64.95,62.25,63.45,0.0
13122019,34.49,63.45,64.0,65.0,62.3,64.1,1.02
16122019,50.97,64.1,65.5,67.45,62.5,63.55,-0.86
17122019,82.73,63.55,63.0,64.95,60.2,61.35,-3.46
18122019,71.35,61.35,64.25,64.25,60.7,62.15,1.3
