date,open,high,low,close,volume
20191001T,39.41,39.41,39.41,39.41,0
20191003T,53.7,53.7,53.7,53.7,0
20191004T,36.08,36.08,36.08,36.08,0
20191007T,77.34,77.34,77.34,77.34,0
20191008T,77.34,77.34,77.34,77.34,0
20191009T,78.12,78.12,78.12,78.12,0
20191010T,38.98,38.98,38.98,38.98,0
20191011T,73.13,73.13,73.13,73.13,0
20191014T,43.92,43.92,43.92,43.92,0
20191015T,48.94,48.94,48.94,48.94,0
20191016T,41.43,41.43,41.43,41.43,0
20191017T,53.84,53.84,53.84,53.84,0
20191018T,54.09,54.09,54.09,54.09,0
20191021T,54.09,54.09,54.09,54.09,0
20191022T,65.76,65.76,65.76,65.76,0
20191023T,55.8,55.8,55.8,55.8,0
20191024T,52.46,52.46,52.46,52.46,0
20191025T,31.72,31.72,31.72,31.72,0
20191028T,68.12,68.12,68.12,68.12,0
20191029T,72.36,72.36,72.36,72.36,0
20191030T,67.53,67.53,67.53,67.53,0
20191031T,71.38,71.38,71.38,71.38,0
20191101T,61.98,61.98,61.98,61.98,0
20191104T,60.2,60.2,60.2,60.2,0
20191105T,63.01,63.01,63.01,63.01,0
20191106T,75.36,75.36,75.36,75.36,0
20191107T,39.26,39.26,39.26,39.26,0
20191108T,85.06,85.06,85.06,85.06,0
20191111T,54.6,54.6,54.6,54.6,0
20191112T,54.6,54.6,54.6,54.6,0
20191113T,35.14,35.14,35.14,35.14,0
20191114T,50.94,50.94,50.94,50.94,0
20191115T,85.72,85.72,85.72,85.72,0
20191118T,81.29,81.29,81.29,81.29,0
20191119T,71.75,71.75,71.75,71.75,0
20191120T,51.4,51.4,51.4,51.4,0
20191121T,90.61,90.61,90.61,90.61,0
20191122T,61.46,61.46,61.46,61.46,0
20191125T,69.4,69.4,69.4,69.4,0
20191126T,36.0,36.0,36.0,36.0,0
20191127T,53.56,53.56,53.56,53.56,0
20191128T,29.9,29.9,29.9,29.9,0
20191129T,93.82,93.82,93.82,93.82,0
20191202T,63.73,63.73,63.73,63.73,0
20191203T,87.3,87.3,87.3,87.3,0
20191204T,55.02,55.02,55.02,55.02,0
20191205T,48.08,48.08,48.08,48.08,0
20191206T,40.78,40.78,40.78,40.78,0
20191209T,48.37,48.37,48.37,48.37,0
20191210T,45.52,45.52,45.52,45.52,0
20191211T,87.58,87.58,87.58,87.58,0
20191212T,42.28,42.28,42.28,42.28,0
20191213T,40.67,40.67,40.67,40.67,0
20191216T,64.52,64.52,64.52,64.52,0
20191217T,46.18,46.18,46.18,46.18,0
20191218T,56.15,56.15,56.15,56.15,0
20191219T,45.01,45.01,45.01,45.01,0
20191220T,75.96,75.96,75.96,75.96,0
20191223T,24.37,24.37,24.37,24.37,0
20191224T,30.87,30.87,30.87,30.87,0
20191225T,30.87,30.87,30.87,30.87,0
20191226T,57.23,57.23,57.23,57.23,0
20191227T,56.46,56.46,56.46,56.46,0
20191230T,53.27,53.27,53.27,53.27,0
20191231T,49.94,49.94,49.94,49.94,0
20200101T,55.35,55.35,55.35,55.35,0
20200102T,44.8,44.8,44.8,44.8,0
20200103T,52.09,52.09,52.09,52.09,0
20200106T,42.78,42.78,42.78,42.78,0
20200107T,33.73,33.73,33.73,33.73,0
20200108T,48.97,48.97,48.97,48.97,0
20200109T,44.29,44.29,44.29,44.29,0
20200110T,93.7,93.7,93.7,93.7,0
20200113T,41.35,41.35,41.35,41.35,0
20200114T,53.43,53.43,53.43,53.43,0
20200115T,69.96,69.96,69.96,69.96,0
20200116T,69.47,69.47,69.47,69.47,0
20200117T,93.12,93.12,93.12,93.12,0
20200120T,59.87,59.87,59.87,59.87,0
20200121T,47.76,47.76,47.76,47.76,0
20200122T,56.07,56.07,56.07,56.07,0
20200123T,67.67,67.67,67.67,67.67,0
20200124T,34.31,34.31,34.31,34.31,0
20200127T,46.89,46.89,46.89,46.89,0
20200128T,53.11,53.11,53.11,53.11,0
20200129T,68.24,68.24,68.24,68.24,0
20200130T,63.43,63.43,63.43,63.43,0
20200131T,61.67,61.67,61.67,61.67,0
20200203T,55.23,55.23,55.23,55.23,0
20200204T,55.1,55.1,55.1,55.1,0
20200205T,54.97,54.97,54.97,54.97,0
20200206T,38.25,38.25,38.25,38.25,0
20200207T,40.39,40.39,40.39,40.39,0
20200210T,68.52,68.52,68.52,68.52,0
20200211T,54.68,54.68,54.68,54.68,0
20200212T,76.39,76.39,76.39,76.39,0
20200213T,57.97,57.97,57.97,57.97,0
20200214T,65.4,65.4,65.4,65.4,0
20200217T,65.12,65.12,65.12,65.12,0
20200218T,55.38,55.38,55.38,55.38,0
20200219T,52.66,52.66,52.66,52.66,0
20200220T,58.94,58.94,58.94,58.94,0
20200221T,58.94,58.94,58.94,58.94,0
20200224T,76.93,76.93,76.93,76.93,0
20200225T,63.82,63.82,63.82,63.82,0
20200226T,55.5,55.5,55.5,55.5,0
20200227T,83.95,83.95,83.95,83.95,0
20200228T,66.91,66.91,66.91,66.91,0
20200302T,82.62,82.62,82.62,82.62,0
20200303T,66.72,66.72,66.72,66.72,0
20200304T,74.86,74.86,74.86,74.86,0
20200305T,73.04,73.04,73.04,73.04,0
20200306T,43.62,43.62,43.62,43.62,0
20200309T,68.08,68.08,68.08,68.08,0
20200310T,68.08,68.08,68.08,68.08,0
20200311T,93.15,93.15,93.15,93.15,0
20200312T,87.21,87.21,87.21,87.21,0
20200313T,58.69,58.69,58.69,58.69,0
20200316T,74.03,74.03,74.03,74.03,0
20200317T,56.89,56.89,56.89,56.89,0
20200318T,58.67,58.67,58.67,58.67,0
20200319T,58.85,58.85,58.85,58.85,0
20200320T,54.3,54.3,54.3,54.3,0
20200323T,84.74,84.74,84.74,84.74,0
20200324T,91.53,91.53,91.53,91.53,0
20200325T,79.34,79.34,79.34,79.34,0
20200326T,79.69,79.69,79.69,79.69,0
20200327T,99.97,99.97,99.97,99.97,0
20200330T,87.33,87.33,87.33,87.33,0
20200331T,78.69,78.69,78.69,78.69,0
20200401T,92.58,92.58,92.58,92.58,0
20200402T,92.58,92.58,92.58,92.58,0
20200403T,95.84,95.84,95.84,95.84,0
20200406T,95.84,95.84,95.84,95.84,0
20200407T,68.62,68.62,68.62,68.62,0
20200408T,53.08,53.08,53.08,53.08,0
20200409T,61.94,61.94,61.94,61.94,0
20200410T,61.94,61.94,61.94,61.94,0
20200413T,63.01,63.01,63.01,63.01,0
20200415T,78.3,78.3,78.3,78.3,0
20200416T,59.25,59.25,59.25,59.25,0
20200417T,73.39,73.39,73.39,73.39,0
20200420T,86.47,86.47,86.47,86.47,0
20200421T,62.38,62.38,62.38,62.38,0
20200422T,66.2,66.2,66.2,66.2,0
20200423T,79.87,79.87,79.87,79.87,0
20200424T,81.9,81.9,81.9,81.9,0
20200427T,90.61,90.61,90.61,90.61,0
20200428T,83.35,83.35,83.35,83.35,0
20200429T,80.99,80.99,80.99,80.99,0
20200430T,81.99,81.99,81.99,81.99,0
20200501T,81.99,81.99,81.99,81.99,0
20200504T,80.81,80.81,80.81,80.81,0
20200505T,95.76,95.76,95.76,95.76,0
20200506T,79.12,79.12,79.12,79.12,0
20200507T,68.37,68.37,68.37,68.37,0
20200508T,68.48,68.48,68.48,68.48,0
20200511T,66.81,66.81,66.81,66.81,0
20200512T,88.61,88.61,88.61,88.61,0
20200513T,70.49,70.49,70.49,70.49,0
20200514T,58.31,58.31,58.31,58.31,0
20200515T,71.39,71.39,71.39,71.39,0
20200518T,82.28,82.28,82.28,82.28,0
20200519T,78.13,78.13,78.13,78.13,0
20200520T,50.26,50.26,50.26,50.26,0
20200521T,58.31,58.31,58.31,58.31,0
20200522T,45.82,45.82,45.82,45.82,0
20200525T,45.82,45.82,45.82,45.82,0
20200526T,73.36,73.36,73.36,73.36,0
20200527T,92.24,92.24,92.24,92.24,0
20200528T,39.72,39.72,39.72,39.72,0
20200529T,91.75,91.75,91.75,91.75,0
20200601T,53.72,53.72,53.72,53.72,0
20200602T,53.39,53.39,53.39,53.39,0
20200603T,55.92,55.92,55.92,55.92,0
20200604T,71.85,71.85,71.85,71.85,0
20200605T,60.54,60.54,60.54,60.54,0
20200608T,76.56,76.56,76.56,76.56,0
20200609T,57.1,57.1,57.1,57.1,0
20200610T,39.3,39.3,39.3,39.3,0
20200611T,53.81,53.81,53.81,53.81,0
20200612T,79.41,79.41,79.41,79.41,0
20200615T,48.43,48.43,48.43,48.43,0
20200616T,82.4,82.4,82.4,82.4,0
20200617T,49.2,49.2,49.2,49.2,0
20200618T,72.82,72.82,72.82,72.82,0
20200619T,83.79,83.79,83.79,83.79,0
20200622T,82.15,82.15,82.15,82.15,0
20200623T,58.59,58.59,58.59,58.59,0
20200624T,55.75,55.75,55.75,55.75,0
20200625T,63.41,63.41,63.41,63.41,0
20200626T,48.54,48.54,48.54,48.54,0
20200629T,83.88,83.88,83.88,83.88,0
20200630T,62.2,62.2,62.2,62.2,0
20200701T,55.48,55.48,55.48,55.48,0
20200702T,51.11,51.11,51.11,51.11,0
20200703T,47.65,47.65,47.65,47.65,0
20200706T,76.4,76.4,76.4,76.4,0
20200707T,61.16,61.16,61.16,61.16,0
20200708T,76.43,76.43,76.43,76.43,0
20200709T,63.95,63.95,63.95,63.95,0
20200710T,60.29,60.29,60.29,60.29,0
20200713T,82.48,82.48,82.48,82.48,0
20200714T,74.98,74.98,74.98,74.98,0
20200715T,97.4,97.4,97.4,97.4,0
20200716T,56.85,56.85,56.85,56.85,0
20200717T,76.48,76.48,76.48,76.48,0
20200720T,84.0,84.0,84.0,84.0,0
20200721T,68.88,68.88,68.88,68.88,0
20200722T,79.92,79.92,79.92,79.92,0
20200723T,62.8,62.8,62.8,62.8,0
20200724T,67.27,67.27,67.27,67.27,0
20200727T,75.68,75.68,75.68,75.68,0
