date,open,high,low,close,volume
20250602T,71.51,71.51,71.51,71.51,0
20250603T,67.92,67.92,67.92,67.92,0
20250604T,70.65,70.65,70.65,70.65,0
20250605T,75.81,75.81,75.81,75.81,0
20250606T,55.99,55.99,55.99,55.99,0
20250609T,63.56,63.56,63.56,63.56,0
20250610T,56.32,56.32,56.32,56.32,0
20250611T,67.54,67.54,67.54,67.54,0
20250612T,58.31,58.31,58.31,58.31,0
20250613T,65.93,65.93,65.93,65.93,0
20250616T,64.09,64.09,64.09,64.09,0
20250617T,60.4,60.4,60.4,60.4,0
20250618T,82.09,82.09,82.09,82.09,0
20250619T,54.26,54.26,54.26,54.26,0
20250620T,75.71,75.71,75.71,75.71,0
20250623T,68.2,68.2,68.2,68.2,0
20250624T,72.98,72.98,72.98,72.98,0
20250625T,73.37,73.37,73.37,73.37,0
20250626T,58.77,58.77,58.77,58.77,0
20250627T,55.07,55.07,55.07,55.07,0
20250630T,56.72,56.72,56.72,56.72,0
20250701T,58.42,58.42,58.42,58.42,0
20250702T,62.77,62.77,62.77,62.77,0
20250703T,57.68,57.68,57.68,57.68,0
20250704T,58.19,58.19,58.19,58.19,0
20250707T,61.56,61.56,61.56,61.56,0
20250708T,63.29,63.29,63.29,63.29,0
20250709T,61.83,61.83,61.83,61.83,0
20250710T,64.82,64.82,64.82,64.82,0
20250711T,68.65,68.65,68.65,68.65,0
20250714T,58.86,58.86,58.86,58.86,0
20250715T,53.74,53.74,53.74,53.74,0
20250716T,52.9,52.9,52.9,52.9,0
20250717T,46.63,46.63,46.63,46.63,0
20250718T,49.28,49.28,49.28,49.28,0
20250721T,47.39,47.39,47.39,47.39,0
20250722T,48.33,48.33,48.33,48.33,0
20250723T,52.65,52.65,52.65,52.65,0
20250724T,52.71,52.71,52.71,52.71,0
20250725T,52.45,52.45,52.45,52.45,0
20250728T,55.79,55.79,55.79,55.79,0
20250729T,46.01,46.01,46.01,46.01,0
20250730T,37.72,37.72,37.72,37.72,0
20250731T,35.97,35.97,35.97,35.97,0
20250801T,38.25,38.25,38.25,38.25,0
20250804T,52.73,52.73,52.73,52.73,0
20250805T,50.86,50.86,50.86,50.86,0
20250806T,51.6,51.6,51.6,51.6,0
20250807T,59.5,59.5,59.5,59.5,0
20250808T,56.67,56.67,56.67,56.67,0
20250811T,59.33,59.33,59.33,59.33,0
20250812T,53.6,53.6,53.6,53.6,0
20250813T,49.76,49.76,49.76,49.76,0
20250814T,56.51,56.51,56.51,56.51,0
20250818T,47.06,47.06,47.06,47.06,0
20250819T,47.32,47.32,47.32,47.32,0
20250820T,49.1,49.1,49.1,49.1,0
20250821T,55.9,55.9,55.9,55.9,0
20250822T,60.13,60.13,60.13,60.13,0
20250825T,60.1,60.1,60.1,60.1,0
20250826T,63.66,63.66,63.66,63.66,0
20250828T,67.89,67.89,67.89,67.89,0
20250829T,69.52,69.52,69.52,69.52,0
20250901T,53.62,53.62,53.62,53.62,0
20250902T,58.32,58.32,58.32,58.32,0
20250903T,56.05,56.05,56.05,56.05,0
20250904T,43.87,43.87,43.87,43.87,0
20250905T,51.64,51.64,51.64,51.64,0
20250908T,51.52,51.52,51.52,51.52,0
20250909T,61.82,61.82,61.82,61.82,0
20250910T,63.94,63.94,63.94,63.94,0
20250911T,58.28,58.28,58.28,58.28,0
20250912T,52.32,52.32,52.32,52.32,0
20250915T,45.74,45.74,45.74,45.74,0
20250916T,56.96,56.96,56.96,56.96,0
20250917T,67.66,67.66,67.66,67.66,0
20250918T,61.56,61.56,61.56,61.56,0
20250919T,66.9,66.9,66.9,66.9,0
20250922T,66.13,66.13,66.13,66.13,0
20250923T,62.78,62.78,62.78,62.78,0
20250924T,63.42,63.42,63.42,63.42,0
20250925T,61.38,61.38,61.38,61.38,0
20250926T,63.68,63.68,63.68,63.68,0
20250929T,49.76,49.76,49.76,49.76,0
20250930T,58.71,58.71,58.71,58.71,0
20251001T,55.17,55.17,55.17,55.17,0
20251003T,59.93,59.93,59.93,59.93,0
20251006T,58.94,58.94,58.94,58.94,0
20251007T,51.89,51.89,51.89,51.89,0
20251008T,43.36,43.36,43.36,43.36,0
20251009T,68.97,68.97,68.97,68.97,0
20251010T,50.23,50.23,50.23,50.23,0
20251013T,52.37,52.37,52.37,52.37,0
20251014T,66.02,66.02,66.02,66.02,0
20251015T,53.47,53.47,53.47,53.47,0
20251016T,49.66,49.66,49.66,49.66,0
20251017T,33.64,33.64,33.64,33.64,0
20251020T,33.75,33.75,33.75,33.75,0
20251021T,39.37,39.37,39.37,39.37,0
20251022T,39.37,39.37,39.37,39.37,0
20251023T,50.27,50.27,50.27,50.27,0
20251024T,52.97,52.97,52.97,52.97,0
20251027T,41.36,41.36,41.36,41.36,0
20251028T,56.06,56.06,56.06,56.06,0
20251029T,44.9,44.9,44.9,44.9,0
20251030T,41.82,41.82,41.82,41.82,0
20251031T,44.46,44.46,44.46,44.46,0
20251103T,45.1,45.1,45.1,45.1,0
20251104T,47.98,47.98,47.98,47.98,0
20251105T,47.98,47.98,47.98,47.98,0
20251106T,52.3,52.3,52.3,52.3,0
20251107T,44.8,44.8,44.8,44.8,0
20251110T,56.39,56.39,56.39,56.39,0
20251111T,33.44,33.44,33.44,33.44,0
20251112T,50.97,50.97,50.97,50.97,0
20251113T,49.72,49.72,49.72,49.72,0
20251114T,47.66,47.66,47.66,47.66,0
20251117T,44.58,44.58,44.58,44.58,0
20251118T,64.09,64.09,64.09,64.09,0
20251119T,60.13,60.13,60.13,60.13,0
20251120T,51.01,51.01,51.01,51.01,0
20251121T,54.81,54.81,54.81,54.81,0
20251124T,37.3,37.3,37.3,37.3,0
20251125T,35.11,35.11,35.11,35.11,0
20251126T,40.09,40.09,40.09,40.09,0
20251127T,40.06,40.06,40.06,40.06,0
20251128T,34.73,34.73,34.73,34.73,0
20251201T,55.26,55.26,55.26,55.26,0
20251202T,47.45,47.45,47.45,47.45,0
20251203T,36.68,36.68,36.68,36.68,0
20251204T,47.02,47.02,47.02,47.02,0
20251205T,46.71,46.71,46.71,46.71,0
20251208T,55.5,55.5,55.5,55.5,0
20251209T,53.56,53.56,53.56,53.56,0
20251210T,49.85,49.85,49.85,49.85,0
20251211T,56.98,56.98,56.98,56.98,0
20251212T,47.93,47.93,47.93,47.93,0
20251215T,63.87,63.87,63.87,63.87,0
20251216T,54.51,54.51,54.51,54.51,0
20251217T,53.13,53.13,53.13,53.13,0
20251218T,56.89,56.89,56.89,56.89,0
20251219T,60.11,60.11,60.11,60.11,0
20251222T,58.87,58.87,58.87,58.87,0
20251223T,53.87,53.87,53.87,53.87,0
20251224T,57.6,57.6,57.6,57.6,0
20251225T,57.6,57.6,57.6,57.6,0
20251226T,54.31,54.31,54.31,54.31,0
20251229T,46.79,46.79,46.79,46.79,0
20251230T,48.0,48.0,48.0,48.0,0
20251231T,66.76,66.76,66.76,66.76,0
20260101T,40.15,40.15,40.15,40.15,0
20260102T,56.23,56.23,56.23,56.23,0
20260105T,45.61,45.61,45.61,45.61,0
20260106T,58.81,58.81,58.81,58.81,0
20260107T,64.42,64.42,64.42,64.42,0
20260108T,58.56,58.56,58.56,58.56,0
20260109T,52.15,52.15,52.15,52.15,0
20260112T,49.4,49.4,49.4,49.4,0
20260113T,47.24,47.24,47.24,47.24,0
20260114T,46.92,46.92,46.92,46.92,0
20260115T,46.92,46.92,46.92,46.92,0
20260116T,59.87,59.87,59.87,59.87,0
20260119T,58.94,58.94,58.94,58.94,0
20260120T,52.37,52.37,52.37,52.37,0
20260121T,48.6,48.6,48.6,48.6,0
20260122T,57.26,57.26,57.26,57.26,0
20260123T,52.42,52.42,52.42,52.42,0
20260127T,52.0,52.0,52.0,52.0,0
20260128T,35.76,35.76,35.76,35.76,0
20260129T,36.44,36.44,36.44,36.44,0
20260130T,51.31,51.31,51.31,51.31,0
20260202T,48.53,48.53,48.53,48.53,0
20260203T,48.68,48.68,48.68,48.68,0
20260204T,54.96,54.96,54.96,54.96,0
20260205T,53.42,53.42,53.42,53.42,0
20260206T,52.19,52.19,52.19,52.19,0
