date,open,high,low,close,volume
20191001T,86.82,86.82,86.82,86.82,0
20191003T,61.66,61.66,61.66,61.66,0
20191004T,32.62,32.62,32.62,32.62,0
20191007T,67.23,67.23,67.23,67.23,0
20191008T,67.23,67.23,67.23,67.23,0
20191009T,68.93,68.93,68.93,68.93,0
20191010T,67.46,67.46,67.46,67.46,0
20191011T,56.64,56.64,56.64,56.64,0
20191014T,48.7,48.7,48.7,48.7,0
20191015T,66.9,66.9,66.9,66.9,0
20191016T,84.92,84.92,84.92,84.92,0
20191017T,45.6,45.6,45.6,45.6,0
20191018T,62.65,62.65,62.65,62.65,0
20191021T,62.65,62.65,62.65,62.65,0
20191022T,52.75,52.75,52.75,52.75,0
20191023T,55.03,55.03,55.03,55.03,0
20191024T,49.01,49.01,49.01,49.01,0
20191025T,43.01,43.01,43.01,43.01,0
20191028T,79.34,79.34,79.34,79.34,0
20191029T,50.22,50.22,50.22,50.22,0
20191030T,28.94,28.94,28.94,28.94,0
20191031T,35.24,35.24,35.24,35.24,0
20191101T,50.21,50.21,50.21,50.21,0
20191104T,32.6,32.6,32.6,32.6,0
20191105T,76.96,76.96,76.96,76.96,0
20191106T,61.14,61.14,61.14,61.14,0
20191107T,28.63,28.63,28.63,28.63,0
20191108T,36.81,36.81,36.81,36.81,0
20191111T,64.35,64.35,64.35,64.35,0
20191112T,64.35,64.35,64.35,64.35,0
20191113T,59.17,59.17,59.17,59.17,0
20191114T,54.46,54.46,54.46,54.46,0
20191115T,40.97,40.97,40.97,40.97,0
20191118T,64.3,64.3,64.3,64.3,0
20191119T,57.43,57.43,57.43,57.43,0
20191120T,26.63,26.63,26.63,26.63,0
20191121T,29.92,29.92,29.92,29.92,0
20191122T,53.08,53.08,53.08,53.08,0
20191125T,37.26,37.26,37.26,37.26,0
20191126T,54.17,54.17,54.17,54.17,0
20191127T,69.38,69.38,69.38,69.38,0
20191128T,34.81,34.81,34.81,34.81,0
20191129T,44.65,44.65,44.65,44.65,0
20191202T,27.48,27.48,27.48,27.48,0
20191203T,50.63,50.63,50.63,50.63,0
20191204T,34.84,34.84,34.84,34.84,0
20191205T,36.41,36.41,36.41,36.41,0
20191206T,32.94,32.94,32.94,32.94,0
20191209T,38.29,38.29,38.29,38.29,0
20191210T,47.53,47.53,47.53,47.53,0
20191211T,55.86,55.86,55.86,55.86,0
20191212T,40.64,40.64,40.64,40.64,0
20191213T,39.02,39.02,39.02,39.02,0
20191216T,38.33,38.33,38.33,38.33,0
20191217T,40.37,40.37,40.37,40.37,0
20191218T,29.86,29.86,29.86,29.86,0
20191219T,51.27,51.27,51.27,51.27,0
20191220T,47.91,47.91,47.91,47.91,0
20191223T,44.7,44.7,44.7,44.7,0
20191224T,45.98,45.98,45.98,45.98,0
20191225T,45.98,45.98,45.98,45.98,0
20191226T,42.61,42.61,42.61,42.61,0
20191227T,69.18,69.18,69.18,69.18,0
20191230T,68.79,68.79,68.79,68.79,0
20191231T,44.63,44.63,44.63,44.63,0
20200101T,61.0,61.0,61.0,61.0,0
20200102T,51.65,51.65,51.65,51.65,0
20200103T,46.05,46.05,46.05,46.05,0
20200106T,54.04,54.04,54.04,54.04,0
20200107T,42.98,42.98,42.98,42.98,0
20200108T,33.1,33.1,33.1,33.1,0
20200109T,52.06,52.06,52.06,52.06,0
20200110T,44.51,44.51,44.51,44.51,0
