date,open,high,low,close,volume
20250908T,42.68,42.68,42.68,42.68,0
20250909T,31.5,31.5,31.5,31.5,0
20250910T,25.48,25.48,25.48,25.48,0
20250911T,32.72,32.72,32.72,32.72,0
20250912T,35.97,35.97,35.97,35.97,0
20250915T,23.88,23.88,23.88,23.88,0
20250916T,35.26,35.26,35.26,35.26,0
20250917T,26.18,26.18,26.18,26.18,0
20250918T,39.72,39.72,39.72,39.72,0
20250919T,42.67,42.67,42.67,42.67,0
20250922T,27.18,27.18,27.18,27.18,0
20250923T,51.28,51.28,51.28,51.28,0
20250924T,27.86,27.86,27.86,27.86,0
20250925T,37.42,37.42,37.42,37.42,0
20250926T,44.84,44.84,44.84,44.84,0
20250929T,47.21,47.21,47.21,47.21,0
20250930T,47.13,47.13,47.13,47.13,0
20251001T,48.96,48.96,48.96,48.96,0
20251003T,34.22,34.22,34.22,34.22,0
20251006T,38.54,38.54,38.54,38.54,0
20251007T,33.07,33.07,33.07,33.07,0
20251008T,26.39,26.39,26.39,26.39,0
20251009T,29.81,29.81,29.81,29.81,0
20251010T,32.51,32.51,32.51,32.51,0
20251013T,56.35,56.35,56.35,56.35,0
20251014T,34.38,34.38,34.38,34.38,0
20251015T,41.86,41.86,41.86,41.86,0
20251016T,26.27,26.27,26.27,26.27,0
20251017T,47.09,47.09,47.09,47.09,0
20251020T,27.53,27.53,27.53,27.53,0
20251021T,38.94,38.94,38.94,38.94,0
20251022T,38.94,38.94,38.94,38.94,0
20251023T,51.51,51.51,51.51,51.51,0
20251024T,38.32,38.32,38.32,38.32,0
20251027T,24.77,24.77,24.77,24.77,0
20251028T,39.59,39.59,39.59,39.59,0
20251029T,40.98,40.98,40.98,40.98,0
20251030T,34.71,34.71,34.71,34.71,0
20251031T,29.08,29.08,29.08,29.08,0
20251103T,29.15,29.15,29.15,29.15,0
20251104T,30.78,30.78,30.78,30.78,0
20251105T,30.78,30.78,30.78,30.78,0
20251106T,40.97,40.97,40.97,40.97,0
20251107T,29.13,29.13,29.13,29.13,0
20251110T,39.23,39.23,39.23,39.23,0
20251111T,35.03,35.03,35.03,35.03,0
20251112T,29.07,29.07,29.07,29.07,0
20251113T,30.45,30.45,30.45,30.45,0
20251114T,26.93,26.93,26.93,26.93,0
20251117T,27.23,27.23,27.23,27.23,0
20251118T,30.41,30.41,30.41,30.41,0
20251119T,45.38,45.38,45.38,45.38,0
20251120T,40.66,40.66,40.66,40.66,0
20251121T,36.66,36.66,36.66,36.66,0
20251124T,41.31,41.31,41.31,41.31,0
20251125T,50.37,50.37,50.37,50.37,0
20251126T,29.66,29.66,29.66,29.66,0
20251127T,39.04,39.04,39.04,39.04,0
20251128T,28.56,28.56,28.56,28.56,0
20251201T,23.09,23.09,23.09,23.09,0
20251202T,25.9,25.9,25.9,25.9,0
20251203T,35.04,35.04,35.04,35.04,0
20251204T,29.56,29.56,29.56,29.56,0
20251205T,66.89,66.89,66.89,66.89,0
20251208T,79.33,79.33,79.33,79.33,0
20251209T,32.99,32.99,32.99,32.99,0
20251210T,28.82,28.82,28.82,28.82,0
20251211T,85.7,85.7,85.7,85.7,0
20251212T,28.97,28.97,28.97,28.97,0
20251215T,27.99,27.99,27.99,27.99,0
20251216T,28.06,28.06,28.06,28.06,0
20251217T,48.14,48.14,48.14,48.14,0
20251218T,46.17,46.17,46.17,46.17,0
20251219T,20.55,20.55,20.55,20.55,0
20251222T,25.68,25.68,25.68,25.68,0
20251223T,16.84,16.84,16.84,16.84,0
20251224T,16.85,16.85,16.85,16.85,0
20251225T,16.85,16.85,16.85,16.85,0
20251226T,18.51,18.51,18.51,18.51,0
20251229T,25.44,25.44,25.44,25.44,0
20251230T,28.85,28.85,28.85,28.85,0
20251231T,29.23,29.23,29.23,29.23,0
20260101T,15.61,15.61,15.61,15.61,0
20260102T,31.25,31.25,31.25,31.25,0
20260105T,33.82,33.82,33.82,33.82,0
20260106T,21.35,21.35,21.35,21.35,0
20260107T,13.27,13.27,13.27,13.27,0
20260108T,34.49,34.49,34.49,34.49,0
20260109T,51.75,51.75,51.75,51.75,0
20260112T,36.5,36.5,36.5,36.5,0
20260113T,24.3,24.3,24.3,24.3,0
20260114T,2.98,2.98,2.98,2.98,0
20260115T,2.98,2.98,2.98,2.98,0
20260116T,39.07,39.07,39.07,39.07,0
20260119T,37.58,37.58,37.58,37.58,0
20260120T,39.48,39.48,39.48,39.48,0
20260121T,17.97,17.97,17.97,17.97,0
20260122T,34.35,34.35,34.35,34.35,0
20260123T,37.72,37.72,37.72,37.72,0
20260127T,37.96,37.96,37.96,37.96,0
20260128T,30.39,30.39,30.39,30.39,0
20260129T,30.79,30.79,30.79,30.79,0
20260130T,34.66,34.66,34.66,34.66,0
20260202T,63.28,63.28,63.28,63.28,0
20260203T,61.75,61.75,61.75,61.75,0
20260204T,53.75,53.75,53.75,53.75,0
20260205T,55.78,55.78,55.78,55.78,0
20260206T,28.83,28.83,28.83,28.83,0
20260209T,8.49,8.49,8.49,8.49,0
20260210T,37.17,37.17,37.17,37.17,0
