date,open,high,low,close,volume
20191001T,69.31,69.31,69.31,69.31,0
20191003T,48.0,48.0,48.0,48.0,0
20191004T,78.19,78.19,78.19,78.19,0
20191007T,89.95,89.95,89.95,89.95,0
20191008T,89.95,89.95,89.95,89.95,0
20191009T,73.33,73.33,73.33,73.33,0
20191010T,85.95,85.95,85.95,85.95,0
20191011T,69.11,69.11,69.11,69.11,0
20191014T,41.45,41.45,41.45,41.45,0
20191015T,77.3,77.3,77.3,77.3,0
20191016T,57.89,57.89,57.89,57.89,0
20191017T,58.16,58.16,58.16,58.16,0
20191018T,55.84,55.84,55.84,55.84,0
20191021T,55.84,55.84,55.84,55.84,0
20191022T,62.68,62.68,62.68,62.68,0
20191023T,34.69,34.69,34.69,34.69,0
