date,open,high,low,close,volume
20191001T,80.89,80.89,80.89,80.89,0
20191003T,87.88,87.88,87.88,87.88,0
20191004T,49.73,49.73,49.73,49.73,0
20191007T,2.68,2.68,2.68,2.68,0
20191008T,2.68,2.68,2.68,2.68,0
20191009T,21.79,21.79,21.79,21.79,0
20191010T,59.25,59.25,59.25,59.25,0
20191011T,31.26,31.26,31.26,31.26,0
20191014T,71.15,71.15,71.15,71.15,0
20191015T,36.0,36.0,36.0,36.0,0
20191016T,39.37,39.37,39.37,39.37,0
20191017T,16.15,16.15,16.15,16.15,0
20191018T,60.68,60.68,60.68,60.68,0
20191021T,60.68,60.68,60.68,60.68,0
20191022T,33.09,33.09,33.09,33.09,0
20191023T,49.4,49.4,49.4,49.4,0
20191024T,38.86,38.86,38.86,38.86,0
20191025T,24.07,24.07,24.07,24.07,0
20191028T,78.43,78.43,78.43,78.43,0
20191029T,86.57,86.57,86.57,86.57,0
20191030T,16.37,16.37,16.37,16.37,0
20191031T,35.57,35.57,35.57,35.57,0
20191101T,65.78,65.78,65.78,65.78,0
20191104T,62.4,62.4,62.4,62.4,0
20191105T,51.93,51.93,51.93,51.93,0
20191106T,32.74,32.74,32.74,32.74,0
20191107T,26.77,26.77,26.77,26.77,0
20191108T,12.94,12.94,12.94,12.94,0
20191111T,55.3,55.3,55.3,55.3,0
20191112T,55.3,55.3,55.3,55.3,0
20191113T,34.5,34.5,34.5,34.5,0
20191114T,28.79,28.79,28.79,28.79,0
20191115T,56.01,56.01,56.01,56.01,0
20191118T,51.77,51.77,51.77,51.77,0
20191119T,52.82,52.82,52.82,52.82,0
20191120T,17.35,17.35,17.35,17.35,0
20191121T,33.32,33.32,33.32,33.32,0
20191122T,88.18,88.18,88.18,88.18,0
20191125T,54.36,54.36,54.36,54.36,0
20191126T,70.32,70.32,70.32,70.32,0
20191127T,36.19,36.19,36.19,36.19,0
20191128T,77.29,77.29,77.29,77.29,0
20191129T,55.85,55.85,55.85,55.85,0
20191202T,43.9,43.9,43.9,43.9,0
20191203T,33.08,33.08,33.08,33.08,0
20191204T,32.47,32.47,32.47,32.47,0
20191205T,63.77,63.77,63.77,63.77,0
20191206T,70.04,70.04,70.04,70.04,0
20191209T,45.95,45.95,45.95,45.95,0
20191210T,56.52,56.52,56.52,56.52,0
20191211T,79.84,79.84,79.84,79.84,0
20191212T,54.94,54.94,54.94,54.94,0
20191213T,46.29,46.29,46.29,46.29,0
20191216T,27.97,27.97,27.97,27.97,0
20191217T,24.22,24.22,24.22,24.22,0
20191218T,32.44,32.44,32.44,32.44,0
20191219T,44.94,44.94,44.94,44.94,0
20191220T,21.36,21.36,21.36,21.36,0
20191223T,69.97,69.97,69.97,69.97,0
20191224T,43.59,43.59,43.59,43.59,0
20191225T,43.59,43.59,43.59,43.59,0
20191226T,60.08,60.08,60.08,60.08,0
20191227T,54.96,54.96,54.96,54.96,0
20191230T,55.58,55.58,55.58,55.58,0
20191231T,54.95,54.95,54.95,54.95,0
20200101T,59.71,59.71,59.71,59.71,0
20200102T,12.32,12.32,12.32,12.32,0
20200103T,16.96,16.96,16.96,16.96,0
20200106T,22.22,22.22,22.22,22.22,0
20200107T,6.86,6.86,6.86,6.86,0
20200108T,36.31,36.31,36.31,36.31,0
20200109T,53.89,53.89,53.89,53.89,0
20200110T,18.88,18.88,18.88,18.88,0
20200113T,20.21,20.21,20.21,20.21,0
20200114T,17.41,17.41,17.41,17.41,0
20200115T,63.75,63.75,63.75,63.75,0
20200116T,27.97,27.97,27.97,27.97,0
20200117T,52.49,52.49,52.49,52.49,0
20200120T,55.32,55.32,55.32,55.32,0
20200121T,28.13,28.13,28.13,28.13,0
20200122T,63.38,63.38,63.38,63.38,0
20200123T,38.21,38.21,38.21,38.21,0
20200124T,18.97,18.97,18.97,18.97,0
20200127T,38.93,38.93,38.93,38.93,0
20200128T,61.12,61.12,61.12,61.12,0
20200129T,63.2,63.2,63.2,63.2,0
20200130T,24.11,24.11,24.11,24.11,0
20200131T,41.67,41.67,41.67,41.67,0
20200203T,13.63,13.63,13.63,13.63,0
20200204T,27.25,27.25,27.25,27.25,0
20200205T,85.4,85.4,85.4,85.4,0
20200206T,16.02,16.02,16.02,16.02,0
20200207T,58.92,58.92,58.92,58.92,0
20200210T,27.68,27.68,27.68,27.68,0
20200211T,65.55,65.55,65.55,65.55,0
20200212T,23.74,23.74,23.74,23.74,0
20200213T,11.51,11.51,11.51,11.51,0
20200214T,45.9,45.9,45.9,45.9,0
20200217T,95.06,95.06,95.06,95.06,0
20200218T,66.18,66.18,66.18,66.18,0
20200219T,29.98,29.98,29.98,29.98,0
20200220T,61.02,61.02,61.02,61.02,0
20200221T,61.02,61.02,61.02,61.02,0
20200224T,47.56,47.56,47.56,47.56,0
20200225T,79.9,79.9,79.9,79.9,0
20200226T,43.12,43.12,43.12,43.12,0
20200227T,83.65,83.65,83.65,83.65,0
20200228T,38.66,38.66,38.66,38.66,0
20200302T,57.22,57.22,57.22,57.22,0
20200303T,59.47,59.47,59.47,59.47,0
20200304T,43.59,43.59,43.59,43.59,0
20200305T,36.08,36.08,36.08,36.08,0
20200306T,58.76,58.76,58.76,58.76,0
20200309T,75.46,75.46,75.46,75.46,0
20200310T,75.46,75.46,75.46,75.46,0
20200311T,65.71,65.71,65.71,65.71,0
20200312T,19.78,19.78,19.78,19.78,0
20200313T,34.64,34.64,34.64,34.64,0
20200316T,28.64,28.64,28.64,28.64,0
20200317T,45.91,45.91,45.91,45.91,0
20200318T,62.69,62.69,62.69,62.69,0
20200319T,36.2,36.2,36.2,36.2,0
20200320T,58.08,58.08,58.08,58.08,0
20200323T,46.35,46.35,46.35,46.35,0
20200324T,58.0,58.0,58.0,58.0,0
20200325T,23.8,23.8,23.8,23.8,0
20200326T,70.0,70.0,70.0,70.0,0
20200327T,75.24,75.24,75.24,75.24,0
20200330T,85.9,85.9,85.9,85.9,0
20200331T,64.29,64.29,64.29,64.29,0
20200401T,32.12,32.12,32.12,32.12,0
20200402T,32.12,32.12,32.12,32.12,0
20200403T,43.65,43.65,43.65,43.65,0
20200406T,43.65,43.65,43.65,43.65,0
20200407T,5.4,5.4,5.4,5.4,0
20200408T,34.87,34.87,34.87,34.87,0
20200409T,43.2,43.2,43.2,43.2,0
20200410T,43.2,43.2,43.2,43.2,0
20200527T,90.63,90.63,90.63,90.63,0
20200528T,64.36,64.36,64.36,64.36,0
20200529T,69.49,69.49,69.49,69.49,0
20200601T,40.76,40.76,40.76,40.76,0
20200602T,57.03,57.03,57.03,57.03,0
20200603T,76.26,76.26,76.26,76.26,0
20200604T,59.86,59.86,59.86,59.86,0
20200605T,53.21,53.21,53.21,53.21,0
20200608T,82.3,82.3,82.3,82.3,0
20200609T,68.13,68.13,68.13,68.13,0
20200610T,69.31,69.31,69.31,69.31,0
20200611T,66.08,66.08,66.08,66.08,0
20200612T,72.22,72.22,72.22,72.22,0
20200615T,73.83,73.83,73.83,73.83,0
20200616T,45.91,45.91,45.91,45.91,0
20200617T,83.27,83.27,83.27,83.27,0
20200618T,39.66,39.66,39.66,39.66,0
20200619T,82.71,82.71,82.71,82.71,0
20200622T,50.6,50.6,50.6,50.6,0
20200623T,79.4,79.4,79.4,79.4,0
20200624T,33.33,33.33,33.33,33.33,0
20200625T,92.36,92.36,92.36,92.36,0
20200626T,86.73,86.73,86.73,86.73,0
20200629T,90.95,90.95,90.95,90.95,0
20200630T,84.8,84.8,84.8,84.8,0
20200701T,44.38,44.38,44.38,44.38,0
20200702T,80.96,80.96,80.96,80.96,0
20200703T,87.8,87.8,87.8,87.8,0
20200706T,51.87,51.87,51.87,51.87,0
20200707T,57.77,57.77,57.77,57.77,0
20200708T,72.61,72.61,72.61,72.61,0
20200709T,67.23,67.23,67.23,67.23,0
20200710T,79.02,79.02,79.02,79.02,0
20200713T,63.17,63.17,63.17,63.17,0
20200714T,61.72,61.72,61.72,61.72,0
20200715T,77.37,77.37,77.37,77.37,0
20200716T,53.3,53.3,53.3,53.3,0
20200717T,87.28,87.28,87.28,87.28,0
20200720T,82.33,82.33,82.33,82.33,0
20200721T,58.64,58.64,58.64,58.64,0
20200722T,39.53,39.53,39.53,39.53,0
20200723T,61.25,61.25,61.25,61.25,0
20200724T,61.62,61.62,61.62,61.62,0
20200727T,7.78,7.78,7.78,7.78,0
20200728T,38.71,38.71,38.71,38.71,0
20200729T,35.09,35.09,35.09,35.09,0
20200730T,74.64,74.64,74.64,74.64,0
20200731T,62.91,62.91,62.91,62.91,0
20200803T,92.73,92.73,92.73,92.73,0
20200804T,57.48,57.48,57.48,57.48,0
20200805T,96.8,96.8,96.8,96.8,0
20200806T,75.78,75.78,75.78,75.78,0
20200807T,95.53,95.53,95.53,95.53,0
20200810T,78.3,78.3,78.3,78.3,0
20200811T,62.55,62.55,62.55,62.55,0
20200812T,78.04,78.04,78.04,78.04,0
20200813T,52.98,52.98,52.98,52.98,0
20200814T,62.61,62.61,62.61,62.61,0
20200817T,71.07,71.07,71.07,71.07,0
20200818T,71.86,71.86,71.86,71.86,0
20200819T,89.18,89.18,89.18,89.18,0
20200820T,75.29,75.29,75.29,75.29,0
20200821T,47.75,47.75,47.75,47.75,0
20200824T,49.47,49.47,49.47,49.47,0
20200825T,57.49,57.49,57.49,57.49,0
20200826T,59.89,59.89,59.89,59.89,0
20200827T,55.28,55.28,55.28,55.28,0
20200828T,34.85,34.85,34.85,34.85,0
20200831T,54.28,54.28,54.28,54.28,0
20200901T,61.8,61.8,61.8,61.8,0
20200902T,38.88,38.88,38.88,38.88,0
20200903T,56.55,56.55,56.55,56.55,0
20200904T,67.74,67.74,67.74,67.74,0
20200907T,86.55,86.55,86.55,86.55,0
20200908T,79.84,79.84,79.84,79.84,0
20200909T,74.05,74.05,74.05,74.05,0
20200910T,61.76,61.76,61.76,61.76,0
20200911T,13.95,13.95,13.95,13.95,0
20200914T,87.55,87.55,87.55,87.55,0
20200915T,92.67,92.67,92.67,92.67,0
20200916T,70.42,70.42,70.42,70.42,0
20200917T,56.18,56.18,56.18,56.18,0
20200918T,47.7,47.7,47.7,47.7,0
20200921T,78.71,78.71,78.71,78.71,0
20200922T,74.73,74.73,74.73,74.73,0
20200923T,86.55,86.55,86.55,86.55,0
20200924T,62.57,62.57,62.57,62.57,0
20200925T,54.24,54.24,54.24,54.24,0
20200928T,16.68,16.68,16.68,16.68,0
20200929T,34.0,34.0,34.0,34.0,0
20200930T,16.95,16.95,16.95,16.95,0
20201001T,37.25,37.25,37.25,37.25,0
20201005T,51.46,51.46,51.46,51.46,0
20201006T,53.83,53.83,53.83,53.83,0
20201007T,40.98,40.98,40.98,40.98,0
20201008T,27.95,27.95,27.95,27.95,0
20201009T,32.11,32.11,32.11,32.11,0
20201012T,23.83,23.83,23.83,23.83,0
20201013T,33.4,33.4,33.4,33.4,0
20201014T,69.19,69.19,69.19,69.19,0
20201015T,69.1,69.1,69.1,69.1,0
20201016T,45.48,45.48,45.48,45.48,0
20201019T,31.76,31.76,31.76,31.76,0
20201020T,20.67,20.67,20.67,20.67,0
20201021T,35.44,35.44,35.44,35.44,0
20201022T,19.02,19.02,19.02,19.02,0
20201023T,60.92,60.92,60.92,60.92,0
20201026T,57.74,57.74,57.74,57.74,0
20201027T,30.31,30.31,30.31,30.31,0
20201028T,27.2,27.2,27.2,27.2,0
20201029T,23.93,23.93,23.93,23.93,0
20201030T,12.34,12.34,12.34,12.34,0
20201102T,42.08,42.08,42.08,42.08,0
20201103T,43.92,43.92,43.92,43.92,0
20201104T,36.96,36.96,36.96,36.96,0
20201105T,52.09,52.09,52.09,52.09,0
20201106T,43.66,43.66,43.66,43.66,0
20201109T,44.77,44.77,44.77,44.77,0
20201110T,46.15,46.15,46.15,46.15,0
20201111T,12.65,12.65,12.65,12.65,0
20201112T,36.28,36.28,36.28,36.28,0
20201113T,32.19,32.19,32.19,32.19,0
20201116T,65.98,65.98,65.98,65.98,0
20201117T,47.01,47.01,47.01,47.01,0
20201118T,32.76,32.76,32.76,32.76,0
20201119T,17.54,17.54,17.54,17.54,0
20201120T,37.76,37.76,37.76,37.76,0
20201123T,29.81,29.81,29.81,29.81,0
20201124T,39.72,39.72,39.72,39.72,0
20201125T,56.64,56.64,56.64,56.64,0
20201126T,48.68,48.68,48.68,48.68,0
20201127T,69.77,69.77,69.77,69.77,0
20201130T,69.77,69.77,69.77,69.77,0
20201201T,68.52,68.52,68.52,68.52,0
20201202T,41.79,41.79,41.79,41.79,0
20201203T,57.87,57.87,57.87,57.87,0
20201204T,59.1,59.1,59.1,59.1,0
20201207T,36.46,36.46,36.46,36.46,0
20201208T,44.29,44.29,44.29,44.29,0
20201209T,52.41,52.41,52.41,52.41,0
20201210T,51.23,51.23,51.23,51.23,0
20201211T,32.27,32.27,32.27,32.27,0
20201214T,48.5,48.5,48.5,48.5,0
20201215T,46.13,46.13,46.13,46.13,0
20201216T,60.7,60.7,60.7,60.7,0
20201217T,54.33,54.33,54.33,54.33,0
20201218T,57.61,57.61,57.61,57.61,0
20201221T,80.97,80.97,80.97,80.97,0
20201222T,35.16,35.16,35.16,35.16,0
20201223T,39.61,39.61,39.61,39.61,0
20201224T,42.17,42.17,42.17,42.17,0
20201225T,42.17,42.17,42.17,42.17,0
20201228T,77.65,77.65,77.65,77.65,0
20201229T,62.98,62.98,62.98,62.98,0
20201230T,94.8,94.8,94.8,94.8,0
20201231T,50.0,50.0,50.0,50.0,0
20210101T,55.39,55.39,55.39,55.39,0
20210104T,83.9,83.9,83.9,83.9,0
20210105T,81.34,81.34,81.34,81.34,0
20210106T,48.48,48.48,48.48,48.48,0
20210107T,56.41,56.41,56.41,56.41,0
20210108T,59.72,59.72,59.72,59.72,0
20210111T,88.14,88.14,88.14,88.14,0
20210112T,76.77,76.77,76.77,76.77,0
20210113T,48.23,48.23,48.23,48.23,0
20210114T,69.85,69.85,69.85,69.85,0
20210115T,43.31,43.31,43.31,43.31,0
20210118T,75.93,75.93,75.93,75.93,0
20210119T,37.13,37.13,37.13,37.13,0
20210120T,63.71,63.71,63.71,63.71,0
20210121T,67.83,67.83,67.83,67.83,0
20210122T,88.23,88.23,88.23,88.23,0
20210125T,88.05,88.05,88.05,88.05,0
20210127T,49.77,49.77,49.77,49.77,0
20210128T,45.1,45.1,45.1,45.1,0
20210129T,54.43,54.43,54.43,54.43,0
20210201T,59.8,59.8,59.8,59.8,0
20210202T,53.06,53.06,53.06,53.06,0
20210203T,45.26,45.26,45.26,45.26,0
20210204T,47.07,47.07,47.07,47.07,0
20210205T,65.55,65.55,65.55,65.55,0
20210208T,91.6,91.6,91.6,91.6,0
20210209T,68.64,68.64,68.64,68.64,0
20210210T,17.14,17.14,17.14,17.14,0
20210211T,16.18,16.18,16.18,16.18,0
20210212T,38.09,38.09,38.09,38.09,0
20210215T,19.02,19.02,19.02,19.02,0
20210216T,43.05,43.05,43.05,43.05,0
20210217T,15.5,15.5,15.5,15.5,0
20210218T,25.85,25.85,25.85,25.85,0
20210219T,66.24,66.24,66.24,66.24,0
20210222T,61.91,61.91,61.91,61.91,0
20210223T,55.08,55.08,55.08,55.08,0
20210224T,57.65,57.65,57.65,57.65,0
20210225T,69.21,69.21,69.21,69.21,0
20210226T,34.41,34.41,34.41,34.41,0
20210301T,64.37,64.37,64.37,64.37,0
20210302T,38.67,38.67,38.67,38.67,0
20210303T,65.22,65.22,65.22,65.22,0
