date,open,high,low,close,volume
20260106T,19.8,19.8,19.8,19.8,0
20260107T,14.7,14.7,14.7,14.7,0
20260108T,24.48,24.48,24.48,24.48,0
20260109T,36.58,36.58,36.58,36.58,0
20260112T,18.47,18.47,18.47,18.47,0
20260113T,12.57,12.57,12.57,12.57,0
20260114T,29.5,29.5,29.5,29.5,0
20260115T,29.5,29.5,29.5,29.5,0
20260116T,24.54,24.54,24.54,24.54,0
20260119T,22.51,22.51,22.51,22.51,0
20260120T,23.43,23.43,23.43,23.43,0
20260121T,24.43,24.43,24.43,24.43,0
20260122T,21.54,21.54,21.54,21.54,0
20260123T,19.83,19.83,19.83,19.83,0
20260127T,32.4,32.4,32.4,32.4,0
20260128T,20.89,20.89,20.89,20.89,0
20260129T,22.87,22.87,22.87,22.87,0
20260130T,23.22,23.22,23.22,23.22,0
20260202T,21.73,21.73,21.73,21.73,0
20260203T,22.93,22.93,22.93,22.93,0
20260204T,33.31,33.31,33.31,33.31,0
20260205T,33.47,33.47,33.47,33.47,0
20260206T,40.79,40.79,40.79,40.79,0
20260209T,24.3,24.3,24.3,24.3,0
20260210T,35.12,35.12,35.12,35.12,0
