date,open,high,low,close,volume
20191001T,41.78,41.78,41.78,41.78,0
20191003T,39.69,39.69,39.69,39.69,0
20191004T,33.32,33.32,33.32,33.32,0
20191007T,50.51,50.51,50.51,50.51,0
20191008T,50.51,50.51,50.51,50.51,0
20191009T,43.15,43.15,43.15,43.15,0
20191010T,47.89,47.89,47.89,47.89,0
20191011T,42.85,42.85,42.85,42.85,0
20191014T,32.72,32.72,32.72,32.72,0
20191015T,49.95,49.95,49.95,49.95,0
20191016T,42.2,42.2,42.2,42.2,0
20191017T,51.98,51.98,51.98,51.98,0
20191018T,52.28,52.28,52.28,52.28,0
20191021T,52.28,52.28,52.28,52.28,0
20191022T,49.4,49.4,49.4,49.4,0
20191023T,44.68,44.68,44.68,44.68,0
20191024T,51.56,51.56,51.56,51.56,0
20191025T,56.16,56.16,56.16,56.16,0
20191028T,71.12,71.12,71.12,71.12,0
20191029T,51.3,51.3,51.3,51.3,0
20191030T,46.4,46.4,46.4,46.4,0
20191031T,55.93,55.93,55.93,55.93,0
20191101T,55.12,55.12,55.12,55.12,0
20191104T,25.31,25.31,25.31,25.31,0
20191105T,52.65,52.65,52.65,52.65,0
20191106T,42.92,42.92,42.92,42.92,0
20191107T,45.54,45.54,45.54,45.54,0
20191108T,51.76,51.76,51.76,51.76,0
20191111T,61.47,61.47,61.47,61.47,0
20191112T,61.47,61.47,61.47,61.47,0
20191113T,77.43,77.43,77.43,77.43,0
20191114T,70.19,70.19,70.19,70.19,0
20191115T,49.29,49.29,49.29,49.29,0
20191118T,58.85,58.85,58.85,58.85,0
20191119T,56.22,56.22,56.22,56.22,0
20191120T,53.85,53.85,53.85,53.85,0
20191121T,52.6,52.6,52.6,52.6,0
20191122T,48.36,48.36,48.36,48.36,0
20191125T,59.77,59.77,59.77,59.77,0
20191126T,67.37,67.37,67.37,67.37,0
20191127T,69.73,69.73,69.73,69.73,0
20191128T,43.95,43.95,43.95,43.95,0
20191129T,53.04,53.04,53.04,53.04,0
20191202T,68.82,68.82,68.82,68.82,0
20191203T,48.93,48.93,48.93,48.93,0
20191204T,30.9,30.9,30.9,30.9,0
20191205T,43.33,43.33,43.33,43.33,0
20191206T,33.35,33.35,33.35,33.35,0
20191209T,45.39,45.39,45.39,45.39,0
20191210T,56.4,56.4,56.4,56.4,0
20191211T,55.29,55.29,55.29,55.29,0
20191212T,46.11,46.11,46.11,46.11,0
20191213T,48.28,48.28,48.28,48.28,0
20191216T,62.74,62.74,62.74,62.74,0
20191217T,63.71,63.71,63.71,63.71,0
20191218T,67.26,67.26,67.26,67.26,0
20191219T,52.68,52.68,52.68,52.68,0
20191220T,59.71,59.71,59.71,59.71,0
20191223T,68.69,68.69,68.69,68.69,0
20191224T,71.25,71.25,71.25,71.25,0
20191225T,71.25,71.25,71.25,71.25,0
20191226T,66.77,66.77,66.77,66.77,0
20191227T,61.27,61.27,61.27,61.27,0
20191230T,49.08,49.08,49.08,49.08,0
20191231T,59.23,59.23,59.23,59.23,0
20200101T,67.76,67.76,67.76,67.76,0
20200102T,53.37,53.37,53.37,53.37,0
20200103T,62.86,62.86,62.86,62.86,0
20200106T,54.41,54.41,54.41,54.41,0
20200107T,52.91,52.91,52.91,52.91,0
20200108T,66.99,66.99,66.99,66.99,0
20200109T,48.43,48.43,48.43,48.43,0
20200110T,33.59,33.59,33.59,33.59,0
20200113T,37.06,37.06,37.06,37.06,0
20200114T,37.38,37.38,37.38,37.38,0
20200115T,51.91,51.91,51.91,51.91,0
20200116T,59.73,59.73,59.73,59.73,0
20200117T,69.37,69.37,69.37,69.37,0
20200120T,61.1,61.1,61.1,61.1,0
20200121T,57.51,57.51,57.51,57.51,0
20200122T,52.37,52.37,52.37,52.37,0
20200123T,82.51,82.51,82.51,82.51,0
20200124T,33.25,33.25,33.25,33.25,0
20200127T,37.39,37.39,37.39,37.39,0
