date,open,high,low,close,volume
20191210T,54.29,54.29,54.29,54.29,0
20191211T,66.72,66.72,66.72,66.72,0
20191212T,79.63,79.63,79.63,79.63,0
20191213T,68.62,68.62,68.62,68.62,0
20191216T,90.48,90.48,90.48,90.48,0
20191217T,76.72,76.72,76.72,76.72,0
20191218T,70.4,70.4,70.4,70.4,0
20191219T,59.85,59.85,59.85,59.85,0
20191220T,81.21,81.21,81.21,81.21,0
20191223T,98.36,98.36,98.36,98.36,0
20191224T,88.34,88.34,88.34,88.34,0
20191225T,88.34,88.34,88.34,88.34,0
20191226T,57.97,57.97,57.97,57.97,0
20191227T,89.06,89.06,89.06,89.06,0
20191230T,72.59,72.59,72.59,72.59,0
20191231T,82.28,82.28,82.28,82.28,0
20200101T,77.18,77.18,77.18,77.18,0
20200102T,77.18,77.18,77.18,77.18,0
20200103T,81.92,81.92,81.92,81.92,0
20200106T,67.28,67.28,67.28,67.28,0
20200107T,70.04,70.04,70.04,70.04,0
20200108T,75.89,75.89,75.89,75.89,0
20200109T,85.16,85.16,85.16,85.16,0
20200110T,69.82,69.82,69.82,69.82,0
20200113T,72.76,72.76,72.76,72.76,0
20200114T,87.86,87.86,87.86,87.86,0
20200115T,68.99,68.99,68.99,68.99,0
20200116T,46.12,46.12,46.12,46.12,0
20200117T,85.77,85.77,85.77,85.77,0
20200120T,62.23,62.23,62.23,62.23,0
20200121T,79.75,79.75,79.75,79.75,0
20200122T,86.11,86.11,86.11,86.11,0
20200123T,71.53,71.53,71.53,71.53,0
20200124T,45.71,45.71,45.71,45.71,0
20200127T,60.11,60.11,60.11,60.11,0
20200128T,79.54,79.54,79.54,79.54,0
20200129T,70.59,70.59,70.59,70.59,0
20200130T,78.0,78.0,78.0,78.0,0
20200131T,70.0,70.0,70.0,70.0,0
20200203T,59.74,59.74,59.74,59.74,0
20200204T,96.4,96.4,96.4,96.4,0
20200205T,87.54,87.54,87.54,87.54,0
20200206T,59.36,59.36,59.36,59.36,0
20200207T,99.28,99.28,99.28,99.28,0
20200210T,89.42,89.42,89.42,89.42,0
20200211T,91.03,91.03,91.03,91.03,0
20200212T,70.69,70.69,70.69,70.69,0
20200213T,48.06,48.06,48.06,48.06,0
20200214T,90.94,90.94,90.94,90.94,0
20200217T,75.75,75.75,75.75,75.75,0
20200218T,92.35,92.35,92.35,92.35,0
20200219T,92.78,92.78,92.78,92.78,0
20200220T,73.61,73.61,73.61,73.61,0
20200221T,73.61,73.61,73.61,73.61,0
20200224T,67.55,67.55,67.55,67.55,0
20200225T,73.24,73.24,73.24,73.24,0
20200226T,63.28,63.28,63.28,63.28,0
20200227T,62.53,62.53,62.53,62.53,0
20200228T,65.1,65.1,65.1,65.1,0
20200302T,84.62,84.62,84.62,84.62,0
20200303T,78.99,78.99,78.99,78.99,0
20200304T,72.1,72.1,72.1,72.1,0
20200305T,60.44,60.44,60.44,60.44,0
20200306T,82.22,82.22,82.22,82.22,0
20200309T,68.49,68.49,68.49,68.49,0
20200310T,68.49,68.49,68.49,68.49,0
20200311T,71.19,71.19,71.19,71.19,0
20200312T,66.36,66.36,66.36,66.36,0
20200313T,78.0,78.0,78.0,78.0,0
20200316T,85.96,85.96,85.96,85.96,0
20200317T,48.31,48.31,48.31,48.31,0
20200318T,77.09,77.09,77.09,77.09,0
20200319T,69.95,69.95,69.95,69.95,0
20200320T,81.91,81.91,81.91,81.91,0
20200323T,67.66,67.66,67.66,67.66,0
20200324T,78.33,78.33,78.33,78.33,0
20200325T,89.82,89.82,89.82,89.82,0
20200326T,86.44,86.44,86.44,86.44,0
20200327T,76.63,76.63,76.63,76.63,0
20200330T,73.99,73.99,73.99,73.99,0
20200331T,75.9,75.9,75.9,75.9,0
20200401T,58.63,58.63,58.63,58.63,0
20200402T,58.63,58.63,58.63,58.63,0
20200403T,70.9,70.9,70.9,70.9,0
20200406T,70.9,70.9,70.9,70.9,0
20200407T,73.58,73.58,73.58,73.58,0
20200408T,93.45,93.45,93.45,93.45,0
20200409T,88.41,88.41,88.41,88.41,0
20200410T,88.41,88.41,88.41,88.41,0
20200413T,78.91,78.91,78.91,78.91,0
20200415T,99.49,99.49,99.49,99.49,0
20200416T,100.0,100.0,100.0,100.0,0
20200417T,100.0,100.0,100.0,100.0,0
20200420T,100.0,100.0,100.0,100.0,0
20200421T,100.0,100.0,100.0,100.0,0
20200422T,76.56,76.56,76.56,76.56,0
20200527T,100.0,100.0,100.0,100.0,0
20200528T,70.06,70.06,70.06,70.06,0
20200529T,73.38,73.38,73.38,73.38,0
20200601T,96.18,96.18,96.18,96.18,0
20200602T,94.83,94.83,94.83,94.83,0
20200603T,75.67,75.67,75.67,75.67,0
20200604T,83.8,83.8,83.8,83.8,0
20200605T,99.19,99.19,99.19,99.19,0
20200608T,100.0,100.0,100.0,100.0,0
20200609T,92.47,92.47,92.47,92.47,0
20200610T,100.0,100.0,100.0,100.0,0
20200611T,98.11,98.11,98.11,98.11,0
20200612T,56.82,56.82,56.82,56.82,0
20200615T,100.0,100.0,100.0,100.0,0
20200616T,100.0,100.0,100.0,100.0,0
20200617T,100.0,100.0,100.0,100.0,0
20200818T,71.27,71.27,71.27,71.27,0
20200819T,68.11,68.11,68.11,68.11,0
20200820T,70.08,70.08,70.08,70.08,0
20200821T,71.37,71.37,71.37,71.37,0
20200824T,78.77,78.77,78.77,78.77,0
20200825T,67.7,67.7,67.7,67.7,0
20200826T,64.07,64.07,64.07,64.07,0
20200827T,42.97,42.97,42.97,42.97,0
20200828T,74.85,74.85,74.85,74.85,0
20200831T,70.81,70.81,70.81,70.81,0
20200901T,61.28,61.28,61.28,61.28,0
20200902T,72.04,72.04,72.04,72.04,0
20200903T,68.76,68.76,68.76,68.76,0
20200904T,63.61,63.61,63.61,63.61,0
20200907T,67.55,67.55,67.55,67.55,0
20200908T,86.0,86.0,86.0,86.0,0
20200909T,64.89,64.89,64.89,64.89,0
20200910T,67.02,67.02,67.02,67.02,0
20200911T,55.53,55.53,55.53,55.53,0
20200914T,55.61,55.61,55.61,55.61,0
20200915T,48.24,48.24,48.24,48.24,0
20200916T,54.71,54.71,54.71,54.71,0
20200917T,72.4,72.4,72.4,72.4,0
20200918T,63.35,63.35,63.35,63.35,0
20200921T,55.73,55.73,55.73,55.73,0
20200922T,72.43,72.43,72.43,72.43,0
20200923T,60.54,60.54,60.54,60.54,0
20200924T,65.82,65.82,65.82,65.82,0
20200925T,60.51,60.51,60.51,60.51,0
20200928T,66.11,66.11,66.11,66.11,0
20200929T,53.11,53.11,53.11,53.11,0
20200930T,74.81,74.81,74.81,74.81,0
20201001T,65.42,65.42,65.42,65.42,0
20201005T,68.53,68.53,68.53,68.53,0
20201006T,56.86,56.86,56.86,56.86,0
20201007T,57.73,57.73,57.73,57.73,0
20201008T,63.03,63.03,63.03,63.03,0
20201009T,92.18,92.18,92.18,92.18,0
20201012T,61.6,61.6,61.6,61.6,0
20201013T,57.27,57.27,57.27,57.27,0
