date,open,high,low,close,volume
20191001T,62.81,62.81,62.81,62.81,0
20191003T,54.13,54.13,54.13,54.13,0
20191004T,65.13,65.13,65.13,65.13,0
20191007T,75.92,75.92,75.92,75.92,0
20191008T,75.92,75.92,75.92,75.92,0
20191009T,59.63,59.63,59.63,59.63,0
20191010T,74.6,74.6,74.6,74.6,0
20191011T,57.4,57.4,57.4,57.4,0
20191014T,68.45,68.45,68.45,68.45,0
20191015T,71.08,71.08,71.08,71.08,0
20191016T,72.69,72.69,72.69,72.69,0
20191017T,59.17,59.17,59.17,59.17,0
20191018T,58.88,58.88,58.88,58.88,0
20191021T,58.88,58.88,58.88,58.88,0
20191022T,59.4,59.4,59.4,59.4,0
20191023T,59.2,59.2,59.2,59.2,0
20191024T,65.72,65.72,65.72,65.72,0
20191025T,82.44,82.44,82.44,82.44,0
20191028T,77.58,77.58,77.58,77.58,0
20191029T,63.2,63.2,63.2,63.2,0
20191030T,61.84,61.84,61.84,61.84,0
20191031T,59.92,59.92,59.92,59.92,0
20191101T,51.87,51.87,51.87,51.87,0
20191104T,70.59,70.59,70.59,70.59,0
20191105T,66.11,66.11,66.11,66.11,0
20191106T,55.62,55.62,55.62,55.62,0
20191107T,86.16,86.16,86.16,86.16,0
20191108T,53.52,53.52,53.52,53.52,0
20191111T,56.52,56.52,56.52,56.52,0
20191112T,56.52,56.52,56.52,56.52,0
20191113T,68.65,68.65,68.65,68.65,0
20191114T,56.93,56.93,56.93,56.93,0
20191115T,75.86,75.86,75.86,75.86,0
20191118T,66.28,66.28,66.28,66.28,0
20191119T,63.95,63.95,63.95,63.95,0
20191120T,70.2,70.2,70.2,70.2,0
20191121T,71.26,71.26,71.26,71.26,0
20191122T,66.11,66.11,66.11,66.11,0
20191125T,64.32,64.32,64.32,64.32,0
20191126T,69.86,69.86,69.86,69.86,0
20191127T,61.13,61.13,61.13,61.13,0
20191128T,67.45,67.45,67.45,67.45,0
20191129T,69.85,69.85,69.85,69.85,0
20191202T,71.96,71.96,71.96,71.96,0
