date,open,high,low,close,volume
20210324T,28.48,28.48,28.48,28.48,0
20210325T,29.84,29.84,29.84,29.84,0
20210326T,36.55,36.55,36.55,36.55,0
20210329T,36.55,36.55,36.55,36.55,0
20210330T,46.52,46.52,46.52,46.52,0
20210331T,42.94,42.94,42.94,42.94,0
20210401T,42.89,42.89,42.89,42.89,0
20210402T,42.89,42.89,42.89,42.89,0
20210405T,37.88,37.88,37.88,37.88,0
20210406T,45.66,45.66,45.66,45.66,0
20210407T,44.29,44.29,44.29,44.29,0
20210408T,47.65,47.65,47.65,47.65,0
20210409T,52.39,52.39,52.39,52.39,0
20210412T,31.54,31.54,31.54,31.54,0
20210413T,42.59,42.59,42.59,42.59,0
20210414T,42.59,42.59,42.59,42.59,0
20210415T,31.47,31.47,31.47,31.47,0
20210416T,39.87,39.87,39.87,39.87,0
20210419T,43.42,43.42,43.42,43.42,0
20210420T,46.47,46.47,46.47,46.47,0
20210421T,46.47,46.47,46.47,46.47,0
20210422T,45.45,45.45,45.45,45.45,0
20210423T,41.65,41.65,41.65,41.65,0
20210426T,58.22,58.22,58.22,58.22,0
20210427T,42.02,42.02,42.02,42.02,0
20210428T,40.16,40.16,40.16,40.16,0
20210429T,40.78,40.78,40.78,40.78,0
20210430T,29.38,29.38,29.38,29.38,0
20210503T,33.6,33.6,33.6,33.6,0
20210504T,38.64,38.64,38.64,38.64,0
20210505T,34.78,34.78,34.78,34.78,0
20210506T,31.0,31.0,31.0,31.0,0
20210507T,38.91,38.91,38.91,38.91,0
20210510T,36.75,36.75,36.75,36.75,0
20210511T,46.23,46.23,46.23,46.23,0
20210512T,24.59,24.59,24.59,24.59,0
20210513T,24.59,24.59,24.59,24.59,0
20210514T,38.7,38.7,38.7,38.7,0
20210517T,32.27,32.27,32.27,32.27,0
20210518T,47.29,47.29,47.29,47.29,0
20210519T,47.78,47.78,47.78,47.78,0
20210520T,25.05,25.05,25.05,25.05,0
20210521T,29.42,29.42,29.42,29.42,0
20210524T,30.19,30.19,30.19,30.19,0
20210525T,24.53,24.53,24.53,24.53,0
20210526T,45.26,45.26,45.26,45.26,0
20210527T,35.03,35.03,35.03,35.03,0
20210528T,46.7,46.7,46.7,46.7,0
20210531T,37.31,37.31,37.31,37.31,0
20210601T,49.86,49.86,49.86,49.86,0
20210602T,42.23,42.23,42.23,42.23,0
20210603T,50.94,50.94,50.94,50.94,0
20210604T,37.45,37.45,37.45,37.45,0
20210607T,47.55,47.55,47.55,47.55,0
20210608T,48.0,48.0,48.0,48.0,0
20210609T,49.37,49.37,49.37,49.37,0
20210610T,37.43,37.43,37.43,37.43,0
20210611T,52.38,52.38,52.38,52.38,0
20210614T,33.2,33.2,33.2,33.2,0
20210615T,24.58,24.58,24.58,24.58,0
20210616T,46.16,46.16,46.16,46.16,0
20210617T,49.58,49.58,49.58,49.58,0
20210618T,28.58,28.58,28.58,28.58,0
20210621T,26.8,26.8,26.8,26.8,0
20210622T,33.81,33.81,33.81,33.81,0
