date,open,high,low,close,volume
20191001T,74.3,74.3,74.3,74.3,0
20191003T,57.77,57.77,57.77,57.77,0
20191004T,86.08,86.08,86.08,86.08,0
20191007T,95.22,95.22,95.22,95.22,0
20191008T,95.22,95.22,95.22,95.22,0
20191009T,61.62,61.62,61.62,61.62,0
20191010T,78.59,78.59,78.59,78.59,0
20191011T,80.91,80.91,80.91,80.91,0
20191014T,84.56,84.56,84.56,84.56,0
20191015T,67.45,67.45,67.45,67.45,0
20191016T,70.39,70.39,70.39,70.39,0
20191017T,50.26,50.26,50.26,50.26,0
20191018T,76.71,76.71,76.71,76.71,0
20191021T,76.71,76.71,76.71,76.71,0
20191022T,84.33,84.33,84.33,84.33,0
20191023T,85.62,85.62,85.62,85.62,0
20191024T,60.78,60.78,60.78,60.78,0
20191025T,74.38,74.38,74.38,74.38,0
20191028T,86.26,86.26,86.26,86.26,0
20191029T,72.41,72.41,72.41,72.41,0
20191030T,76.3,76.3,76.3,76.3,0
20191031T,55.22,55.22,55.22,55.22,0
20191101T,66.58,66.58,66.58,66.58,0
20191104T,71.76,71.76,71.76,71.76,0
20191105T,78.83,78.83,78.83,78.83,0
20191106T,81.65,81.65,81.65,81.65,0
20191107T,64.92,64.92,64.92,64.92,0
20191108T,83.99,83.99,83.99,83.99,0
20191111T,94.83,94.83,94.83,94.83,0
20191112T,94.83,94.83,94.83,94.83,0
20191113T,61.08,61.08,61.08,61.08,0
20191114T,82.48,82.48,82.48,82.48,0
20191115T,97.63,97.63,97.63,97.63,0
20191118T,81.2,81.2,81.2,81.2,0
20191119T,59.24,59.24,59.24,59.24,0
20191120T,87.18,87.18,87.18,87.18,0
20191121T,70.69,70.69,70.69,70.69,0
20191122T,86.46,86.46,86.46,86.46,0
20191125T,64.06,64.06,64.06,64.06,0
20191126T,70.02,70.02,70.02,70.02,0
20191127T,71.12,71.12,71.12,71.12,0
20191128T,90.07,90.07,90.07,90.07,0
20191129T,99.13,99.13,99.13,99.13,0
20191202T,95.99,95.99,95.99,95.99,0
20191203T,90.79,90.79,90.79,90.79,0
20191204T,77.36,77.36,77.36,77.36,0
20191205T,88.51,88.51,88.51,88.51,0
20191206T,93.84,93.84,93.84,93.84,0
20191209T,76.19,76.19,76.19,76.19,0
20191210T,47.27,47.27,47.27,47.27,0
20191211T,53.97,53.97,53.97,53.97,0
20191212T,62.2,62.2,62.2,62.2,0
20191213T,66.42,66.42,66.42,66.42,0
20191216T,84.64,84.64,84.64,84.64,0
20191217T,74.62,74.62,74.62,74.62,0
20191218T,35.38,35.38,35.38,35.38,0
20191219T,73.15,73.15,73.15,73.15,0
20191220T,80.95,80.95,80.95,80.95,0
20191223T,86.83,86.83,86.83,86.83,0
20191224T,77.48,77.48,77.48,77.48,0
20191225T,77.48,77.48,77.48,77.48,0
20191226T,97.72,97.72,97.72,97.72,0
20191227T,69.59,69.59,69.59,69.59,0
20191230T,88.82,88.82,88.82,88.82,0
20191231T,95.86,95.86,95.86,95.86,0
20200101T,53.56,53.56,53.56,53.56,0
20200102T,57.81,57.81,57.81,57.81,0
20200103T,52.9,52.9,52.9,52.9,0
20200106T,78.62,78.62,78.62,78.62,0
20200107T,43.85,43.85,43.85,43.85,0
20200108T,49.27,49.27,49.27,49.27,0
20200109T,79.85,79.85,79.85,79.85,0
20200110T,92.43,92.43,92.43,92.43,0
20200113T,87.31,87.31,87.31,87.31,0
20200114T,68.2,68.2,68.2,68.2,0
20200115T,50.57,50.57,50.57,50.57,0
20200116T,42.49,42.49,42.49,42.49,0
20200117T,77.68,77.68,77.68,77.68,0
20200120T,72.64,72.64,72.64,72.64,0
20200121T,68.63,68.63,68.63,68.63,0
20200122T,59.74,59.74,59.74,59.74,0
20200123T,61.98,61.98,61.98,61.98,0
20200124T,90.49,90.49,90.49,90.49,0
20200127T,86.4,86.4,86.4,86.4,0
20200128T,85.53,85.53,85.53,85.53,0
20200129T,86.97,86.97,86.97,86.97,0
20200130T,95.06,95.06,95.06,95.06,0
20200131T,68.11,68.11,68.11,68.11,0
20200203T,77.66,77.66,77.66,77.66,0
20200204T,60.2,60.2,60.2,60.2,0
20200205T,55.27,55.27,55.27,55.27,0
20200206T,88.11,88.11,88.11,88.11,0
20200207T,82.72,82.72,82.72,82.72,0
20200210T,71.27,71.27,71.27,71.27,0
20200211T,89.36,89.36,89.36,89.36,0
20200212T,93.22,93.22,93.22,93.22,0
20200213T,72.87,72.87,72.87,72.87,0
20200214T,65.25,65.25,65.25,65.25,0
20200217T,76.09,76.09,76.09,76.09,0
20200218T,88.09,88.09,88.09,88.09,0
20200219T,85.32,85.32,85.32,85.32,0
20200220T,73.72,73.72,73.72,73.72,0
20200221T,73.72,73.72,73.72,73.72,0
20200224T,97.4,97.4,97.4,97.4,0
20200225T,75.26,75.26,75.26,75.26,0
20200226T,71.35,71.35,71.35,71.35,0
20200227T,94.64,94.64,94.64,94.64,0
20200228T,80.67,80.67,80.67,80.67,0
20200302T,72.2,72.2,72.2,72.2,0
20200303T,89.16,89.16,89.16,89.16,0
20200304T,90.68,90.68,90.68,90.68,0
20200305T,70.29,70.29,70.29,70.29,0
20200306T,80.64,80.64,80.64,80.64,0
20200309T,90.24,90.24,90.24,90.24,0
20200310T,90.24,90.24,90.24,90.24,0
20200311T,75.39,75.39,75.39,75.39,0
20200312T,66.22,66.22,66.22,66.22,0
20200313T,48.5,48.5,48.5,48.5,0
20200316T,80.83,80.83,80.83,80.83,0
20200317T,90.43,90.43,90.43,90.43,0
20200318T,91.33,91.33,91.33,91.33,0
20200319T,87.73,87.73,87.73,87.73,0
20200320T,63.53,63.53,63.53,63.53,0
20200323T,95.77,95.77,95.77,95.77,0
20200324T,89.03,89.03,89.03,89.03,0
20200325T,73.63,73.63,73.63,73.63,0
20200326T,93.45,93.45,93.45,93.45,0
20200327T,77.59,77.59,77.59,77.59,0
20200330T,90.11,90.11,90.11,90.11,0
20200331T,74.57,74.57,74.57,74.57,0
20200401T,51.63,51.63,51.63,51.63,0
20200402T,51.63,51.63,51.63,51.63,0
20200403T,80.63,80.63,80.63,80.63,0
20200406T,80.63,80.63,80.63,80.63,0
20200407T,98.17,98.17,98.17,98.17,0
20200408T,98.27,98.27,98.27,98.27,0
20200409T,99.44,99.44,99.44,99.44,0
20200410T,99.44,99.44,99.44,99.44,0
20200413T,75.84,75.84,75.84,75.84,0
20200415T,81.78,81.78,81.78,81.78,0
20200416T,88.91,88.91,88.91,88.91,0
20200417T,67.76,67.76,67.76,67.76,0
20200420T,96.1,96.1,96.1,96.1,0
20200421T,95.51,95.51,95.51,95.51,0
20200422T,75.15,75.15,75.15,75.15,0
20200527T,92.66,92.66,92.66,92.66,0
20200528T,24.7,24.7,24.7,24.7,0
20200529T,80.44,80.44,80.44,80.44,0
20200601T,92.85,92.85,92.85,92.85,0
20200602T,97.35,97.35,97.35,97.35,0
20200603T,94.27,94.27,94.27,94.27,0
20200604T,97.8,97.8,97.8,97.8,0
20200605T,100.0,100.0,100.0,100.0,0
20200608T,83.26,83.26,83.26,83.26,0
20200609T,71.94,71.94,71.94,71.94,0
20200610T,83.73,83.73,83.73,83.73,0
20200611T,72.73,72.73,72.73,72.73,0
20200612T,80.24,80.24,80.24,80.24,0
20200615T,82.43,82.43,82.43,82.43,0
20200616T,84.06,84.06,84.06,84.06,0
20200617T,95.77,95.77,95.77,95.77,0
20200618T,100.0,100.0,100.0,100.0,0
20200619T,97.73,97.73,97.73,97.73,0
20200622T,98.47,98.47,98.47,98.47,0
20200623T,74.73,74.73,74.73,74.73,0
20200624T,89.5,89.5,89.5,89.5,0
20200625T,84.58,84.58,84.58,84.58,0
20200626T,87.08,87.08,87.08,87.08,0
20200629T,68.07,68.07,68.07,68.07,0
20200630T,61.27,61.27,61.27,61.27,0
20200701T,68.03,68.03,68.03,68.03,0
20200818T,99.61,99.61,99.61,99.61,0
20200819T,78.51,78.51,78.51,78.51,0
20200820T,61.43,61.43,61.43,61.43,0
20200821T,79.68,79.68,79.68,79.68,0
20200824T,100.0,100.0,100.0,100.0,0
20200825T,71.41,71.41,71.41,71.41,0
20200826T,70.37,70.37,70.37,70.37,0
20200827T,80.05,80.05,80.05,80.05,0
20200828T,68.4,68.4,68.4,68.4,0
20200831T,80.82,80.82,80.82,80.82,0
20200901T,81.13,81.13,81.13,81.13,0
20200902T,84.29,84.29,84.29,84.29,0
20200903T,91.47,91.47,91.47,91.47,0
20200904T,92.52,92.52,92.52,92.52,0
20200907T,89.26,89.26,89.26,89.26,0
20200908T,86.86,86.86,86.86,86.86,0
20200909T,82.7,82.7,82.7,82.7,0
20200910T,85.76,85.76,85.76,85.76,0
20200911T,99.5,99.5,99.5,99.5,0
20200914T,100.0,100.0,100.0,100.0,0
20200915T,86.64,86.64,86.64,86.64,0
20200916T,78.96,78.96,78.96,78.96,0
20200917T,75.52,75.52,75.52,75.52,0
20200918T,73.91,73.91,73.91,73.91,0
20200921T,73.16,73.16,73.16,73.16,0
20200922T,98.48,98.48,98.48,98.48,0
20200923T,86.43,86.43,86.43,86.43,0
20201110T,53.25,53.25,53.25,53.25,0
20201111T,64.9,64.9,64.9,64.9,0
20201112T,85.75,85.75,85.75,85.75,0
20201113T,87.31,87.31,87.31,87.31,0
20201116T,82.5,82.5,82.5,82.5,0
20201117T,80.07,80.07,80.07,80.07,0
20201118T,96.94,96.94,96.94,96.94,0
20201119T,100.0,100.0,100.0,100.0,0
20201120T,79.21,79.21,79.21,79.21,0
20201123T,93.25,93.25,93.25,93.25,0
20201124T,76.14,76.14,76.14,76.14,0
20201125T,90.77,90.77,90.77,90.77,0
20201126T,94.93,94.93,94.93,94.93,0
20201127T,88.74,88.74,88.74,88.74,0
20201130T,88.74,88.74,88.74,88.74,0
20201201T,97.92,97.92,97.92,97.92,0
20201202T,76.55,76.55,76.55,76.55,0
20201203T,88.96,88.96,88.96,88.96,0
20210202T,87.89,87.89,87.89,87.89,0
20210203T,82.69,82.69,82.69,82.69,0
20210204T,79.74,79.74,79.74,79.74,0
20210205T,67.25,67.25,67.25,67.25,0
20210208T,79.73,79.73,79.73,79.73,0
20210209T,81.78,81.78,81.78,81.78,0
20210210T,90.54,90.54,90.54,90.54,0
20210211T,92.58,92.58,92.58,92.58,0
20210212T,97.78,97.78,97.78,97.78,0
20210215T,95.18,95.18,95.18,95.18,0
20210216T,75.66,75.66,75.66,75.66,0
20210217T,84.24,84.24,84.24,84.24,0
20210218T,83.1,83.1,83.1,83.1,0
20210219T,71.62,71.62,71.62,71.62,0
20210222T,54.02,54.02,54.02,54.02,0
20210223T,75.79,75.79,75.79,75.79,0
20210224T,86.9,86.9,86.9,86.9,0
20210225T,68.56,68.56,68.56,68.56,0
20210226T,63.96,63.96,63.96,63.96,0
20210301T,62.95,62.95,62.95,62.95,0
20210302T,66.57,66.57,66.57,66.57,0
