date,open,high,low,close,volume
20211022T,67.42,67.42,67.42,67.42,0
20211025T,64.21,64.21,64.21,64.21,0
20211026T,67.06,67.06,67.06,67.06,0
20211027T,74.65,74.65,74.65,74.65,0
20211028T,63.82,63.82,63.82,63.82,0
20211029T,62.83,62.83,62.83,62.83,0
20211101T,53.38,53.38,53.38,53.38,0
20211102T,65.18,65.18,65.18,65.18,0
20211103T,59.22,59.22,59.22,59.22,0
20211104T,59.22,59.22,59.22,59.22,0
20211105T,74.12,74.12,74.12,74.12,0
20211108T,63.03,63.03,63.03,63.03,0
20211109T,72.04,72.04,72.04,72.04,0
20211110T,64.9,64.9,64.9,64.9,0
20211111T,44.08,44.08,44.08,44.08,0
20211112T,41.86,41.86,41.86,41.86,0
20211115T,39.91,39.91,39.91,39.91,0
20211116T,50.25,50.25,50.25,50.25,0
20211117T,29.05,29.05,29.05,29.05,0
20211118T,38.29,38.29,38.29,38.29,0
20211119T,38.29,38.29,38.29,38.29,0
20211122T,40.79,40.79,40.79,40.79,0
20211123T,37.69,37.69,37.69,37.69,0
20211124T,36.69,36.69,36.69,36.69,0
20211125T,30.01,30.01,30.01,30.01,0
20211126T,33.3,33.3,33.3,33.3,0
20211129T,66.12,66.12,66.12,66.12,0
20211130T,100.0,100.0,100.0,100.0,0
20211201T,60.76,60.76,60.76,60.76,0
20211202T,77.56,77.56,77.56,77.56,0
20211203T,36.85,36.85,36.85,36.85,0
20211206T,53.13,53.13,53.13,53.13,0
20211207T,50.52,50.52,50.52,50.52,0
20211208T,39.45,39.45,39.45,39.45,0
20211209T,44.41,44.41,44.41,44.41,0
20211210T,46.08,46.08,46.08,46.08,0
20211213T,58.36,58.36,58.36,58.36,0
20211214T,48.84,48.84,48.84,48.84,0
20211215T,49.77,49.77,49.77,49.77,0
20211216T,51.42,51.42,51.42,51.42,0
20211217T,58.12,58.12,58.12,58.12,0
20211220T,55.48,55.48,55.48,55.48,0
20211221T,76.93,76.93,76.93,76.93,0
20211222T,100.0,100.0,100.0,100.0,0
20211223T,100.0,100.0,100.0,100.0,0
20211224T,40.59,40.59,40.59,40.59,0
20211227T,62.41,62.41,62.41,62.41,0
20211228T,79.64,79.64,79.64,79.64,0
20211229T,54.71,54.71,54.71,54.71,0
20211230T,47.62,47.62,47.62,47.62,0
20211231T,60.12,60.12,60.12,60.12,0
20220103T,83.81,83.81,83.81,83.81,0
20220104T,58.15,58.15,58.15,58.15,0
20220105T,57.47,57.47,57.47,57.47,0
20220106T,61.03,61.03,61.03,61.03,0
20220107T,63.93,63.93,63.93,63.93,0
20220110T,65.8,65.8,65.8,65.8,0
20220111T,51.63,51.63,51.63,51.63,0
20220112T,77.79,77.79,77.79,77.79,0
20220113T,58.59,58.59,58.59,58.59,0
20220114T,65.62,65.62,65.62,65.62,0
20220117T,56.84,56.84,56.84,56.84,0
20220118T,58.97,58.97,58.97,58.97,0
20220119T,68.65,68.65,68.65,68.65,0
20220120T,65.51,65.51,65.51,65.51,0
20220121T,70.02,70.02,70.02,70.02,0
20220124T,67.21,67.21,67.21,67.21,0
20220125T,58.06,58.06,58.06,58.06,0
20220127T,51.12,51.12,51.12,51.12,0
20220128T,61.27,61.27,61.27,61.27,0
20220131T,69.42,69.42,69.42,69.42,0
20220201T,66.22,66.22,66.22,66.22,0
20220202T,59.25,59.25,59.25,59.25,0
20220203T,65.25,65.25,65.25,65.25,0
20220204T,67.91,67.91,67.91,67.91,0
