date,open,high,low,close,volume
20231220T,81.68,81.68,81.68,81.68,0
20231221T,77.9,77.9,77.9,77.9,0
20231222T,59.43,59.43,59.43,59.43,0
20231225T,59.43,59.43,59.43,59.43,0
20231226T,84.6,84.6,84.6,84.6,0
20231227T,88.69,88.69,88.69,88.69,0
20231228T,72.47,72.47,72.47,72.47,0
20231229T,45.99,45.99,45.99,45.99,0
20240101T,68.36,68.36,68.36,68.36,0
20240102T,84.49,84.49,84.49,84.49,0
20240103T,85.93,85.93,85.93,85.93,0
20240104T,86.37,86.37,86.37,86.37,0
20240105T,54.43,54.43,54.43,54.43,0
20240108T,86.78,86.78,86.78,86.78,0
20240109T,34.18,34.18,34.18,34.18,0
20240110T,81.48,81.48,81.48,81.48,0
20240111T,54.61,54.61,54.61,54.61,0
20240112T,77.49,77.49,77.49,77.49,0
20240115T,75.07,75.07,75.07,75.07,0
20240116T,29.65,29.65,29.65,29.65,0
20240117T,13.97,13.97,13.97,13.97,0
20240118T,15.43,15.43,15.43,15.43,0
20240119T,82.54,82.54,82.54,82.54,0
20240122T,70.65,70.65,70.65,70.65,0
20240123T,9.42,9.42,9.42,9.42,0
20240124T,29.37,29.37,29.37,29.37,0
20240125T,46.34,46.34,46.34,46.34,0
20240129T,80.32,80.32,80.32,80.32,0
20240130T,35.76,35.76,35.76,35.76,0
20240131T,58.4,58.4,58.4,58.4,0
20240201T,70.45,70.45,70.45,70.45,0
20240202T,80.21,80.21,80.21,80.21,0
20240205T,82.98,82.98,82.98,82.98,0
20240206T,59.76,59.76,59.76,59.76,0
20240207T,56.3,56.3,56.3,56.3,0
20240208T,41.0,41.0,41.0,41.0,0
20240209T,61.28,61.28,61.28,61.28,0
20240212T,26.82,26.82,26.82,26.82,0
20240213T,13.85,13.85,13.85,13.85,0
20240214T,58.92,58.92,58.92,58.92,0
20240215T,57.66,57.66,57.66,57.66,0
20240216T,60.3,60.3,60.3,60.3,0
20240219T,92.28,92.28,92.28,92.28,0
20240220T,74.83,74.83,74.83,74.83,0
20240221T,89.48,89.48,89.48,89.48,0
20240222T,29.28,29.28,29.28,29.28,0
20240223T,44.15,44.15,44.15,44.15,0
20240226T,71.94,71.94,71.94,71.94,0
20240227T,61.75,61.75,61.75,61.75,0
20240228T,68.21,68.21,68.21,68.21,0
20240229T,65.26,65.26,65.26,65.26,0
20240301T,56.1,56.1,56.1,56.1,0
20240304T,78.05,78.05,78.05,78.05,0
20240305T,52.68,52.68,52.68,52.68,0
20240306T,24.75,24.75,24.75,24.75,0
