date,open,high,low,close,volume
20191001T,65.95,65.95,65.95,65.95,0
20191003T,54.06,54.06,54.06,54.06,0
20191004T,66.27,66.27,66.27,66.27,0
20191007T,43.57,43.57,43.57,43.57,0
20191008T,43.57,43.57,43.57,43.57,0
20191009T,58.17,58.17,58.17,58.17,0
20191010T,58.85,58.85,58.85,58.85,0
20191011T,67.35,67.35,67.35,67.35,0
20191014T,55.44,55.44,55.44,55.44,0
20191015T,51.87,51.87,51.87,51.87,0
20191016T,52.4,52.4,52.4,52.4,0
20191017T,54.31,54.31,54.31,54.31,0
20191018T,67.53,67.53,67.53,67.53,0
20191021T,67.53,67.53,67.53,67.53,0
20191022T,61.8,61.8,61.8,61.8,0
20191023T,61.02,61.02,61.02,61.02,0
20191024T,63.77,63.77,63.77,63.77,0
20191025T,63.0,63.0,63.0,63.0,0
20191028T,82.9,82.9,82.9,82.9,0
20191029T,64.42,64.42,64.42,64.42,0
20191030T,64.29,64.29,64.29,64.29,0
20191031T,43.92,43.92,43.92,43.92,0
20191101T,69.17,69.17,69.17,69.17,0
20191104T,68.94,68.94,68.94,68.94,0
20191105T,64.07,64.07,64.07,64.07,0
20191106T,33.39,33.39,33.39,33.39,0
20191107T,32.09,32.09,32.09,32.09,0
20191108T,79.13,79.13,79.13,79.13,0
20191111T,83.96,83.96,83.96,83.96,0
20191112T,83.96,83.96,83.96,83.96,0
20191113T,49.84,49.84,49.84,49.84,0
20191114T,60.78,60.78,60.78,60.78,0
20191115T,61.48,61.48,61.48,61.48,0
20191118T,58.38,58.38,58.38,58.38,0
20191119T,50.0,50.0,50.0,50.0,0
20191120T,54.84,54.84,54.84,54.84,0
20191121T,56.25,56.25,56.25,56.25,0
20191122T,65.04,65.04,65.04,65.04,0
20191125T,57.79,57.79,57.79,57.79,0
20191126T,49.4,49.4,49.4,49.4,0
20191127T,60.0,60.0,60.0,60.0,0
20191128T,70.97,70.97,70.97,70.97,0
20191129T,63.23,63.23,63.23,63.23,0
20191202T,63.46,63.46,63.46,63.46,0
20191203T,49.02,49.02,49.02,49.02,0
20191204T,46.05,46.05,46.05,46.05,0
20191205T,45.56,45.56,45.56,45.56,0
20191206T,61.36,61.36,61.36,61.36,0
20191209T,63.32,63.32,63.32,63.32,0
20191210T,77.78,77.78,77.78,77.78,0
20191211T,50.46,50.46,50.46,50.46,0
20191212T,67.27,67.27,67.27,67.27,0
20191213T,80.37,80.37,80.37,80.37,0
20191216T,57.95,57.95,57.95,57.95,0
20191217T,56.72,56.72,56.72,56.72,0
20191218T,68.99,68.99,68.99,68.99,0
20191219T,58.33,58.33,58.33,58.33,0
20191220T,50.85,50.85,50.85,50.85,0
20191223T,60.57,60.57,60.57,60.57,0
20191224T,75.41,75.41,75.41,75.41,0
20191225T,75.41,75.41,75.41,75.41,0
20191226T,57.47,57.47,57.47,57.47,0
20191227T,58.9,58.9,58.9,58.9,0
20191230T,58.93,58.93,58.93,58.93,0
20191231T,66.25,66.25,66.25,66.25,0
20200101T,48.84,48.84,48.84,48.84,0
20200102T,58.78,58.78,58.78,58.78,0
20200103T,82.31,82.31,82.31,82.31,0
20200106T,70.9,70.9,70.9,70.9,0
20200107T,53.0,53.0,53.0,53.0,0
20200108T,60.47,60.47,60.47,60.47,0
20200109T,79.14,79.14,79.14,79.14,0
20200110T,73.35,73.35,73.35,73.35,0
20200113T,58.49,58.49,58.49,58.49,0
20200114T,62.94,62.94,62.94,62.94,0
20200115T,73.56,73.56,73.56,73.56,0
