date,open,high,low,close,volume
20191001T,100.0,100.0,100.0,100.0,0
20191003T,100.0,100.0,100.0,100.0,0
20191004T,50.0,50.0,50.0,50.0,0
20191007T,99.68,99.68,99.68,99.68,0
20191008T,99.68,99.68,99.68,99.68,0
20191009T,98.56,98.56,98.56,98.56,0
20191010T,79.05,79.05,79.05,79.05,0
20191011T,54.17,54.17,54.17,54.17,0
20191014T,100.0,100.0,100.0,100.0,0
20191015T,68.35,68.35,68.35,68.35,0
20191016T,100.0,100.0,100.0,100.0,0
20191017T,100.0,100.0,100.0,100.0,0
20191018T,100.0,100.0,100.0,100.0,0
20191021T,100.0,100.0,100.0,100.0,0
20191022T,83.33,83.33,83.33,83.33,0
20191023T,100.0,100.0,100.0,100.0,0
20191024T,99.84,99.84,99.84,99.84,0
20191025T,64.64,64.64,64.64,64.64,0
20191028T,87.8,87.8,87.8,87.8,0
20191029T,99.84,99.84,99.84,99.84,0
20191030T,85.46,85.46,85.46,85.46,0
20191031T,83.38,83.38,83.38,83.38,0
20191101T,19.23,19.23,19.23,19.23,0
20191104T,78.26,78.26,78.26,78.26,0
20191105T,93.65,93.65,93.65,93.65,0
20191106T,50.0,50.0,50.0,50.0,0
20191107T,100.0,100.0,100.0,100.0,0
20191108T,63.67,63.67,63.67,63.67,0
20191111T,96.68,96.68,96.68,96.68,0
20191112T,96.68,96.68,96.68,96.68,0
20191113T,85.59,85.59,85.59,85.59,0
20191114T,100.0,100.0,100.0,100.0,0
20191115T,100.0,100.0,100.0,100.0,0
20191118T,82.1,82.1,82.1,82.1,0
20191119T,75.37,75.37,75.37,75.37,0
20191120T,73.33,73.33,73.33,73.33,0
20191121T,100.0,100.0,100.0,100.0,0
20191122T,78.13,78.13,78.13,78.13,0
20191125T,11.75,11.75,11.75,11.75,0
20191126T,99.6,99.6,99.6,99.6,0
20191127T,54.88,54.88,54.88,54.88,0
20191128T,50.86,50.86,50.86,50.86,0
20191129T,97.3,97.3,97.3,97.3,0
20191202T,82.71,82.71,82.71,82.71,0
20191203T,71.01,71.01,71.01,71.01,0
20191204T,94.39,94.39,94.39,94.39,0
20191205T,72.51,72.51,72.51,72.51,0
20191206T,95.58,95.58,95.58,95.58,0
20191209T,100.0,100.0,100.0,100.0,0
20191210T,48.24,48.24,48.24,48.24,0
20191211T,75.88,75.88,75.88,75.88,0
20191212T,100.0,100.0,100.0,100.0,0
20191213T,99.85,99.85,99.85,99.85,0
20191216T,97.22,97.22,97.22,97.22,0
20191217T,30.78,30.78,30.78,30.78,0
20191218T,67.36,67.36,67.36,67.36,0
20191219T,93.36,93.36,93.36,93.36,0
20191220T,62.22,62.22,62.22,62.22,0
20191223T,64.68,64.68,64.68,64.68,0
20191224T,87.95,87.95,87.95,87.95,0
20191225T,87.95,87.95,87.95,87.95,0
20191226T,17.28,17.28,17.28,17.28,0
20191227T,98.97,98.97,98.97,98.97,0
20191230T,34.71,34.71,34.71,34.71,0
20191231T,82.71,82.71,82.71,82.71,0
20200101T,68.07,68.07,68.07,68.07,0
20200102T,31.21,31.21,31.21,31.21,0
20200103T,64.45,64.45,64.45,64.45,0
20200106T,85.47,85.47,85.47,85.47,0
20200107T,99.11,99.11,99.11,99.11,0
20200108T,78.68,78.68,78.68,78.68,0
20200109T,58.29,58.29,58.29,58.29,0
20200110T,52.14,52.14,52.14,52.14,0
20200113T,61.45,61.45,61.45,61.45,0
20200114T,91.48,91.48,91.48,91.48,0
20200115T,62.23,62.23,62.23,62.23,0
20200116T,94.73,94.73,94.73,94.73,0
20200117T,70.5,70.5,70.5,70.5,0
20200120T,83.33,83.33,83.33,83.33,0
20200121T,4.06,4.06,4.06,4.06,0
20200122T,53.69,53.69,53.69,53.69,0
20200123T,68.53,68.53,68.53,68.53,0
20200124T,61.25,61.25,61.25,61.25,0
20200127T,48.67,48.67,48.67,48.67,0
20200128T,81.97,81.97,81.97,81.97,0
20200129T,35.95,35.95,35.95,35.95,0
20200130T,49.76,49.76,49.76,49.76,0
20200131T,49.15,49.15,49.15,49.15,0
20200203T,61.26,61.26,61.26,61.26,0
20200204T,85.85,85.85,85.85,85.85,0
20200205T,65.46,65.46,65.46,65.46,0
20200206T,87.22,87.22,87.22,87.22,0
20200207T,40.51,40.51,40.51,40.51,0
20200210T,54.79,54.79,54.79,54.79,0
20200211T,38.08,38.08,38.08,38.08,0
20200212T,83.09,83.09,83.09,83.09,0
