date,open,high,low,close,volume
20191001T,28.65,28.65,28.65,28.65,0
20191003T,32.4,32.4,32.4,32.4,0
20191004T,52.03,52.03,52.03,52.03,0
20191007T,40.71,40.71,40.71,40.71,0
20191008T,40.71,40.71,40.71,40.71,0
20191009T,21.24,21.24,21.24,21.24,0
20191010T,25.67,25.67,25.67,25.67,0
20191011T,25.0,25.0,25.0,25.0,0
20191014T,43.05,43.05,43.05,43.05,0
20191015T,39.83,39.83,39.83,39.83,0
20191016T,39.0,39.0,39.0,39.0,0
20191017T,29.71,29.71,29.71,29.71,0
20191018T,25.16,25.16,25.16,25.16,0
20191021T,25.16,25.16,25.16,25.16,0
20191022T,35.68,35.68,35.68,35.68,0
20191023T,38.62,38.62,38.62,38.62,0
20191024T,40.37,40.37,40.37,40.37,0
20191025T,33.67,33.67,33.67,33.67,0
20191028T,16.85,16.85,16.85,16.85,0
20191029T,19.93,19.93,19.93,19.93,0
20191030T,37.99,37.99,37.99,37.99,0
20191031T,30.02,30.02,30.02,30.02,0
20191101T,25.79,25.79,25.79,25.79,0
20191104T,23.01,23.01,23.01,23.01,0
20191105T,13.68,13.68,13.68,13.68,0
20191106T,14.89,14.89,14.89,14.89,0
20191107T,37.0,37.0,37.0,37.0,0
20191108T,22.51,22.51,22.51,22.51,0
20191111T,35.32,35.32,35.32,35.32,0
20191112T,35.32,35.32,35.32,35.32,0
20191113T,29.28,29.28,29.28,29.28,0
20191114T,21.65,21.65,21.65,21.65,0
20191115T,15.46,15.46,15.46,15.46,0
20191118T,30.62,30.62,30.62,30.62,0
20191119T,41.13,41.13,41.13,41.13,0
20191120T,40.49,40.49,40.49,40.49,0
20191121T,29.28,29.28,29.28,29.28,0
20191122T,21.53,21.53,21.53,21.53,0
20191125T,24.62,24.62,24.62,24.62,0
20191126T,31.45,31.45,31.45,31.45,0
20191127T,70.32,70.32,70.32,70.32,0
20191128T,33.36,33.36,33.36,33.36,0
20191129T,35.78,35.78,35.78,35.78,0
20191202T,44.64,44.64,44.64,44.64,0
20191203T,54.34,54.34,54.34,54.34,0
20191204T,45.94,45.94,45.94,45.94,0
20191205T,28.57,28.57,28.57,28.57,0
20191206T,33.71,33.71,33.71,33.71,0
20191209T,25.6,25.6,25.6,25.6,0
20191210T,33.63,33.63,33.63,33.63,0
20191211T,30.99,30.99,30.99,30.99,0
20191212T,14.46,14.46,14.46,14.46,0
20191213T,16.6,16.6,16.6,16.6,0
20191216T,11.43,11.43,11.43,11.43,0
20191217T,20.13,20.13,20.13,20.13,0
20191218T,25.52,25.52,25.52,25.52,0
20191219T,20.42,20.42,20.42,20.42,0
20191220T,12.28,12.28,12.28,12.28,0
20191223T,15.21,15.21,15.21,15.21,0
20191224T,23.34,23.34,23.34,23.34,0
20191225T,23.34,23.34,23.34,23.34,0
20191226T,18.63,18.63,18.63,18.63,0
20191227T,14.44,14.44,14.44,14.44,0
20191230T,24.81,24.81,24.81,24.81,0
20191231T,19.31,19.31,19.31,19.31,0
