date,open,high,low,close,volume
20251121T,27.59,27.59,27.59,27.59,0
20251124T,18.03,18.03,18.03,18.03,0
20251125T,7.7,7.7,7.7,7.7,0
20251126T,5.64,5.64,5.64,5.64,0
20251127T,6.53,6.53,6.53,6.53,0
20251128T,9.66,9.66,9.66,9.66,0
20251201T,9.15,9.15,9.15,9.15,0
20251202T,8.4,8.4,8.4,8.4,0
20251203T,5.7,5.7,5.7,5.7,0
20251204T,5.83,5.83,5.83,5.83,0
20251205T,6.02,6.02,6.02,6.02,0
20251208T,9.7,9.7,9.7,9.7,0
20251209T,4.97,4.97,4.97,4.97,0
20251210T,5.04,5.04,5.04,5.04,0
20251211T,5.0,5.0,5.0,5.0,0
20251212T,6.79,6.79,6.79,6.79,0
20251215T,9.24,9.24,9.24,9.24,0
20251216T,10.22,10.22,10.22,10.22,0
20251217T,8.93,8.93,8.93,8.93,0
20251218T,7.68,7.68,7.68,7.68,0
20251219T,10.82,10.82,10.82,10.82,0
20251222T,8.52,8.52,8.52,8.52,0
20251223T,11.43,11.43,11.43,11.43,0
20251224T,13.07,13.07,13.07,13.07,0
20251225T,13.07,13.07,13.07,13.07,0
20251226T,13.37,13.37,13.37,13.37,0
20251229T,13.0,13.0,13.0,13.0,0
20251230T,17.2,17.2,17.2,17.2,0
20251231T,28.73,28.73,28.73,28.73,0
20260101T,16.85,16.85,16.85,16.85,0
20260102T,22.2,22.2,22.2,22.2,0
20260105T,24.84,24.84,24.84,24.84,0
20260106T,13.86,13.86,13.86,13.86,0
20260107T,25.69,25.69,25.69,25.69,0
20260108T,23.08,23.08,23.08,23.08,0
20260109T,16.72,16.72,16.72,16.72,0
20260112T,25.13,25.13,25.13,25.13,0
20260113T,14.74,14.74,14.74,14.74,0
20260114T,23.16,23.16,23.16,23.16,0
20260115T,23.16,23.16,23.16,23.16,0
20260116T,36.25,36.25,36.25,36.25,0
20260119T,19.5,19.5,19.5,19.5,0
20260120T,13.44,13.44,13.44,13.44,0
20260121T,10.51,10.51,10.51,10.51,0
20260122T,30.4,30.4,30.4,30.4,0
20260123T,20.87,20.87,20.87,20.87,0
20260127T,19.37,19.37,19.37,19.37,0
20260128T,24.91,24.91,24.91,24.91,0
20260129T,28.43,28.43,28.43,28.43,0
20260130T,14.71,14.71,14.71,14.71,0
20260202T,28.81,28.81,28.81,28.81,0
20260203T,26.61,26.61,26.61,26.61,0
20260204T,23.77,23.77,23.77,23.77,0
20260205T,30.12,30.12,30.12,30.12,0
20260206T,20.3,20.3,20.3,20.3,0
20260209T,15.25,15.25,15.25,15.25,0
20260210T,46.03,46.03,46.03,46.03,0
