date,open,high,low,close,volume
20191210T,100.0,100.0,100.0,100.0,0
20191211T,75.57,75.57,75.57,75.57,0
20191212T,98.02,98.02,98.02,98.02,0
20191213T,100.0,100.0,100.0,100.0,0
20191216T,100.0,100.0,100.0,100.0,0
20191217T,100.0,100.0,100.0,100.0,0
20191218T,100.0,100.0,100.0,100.0,0
20191219T,100.0,100.0,100.0,100.0,0
20191220T,100.0,100.0,100.0,100.0,0
20191223T,100.0,100.0,100.0,100.0,0
20191224T,91.33,91.33,91.33,91.33,0
20191225T,91.33,91.33,91.33,91.33,0
20191226T,100.0,100.0,100.0,100.0,0
20191227T,100.0,100.0,100.0,100.0,0
20191230T,74.03,74.03,74.03,74.03,0
20191231T,100.0,100.0,100.0,100.0,0
20200101T,100.0,100.0,100.0,100.0,0
20200102T,72.34,72.34,72.34,72.34,0
20200103T,64.58,64.58,64.58,64.58,0
20200106T,94.21,94.21,94.21,94.21,0
20200107T,97.48,97.48,97.48,97.48,0
20200108T,96.32,96.32,96.32,96.32,0
20200109T,76.47,76.47,76.47,76.47,0
20200110T,89.49,89.49,89.49,89.49,0
20200113T,72.57,72.57,72.57,72.57,0
20200114T,90.22,90.22,90.22,90.22,0
20200115T,100.0,100.0,100.0,100.0,0
20200116T,53.93,53.93,53.93,53.93,0
20200117T,38.11,38.11,38.11,38.11,0
20200120T,93.13,93.13,93.13,93.13,0
20200121T,91.35,91.35,91.35,91.35,0
20200122T,75.5,75.5,75.5,75.5,0
20200123T,62.68,62.68,62.68,62.68,0
20200124T,74.13,74.13,74.13,74.13,0
20200127T,73.17,73.17,73.17,73.17,0
20200128T,71.96,71.96,71.96,71.96,0
20200129T,22.78,22.78,22.78,22.78,0
20200130T,50.83,50.83,50.83,50.83,0
20200131T,24.08,24.08,24.08,24.08,0
20200203T,36.04,36.04,36.04,36.04,0
20200204T,47.14,47.14,47.14,47.14,0
20200205T,47.78,47.78,47.78,47.78,0
20200206T,64.38,64.38,64.38,64.38,0
20200207T,70.09,70.09,70.09,70.09,0
20200210T,56.46,56.46,56.46,56.46,0
20200211T,72.76,72.76,72.76,72.76,0
20200212T,96.64,96.64,96.64,96.64,0
20200213T,85.17,85.17,85.17,85.17,0
20200214T,87.27,87.27,87.27,87.27,0
20200217T,92.17,92.17,92.17,92.17,0
20200218T,42.03,42.03,42.03,42.03,0
20200219T,97.87,97.87,97.87,97.87,0
20200220T,21.02,21.02,21.02,21.02,0
20200221T,21.02,21.02,21.02,21.02,0
20200224T,31.02,31.02,31.02,31.02,0
20200225T,77.99,77.99,77.99,77.99,0
20200226T,71.26,71.26,71.26,71.26,0
20200227T,84.83,84.83,84.83,84.83,0
20200228T,85.1,85.1,85.1,85.1,0
20200302T,86.69,86.69,86.69,86.69,0
20200303T,96.52,96.52,96.52,96.52,0
20200304T,84.68,84.68,84.68,84.68,0
20200305T,95.65,95.65,95.65,95.65,0
20200306T,100.0,100.0,100.0,100.0,0
20200309T,61.16,61.16,61.16,61.16,0
20200310T,61.16,61.16,61.16,61.16,0
20200311T,70.15,70.15,70.15,70.15,0
20200312T,99.26,99.26,99.26,99.26,0
20200313T,73.32,73.32,73.32,73.32,0
20200316T,66.2,66.2,66.2,66.2,0
20200317T,72.71,72.71,72.71,72.71,0
20200318T,72.73,72.73,72.73,72.73,0
20200319T,77.29,77.29,77.29,77.29,0
20200320T,81.17,81.17,81.17,81.17,0
20200323T,100.0,100.0,100.0,100.0,0
20200324T,100.0,100.0,100.0,100.0,0
20200325T,100.0,100.0,100.0,100.0,0
20200326T,96.56,96.56,96.56,96.56,0
20200327T,97.46,97.46,97.46,97.46,0
20200330T,85.72,85.72,85.72,85.72,0
20200331T,100.0,100.0,100.0,100.0,0
20200401T,100.0,100.0,100.0,100.0,0
20200402T,100.0,100.0,100.0,100.0,0
20200403T,97.47,97.47,97.47,97.47,0
20200406T,97.47,97.47,97.47,97.47,0
20200407T,100.0,100.0,100.0,100.0,0
20200408T,72.63,72.63,72.63,72.63,0
20200409T,97.73,97.73,97.73,97.73,0
20200410T,97.73,97.73,97.73,97.73,0
20200413T,99.47,99.47,99.47,99.47,0
20200415T,99.68,99.68,99.68,99.68,0
20200416T,84.97,84.97,84.97,84.97,0
20200417T,85.27,85.27,85.27,85.27,0
20200420T,100.0,100.0,100.0,100.0,0
20200421T,81.68,81.68,81.68,81.68,0
20200422T,83.99,83.99,83.99,83.99,0
20200423T,75.62,75.62,75.62,75.62,0
20200424T,69.62,69.62,69.62,69.62,0
20200427T,84.9,84.9,84.9,84.9,0
20200428T,40.04,40.04,40.04,40.04,0
20200429T,54.33,54.33,54.33,54.33,0
20200430T,59.11,59.11,59.11,59.11,0
20200501T,59.11,59.11,59.11,59.11,0
20200504T,93.92,93.92,93.92,93.92,0
20200505T,74.73,74.73,74.73,74.73,0
20200506T,82.86,82.86,82.86,82.86,0
20200507T,58.49,58.49,58.49,58.49,0
20200508T,79.67,79.67,79.67,79.67,0
20200511T,51.84,51.84,51.84,51.84,0
20200512T,71.79,71.79,71.79,71.79,0
20200513T,65.63,65.63,65.63,65.63,0
20200514T,89.26,89.26,89.26,89.26,0
20200515T,40.64,40.64,40.64,40.64,0
20200518T,42.33,42.33,42.33,42.33,0
20200519T,68.14,68.14,68.14,68.14,0
20200520T,82.93,82.93,82.93,82.93,0
20200521T,82.82,82.82,82.82,82.82,0
20200522T,90.18,90.18,90.18,90.18,0
20200525T,90.18,90.18,90.18,90.18,0
20200526T,70.73,70.73,70.73,70.73,0
20200527T,66.43,66.43,66.43,66.43,0
20200528T,89.85,89.85,89.85,89.85,0
20200529T,63.11,63.11,63.11,63.11,0
20200601T,74.16,74.16,74.16,74.16,0
20200602T,70.3,70.3,70.3,70.3,0
20200603T,92.67,92.67,92.67,92.67,0
20200604T,58.94,58.94,58.94,58.94,0
20200605T,52.68,52.68,52.68,52.68,0
20200608T,73.67,73.67,73.67,73.67,0
20200609T,77.51,77.51,77.51,77.51,0
20200610T,85.77,85.77,85.77,85.77,0
20200611T,56.01,56.01,56.01,56.01,0
20200612T,87.8,87.8,87.8,87.8,0
20200615T,62.67,62.67,62.67,62.67,0
20200616T,99.79,99.79,99.79,99.79,0
20200617T,100.0,100.0,100.0,100.0,0
20200618T,79.85,79.85,79.85,79.85,0
20200619T,100.0,100.0,100.0,100.0,0
20200622T,66.5,66.5,66.5,66.5,0
20200623T,91.86,91.86,91.86,91.86,0
20200624T,96.26,96.26,96.26,96.26,0
20200625T,93.95,93.95,93.95,93.95,0
20200626T,83.59,83.59,83.59,83.59,0
20200629T,78.24,78.24,78.24,78.24,0
20200630T,38.82,38.82,38.82,38.82,0
20200701T,51.81,51.81,51.81,51.81,0
20200702T,59.93,59.93,59.93,59.93,0
