date,open,high,low,close,volume
20251210T,48.2,48.2,48.2,48.2,0
20251211T,61.67,61.67,61.67,61.67,0
20251212T,79.66,79.66,79.66,79.66,0
20251215T,52.99,52.99,52.99,52.99,0
20251216T,51.83,51.83,51.83,51.83,0
20251217T,56.03,56.03,56.03,56.03,0
20251218T,61.09,61.09,61.09,61.09,0
20251219T,76.94,76.94,76.94,76.94,0
20251222T,59.98,59.98,59.98,59.98,0
20251223T,66.36,66.36,66.36,66.36,0
20251224T,57.91,57.91,57.91,57.91,0
20251225T,57.91,57.91,57.91,57.91,0
20251226T,57.89,57.89,57.89,57.89,0
20251229T,64.42,64.42,64.42,64.42,0
20251230T,67.1,67.1,67.1,67.1,0
20251231T,44.76,44.76,44.76,44.76,0
20260101T,60.93,60.93,60.93,60.93,0
20260102T,75.45,75.45,75.45,75.45,0
20260105T,67.49,67.49,67.49,67.49,0
20260106T,77.28,77.28,77.28,77.28,0
20260107T,74.32,74.32,74.32,74.32,0
20260108T,94.01,94.01,94.01,94.01,0
20260109T,67.71,67.71,67.71,67.71,0
20260112T,67.16,67.16,67.16,67.16,0
20260113T,67.58,67.58,67.58,67.58,0
20260114T,61.75,61.75,61.75,61.75,0
20260115T,61.75,61.75,61.75,61.75,0
20260116T,63.18,63.18,63.18,63.18,0
20260119T,66.04,66.04,66.04,66.04,0
20260120T,77.18,77.18,77.18,77.18,0
20260121T,72.37,72.37,72.37,72.37,0
20260122T,71.0,71.0,71.0,71.0,0
20260123T,71.03,71.03,71.03,71.03,0
20260127T,61.99,61.99,61.99,61.99,0
20260128T,86.27,86.27,86.27,86.27,0
20260129T,56.71,56.71,56.71,56.71,0
20260130T,67.44,67.44,67.44,67.44,0
20260202T,74.33,74.33,74.33,74.33,0
20260203T,61.76,61.76,61.76,61.76,0
20260204T,69.11,69.11,69.11,69.11,0
20260205T,74.46,74.46,74.46,74.46,0
20260206T,46.96,46.96,46.96,46.96,0
20260209T,79.56,79.56,79.56,79.56,0
20260210T,90.17,90.17,90.17,90.17,0
