date,open,high,low,close,volume
20191001T,64.09,64.09,64.09,64.09,0
20191003T,81.5,81.5,81.5,81.5,0
20191004T,73.69,73.69,73.69,73.69,0
20191007T,66.1,66.1,66.1,66.1,0
20191008T,66.1,66.1,66.1,66.1,0
20191009T,97.27,97.27,97.27,97.27,0
20191010T,94.33,94.33,94.33,94.33,0
20191011T,81.62,81.62,81.62,81.62,0
20191014T,83.4,83.4,83.4,83.4,0
20191015T,81.81,81.81,81.81,81.81,0
20191016T,63.82,63.82,63.82,63.82,0
20191017T,76.6,76.6,76.6,76.6,0
20191018T,70.82,70.82,70.82,70.82,0
20191021T,70.82,70.82,70.82,70.82,0
20191022T,58.68,58.68,58.68,58.68,0
20191023T,74.43,74.43,74.43,74.43,0
20191024T,48.43,48.43,48.43,48.43,0
20191025T,72.05,72.05,72.05,72.05,0
20191028T,84.37,84.37,84.37,84.37,0
20191029T,53.54,53.54,53.54,53.54,0
20191030T,75.48,75.48,75.48,75.48,0
20191031T,68.01,68.01,68.01,68.01,0
20191101T,82.22,82.22,82.22,82.22,0
20191104T,68.98,68.98,68.98,68.98,0
20191105T,72.74,72.74,72.74,72.74,0
20191106T,84.91,84.91,84.91,84.91,0
20191107T,87.56,87.56,87.56,87.56,0
20191108T,84.86,84.86,84.86,84.86,0
20191111T,54.05,54.05,54.05,54.05,0
20191112T,54.05,54.05,54.05,54.05,0
20191113T,82.53,82.53,82.53,82.53,0
20191114T,77.82,77.82,77.82,77.82,0
20191115T,78.84,78.84,78.84,78.84,0
20191118T,79.91,79.91,79.91,79.91,0
20191119T,73.71,73.71,73.71,73.71,0
20191120T,74.06,74.06,74.06,74.06,0
20191121T,62.64,62.64,62.64,62.64,0
20191122T,66.92,66.92,66.92,66.92,0
20191125T,86.84,86.84,86.84,86.84,0
20191126T,62.57,62.57,62.57,62.57,0
20191127T,64.29,64.29,64.29,64.29,0
20191128T,93.7,93.7,93.7,93.7,0
