date,open,high,low,close,volume
20191001T,94.48,94.48,94.48,94.48,0
20191003T,71.1,71.1,71.1,71.1,0
20191004T,68.86,68.86,68.86,68.86,0
20191007T,85.56,85.56,85.56,85.56,0
20191008T,85.56,85.56,85.56,85.56,0
20191009T,99.13,99.13,99.13,99.13,0
20191010T,79.93,79.93,79.93,79.93,0
20191011T,95.03,95.03,95.03,95.03,0
20191014T,80.76,80.76,80.76,80.76,0
20191015T,78.55,78.55,78.55,78.55,0
20191016T,87.35,87.35,87.35,87.35,0
20191017T,93.9,93.9,93.9,93.9,0
20191018T,77.44,77.44,77.44,77.44,0
20191021T,77.44,77.44,77.44,77.44,0
20191022T,81.6,81.6,81.6,81.6,0
20191023T,97.12,97.12,97.12,97.12,0
20191024T,61.09,61.09,61.09,61.09,0
20191025T,86.18,86.18,86.18,86.18,0
20191028T,97.22,97.22,97.22,97.22,0
20191029T,65.3,65.3,65.3,65.3,0
20191030T,57.67,57.67,57.67,57.67,0
20191031T,88.96,88.96,88.96,88.96,0
20191101T,79.42,79.42,79.42,79.42,0
20191104T,65.35,65.35,65.35,65.35,0
20191105T,69.28,69.28,69.28,69.28,0
20191106T,85.13,85.13,85.13,85.13,0
20191107T,84.35,84.35,84.35,84.35,0
20191108T,45.35,45.35,45.35,45.35,0
20191111T,42.28,42.28,42.28,42.28,0
20191112T,42.28,42.28,42.28,42.28,0
20191113T,87.58,87.58,87.58,87.58,0
20191114T,77.1,77.1,77.1,77.1,0
20191115T,73.67,73.67,73.67,73.67,0
20191118T,94.36,94.36,94.36,94.36,0
20191119T,56.43,56.43,56.43,56.43,0
20191120T,81.5,81.5,81.5,81.5,0
20191121T,61.41,61.41,61.41,61.41,0
20191122T,70.82,70.82,70.82,70.82,0
20191125T,65.65,65.65,65.65,65.65,0
20191126T,81.47,81.47,81.47,81.47,0
20191127T,62.74,62.74,62.74,62.74,0
20191128T,67.25,67.25,67.25,67.25,0
20191129T,86.7,86.7,86.7,86.7,0
20191202T,60.06,60.06,60.06,60.06,0
20191203T,45.86,45.86,45.86,45.86,0
20191204T,72.62,72.62,72.62,72.62,0
20191205T,63.28,63.28,63.28,63.28,0
20191206T,65.53,65.53,65.53,65.53,0
20191209T,96.17,96.17,96.17,96.17,0
20191210T,84.98,84.98,84.98,84.98,0
20191211T,89.58,89.58,89.58,89.58,0
20191212T,81.32,81.32,81.32,81.32,0
20191213T,81.06,81.06,81.06,81.06,0
20191216T,70.07,70.07,70.07,70.07,0
20191217T,79.5,79.5,79.5,79.5,0
20191218T,74.88,74.88,74.88,74.88,0
20191219T,86.99,86.99,86.99,86.99,0
20191220T,92.9,92.9,92.9,92.9,0
20191223T,97.92,97.92,97.92,97.92,0
20191224T,99.85,99.85,99.85,99.85,0
20191225T,99.85,99.85,99.85,99.85,0
20191226T,90.14,90.14,90.14,90.14,0
20191227T,96.89,96.89,96.89,96.89,0
20191230T,82.96,82.96,82.96,82.96,0
20191231T,76.5,76.5,76.5,76.5,0
20200101T,89.57,89.57,89.57,89.57,0
20200102T,70.0,70.0,70.0,70.0,0
20200103T,71.58,71.58,71.58,71.58,0
20200106T,86.52,86.52,86.52,86.52,0
20200107T,78.44,78.44,78.44,78.44,0
20200108T,50.08,50.08,50.08,50.08,0
20200109T,68.47,68.47,68.47,68.47,0
20200110T,90.98,90.98,90.98,90.98,0
20200113T,84.81,84.81,84.81,84.81,0
20200114T,89.28,89.28,89.28,89.28,0
20200115T,85.06,85.06,85.06,85.06,0
20200116T,91.81,91.81,91.81,91.81,0
20200117T,87.33,87.33,87.33,87.33,0
20200120T,88.83,88.83,88.83,88.83,0
20200121T,90.43,90.43,90.43,90.43,0
20200122T,93.49,93.49,93.49,93.49,0
20200123T,87.54,87.54,87.54,87.54,0
20200124T,80.72,80.72,80.72,80.72,0
20200127T,80.48,80.48,80.48,80.48,0
20200128T,89.66,89.66,89.66,89.66,0
20200129T,93.18,93.18,93.18,93.18,0
20200130T,98.83,98.83,98.83,98.83,0
20200131T,87.5,87.5,87.5,87.5,0
20200203T,90.26,90.26,90.26,90.26,0
20200204T,93.77,93.77,93.77,93.77,0
20200205T,58.81,58.81,58.81,58.81,0
20200206T,83.94,83.94,83.94,83.94,0
20200207T,49.86,49.86,49.86,49.86,0
20200210T,83.24,83.24,83.24,83.24,0
20200211T,69.49,69.49,69.49,69.49,0
20200212T,61.5,61.5,61.5,61.5,0
20200213T,55.46,55.46,55.46,55.46,0
20200214T,84.76,84.76,84.76,84.76,0
20200217T,90.46,90.46,90.46,90.46,0
20200218T,80.57,80.57,80.57,80.57,0
20200219T,94.68,94.68,94.68,94.68,0
20200220T,65.94,65.94,65.94,65.94,0
20200221T,65.94,65.94,65.94,65.94,0
20200224T,88.62,88.62,88.62,88.62,0
20200225T,80.49,80.49,80.49,80.49,0
20200226T,91.77,91.77,91.77,91.77,0
20200227T,92.25,92.25,92.25,92.25,0
20200228T,63.86,63.86,63.86,63.86,0
20200302T,96.15,96.15,96.15,96.15,0
20200303T,99.6,99.6,99.6,99.6,0
20200304T,100.0,100.0,100.0,100.0,0
20200305T,78.65,78.65,78.65,78.65,0
20200306T,90.16,90.16,90.16,90.16,0
20200309T,95.33,95.33,95.33,95.33,0
20200310T,95.33,95.33,95.33,95.33,0
20200311T,78.75,78.75,78.75,78.75,0
20200312T,93.01,93.01,93.01,93.01,0
20200313T,88.3,88.3,88.3,88.3,0
20200316T,98.99,98.99,98.99,98.99,0
20200317T,65.94,65.94,65.94,65.94,0
20200318T,80.14,80.14,80.14,80.14,0
20200319T,78.14,78.14,78.14,78.14,0
20200320T,54.32,54.32,54.32,54.32,0
20200323T,67.09,67.09,67.09,67.09,0
20200324T,81.2,81.2,81.2,81.2,0
20200325T,84.19,84.19,84.19,84.19,0
20200326T,64.0,64.0,64.0,64.0,0
20200327T,61.27,61.27,61.27,61.27,0
20200330T,62.5,62.5,62.5,62.5,0
20200331T,85.99,85.99,85.99,85.99,0
20200401T,86.46,86.46,86.46,86.46,0
20200402T,86.46,86.46,86.46,86.46,0
20200403T,92.08,92.08,92.08,92.08,0
20200406T,92.08,92.08,92.08,92.08,0
20200407T,89.82,89.82,89.82,89.82,0
20200408T,87.09,87.09,87.09,87.09,0
20200409T,87.4,87.4,87.4,87.4,0
20200410T,87.4,87.4,87.4,87.4,0
20200413T,80.63,80.63,80.63,80.63,0
20200415T,87.29,87.29,87.29,87.29,0
20200416T,80.11,80.11,80.11,80.11,0
20200417T,53.81,53.81,53.81,53.81,0
20200420T,81.76,81.76,81.76,81.76,0
20200421T,88.58,88.58,88.58,88.58,0
20200422T,67.99,67.99,67.99,67.99,0
20200423T,33.02,33.02,33.02,33.02,0
20200424T,87.16,87.16,87.16,87.16,0
20200427T,64.19,64.19,64.19,64.19,0
20200428T,65.75,65.75,65.75,65.75,0
20200429T,83.78,83.78,83.78,83.78,0
20200430T,41.95,41.95,41.95,41.95,0
20200501T,41.95,41.95,41.95,41.95,0
20200504T,47.11,47.11,47.11,47.11,0
20200505T,75.1,75.1,75.1,75.1,0
20200506T,74.35,74.35,74.35,74.35,0
20200507T,57.46,57.46,57.46,57.46,0
20200508T,71.06,71.06,71.06,71.06,0
20200511T,69.29,69.29,69.29,69.29,0
20200512T,94.93,94.93,94.93,94.93,0
20200513T,77.46,77.46,77.46,77.46,0
20200514T,84.72,84.72,84.72,84.72,0
20200515T,85.72,85.72,85.72,85.72,0
20200518T,76.79,76.79,76.79,76.79,0
20200519T,80.03,80.03,80.03,80.03,0
20200520T,64.11,64.11,64.11,64.11,0
20200521T,51.2,51.2,51.2,51.2,0
20200522T,74.16,74.16,74.16,74.16,0
20200525T,74.16,74.16,74.16,74.16,0
20200526T,82.31,82.31,82.31,82.31,0
20200527T,82.85,82.85,82.85,82.85,0
20200528T,50.77,50.77,50.77,50.77,0
20200529T,81.35,81.35,81.35,81.35,0
20200601T,94.89,94.89,94.89,94.89,0
20200602T,83.53,83.53,83.53,83.53,0
20200603T,52.54,52.54,52.54,52.54,0
20200604T,85.7,85.7,85.7,85.7,0
20200605T,84.38,84.38,84.38,84.38,0
20200608T,60.68,60.68,60.68,60.68,0
20200609T,76.21,76.21,76.21,76.21,0
20200610T,82.94,82.94,82.94,82.94,0
20200611T,80.2,80.2,80.2,80.2,0
20200612T,82.63,82.63,82.63,82.63,0
20200615T,92.42,92.42,92.42,92.42,0
20200616T,57.65,57.65,57.65,57.65,0
20200617T,97.7,97.7,97.7,97.7,0
20200618T,72.43,72.43,72.43,72.43,0
20200619T,76.49,76.49,76.49,76.49,0
20200622T,100.0,100.0,100.0,100.0,0
20200623T,99.98,99.98,99.98,99.98,0
20200624T,99.99,99.99,99.99,99.99,0
20200625T,99.89,99.89,99.89,99.89,0
20200626T,100.0,100.0,100.0,100.0,0
20200629T,79.89,79.89,79.89,79.89,0
20200630T,100.0,100.0,100.0,100.0,0
20200701T,100.0,100.0,100.0,100.0,0
20200702T,100.0,100.0,100.0,100.0,0
20200703T,100.0,100.0,100.0,100.0,0
20200706T,100.0,100.0,100.0,100.0,0
20200707T,100.0,100.0,100.0,100.0,0
20200708T,100.0,100.0,100.0,100.0,0
20200709T,100.0,100.0,100.0,100.0,0
20200710T,80.62,80.62,80.62,80.62,0
20200713T,98.37,98.37,98.37,98.37,0
20200714T,56.56,56.56,56.56,56.56,0
20200715T,63.2,63.2,63.2,63.2,0
20200716T,78.87,78.87,78.87,78.87,0
20200717T,73.81,73.81,73.81,73.81,0
20200720T,52.21,52.21,52.21,52.21,0
20200721T,55.66,55.66,55.66,55.66,0
20200722T,73.8,73.8,73.8,73.8,0
20200723T,79.39,79.39,79.39,79.39,0
20200724T,68.38,68.38,68.38,68.38,0
20200727T,50.74,50.74,50.74,50.74,0
20200728T,83.68,83.68,83.68,83.68,0
20200729T,80.4,80.4,80.4,80.4,0
20200730T,67.19,67.19,67.19,67.19,0
20200731T,71.91,71.91,71.91,71.91,0
20200803T,81.29,81.29,81.29,81.29,0
20200804T,77.46,77.46,77.46,77.46,0
20200805T,65.98,65.98,65.98,65.98,0
