date,open,high,low,close,volume
20191001T,71.19,71.19,71.19,71.19,0
20191003T,87.92,87.92,87.92,87.92,0
20191004T,61.66,61.66,61.66,61.66,0
20191007T,52.01,52.01,52.01,52.01,0
20191008T,52.01,52.01,52.01,52.01,0
20191009T,93.08,93.08,93.08,93.08,0
20191010T,43.93,43.93,43.93,43.93,0
20191011T,96.72,96.72,96.72,96.72,0
20191014T,43.9,43.9,43.9,43.9,0
20191015T,50.5,50.5,50.5,50.5,0
20191016T,36.08,36.08,36.08,36.08,0
20191017T,62.93,62.93,62.93,62.93,0
20191018T,60.77,60.77,60.77,60.77,0
20191021T,60.77,60.77,60.77,60.77,0
20191022T,98.21,98.21,98.21,98.21,0
20191023T,72.58,72.58,72.58,72.58,0
20191024T,48.41,48.41,48.41,48.41,0
20191025T,58.32,58.32,58.32,58.32,0
20191028T,60.05,60.05,60.05,60.05,0
20191029T,67.98,67.98,67.98,67.98,0
20191030T,55.09,55.09,55.09,55.09,0
20191031T,70.2,70.2,70.2,70.2,0
20191101T,73.42,73.42,73.42,73.42,0
20191104T,49.52,49.52,49.52,49.52,0
20191105T,45.18,45.18,45.18,45.18,0
20191106T,39.0,39.0,39.0,39.0,0
20191107T,39.52,39.52,39.52,39.52,0
20191108T,49.94,49.94,49.94,49.94,0
20191111T,53.67,53.67,53.67,53.67,0
20191112T,53.67,53.67,53.67,53.67,0
20191113T,34.68,34.68,34.68,34.68,0
20191114T,54.57,54.57,54.57,54.57,0
20191115T,50.45,50.45,50.45,50.45,0
20191118T,38.43,38.43,38.43,38.43,0
20191119T,58.41,58.41,58.41,58.41,0
20191120T,44.31,44.31,44.31,44.31,0
20191121T,45.1,45.1,45.1,45.1,0
20191122T,56.35,56.35,56.35,56.35,0
20191125T,57.32,57.32,57.32,57.32,0
20191126T,49.26,49.26,49.26,49.26,0
20191127T,40.37,40.37,40.37,40.37,0
20191128T,54.75,54.75,54.75,54.75,0
20191129T,43.13,43.13,43.13,43.13,0
20191202T,38.47,38.47,38.47,38.47,0
20191203T,48.54,48.54,48.54,48.54,0
20191204T,44.93,44.93,44.93,44.93,0
20191205T,43.28,43.28,43.28,43.28,0
20191206T,38.62,38.62,38.62,38.62,0
20191209T,47.3,47.3,47.3,47.3,0
20191210T,29.88,29.88,29.88,29.88,0
20191211T,76.61,76.61,76.61,76.61,0
20191212T,57.63,57.63,57.63,57.63,0
20191213T,40.67,40.67,40.67,40.67,0
20191216T,48.25,48.25,48.25,48.25,0
20191217T,59.63,59.63,59.63,59.63,0
20191218T,50.63,50.63,50.63,50.63,0
20191219T,51.7,51.7,51.7,51.7,0
20191220T,60.66,60.66,60.66,60.66,0
20191223T,44.86,44.86,44.86,44.86,0
20191224T,59.3,59.3,59.3,59.3,0
20191225T,59.3,59.3,59.3,59.3,0
20191226T,67.15,67.15,67.15,67.15,0
