date,open,high,low,close,volume
20191001T,30.1,30.1,30.1,30.1,0
20191003T,56.85,56.85,56.85,56.85,0
20191004T,28.38,28.38,28.38,28.38,0
20191007T,66.1,66.1,66.1,66.1,0
20191008T,66.1,66.1,66.1,66.1,0
20191009T,50.97,50.97,50.97,50.97,0
20191010T,53.22,53.22,53.22,53.22,0
20191011T,55.12,55.12,55.12,55.12,0
20191014T,35.05,35.05,35.05,35.05,0
20191015T,45.03,45.03,45.03,45.03,0
20191016T,40.82,40.82,40.82,40.82,0
20191017T,45.34,45.34,45.34,45.34,0
20191018T,24.98,24.98,24.98,24.98,0
20191021T,24.98,24.98,24.98,24.98,0
20191022T,24.78,24.78,24.78,24.78,0
20191023T,42.29,42.29,42.29,42.29,0
20191024T,20.86,20.86,20.86,20.86,0
20191025T,47.1,47.1,47.1,47.1,0
20191028T,49.64,49.64,49.64,49.64,0
20191029T,56.95,56.95,56.95,56.95,0
20191030T,64.37,64.37,64.37,64.37,0
20191031T,65.32,65.32,65.32,65.32,0
20191101T,51.57,51.57,51.57,51.57,0
20191104T,37.47,37.47,37.47,37.47,0
20191105T,48.1,48.1,48.1,48.1,0
20191106T,59.85,59.85,59.85,59.85,0
20191107T,74.07,74.07,74.07,74.07,0
20191108T,27.33,27.33,27.33,27.33,0
20191111T,64.96,64.96,64.96,64.96,0
20191112T,64.96,64.96,64.96,64.96,0
20191113T,26.88,26.88,26.88,26.88,0
20191114T,25.3,25.3,25.3,25.3,0
20191115T,25.19,25.19,25.19,25.19,0
20191118T,42.21,42.21,42.21,42.21,0
20191119T,34.56,34.56,34.56,34.56,0
20191120T,30.75,30.75,30.75,30.75,0
20191121T,33.83,33.83,33.83,33.83,0
20191122T,48.3,48.3,48.3,48.3,0
20191125T,20.67,20.67,20.67,20.67,0
20191126T,64.01,64.01,64.01,64.01,0
20191127T,28.23,28.23,28.23,28.23,0
20191128T,70.23,70.23,70.23,70.23,0
20191129T,34.94,34.94,34.94,34.94,0
20191202T,19.93,19.93,19.93,19.93,0
20191203T,26.47,26.47,26.47,26.47,0
20191204T,23.83,23.83,23.83,23.83,0
20191205T,22.02,22.02,22.02,22.02,0
20191206T,53.27,53.27,53.27,53.27,0
20191209T,13.7,13.7,13.7,13.7,0
20191210T,31.74,31.74,31.74,31.74,0
20191211T,24.15,24.15,24.15,24.15,0
20191212T,19.35,19.35,19.35,19.35,0
20191213T,30.46,30.46,30.46,30.46,0
20191216T,20.23,20.23,20.23,20.23,0
20191217T,51.77,51.77,51.77,51.77,0
20191218T,17.12,17.12,17.12,17.12,0
20191219T,26.48,26.48,26.48,26.48,0
20191220T,22.48,22.48,22.48,22.48,0
20191223T,23.48,23.48,23.48,23.48,0
20191224T,15.42,15.42,15.42,15.42,0
20191225T,15.42,15.42,15.42,15.42,0
20191226T,36.72,36.72,36.72,36.72,0
20191227T,27.54,27.54,27.54,27.54,0
20191230T,52.42,52.42,52.42,52.42,0
20191231T,21.72,21.72,21.72,21.72,0
20200101T,23.31,23.31,23.31,23.31,0
20200102T,58.7,58.7,58.7,58.7,0
20200103T,37.09,37.09,37.09,37.09,0
20200106T,26.03,26.03,26.03,26.03,0
20200107T,51.4,51.4,51.4,51.4,0
20200108T,38.74,38.74,38.74,38.74,0
20200109T,27.02,27.02,27.02,27.02,0
20200110T,32.21,32.21,32.21,32.21,0
20200113T,37.14,37.14,37.14,37.14,0
20200114T,27.39,27.39,27.39,27.39,0
20200115T,23.35,23.35,23.35,23.35,0
20200116T,35.26,35.26,35.26,35.26,0
20200117T,24.67,24.67,24.67,24.67,0
20200120T,25.46,25.46,25.46,25.46,0
20200121T,27.32,27.32,27.32,27.32,0
20200122T,45.85,45.85,45.85,45.85,0
20200123T,43.04,43.04,43.04,43.04,0
20200124T,29.54,29.54,29.54,29.54,0
20200127T,39.44,39.44,39.44,39.44,0
20200128T,23.06,23.06,23.06,23.06,0
20200129T,14.25,14.25,14.25,14.25,0
20200130T,19.61,19.61,19.61,19.61,0
20200131T,25.72,25.72,25.72,25.72,0
20200203T,24.16,24.16,24.16,24.16,0
20200204T,28.49,28.49,28.49,28.49,0
20200205T,31.22,31.22,31.22,31.22,0
20200206T,30.17,30.17,30.17,30.17,0
20200207T,33.63,33.63,33.63,33.63,0
20200210T,23.36,23.36,23.36,23.36,0
20200211T,26.34,26.34,26.34,26.34,0
20200212T,18.18,18.18,18.18,18.18,0
20200213T,19.85,19.85,19.85,19.85,0
20200214T,37.33,37.33,37.33,37.33,0
20200217T,49.79,49.79,49.79,49.79,0
20200218T,46.71,46.71,46.71,46.71,0
20200219T,36.55,36.55,36.55,36.55,0
20200220T,53.37,53.37,53.37,53.37,0
20200221T,53.37,53.37,53.37,53.37,0
20200224T,38.88,38.88,38.88,38.88,0
20200225T,17.34,17.34,17.34,17.34,0
20200226T,26.15,26.15,26.15,26.15,0
20200227T,34.62,34.62,34.62,34.62,0
20200228T,34.63,34.63,34.63,34.63,0
20200302T,37.9,37.9,37.9,37.9,0
20200303T,46.01,46.01,46.01,46.01,0
20200304T,45.54,45.54,45.54,45.54,0
20200305T,34.01,34.01,34.01,34.01,0
20200306T,33.37,33.37,33.37,33.37,0
20200309T,52.74,52.74,52.74,52.74,0
20200310T,52.74,52.74,52.74,52.74,0
20200311T,46.46,46.46,46.46,46.46,0
20200312T,50.73,50.73,50.73,50.73,0
20200313T,34.65,34.65,34.65,34.65,0
20200316T,43.34,43.34,43.34,43.34,0
20200317T,55.79,55.79,55.79,55.79,0
20200318T,45.73,45.73,45.73,45.73,0
20200319T,74.15,74.15,74.15,74.15,0
20200320T,80.65,80.65,80.65,80.65,0
20200323T,86.06,86.06,86.06,86.06,0
20200324T,48.19,48.19,48.19,48.19,0
20200325T,44.09,44.09,44.09,44.09,0
20200326T,54.73,54.73,54.73,54.73,0
20200327T,35.53,35.53,35.53,35.53,0
20200330T,61.87,61.87,61.87,61.87,0
20200331T,40.03,40.03,40.03,40.03,0
20200401T,49.68,49.68,49.68,49.68,0
20200402T,49.68,49.68,49.68,49.68,0
20200403T,40.16,40.16,40.16,40.16,0
20200406T,40.16,40.16,40.16,40.16,0
20200407T,47.15,47.15,47.15,47.15,0
20200408T,21.26,21.26,21.26,21.26,0
20200409T,18.65,18.65,18.65,18.65,0
20200410T,18.65,18.65,18.65,18.65,0
20200413T,16.36,16.36,16.36,16.36,0
20200415T,27.33,27.33,27.33,27.33,0
20200416T,12.95,12.95,12.95,12.95,0
20200417T,18.68,18.68,18.68,18.68,0
20200420T,14.26,14.26,14.26,14.26,0
20200421T,22.32,22.32,22.32,22.32,0
20200422T,18.26,18.26,18.26,18.26,0
20200423T,13.98,13.98,13.98,13.98,0
20200424T,29.67,29.67,29.67,29.67,0
20200427T,22.16,22.16,22.16,22.16,0
20200428T,39.65,39.65,39.65,39.65,0
20200429T,33.4,33.4,33.4,33.4,0
20200430T,26.18,26.18,26.18,26.18,0
20200501T,26.18,26.18,26.18,26.18,0
20200504T,25.77,25.77,25.77,25.77,0
20200505T,34.5,34.5,34.5,34.5,0
20200506T,55.55,55.55,55.55,55.55,0
20200507T,20.86,20.86,20.86,20.86,0
20200508T,13.83,13.83,13.83,13.83,0
20200511T,27.66,27.66,27.66,27.66,0
20200512T,23.58,23.58,23.58,23.58,0
20200513T,21.36,21.36,21.36,21.36,0
20200514T,39.42,39.42,39.42,39.42,0
20200515T,32.73,32.73,32.73,32.73,0
20200518T,17.77,17.77,17.77,17.77,0
20200519T,8.97,8.97,8.97,8.97,0
20200520T,11.68,11.68,11.68,11.68,0
20200521T,19.19,19.19,19.19,19.19,0
20200522T,18.71,18.71,18.71,18.71,0
20200525T,18.71,18.71,18.71,18.71,0
20200526T,20.82,20.82,20.82,20.82,0
20200527T,12.08,12.08,12.08,12.08,0
20200528T,27.03,27.03,27.03,27.03,0
20200529T,51.19,51.19,51.19,51.19,0
20200601T,18.1,18.1,18.1,18.1,0
20200602T,8.33,8.33,8.33,8.33,0
20200603T,20.46,20.46,20.46,20.46,0
20200604T,14.36,14.36,14.36,14.36,0
20200605T,18.62,18.62,18.62,18.62,0
20200608T,25.67,25.67,25.67,25.67,0
20200609T,18.36,18.36,18.36,18.36,0
20200610T,14.58,14.58,14.58,14.58,0
20200611T,26.26,26.26,26.26,26.26,0
20200612T,17.65,17.65,17.65,17.65,0
20200615T,31.61,31.61,31.61,31.61,0
20200616T,12.91,12.91,12.91,12.91,0
20200617T,25.9,25.9,25.9,25.9,0
20200618T,25.2,25.2,25.2,25.2,0
20200619T,38.91,38.91,38.91,38.91,0
20200622T,22.28,22.28,22.28,22.28,0
20200623T,21.24,21.24,21.24,21.24,0
20200624T,20.26,20.26,20.26,20.26,0
20200625T,25.79,25.79,25.79,25.79,0
20200626T,17.2,17.2,17.2,17.2,0
20200629T,19.47,19.47,19.47,19.47,0
20200630T,19.39,19.39,19.39,19.39,0
20200701T,14.13,14.13,14.13,14.13,0
20200702T,21.82,21.82,21.82,21.82,0
20200703T,23.62,23.62,23.62,23.62,0
20200706T,15.51,15.51,15.51,15.51,0
20200707T,26.37,26.37,26.37,26.37,0
20200708T,23.54,23.54,23.54,23.54,0
20200709T,31.53,31.53,31.53,31.53,0
20200710T,26.17,26.17,26.17,26.17,0
20200713T,25.43,25.43,25.43,25.43,0
20200714T,23.22,23.22,23.22,23.22,0
20200715T,22.59,22.59,22.59,22.59,0
20200716T,20.84,20.84,20.84,20.84,0
20200717T,33.74,33.74,33.74,33.74,0
20200720T,21.23,21.23,21.23,21.23,0
20200721T,22.25,22.25,22.25,22.25,0
20200722T,30.44,30.44,30.44,30.44,0
20200723T,34.4,34.4,34.4,34.4,0
20200724T,24.12,24.12,24.12,24.12,0
20200727T,27.25,27.25,27.25,27.25,0
20200728T,13.86,13.86,13.86,13.86,0
20200729T,36.36,36.36,36.36,36.36,0
20200730T,39.92,39.92,39.92,39.92,0
20200731T,19.91,19.91,19.91,19.91,0
20200803T,22.76,22.76,22.76,22.76,0
20200804T,21.53,21.53,21.53,21.53,0
20200805T,21.63,21.63,21.63,21.63,0
20200806T,15.97,15.97,15.97,15.97,0
20200807T,30.3,30.3,30.3,30.3,0
20200810T,31.28,31.28,31.28,31.28,0
20200811T,29.52,29.52,29.52,29.52,0
20200812T,29.31,29.31,29.31,29.31,0
20200813T,18.55,18.55,18.55,18.55,0
20200814T,11.28,11.28,11.28,11.28,0
20200817T,12.1,12.1,12.1,12.1,0
20200818T,15.86,15.86,15.86,15.86,0
20200819T,14.18,14.18,14.18,14.18,0
20200820T,18.32,18.32,18.32,18.32,0
20200821T,24.33,24.33,24.33,24.33,0
20200824T,49.93,49.93,49.93,49.93,0
20200825T,48.88,48.88,48.88,48.88,0
20200826T,16.11,16.11,16.11,16.11,0
20200827T,15.33,15.33,15.33,15.33,0
20200828T,9.71,9.71,9.71,9.71,0
20200831T,43.02,43.02,43.02,43.02,0
20200901T,10.58,10.58,10.58,10.58,0
20200902T,14.27,14.27,14.27,14.27,0
20200903T,18.77,18.77,18.77,18.77,0
20200904T,19.44,19.44,19.44,19.44,0
20200907T,39.22,39.22,39.22,39.22,0
20200908T,34.01,34.01,34.01,34.01,0
20200909T,17.34,17.34,17.34,17.34,0
20200910T,20.02,20.02,20.02,20.02,0
20200911T,12.97,12.97,12.97,12.97,0
20200914T,27.6,27.6,27.6,27.6,0
20200915T,18.27,18.27,18.27,18.27,0
20200916T,17.34,17.34,17.34,17.34,0
20200917T,23.52,23.52,23.52,23.52,0
20200918T,34.97,34.97,34.97,34.97,0
20200921T,36.0,36.0,36.0,36.0,0
20200922T,36.45,36.45,36.45,36.45,0
20200923T,54.29,54.29,54.29,54.29,0
20200924T,57.85,57.85,57.85,57.85,0
20200925T,76.67,76.67,76.67,76.67,0
20200928T,41.27,41.27,41.27,41.27,0
20200929T,31.51,31.51,31.51,31.51,0
20200930T,33.02,33.02,33.02,33.02,0
20201001T,16.14,16.14,16.14,16.14,0
20201005T,29.29,29.29,29.29,29.29,0
20201006T,16.71,16.71,16.71,16.71,0
20201007T,21.93,21.93,21.93,21.93,0
20201008T,24.52,24.52,24.52,24.52,0
20201009T,35.58,35.58,35.58,35.58,0
20201012T,8.84,8.84,8.84,8.84,0
20201013T,11.15,11.15,11.15,11.15,0
20201014T,20.62,20.62,20.62,20.62,0
20201015T,14.15,14.15,14.15,14.15,0
20201016T,18.53,18.53,18.53,18.53,0
20201019T,14.26,14.26,14.26,14.26,0
20201020T,16.11,16.11,16.11,16.11,0
20201021T,22.65,22.65,22.65,22.65,0
20201022T,50.15,50.15,50.15,50.15,0
20201023T,17.98,17.98,17.98,17.98,0
20201026T,20.3,20.3,20.3,20.3,0
20201027T,18.96,18.96,18.96,18.96,0
20201028T,24.87,24.87,24.87,24.87,0
20201029T,22.0,22.0,22.0,22.0,0
20201030T,31.45,31.45,31.45,31.45,0
20201102T,20.13,20.13,20.13,20.13,0
20201103T,37.83,37.83,37.83,37.83,0
20201104T,27.65,27.65,27.65,27.65,0
20201105T,29.38,29.38,29.38,29.38,0
20201106T,35.76,35.76,35.76,35.76,0
20201109T,46.14,46.14,46.14,46.14,0
20201110T,28.17,28.17,28.17,28.17,0
20201111T,23.41,23.41,23.41,23.41,0
20201112T,11.48,11.48,11.48,11.48,0
20201113T,20.1,20.1,20.1,20.1,0
20201116T,32.84,32.84,32.84,32.84,0
20201117T,10.5,10.5,10.5,10.5,0
20201118T,25.63,25.63,25.63,25.63,0
20201119T,23.19,23.19,23.19,23.19,0
20201120T,24.1,24.1,24.1,24.1,0
20201123T,17.07,17.07,17.07,17.07,0
20201124T,33.93,33.93,33.93,33.93,0
20201125T,26.31,26.31,26.31,26.31,0
20201126T,18.05,18.05,18.05,18.05,0
20201127T,27.25,27.25,27.25,27.25,0
20201130T,27.25,27.25,27.25,27.25,0
20201201T,12.34,12.34,12.34,12.34,0
20201202T,15.65,15.65,15.65,15.65,0
20201203T,30.06,30.06,30.06,30.06,0
20201204T,20.61,20.61,20.61,20.61,0
20201207T,33.79,33.79,33.79,33.79,0
20201208T,16.22,16.22,16.22,16.22,0
20201209T,19.57,19.57,19.57,19.57,0
20201210T,17.18,17.18,17.18,17.18,0
20201211T,19.35,19.35,19.35,19.35,0
20201214T,21.13,21.13,21.13,21.13,0
20201215T,23.84,23.84,23.84,23.84,0
20201216T,49.45,49.45,49.45,49.45,0
20201217T,22.03,22.03,22.03,22.03,0
20201218T,33.51,33.51,33.51,33.51,0
20201221T,26.4,26.4,26.4,26.4,0
20201222T,20.08,20.08,20.08,20.08,0
