date,open,high,low,close,volume
20251219T,78.36,78.36,78.36,78.36,0
20251222T,90.43,90.43,90.43,90.43,0
20251223T,96.12,96.12,96.12,96.12,0
20251224T,91.55,91.55,91.55,91.55,0
20251225T,91.55,91.55,91.55,91.55,0
20251226T,81.05,81.05,81.05,81.05,0
20251229T,75.57,75.57,75.57,75.57,0
20251230T,89.15,89.15,89.15,89.15,0
20251231T,97.31,97.31,97.31,97.31,0
20260101T,98.79,98.79,98.79,98.79,0
20260102T,97.51,97.51,97.51,97.51,0
20260105T,72.52,72.52,72.52,72.52,0
20260106T,74.99,74.99,74.99,74.99,0
20260107T,100.0,100.0,100.0,100.0,0
20260108T,96.67,96.67,96.67,96.67,0
20260109T,95.02,95.02,95.02,95.02,0
20260112T,68.24,68.24,68.24,68.24,0
20260113T,60.38,60.38,60.38,60.38,0
20260114T,78.02,78.02,78.02,78.02,0
20260115T,78.02,78.02,78.02,78.02,0
20260116T,78.89,78.89,78.89,78.89,0
20260119T,88.82,88.82,88.82,88.82,0
20260120T,89.3,89.3,89.3,89.3,0
20260121T,63.38,63.38,63.38,63.38,0
20260122T,65.11,65.11,65.11,65.11,0
20260123T,75.7,75.7,75.7,75.7,0
20260127T,75.38,75.38,75.38,75.38,0
20260128T,87.06,87.06,87.06,87.06,0
20260129T,56.18,56.18,56.18,56.18,0
20260130T,95.35,95.35,95.35,95.35,0
20260202T,45.83,45.83,45.83,45.83,0
20260203T,79.33,79.33,79.33,79.33,0
20260204T,75.84,75.84,75.84,75.84,0
20260205T,61.61,61.61,61.61,61.61,0
20260206T,38.83,38.83,38.83,38.83,0
20260209T,72.13,72.13,72.13,72.13,0
20260210T,70.43,70.43,70.43,70.43,0
