date,open,high,low,close,volume
20230802T,22.11,22.11,22.11,22.11,0
20230803T,28.29,28.29,28.29,28.29,0
20230804T,70.45,70.45,70.45,70.45,0
20230807T,99.32,99.32,99.32,99.32,0
20230808T,99.96,99.96,99.96,99.96,0
20230809T,87.72,87.72,87.72,87.72,0
20230810T,93.6,93.6,93.6,93.6,0
20230811T,64.4,64.4,64.4,64.4,0
20230814T,99.54,99.54,99.54,99.54,0
20230816T,16.67,16.67,16.67,16.67,0
20230817T,81.46,81.46,81.46,81.46,0
20230818T,73.68,73.68,73.68,73.68,0
20230821T,52.49,52.49,52.49,52.49,0
20230822T,93.81,93.81,93.81,93.81,0
20230823T,88.19,88.19,88.19,88.19,0
20230824T,94.49,94.49,94.49,94.49,0
20230825T,71.56,71.56,71.56,71.56,0
20230828T,65.71,65.71,65.71,65.71,0
20230829T,92.31,92.31,92.31,92.31,0
20230830T,95.29,95.29,95.29,95.29,0
20230831T,87.06,87.06,87.06,87.06,0
20230901T,95.06,95.06,95.06,95.06,0
20230904T,88.09,88.09,88.09,88.09,0
20230905T,91.1,91.1,91.1,91.1,0
20230906T,92.07,92.07,92.07,92.07,0
20230907T,33.33,33.33,33.33,33.33,0
20230908T,60.63,60.63,60.63,60.63,0
20230911T,53.23,53.23,53.23,53.23,0
20230912T,88.4,88.4,88.4,88.4,0
20230913T,94.84,94.84,94.84,94.84,0
20230914T,78.01,78.01,78.01,78.01,0
20230915T,83.44,83.44,83.44,83.44,0
20230918T,98.61,98.61,98.61,98.61,0
20230919T,98.61,98.61,98.61,98.61,0
20230920T,91.12,91.12,91.12,91.12,0
20230921T,30.68,30.68,30.68,30.68,0
20230922T,99.15,99.15,99.15,99.15,0
20230925T,95.7,95.7,95.7,95.7,0
20230926T,94.74,94.74,94.74,94.74,0
20230927T,55.17,55.17,55.17,55.17,0
20230928T,91.36,91.36,91.36,91.36,0
20230929T,84.0,84.0,84.0,84.0,0
20231003T,92.2,92.2,92.2,92.2,0
20231004T,53.33,53.33,53.33,53.33,0
20231005T,93.62,93.62,93.62,93.62,0
20231009T,100.0,100.0,100.0,100.0,0
20231010T,97.5,97.5,97.5,97.5,0
20231011T,89.83,89.83,89.83,89.83,0
20231012T,88.71,88.71,88.71,88.71,0
20231013T,87.26,87.26,87.26,87.26,0
20231016T,91.23,91.23,91.23,91.23,0
20231018T,95.66,95.66,95.66,95.66,0
20231019T,87.35,87.35,87.35,87.35,0
20231020T,64.21,64.21,64.21,64.21,0
20231023T,45.0,45.0,45.0,45.0,0
20231024T,45.0,45.0,45.0,45.0,0
20231025T,98.69,98.69,98.69,98.69,0
20231026T,72.83,72.83,72.83,72.83,0
20231027T,80.88,80.88,80.88,80.88,0
20231030T,48.15,48.15,48.15,48.15,0
20231031T,90.32,90.32,90.32,90.32,0
20231101T,99.38,99.38,99.38,99.38,0
20231102T,96.3,96.3,96.3,96.3,0
20231103T,88.89,88.89,88.89,88.89,0
20231106T,62.71,62.71,62.71,62.71,0
20231107T,92.17,92.17,92.17,92.17,0
20231108T,93.52,93.52,93.52,93.52,0
20231109T,96.0,96.0,96.0,96.0,0
20231110T,87.04,87.04,87.04,87.04,0
20231113T,93.41,93.41,93.41,93.41,0
20231114T,93.41,93.41,93.41,93.41,0
20231115T,97.88,97.88,97.88,97.88,0
20231116T,87.34,87.34,87.34,87.34,0
20231117T,89.55,89.55,89.55,89.55,0
20231120T,94.31,94.31,94.31,94.31,0
20231121T,92.56,92.56,92.56,92.56,0
20231122T,93.84,93.84,93.84,93.84,0
20231123T,100.0,100.0,100.0,100.0,0
20231124T,77.14,77.14,77.14,77.14,0
20231127T,77.14,77.14,77.14,77.14,0
20231128T,83.39,83.39,83.39,83.39,0
20231129T,99.59,99.59,99.59,99.59,0
20231130T,93.36,93.36,93.36,93.36,0
20231201T,54.84,54.84,54.84,54.84,0
20231204T,89.51,89.51,89.51,89.51,0
20231205T,89.32,89.32,89.32,89.32,0
20231206T,69.11,69.11,69.11,69.11,0
20231207T,98.64,98.64,98.64,98.64,0
20231208T,99.74,99.74,99.74,99.74,0
20231211T,83.29,83.29,83.29,83.29,0
20231212T,98.28,98.28,98.28,98.28,0
20231213T,61.97,61.97,61.97,61.97,0
20231214T,97.85,97.85,97.85,97.85,0
20231215T,93.88,93.88,93.88,93.88,0
20231218T,94.44,94.44,94.44,94.44,0
20231219T,76.9,76.9,76.9,76.9,0
20231220T,61.61,61.61,61.61,61.61,0
20231221T,57.24,57.24,57.24,57.24,0
20231222T,91.11,91.11,91.11,91.11,0
20231225T,91.11,91.11,91.11,91.11,0
20231226T,94.71,94.71,94.71,94.71,0
20231227T,99.1,99.1,99.1,99.1,0
20231228T,10.39,10.39,10.39,10.39,0
20240101T,66.51,66.51,66.51,66.51,0
20240102T,62.7,62.7,62.7,62.7,0
20240103T,80.37,80.37,80.37,80.37,0
20240104T,59.61,59.61,59.61,59.61,0
20240105T,55.25,55.25,55.25,55.25,0
20240108T,46.06,46.06,46.06,46.06,0
20240109T,54.68,54.68,54.68,54.68,0
20240110T,53.62,53.62,53.62,53.62,0
20240111T,90.53,90.53,90.53,90.53,0
20240112T,92.13,92.13,92.13,92.13,0
