date,open,high,low,close,volume
20191001T,78.25,78.25,78.25,78.25,0
20191003T,33.9,33.9,33.9,33.9,0
20191004T,23.9,23.9,23.9,23.9,0
20191007T,36.26,36.26,36.26,36.26,0
20191008T,36.26,36.26,36.26,36.26,0
20191009T,86.41,86.41,86.41,86.41,0
20191010T,52.02,52.02,52.02,52.02,0
20191011T,71.43,71.43,71.43,71.43,0
20191014T,48.84,48.84,48.84,48.84,0
20191015T,64.67,64.67,64.67,64.67,0
20191016T,36.54,36.54,36.54,36.54,0
20191017T,63.44,63.44,63.44,63.44,0
20191018T,60.06,60.06,60.06,60.06,0
20191021T,60.06,60.06,60.06,60.06,0
20191022T,45.41,45.41,45.41,45.41,0
20191023T,49.69,49.69,49.69,49.69,0
20191024T,40.14,40.14,40.14,40.14,0
20191025T,59.03,59.03,59.03,59.03,0
20191028T,44.83,44.83,44.83,44.83,0
20191029T,64.03,64.03,64.03,64.03,0
20191030T,54.31,54.31,54.31,54.31,0
20191031T,68.95,68.95,68.95,68.95,0
20191101T,53.65,53.65,53.65,53.65,0
20191104T,59.18,59.18,59.18,59.18,0
20191105T,78.54,78.54,78.54,78.54,0
20191106T,54.59,54.59,54.59,54.59,0
20191107T,54.4,54.4,54.4,54.4,0
20191108T,76.72,76.72,76.72,76.72,0
20191111T,47.04,47.04,47.04,47.04,0
20191112T,47.04,47.04,47.04,47.04,0
20191113T,71.64,71.64,71.64,71.64,0
20191114T,82.49,82.49,82.49,82.49,0
20191115T,61.01,61.01,61.01,61.01,0
20191118T,84.02,84.02,84.02,84.02,0
20191119T,81.29,81.29,81.29,81.29,0
20191120T,52.95,52.95,52.95,52.95,0
20191121T,66.08,66.08,66.08,66.08,0
20191122T,85.45,85.45,85.45,85.45,0
20191125T,45.35,45.35,45.35,45.35,0
20191126T,67.89,67.89,67.89,67.89,0
20191127T,75.98,75.98,75.98,75.98,0
20191128T,75.57,75.57,75.57,75.57,0
20191129T,77.16,77.16,77.16,77.16,0
20191202T,85.24,85.24,85.24,85.24,0
20191203T,66.98,66.98,66.98,66.98,0
20191204T,64.93,64.93,64.93,64.93,0
20191205T,49.36,49.36,49.36,49.36,0
20191206T,84.72,84.72,84.72,84.72,0
20191209T,63.2,63.2,63.2,63.2,0
20191210T,71.83,71.83,71.83,71.83,0
20191211T,52.22,52.22,52.22,52.22,0
20191212T,51.28,51.28,51.28,51.28,0
20191213T,79.96,79.96,79.96,79.96,0
20191216T,94.01,94.01,94.01,94.01,0
20191217T,96.33,96.33,96.33,96.33,0
20191218T,55.03,55.03,55.03,55.03,0
20191219T,71.37,71.37,71.37,71.37,0
20191220T,70.04,70.04,70.04,70.04,0
20191223T,39.37,39.37,39.37,39.37,0
20191224T,57.72,57.72,57.72,57.72,0
20191225T,57.72,57.72,57.72,57.72,0
20191226T,78.88,78.88,78.88,78.88,0
20191227T,42.99,42.99,42.99,42.99,0
20191230T,26.3,26.3,26.3,26.3,0
20191231T,62.47,62.47,62.47,62.47,0
20200101T,45.66,45.66,45.66,45.66,0
20200102T,68.93,68.93,68.93,68.93,0
20200103T,46.71,46.71,46.71,46.71,0
20200106T,56.2,56.2,56.2,56.2,0
20200107T,26.58,26.58,26.58,26.58,0
20200108T,69.18,69.18,69.18,69.18,0
20200109T,70.09,70.09,70.09,70.09,0
20200110T,51.48,51.48,51.48,51.48,0
20200113T,74.71,74.71,74.71,74.71,0
20200114T,80.3,80.3,80.3,80.3,0
20200115T,64.5,64.5,64.5,64.5,0
20200116T,77.85,77.85,77.85,77.85,0
20200117T,90.16,90.16,90.16,90.16,0
20200120T,69.45,69.45,69.45,69.45,0
20200121T,65.19,65.19,65.19,65.19,0
20200122T,52.54,52.54,52.54,52.54,0
20200123T,57.65,57.65,57.65,57.65,0
20200124T,64.77,64.77,64.77,64.77,0
20200127T,70.06,70.06,70.06,70.06,0
20200128T,39.92,39.92,39.92,39.92,0
20200129T,67.12,67.12,67.12,67.12,0
20200130T,54.78,54.78,54.78,54.78,0
20200131T,56.06,56.06,56.06,56.06,0
20200203T,37.06,37.06,37.06,37.06,0
20200204T,42.4,42.4,42.4,42.4,0
20200205T,38.1,38.1,38.1,38.1,0
20200206T,68.59,68.59,68.59,68.59,0
20200207T,75.31,75.31,75.31,75.31,0
20200210T,66.73,66.73,66.73,66.73,0
20200211T,55.7,55.7,55.7,55.7,0
20200212T,60.38,60.38,60.38,60.38,0
20200213T,64.84,64.84,64.84,64.84,0
20200214T,53.36,53.36,53.36,53.36,0
20200217T,76.12,76.12,76.12,76.12,0
20200218T,74.23,74.23,74.23,74.23,0
20200219T,42.66,42.66,42.66,42.66,0
20200220T,81.99,81.99,81.99,81.99,0
20200221T,81.99,81.99,81.99,81.99,0
20200224T,80.38,80.38,80.38,80.38,0
20200225T,81.52,81.52,81.52,81.52,0
20200226T,81.55,81.55,81.55,81.55,0
20200227T,61.14,61.14,61.14,61.14,0
20200228T,86.25,86.25,86.25,86.25,0
20200302T,83.36,83.36,83.36,83.36,0
20200303T,61.92,61.92,61.92,61.92,0
20200304T,76.5,76.5,76.5,76.5,0
20200305T,57.63,57.63,57.63,57.63,0
20200306T,64.85,64.85,64.85,64.85,0
20200309T,65.97,65.97,65.97,65.97,0
20200310T,65.97,65.97,65.97,65.97,0
20200311T,81.2,81.2,81.2,81.2,0
20200312T,70.08,70.08,70.08,70.08,0
20200313T,75.8,75.8,75.8,75.8,0
20200316T,73.47,73.47,73.47,73.47,0
20200317T,63.55,63.55,63.55,63.55,0
20200318T,82.46,82.46,82.46,82.46,0
20200319T,66.37,66.37,66.37,66.37,0
20200320T,73.6,73.6,73.6,73.6,0
20200323T,91.28,91.28,91.28,91.28,0
20200324T,72.22,72.22,72.22,72.22,0
20200325T,81.5,81.5,81.5,81.5,0
20200326T,86.1,86.1,86.1,86.1,0
20200327T,66.27,66.27,66.27,66.27,0
20200330T,83.99,83.99,83.99,83.99,0
20200331T,56.69,56.69,56.69,56.69,0
20200401T,62.32,62.32,62.32,62.32,0
20200402T,62.32,62.32,62.32,62.32,0
20200403T,61.99,61.99,61.99,61.99,0
20200406T,61.99,61.99,61.99,61.99,0
20200407T,74.62,74.62,74.62,74.62,0
20200408T,77.94,77.94,77.94,77.94,0
20200409T,88.89,88.89,88.89,88.89,0
20200410T,88.89,88.89,88.89,88.89,0
20200413T,81.5,81.5,81.5,81.5,0
20200415T,64.47,64.47,64.47,64.47,0
20200416T,80.5,80.5,80.5,80.5,0
20200417T,74.47,74.47,74.47,74.47,0
20200420T,85.04,85.04,85.04,85.04,0
20200421T,77.89,77.89,77.89,77.89,0
20200422T,91.01,91.01,91.01,91.01,0
20200423T,54.04,54.04,54.04,54.04,0
20200424T,93.34,93.34,93.34,93.34,0
20200427T,66.09,66.09,66.09,66.09,0
20200428T,56.61,56.61,56.61,56.61,0
20200429T,70.71,70.71,70.71,70.71,0
20200430T,64.57,64.57,64.57,64.57,0
20200501T,64.57,64.57,64.57,64.57,0
20200504T,67.79,67.79,67.79,67.79,0
20200505T,66.28,66.28,66.28,66.28,0
20200506T,73.29,73.29,73.29,73.29,0
20200507T,54.42,54.42,54.42,54.42,0
20200508T,95.26,95.26,95.26,95.26,0
20200511T,64.29,64.29,64.29,64.29,0
20200512T,89.76,89.76,89.76,89.76,0
20200513T,88.85,88.85,88.85,88.85,0
20200514T,76.54,76.54,76.54,76.54,0
20200515T,80.7,80.7,80.7,80.7,0
20200518T,83.16,83.16,83.16,83.16,0
20200519T,66.02,66.02,66.02,66.02,0
20200520T,61.0,61.0,61.0,61.0,0
20200521T,58.48,58.48,58.48,58.48,0
20200522T,56.67,56.67,56.67,56.67,0
20200525T,56.67,56.67,56.67,56.67,0
20200526T,100.0,100.0,100.0,100.0,0
20200527T,70.22,70.22,70.22,70.22,0
20200528T,88.12,88.12,88.12,88.12,0
20200529T,87.77,87.77,87.77,87.77,0
20200601T,67.24,67.24,67.24,67.24,0
20200602T,69.31,69.31,69.31,69.31,0
20200603T,86.74,86.74,86.74,86.74,0
20200604T,76.91,76.91,76.91,76.91,0
20200605T,65.58,65.58,65.58,65.58,0
20200608T,73.01,73.01,73.01,73.01,0
20200609T,88.18,88.18,88.18,88.18,0
20200610T,90.53,90.53,90.53,90.53,0
20200611T,55.99,55.99,55.99,55.99,0
20200612T,45.4,45.4,45.4,45.4,0
20200615T,50.58,50.58,50.58,50.58,0
20200616T,63.13,63.13,63.13,63.13,0
20200617T,66.96,66.96,66.96,66.96,0
20200618T,59.14,59.14,59.14,59.14,0
20200619T,64.16,64.16,64.16,64.16,0
20200622T,71.88,71.88,71.88,71.88,0
20200623T,72.9,72.9,72.9,72.9,0
20200624T,59.34,59.34,59.34,59.34,0
20200625T,66.63,66.63,66.63,66.63,0
20200626T,65.45,65.45,65.45,65.45,0
20200629T,65.08,65.08,65.08,65.08,0
20200630T,72.42,72.42,72.42,72.42,0
20200701T,72.83,72.83,72.83,72.83,0
20200702T,85.31,85.31,85.31,85.31,0
20200703T,84.04,84.04,84.04,84.04,0
20200706T,48.24,48.24,48.24,48.24,0
20200707T,85.74,85.74,85.74,85.74,0
20200708T,61.49,61.49,61.49,61.49,0
20200709T,60.54,60.54,60.54,60.54,0
20200710T,59.11,59.11,59.11,59.11,0
20200713T,77.33,77.33,77.33,77.33,0
20200714T,82.23,82.23,82.23,82.23,0
20200715T,80.29,80.29,80.29,80.29,0
20200716T,70.32,70.32,70.32,70.32,0
20200717T,78.16,78.16,78.16,78.16,0
20200720T,64.82,64.82,64.82,64.82,0
20200721T,77.6,77.6,77.6,77.6,0
20200722T,73.42,73.42,73.42,73.42,0
20200723T,72.7,72.7,72.7,72.7,0
20200724T,82.61,82.61,82.61,82.61,0
20200727T,69.98,69.98,69.98,69.98,0
20200728T,58.51,58.51,58.51,58.51,0
20200729T,80.52,80.52,80.52,80.52,0
20200730T,70.68,70.68,70.68,70.68,0
20200731T,68.62,68.62,68.62,68.62,0
20200803T,86.46,86.46,86.46,86.46,0
20200804T,80.04,80.04,80.04,80.04,0
20200805T,56.44,56.44,56.44,56.44,0
20200806T,58.12,58.12,58.12,58.12,0
20200807T,69.46,69.46,69.46,69.46,0
20200810T,80.18,80.18,80.18,80.18,0
20200811T,73.47,73.47,73.47,73.47,0
20200812T,72.73,72.73,72.73,72.73,0
20200813T,55.79,55.79,55.79,55.79,0
20200814T,83.19,83.19,83.19,83.19,0
20200817T,77.19,77.19,77.19,77.19,0
20200818T,46.17,46.17,46.17,46.17,0
20200819T,54.74,54.74,54.74,54.74,0
20200820T,48.0,48.0,48.0,48.0,0
20200821T,81.61,81.61,81.61,81.61,0
20200824T,93.49,93.49,93.49,93.49,0
20200825T,80.96,80.96,80.96,80.96,0
20200826T,99.96,99.96,99.96,99.96,0
20200827T,98.42,98.42,98.42,98.42,0
20200828T,53.6,53.6,53.6,53.6,0
20200831T,69.52,69.52,69.52,69.52,0
20200901T,86.23,86.23,86.23,86.23,0
20200902T,60.39,60.39,60.39,60.39,0
20200903T,42.89,42.89,42.89,42.89,0
20200904T,46.01,46.01,46.01,46.01,0
20200907T,60.22,60.22,60.22,60.22,0
20200908T,68.59,68.59,68.59,68.59,0
20200909T,67.01,67.01,67.01,67.01,0
20200910T,75.95,75.95,75.95,75.95,0
20200911T,51.45,51.45,51.45,51.45,0
20200914T,49.23,49.23,49.23,49.23,0
20200915T,67.1,67.1,67.1,67.1,0
20200916T,69.66,69.66,69.66,69.66,0
20200917T,66.8,66.8,66.8,66.8,0
20200918T,54.53,54.53,54.53,54.53,0
20200921T,75.11,75.11,75.11,75.11,0
20200922T,61.97,61.97,61.97,61.97,0
20200923T,52.68,52.68,52.68,52.68,0
20200924T,30.18,30.18,30.18,30.18,0
20200925T,64.07,64.07,64.07,64.07,0
20200928T,44.23,44.23,44.23,44.23,0
20200929T,53.08,53.08,53.08,53.08,0
20200930T,52.78,52.78,52.78,52.78,0
20201001T,78.45,78.45,78.45,78.45,0
20201005T,53.82,53.82,53.82,53.82,0
20201006T,49.67,49.67,49.67,49.67,0
20201007T,55.57,55.57,55.57,55.57,0
20201008T,49.08,49.08,49.08,49.08,0
20201009T,44.53,44.53,44.53,44.53,0
20201012T,46.7,46.7,46.7,46.7,0
20201013T,48.53,48.53,48.53,48.53,0
20201014T,54.77,54.77,54.77,54.77,0
20201015T,63.3,63.3,63.3,63.3,0
20201016T,56.15,56.15,56.15,56.15,0
20201019T,64.98,64.98,64.98,64.98,0
20201020T,64.65,64.65,64.65,64.65,0
20201021T,65.45,65.45,65.45,65.45,0
20201022T,52.23,52.23,52.23,52.23,0
20201023T,38.84,38.84,38.84,38.84,0
20201026T,60.8,60.8,60.8,60.8,0
20201027T,72.28,72.28,72.28,72.28,0
20201028T,70.67,70.67,70.67,70.67,0
20201029T,51.63,51.63,51.63,51.63,0
20201030T,56.99,56.99,56.99,56.99,0
20201102T,64.67,64.67,64.67,64.67,0
20201103T,46.68,46.68,46.68,46.68,0
20201104T,67.71,67.71,67.71,67.71,0
20201105T,64.48,64.48,64.48,64.48,0
20201106T,14.19,14.19,14.19,14.19,0
20201109T,48.91,48.91,48.91,48.91,0
20201110T,61.5,61.5,61.5,61.5,0
20201111T,46.51,46.51,46.51,46.51,0
20201112T,36.64,36.64,36.64,36.64,0
20201113T,17.06,17.06,17.06,17.06,0
20201116T,57.46,57.46,57.46,57.46,0
20201117T,70.26,70.26,70.26,70.26,0
20201118T,69.44,69.44,69.44,69.44,0
20201119T,66.21,66.21,66.21,66.21,0
20201120T,60.4,60.4,60.4,60.4,0
20201123T,62.56,62.56,62.56,62.56,0
20201124T,63.06,63.06,63.06,63.06,0
20201125T,69.16,69.16,69.16,69.16,0
20201126T,60.28,60.28,60.28,60.28,0
20201127T,57.56,57.56,57.56,57.56,0
20201130T,57.56,57.56,57.56,57.56,0
20201201T,78.22,78.22,78.22,78.22,0
20201202T,50.29,50.29,50.29,50.29,0
20201203T,52.04,52.04,52.04,52.04,0
20201204T,52.1,52.1,52.1,52.1,0
20201207T,55.07,55.07,55.07,55.07,0
20201208T,24.78,24.78,24.78,24.78,0
20201209T,40.25,40.25,40.25,40.25,0
20201210T,49.36,49.36,49.36,49.36,0
20201211T,53.82,53.82,53.82,53.82,0
20201214T,57.72,57.72,57.72,57.72,0
20201215T,43.35,43.35,43.35,43.35,0
20201216T,58.25,58.25,58.25,58.25,0
20201217T,70.63,70.63,70.63,70.63,0
20201218T,66.47,66.47,66.47,66.47,0
20201221T,63.81,63.81,63.81,63.81,0
20201222T,47.23,47.23,47.23,47.23,0
20201223T,48.96,48.96,48.96,48.96,0
20201224T,47.8,47.8,47.8,47.8,0
20201225T,47.8,47.8,47.8,47.8,0
20201228T,60.48,60.48,60.48,60.48,0
20201229T,62.33,62.33,62.33,62.33,0
20201230T,68.24,68.24,68.24,68.24,0
20201231T,48.12,48.12,48.12,48.12,0
20210101T,53.09,53.09,53.09,53.09,0
20210104T,63.03,63.03,63.03,63.03,0
20210105T,63.82,63.82,63.82,63.82,0
20210106T,55.05,55.05,55.05,55.05,0
20210107T,66.79,66.79,66.79,66.79,0
20210108T,73.3,73.3,73.3,73.3,0
20210111T,68.06,68.06,68.06,68.06,0
20210112T,69.03,69.03,69.03,69.03,0
20210113T,51.5,51.5,51.5,51.5,0
20210114T,42.85,42.85,42.85,42.85,0
20210115T,58.32,58.32,58.32,58.32,0
20210118T,53.27,53.27,53.27,53.27,0
20210119T,59.56,59.56,59.56,59.56,0
20210120T,64.8,64.8,64.8,64.8,0
20210121T,51.69,51.69,51.69,51.69,0
20210122T,66.71,66.71,66.71,66.71,0
20210125T,56.76,56.76,56.76,56.76,0
20210127T,72.1,72.1,72.1,72.1,0
20210128T,56.14,56.14,56.14,56.14,0
20210129T,76.2,76.2,76.2,76.2,0
20210201T,65.73,65.73,65.73,65.73,0
20210202T,45.73,45.73,45.73,45.73,0
20210203T,60.17,60.17,60.17,60.17,0
20210204T,67.45,67.45,67.45,67.45,0
20210205T,57.96,57.96,57.96,57.96,0
20210208T,67.36,67.36,67.36,67.36,0
20210209T,75.56,75.56,75.56,75.56,0
20210210T,68.77,68.77,68.77,68.77,0
20210211T,68.35,68.35,68.35,68.35,0
20210212T,62.65,62.65,62.65,62.65,0
20210215T,41.26,41.26,41.26,41.26,0
20210216T,61.78,61.78,61.78,61.78,0
20210217T,57.48,57.48,57.48,57.48,0
20210218T,63.26,63.26,63.26,63.26,0
20210219T,69.58,69.58,69.58,69.58,0
20210222T,58.14,58.14,58.14,58.14,0
20210223T,74.46,74.46,74.46,74.46,0
20210224T,75.19,75.19,75.19,75.19,0
20210225T,61.6,61.6,61.6,61.6,0
20210226T,39.96,39.96,39.96,39.96,0
20210301T,50.93,50.93,50.93,50.93,0
20210302T,85.33,85.33,85.33,85.33,0
20210303T,63.82,63.82,63.82,63.82,0
20210304T,66.21,66.21,66.21,66.21,0
20210305T,61.95,61.95,61.95,61.95,0
20210308T,58.6,58.6,58.6,58.6,0
20210309T,79.21,79.21,79.21,79.21,0
20210310T,81.92,81.92,81.92,81.92,0
20210311T,81.92,81.92,81.92,81.92,0
20210312T,70.04,70.04,70.04,70.04,0
20210315T,57.14,57.14,57.14,57.14,0
20210316T,62.68,62.68,62.68,62.68,0
20210317T,71.6,71.6,71.6,71.6,0
20210318T,72.57,72.57,72.57,72.57,0
20210319T,35.77,35.77,35.77,35.77,0
20210322T,47.48,47.48,47.48,47.48,0
20210323T,42.46,42.46,42.46,42.46,0
20210324T,48.33,48.33,48.33,48.33,0
20210325T,53.69,53.69,53.69,53.69,0
20210326T,41.96,41.96,41.96,41.96,0
20210329T,41.96,41.96,41.96,41.96,0
20210330T,32.71,32.71,32.71,32.71,0
20210331T,49.21,49.21,49.21,49.21,0
20210401T,26.82,26.82,26.82,26.82,0
20210402T,26.82,26.82,26.82,26.82,0
20210405T,44.91,44.91,44.91,44.91,0
20210406T,51.81,51.81,51.81,51.81,0
20210407T,50.74,50.74,50.74,50.74,0
20210408T,69.83,69.83,69.83,69.83,0
20210409T,73.11,73.11,73.11,73.11,0
20210412T,64.23,64.23,64.23,64.23,0
20210413T,56.79,56.79,56.79,56.79,0
20210414T,56.79,56.79,56.79,56.79,0
