date,open,high,low,close,volume
20221121T,41.45,41.45,41.45,41.45,0
20221122T,32.25,32.25,32.25,32.25,0
20221123T,60.88,60.88,60.88,60.88,0
20221124T,58.87,58.87,58.87,58.87,0
20221125T,34.18,34.18,34.18,34.18,0
20221128T,56.35,56.35,56.35,56.35,0
20221129T,51.78,51.78,51.78,51.78,0
20221130T,35.36,35.36,35.36,35.36,0
20221201T,28.74,28.74,28.74,28.74,0
20221202T,43.4,43.4,43.4,43.4,0
20221205T,50.68,50.68,50.68,50.68,0
20221206T,17.57,17.57,17.57,17.57,0
20221207T,10.55,10.55,10.55,10.55,0
20221208T,16.71,16.71,16.71,16.71,0
20221209T,25.76,25.76,25.76,25.76,0
20221212T,34.65,34.65,34.65,34.65,0
20221213T,22.04,22.04,22.04,22.04,0
20221214T,24.1,24.1,24.1,24.1,0
20221215T,28.37,28.37,28.37,28.37,0
20221216T,31.41,31.41,31.41,31.41,0
20221219T,53.09,53.09,53.09,53.09,0
20221220T,42.9,42.9,42.9,42.9,0
20221221T,58.09,58.09,58.09,58.09,0
20221222T,37.68,37.68,37.68,37.68,0
20221223T,56.42,56.42,56.42,56.42,0
20221226T,23.96,23.96,23.96,23.96,0
20221227T,23.99,23.99,23.99,23.99,0
20221228T,31.04,31.04,31.04,31.04,0
20221229T,39.42,39.42,39.42,39.42,0
20221230T,44.66,44.66,44.66,44.66,0
20230102T,23.34,23.34,23.34,23.34,0
20230103T,65.05,65.05,65.05,65.05,0
20230104T,34.6,34.6,34.6,34.6,0
20230105T,38.46,38.46,38.46,38.46,0
20230106T,47.22,47.22,47.22,47.22,0
20230109T,36.87,36.87,36.87,36.87,0
20230110T,44.96,44.96,44.96,44.96,0
20230111T,25.4,25.4,25.4,25.4,0
20230112T,42.02,42.02,42.02,42.02,0
20230113T,33.76,33.76,33.76,33.76,0
20230116T,41.69,41.69,41.69,41.69,0
20230117T,37.72,37.72,37.72,37.72,0
