date,open,high,low,close,volume
20191001T,63.76,63.76,63.76,63.76,0
20191003T,70.26,70.26,70.26,70.26,0
20191004T,61.31,61.31,61.31,61.31,0
20191007T,55.77,55.77,55.77,55.77,0
20191008T,55.77,55.77,55.77,55.77,0
20191009T,79.61,79.61,79.61,79.61,0
20191010T,90.84,90.84,90.84,90.84,0
20191011T,69.16,69.16,69.16,69.16,0
20191014T,86.02,86.02,86.02,86.02,0
20191015T,43.15,43.15,43.15,43.15,0
20191016T,69.39,69.39,69.39,69.39,0
20191017T,82.45,82.45,82.45,82.45,0
20191018T,89.76,89.76,89.76,89.76,0
20191021T,89.76,89.76,89.76,89.76,0
20191022T,80.31,80.31,80.31,80.31,0
20191023T,78.34,78.34,78.34,78.34,0
20191024T,73.64,73.64,73.64,73.64,0
20191025T,92.64,92.64,92.64,92.64,0
20191028T,66.78,66.78,66.78,66.78,0
20191029T,87.27,87.27,87.27,87.27,0
20191030T,72.77,72.77,72.77,72.77,0
20191031T,32.86,32.86,32.86,32.86,0
20191101T,54.22,54.22,54.22,54.22,0
20191104T,60.85,60.85,60.85,60.85,0
20191105T,58.26,58.26,58.26,58.26,0
20191106T,30.64,30.64,30.64,30.64,0
20191107T,78.46,78.46,78.46,78.46,0
20191108T,75.48,75.48,75.48,75.48,0
20191111T,84.14,84.14,84.14,84.14,0
20191112T,84.14,84.14,84.14,84.14,0
20191113T,92.4,92.4,92.4,92.4,0
20191114T,70.69,70.69,70.69,70.69,0
20191115T,84.84,84.84,84.84,84.84,0
20191118T,65.49,65.49,65.49,65.49,0
20191119T,63.97,63.97,63.97,63.97,0
20191120T,52.57,52.57,52.57,52.57,0
20191121T,80.23,80.23,80.23,80.23,0
20191122T,46.97,46.97,46.97,46.97,0
20191125T,42.14,42.14,42.14,42.14,0
20191126T,71.81,71.81,71.81,71.81,0
20191127T,86.32,86.32,86.32,86.32,0
20191128T,67.13,67.13,67.13,67.13,0
20191129T,70.66,70.66,70.66,70.66,0
20191202T,79.59,79.59,79.59,79.59,0
20191203T,63.19,63.19,63.19,63.19,0
20191204T,48.32,48.32,48.32,48.32,0
20191205T,60.43,60.43,60.43,60.43,0
20191206T,68.25,68.25,68.25,68.25,0
20191209T,95.58,95.58,95.58,95.58,0
20191210T,53.53,53.53,53.53,53.53,0
20191211T,81.9,81.9,81.9,81.9,0
20191212T,94.31,94.31,94.31,94.31,0
20191213T,64.8,64.8,64.8,64.8,0
20191216T,55.49,55.49,55.49,55.49,0
20191217T,24.05,24.05,24.05,24.05,0
20191218T,57.59,57.59,57.59,57.59,0
20191219T,86.64,86.64,86.64,86.64,0
20191220T,45.56,45.56,45.56,45.56,0
20191223T,52.79,52.79,52.79,52.79,0
20191224T,31.61,31.61,31.61,31.61,0
20191225T,31.61,31.61,31.61,31.61,0
20191226T,87.86,87.86,87.86,87.86,0
20191227T,83.34,83.34,83.34,83.34,0
20191230T,48.39,48.39,48.39,48.39,0
20191231T,19.51,19.51,19.51,19.51,0
20200101T,45.43,45.43,45.43,45.43,0
20200102T,64.98,64.98,64.98,64.98,0
20200103T,76.02,76.02,76.02,76.02,0
20200106T,59.26,59.26,59.26,59.26,0
20200107T,44.44,44.44,44.44,44.44,0
20200108T,70.72,70.72,70.72,70.72,0
20200109T,48.98,48.98,48.98,48.98,0
20200110T,49.59,49.59,49.59,49.59,0
20200113T,69.91,69.91,69.91,69.91,0
20200114T,62.93,62.93,62.93,62.93,0
20200115T,27.24,27.24,27.24,27.24,0
20200116T,61.14,61.14,61.14,61.14,0
20200117T,61.68,61.68,61.68,61.68,0
20200120T,55.17,55.17,55.17,55.17,0
20200121T,66.31,66.31,66.31,66.31,0
20200122T,60.67,60.67,60.67,60.67,0
20200123T,56.92,56.92,56.92,56.92,0
20200124T,68.68,68.68,68.68,68.68,0
20200127T,25.36,25.36,25.36,25.36,0
20200128T,45.99,45.99,45.99,45.99,0
20200129T,51.42,51.42,51.42,51.42,0
20200130T,53.11,53.11,53.11,53.11,0
20200131T,68.09,68.09,68.09,68.09,0
20200203T,87.85,87.85,87.85,87.85,0
20200204T,62.49,62.49,62.49,62.49,0
20200205T,63.35,63.35,63.35,63.35,0
20200206T,76.89,76.89,76.89,76.89,0
20200207T,50.74,50.74,50.74,50.74,0
20200210T,73.01,73.01,73.01,73.01,0
20200211T,31.88,31.88,31.88,31.88,0
20200212T,61.86,61.86,61.86,61.86,0
20200213T,72.87,72.87,72.87,72.87,0
20200214T,73.15,73.15,73.15,73.15,0
20200217T,84.53,84.53,84.53,84.53,0
20200218T,71.43,71.43,71.43,71.43,0
20200219T,16.58,16.58,16.58,16.58,0
20200220T,57.78,57.78,57.78,57.78,0
20200221T,57.78,57.78,57.78,57.78,0
20200224T,27.0,27.0,27.0,27.0,0
20200225T,39.29,39.29,39.29,39.29,0
20200226T,53.16,53.16,53.16,53.16,0
20200227T,66.53,66.53,66.53,66.53,0
20200228T,50.49,50.49,50.49,50.49,0
20200302T,68.39,68.39,68.39,68.39,0
20200303T,43.8,43.8,43.8,43.8,0
20200304T,63.66,63.66,63.66,63.66,0
20200305T,30.28,30.28,30.28,30.28,0
20200306T,98.58,98.58,98.58,98.58,0
20200309T,63.06,63.06,63.06,63.06,0
