date,open,high,low,close,volume
20200917T,36.61,36.61,36.61,36.61,0
20200918T,28.91,28.91,28.91,28.91,0
20200921T,21.8,21.8,21.8,21.8,0
20200922T,19.63,19.63,19.63,19.63,0
20200923T,20.71,20.71,20.71,20.71,0
20200924T,25.85,25.85,25.85,25.85,0
20200925T,15.99,15.99,15.99,15.99,0
20200928T,23.31,23.31,23.31,23.31,0
20200929T,29.79,29.79,29.79,29.79,0
20200930T,17.56,17.56,17.56,17.56,0
20201001T,35.99,35.99,35.99,35.99,0
20201005T,27.16,27.16,27.16,27.16,0
20201006T,31.24,31.24,31.24,31.24,0
20201007T,41.38,41.38,41.38,41.38,0
20201008T,32.37,32.37,32.37,32.37,0
20201009T,32.75,32.75,32.75,32.75,0
20201012T,50.93,50.93,50.93,50.93,0
20201013T,29.95,29.95,29.95,29.95,0
20201014T,22.91,22.91,22.91,22.91,0
20201015T,70.01,70.01,70.01,70.01,0
20201016T,48.75,48.75,48.75,48.75,0
20201019T,61.23,61.23,61.23,61.23,0
20201020T,30.64,30.64,30.64,30.64,0
20201021T,46.36,46.36,46.36,46.36,0
20201022T,47.73,47.73,47.73,47.73,0
20201023T,48.22,48.22,48.22,48.22,0
20201026T,58.45,58.45,58.45,58.45,0
20201027T,49.01,49.01,49.01,49.01,0
20201028T,37.86,37.86,37.86,37.86,0
20201029T,23.38,23.38,23.38,23.38,0
20201030T,33.36,33.36,33.36,33.36,0
20201102T,35.33,35.33,35.33,35.33,0
20201103T,45.0,45.0,45.0,45.0,0
20201104T,30.38,30.38,30.38,30.38,0
20201105T,28.44,28.44,28.44,28.44,0
20201106T,43.11,43.11,43.11,43.11,0
20201109T,44.05,44.05,44.05,44.05,0
20201110T,67.38,67.38,67.38,67.38,0
20201111T,33.31,33.31,33.31,33.31,0
20201112T,40.28,40.28,40.28,40.28,0
20201113T,40.72,40.72,40.72,40.72,0
20201116T,70.92,70.92,70.92,70.92,0
20201117T,54.24,54.24,54.24,54.24,0
20201118T,55.73,55.73,55.73,55.73,0
