date,open,high,low,close,volume
20221017T,65.63,65.63,65.63,65.63,0
20221018T,92.02,92.02,92.02,92.02,0
20221019T,90.97,90.97,90.97,90.97,0
20221020T,77.51,77.51,77.51,77.51,0
20221021T,65.44,65.44,65.44,65.44,0
20221024T,57.58,57.58,57.58,57.58,0
20221025T,41.66,41.66,41.66,41.66,0
20221026T,41.66,41.66,41.66,41.66,0
20221027T,89.79,89.79,89.79,89.79,0
20221028T,63.51,63.51,63.51,63.51,0
20221031T,73.83,73.83,73.83,73.83,0
20221101T,95.94,95.94,95.94,95.94,0
20221102T,62.71,62.71,62.71,62.71,0
20221103T,77.73,77.73,77.73,77.73,0
20221104T,62.28,62.28,62.28,62.28,0
20221107T,99.46,99.46,99.46,99.46,0
20221108T,99.46,99.46,99.46,99.46,0
20221109T,53.32,53.32,53.32,53.32,0
20221110T,72.87,72.87,72.87,72.87,0
20221111T,90.39,90.39,90.39,90.39,0
20221114T,88.89,88.89,88.89,88.89,0
20221115T,42.75,42.75,42.75,42.75,0
20221116T,69.79,69.79,69.79,69.79,0
20221117T,65.22,65.22,65.22,65.22,0
20221118T,73.91,73.91,73.91,73.91,0
20221121T,70.9,70.9,70.9,70.9,0
20221122T,86.85,86.85,86.85,86.85,0
20221123T,83.9,83.9,83.9,83.9,0
20221124T,67.55,67.55,67.55,67.55,0
20221125T,86.87,86.87,86.87,86.87,0
20221128T,89.11,89.11,89.11,89.11,0
20221129T,95.33,95.33,95.33,95.33,0
20221130T,83.18,83.18,83.18,83.18,0
20221201T,61.68,61.68,61.68,61.68,0
20221202T,56.3,56.3,56.3,56.3,0
20221205T,68.42,68.42,68.42,68.42,0
20221206T,97.56,97.56,97.56,97.56,0
20221207T,95.91,95.91,95.91,95.91,0
20221208T,95.48,95.48,95.48,95.48,0
20221209T,94.51,94.51,94.51,94.51,0
20221212T,96.57,96.57,96.57,96.57,0
20221213T,96.25,96.25,96.25,96.25,0
20221214T,99.01,99.01,99.01,99.01,0
20221215T,68.04,68.04,68.04,68.04,0
20221216T,97.12,97.12,97.12,97.12,0
20221219T,57.18,57.18,57.18,57.18,0
20221220T,67.76,67.76,67.76,67.76,0
20221221T,28.62,28.62,28.62,28.62,0
20221222T,70.42,70.42,70.42,70.42,0
20221223T,59.07,59.07,59.07,59.07,0
20221226T,90.3,90.3,90.3,90.3,0
20221227T,27.46,27.46,27.46,27.46,0
20221228T,50.0,50.0,50.0,50.0,0
20221229T,58.57,58.57,58.57,58.57,0
20221230T,59.09,59.09,59.09,59.09,0
20230102T,91.42,91.42,91.42,91.42,0
