date,open,high,low,close,volume
20191001T,25.04,25.04,25.04,25.04,0
20191003T,81.64,81.64,81.64,81.64,0
20191004T,7.76,7.76,7.76,7.76,0
20191007T,11.13,11.13,11.13,11.13,0
20191008T,11.13,11.13,11.13,11.13,0
20191009T,60.86,60.86,60.86,60.86,0
20191010T,74.8,74.8,74.8,74.8,0
20191011T,46.94,46.94,46.94,46.94,0
20191014T,82.87,82.87,82.87,82.87,0
20191015T,72.91,72.91,72.91,72.91,0
20191016T,60.23,60.23,60.23,60.23,0
20191017T,26.06,26.06,26.06,26.06,0
20191018T,65.43,65.43,65.43,65.43,0
20191021T,65.43,65.43,65.43,65.43,0
20191022T,74.2,74.2,74.2,74.2,0
20191023T,52.17,52.17,52.17,52.17,0
20191024T,86.86,86.86,86.86,86.86,0
20191025T,83.99,83.99,83.99,83.99,0
20191028T,76.87,76.87,76.87,76.87,0
20191029T,51.91,51.91,51.91,51.91,0
20191030T,29.39,29.39,29.39,29.39,0
20191031T,23.15,23.15,23.15,23.15,0
20191101T,24.01,24.01,24.01,24.01,0
20191104T,35.77,35.77,35.77,35.77,0
20191105T,33.21,33.21,33.21,33.21,0
20191106T,62.49,62.49,62.49,62.49,0
20191107T,38.7,38.7,38.7,38.7,0
20191108T,33.01,33.01,33.01,33.01,0
20191111T,38.55,38.55,38.55,38.55,0
20191112T,38.55,38.55,38.55,38.55,0
20191113T,22.33,22.33,22.33,22.33,0
20191114T,45.35,45.35,45.35,45.35,0
20191115T,23.08,23.08,23.08,23.08,0
20191118T,34.37,34.37,34.37,34.37,0
20191119T,52.41,52.41,52.41,52.41,0
20191120T,73.66,73.66,73.66,73.66,0
20191121T,70.45,70.45,70.45,70.45,0
20191122T,84.46,84.46,84.46,84.46,0
20191125T,63.35,63.35,63.35,63.35,0
20191126T,31.48,31.48,31.48,31.48,0
20191127T,75.06,75.06,75.06,75.06,0
20191128T,92.35,92.35,92.35,92.35,0
20191129T,65.08,65.08,65.08,65.08,0
20191202T,71.24,71.24,71.24,71.24,0
20191203T,40.99,40.99,40.99,40.99,0
20191204T,47.48,47.48,47.48,47.48,0
20191205T,62.45,62.45,62.45,62.45,0
20191206T,55.6,55.6,55.6,55.6,0
20191209T,42.86,42.86,42.86,42.86,0
20191210T,77.7,77.7,77.7,77.7,0
20191211T,58.66,58.66,58.66,58.66,0
20191212T,51.66,51.66,51.66,51.66,0
20191213T,51.57,51.57,51.57,51.57,0
20191216T,86.75,86.75,86.75,86.75,0
20191217T,84.71,84.71,84.71,84.71,0
20191218T,86.01,86.01,86.01,86.01,0
20191219T,98.94,98.94,98.94,98.94,0
20191220T,59.87,59.87,59.87,59.87,0
20191223T,87.17,87.17,87.17,87.17,0
20191224T,56.31,56.31,56.31,56.31,0
20191225T,56.31,56.31,56.31,56.31,0
20191226T,90.17,90.17,90.17,90.17,0
20191227T,59.32,59.32,59.32,59.32,0
20191230T,66.93,66.93,66.93,66.93,0
20191231T,34.25,34.25,34.25,34.25,0
20200101T,83.98,83.98,83.98,83.98,0
20200102T,87.41,87.41,87.41,87.41,0
20200103T,53.24,53.24,53.24,53.24,0
20200106T,59.5,59.5,59.5,59.5,0
20200107T,70.0,70.0,70.0,70.0,0
20200108T,94.98,94.98,94.98,94.98,0
20200109T,90.11,90.11,90.11,90.11,0
20200110T,68.95,68.95,68.95,68.95,0
20200113T,74.2,74.2,74.2,74.2,0
20200114T,89.35,89.35,89.35,89.35,0
20200115T,86.72,86.72,86.72,86.72,0
20200116T,90.13,90.13,90.13,90.13,0
20200117T,80.88,80.88,80.88,80.88,0
20200120T,92.2,92.2,92.2,92.2,0
20200121T,85.83,85.83,85.83,85.83,0
20200122T,88.55,88.55,88.55,88.55,0
20200123T,73.37,73.37,73.37,73.37,0
20200124T,75.69,75.69,75.69,75.69,0
20200127T,74.11,74.11,74.11,74.11,0
20200128T,66.55,66.55,66.55,66.55,0
20200129T,74.1,74.1,74.1,74.1,0
20200130T,79.39,79.39,79.39,79.39,0
20200131T,71.35,71.35,71.35,71.35,0
20200203T,64.67,64.67,64.67,64.67,0
20200204T,92.61,92.61,92.61,92.61,0
