date,open,high,low,close,volume
20221221T,50.0,50.0,50.0,50.0,0
20221222T,49.64,49.64,49.64,49.64,0
20221223T,66.67,66.67,66.67,66.67,0
20221226T,86.57,86.57,86.57,86.57,0
20221227T,15.73,15.73,15.73,15.73,0
20221228T,98.08,98.08,98.08,98.08,0
20221229T,44.65,44.65,44.65,44.65,0
20221230T,42.48,42.48,42.48,42.48,0
20230102T,3.54,3.54,3.54,3.54,0
20230103T,64.2,64.2,64.2,64.2,0
20230104T,98.84,98.84,98.84,98.84,0
20230105T,58.27,58.27,58.27,58.27,0
20230106T,79.66,79.66,79.66,79.66,0
20230110T,95.72,95.72,95.72,95.72,0
20230111T,50.0,50.0,50.0,50.0,0
20230112T,100.0,100.0,100.0,100.0,0
20230113T,92.61,92.61,92.61,92.61,0
20230116T,99.88,99.88,99.88,99.88,0
20230117T,95.64,95.64,95.64,95.64,0
20230118T,88.12,88.12,88.12,88.12,0
20230119T,77.81,77.81,77.81,77.81,0
20230120T,50.22,50.22,50.22,50.22,0
20230123T,90.24,90.24,90.24,90.24,0
20230124T,58.09,58.09,58.09,58.09,0
20230125T,57.25,57.25,57.25,57.25,0
20230127T,67.29,67.29,67.29,67.29,0
20230130T,47.51,47.51,47.51,47.51,0
20230131T,98.71,98.71,98.71,98.71,0
20230201T,34.75,34.75,34.75,34.75,0
20230202T,94.81,94.81,94.81,94.81,0
20230203T,63.18,63.18,63.18,63.18,0
20230206T,84.15,84.15,84.15,84.15,0
20230207T,37.02,37.02,37.02,37.02,0
20230208T,62.14,62.14,62.14,62.14,0
20230209T,34.9,34.9,34.9,34.9,0
20230210T,93.48,93.48,93.48,93.48,0
20230213T,61.72,61.72,61.72,61.72,0
20230214T,27.25,27.25,27.25,27.25,0
20230215T,84.53,84.53,84.53,84.53,0
20230216T,95.18,95.18,95.18,95.18,0
20230217T,87.16,87.16,87.16,87.16,0
20230220T,85.22,85.22,85.22,85.22,0
20230221T,97.59,97.59,97.59,97.59,0
20230222T,75.66,75.66,75.66,75.66,0
20230223T,52.53,52.53,52.53,52.53,0
20230224T,93.91,93.91,93.91,93.91,0
20230227T,69.92,69.92,69.92,69.92,0
20230228T,87.05,87.05,87.05,87.05,0
20230301T,74.14,74.14,74.14,74.14,0
20230302T,96.86,96.86,96.86,96.86,0
20230303T,57.15,57.15,57.15,57.15,0
20230306T,61.4,61.4,61.4,61.4,0
20230307T,61.4,61.4,61.4,61.4,0
20230308T,71.19,71.19,71.19,71.19,0
20230309T,76.78,76.78,76.78,76.78,0
20230310T,75.37,75.37,75.37,75.37,0
20230313T,43.86,43.86,43.86,43.86,0
20230314T,33.49,33.49,33.49,33.49,0
20230315T,90.7,90.7,90.7,90.7,0
20230316T,42.92,42.92,42.92,42.92,0
20230317T,67.4,67.4,67.4,67.4,0
20230320T,93.71,93.71,93.71,93.71,0
20230321T,31.98,31.98,31.98,31.98,0
20230322T,67.22,67.22,67.22,67.22,0
20230323T,50.6,50.6,50.6,50.6,0
20230324T,90.66,90.66,90.66,90.66,0
20230327T,0.92,0.92,0.92,0.92,0
20230328T,34.94,34.94,34.94,34.94,0
20230329T,71.36,71.36,71.36,71.36,0
20230330T,71.36,71.36,71.36,71.36,0
20230331T,86.46,86.46,86.46,86.46,0
20230403T,99.84,99.84,99.84,99.84,0
20230404T,99.84,99.84,99.84,99.84,0
20230405T,80.0,80.0,80.0,80.0,0
20230406T,92.51,92.51,92.51,92.51,0
20230407T,92.51,92.51,92.51,92.51,0
20230410T,15.85,15.85,15.85,15.85,0
20230411T,95.33,95.33,95.33,95.33,0
20230412T,100.0,100.0,100.0,100.0,0
20230413T,85.45,85.45,85.45,85.45,0
20230414T,85.45,85.45,85.45,85.45,0
20230417T,65.36,65.36,65.36,65.36,0
20230418T,99.3,99.3,99.3,99.3,0
20230419T,44.31,44.31,44.31,44.31,0
20230420T,94.12,94.12,94.12,94.12,0
20230421T,64.61,64.61,64.61,64.61,0
20230424T,85.08,85.08,85.08,85.08,0
20230425T,84.08,84.08,84.08,84.08,0
20230426T,48.05,48.05,48.05,48.05,0
20230427T,93.8,93.8,93.8,93.8,0
20230428T,78.35,78.35,78.35,78.35,0
20230501T,78.35,78.35,78.35,78.35,0
20230502T,58.85,58.85,58.85,58.85,0
20230503T,84.9,84.9,84.9,84.9,0
20230504T,76.44,76.44,76.44,76.44,0
20230505T,86.58,86.58,86.58,86.58,0
20230508T,67.22,67.22,67.22,67.22,0
20230509T,59.19,59.19,59.19,59.19,0
20230510T,74.62,74.62,74.62,74.62,0
20230511T,60.66,60.66,60.66,60.66,0
20230512T,57.68,57.68,57.68,57.68,0
20230515T,73.23,73.23,73.23,73.23,0
