date,open,high,low,close,volume
20191001T,57.0,57.0,57.0,57.0,0
20191003T,73.55,73.55,73.55,73.55,0
20191004T,12.33,12.33,12.33,12.33,0
20191007T,36.86,36.86,36.86,36.86,0
20191008T,36.86,36.86,36.86,36.86,0
20191009T,40.64,40.64,40.64,40.64,0
20191010T,66.69,66.69,66.69,66.69,0
20191011T,32.42,32.42,32.42,32.42,0
20191014T,40.77,40.77,40.77,40.77,0
20191015T,33.46,33.46,33.46,33.46,0
20191016T,46.67,46.67,46.67,46.67,0
20191017T,44.18,44.18,44.18,44.18,0
20191018T,30.02,30.02,30.02,30.02,0
20191021T,30.02,30.02,30.02,30.02,0
20191022T,41.99,41.99,41.99,41.99,0
20191023T,52.63,52.63,52.63,52.63,0
20191024T,46.0,46.0,46.0,46.0,0
20191025T,54.05,54.05,54.05,54.05,0
20191028T,74.53,74.53,74.53,74.53,0
20191029T,44.02,44.02,44.02,44.02,0
20191030T,58.17,58.17,58.17,58.17,0
20191031T,46.57,46.57,46.57,46.57,0
20191101T,58.26,58.26,58.26,58.26,0
20191104T,53.24,53.24,53.24,53.24,0
20191105T,42.34,42.34,42.34,42.34,0
20191106T,50.71,50.71,50.71,50.71,0
20191107T,35.45,35.45,35.45,35.45,0
20191108T,61.64,61.64,61.64,61.64,0
20191111T,57.22,57.22,57.22,57.22,0
20191112T,57.22,57.22,57.22,57.22,0
20191113T,29.78,29.78,29.78,29.78,0
20191114T,65.45,65.45,65.45,65.45,0
20191115T,58.77,58.77,58.77,58.77,0
20191118T,40.69,40.69,40.69,40.69,0
20191119T,54.22,54.22,54.22,54.22,0
20191120T,54.88,54.88,54.88,54.88,0
20191121T,34.55,34.55,34.55,34.55,0
20191122T,45.41,45.41,45.41,45.41,0
20191125T,31.28,31.28,31.28,31.28,0
20191126T,18.44,18.44,18.44,18.44,0
20191127T,39.88,39.88,39.88,39.88,0
20191128T,53.44,53.44,53.44,53.44,0
20191129T,67.25,67.25,67.25,67.25,0
20191202T,35.84,35.84,35.84,35.84,0
20191203T,50.26,50.26,50.26,50.26,0
20191204T,29.8,29.8,29.8,29.8,0
20191205T,67.2,67.2,67.2,67.2,0
20191206T,45.43,45.43,45.43,45.43,0
20191209T,62.51,62.51,62.51,62.51,0
20191210T,44.36,44.36,44.36,44.36,0
20191211T,34.46,34.46,34.46,34.46,0
20191212T,27.9,27.9,27.9,27.9,0
20191213T,18.95,18.95,18.95,18.95,0
20191216T,34.07,34.07,34.07,34.07,0
20191217T,32.15,32.15,32.15,32.15,0
20191218T,70.74,70.74,70.74,70.74,0
20191219T,28.7,28.7,28.7,28.7,0
20191220T,54.77,54.77,54.77,54.77,0
20191223T,59.58,59.58,59.58,59.58,0
20191224T,39.94,39.94,39.94,39.94,0
20191225T,39.94,39.94,39.94,39.94,0
20191226T,54.51,54.51,54.51,54.51,0
20191227T,62.37,62.37,62.37,62.37,0
20191230T,39.08,39.08,39.08,39.08,0
20191231T,50.88,50.88,50.88,50.88,0
20200101T,43.01,43.01,43.01,43.01,0
20200102T,57.07,57.07,57.07,57.07,0
20200103T,21.38,21.38,21.38,21.38,0
20200106T,60.77,60.77,60.77,60.77,0
20200107T,49.43,49.43,49.43,49.43,0
20200108T,48.21,48.21,48.21,48.21,0
20200109T,38.33,38.33,38.33,38.33,0
20200110T,45.69,45.69,45.69,45.69,0
20200113T,65.1,65.1,65.1,65.1,0
20200114T,50.62,50.62,50.62,50.62,0
20200115T,43.14,43.14,43.14,43.14,0
20200116T,57.18,57.18,57.18,57.18,0
20200117T,46.3,46.3,46.3,46.3,0
20200120T,73.27,73.27,73.27,73.27,0
20200121T,42.31,42.31,42.31,42.31,0
20200122T,37.92,37.92,37.92,37.92,0
20200123T,73.7,73.7,73.7,73.7,0
20200124T,34.68,34.68,34.68,34.68,0
20200127T,63.66,63.66,63.66,63.66,0
20200128T,58.43,58.43,58.43,58.43,0
20200129T,54.96,54.96,54.96,54.96,0
20200130T,65.92,65.92,65.92,65.92,0
20200131T,50.62,50.62,50.62,50.62,0
20200203T,54.62,54.62,54.62,54.62,0
20200204T,41.92,41.92,41.92,41.92,0
20200205T,54.02,54.02,54.02,54.02,0
20200206T,63.18,63.18,63.18,63.18,0
20200207T,64.94,64.94,64.94,64.94,0
20200210T,60.18,60.18,60.18,60.18,0
20200211T,57.88,57.88,57.88,57.88,0
20200212T,82.34,82.34,82.34,82.34,0
20200213T,10.21,10.21,10.21,10.21,0
20200214T,50.91,50.91,50.91,50.91,0
20200217T,43.73,43.73,43.73,43.73,0
20200218T,41.04,41.04,41.04,41.04,0
20200219T,42.11,42.11,42.11,42.11,0
20200220T,38.54,38.54,38.54,38.54,0
20200221T,38.54,38.54,38.54,38.54,0
20200224T,62.53,62.53,62.53,62.53,0
20200225T,55.07,55.07,55.07,55.07,0
20200226T,63.4,63.4,63.4,63.4,0
20200227T,66.71,66.71,66.71,66.71,0
20200228T,54.34,54.34,54.34,54.34,0
20200302T,36.22,36.22,36.22,36.22,0
20200303T,56.68,56.68,56.68,56.68,0
