date,open,high,low,close,volume
20191001T,35.49,35.49,35.49,35.49,0
20191003T,37.64,37.64,37.64,37.64,0
20191004T,22.17,22.17,22.17,22.17,0
20191007T,29.55,29.55,29.55,29.55,0
20191008T,29.55,29.55,29.55,29.55,0
20191009T,31.07,31.07,31.07,31.07,0
20191010T,25.45,25.45,25.45,25.45,0
20191011T,27.36,27.36,27.36,27.36,0
20191014T,20.73,20.73,20.73,20.73,0
20191015T,49.29,49.29,49.29,49.29,0
20191016T,31.99,31.99,31.99,31.99,0
20191017T,42.17,42.17,42.17,42.17,0
20191018T,24.32,24.32,24.32,24.32,0
20191021T,24.32,24.32,24.32,24.32,0
20191022T,39.99,39.99,39.99,39.99,0
20191023T,53.84,53.84,53.84,53.84,0
20191024T,32.19,32.19,32.19,32.19,0
20191025T,20.14,20.14,20.14,20.14,0
20191028T,38.07,38.07,38.07,38.07,0
20191029T,33.2,33.2,33.2,33.2,0
20191030T,32.29,32.29,32.29,32.29,0
20191031T,30.62,30.62,30.62,30.62,0
20191101T,38.5,38.5,38.5,38.5,0
20191104T,45.19,45.19,45.19,45.19,0
20191105T,42.45,42.45,42.45,42.45,0
20191106T,33.91,33.91,33.91,33.91,0
20191107T,44.15,44.15,44.15,44.15,0
20191108T,11.46,11.46,11.46,11.46,0
20191111T,22.43,22.43,22.43,22.43,0
20191112T,22.43,22.43,22.43,22.43,0
20191113T,46.02,46.02,46.02,46.02,0
20191114T,39.69,39.69,39.69,39.69,0
20191115T,42.0,42.0,42.0,42.0,0
20191118T,41.35,41.35,41.35,41.35,0
20191119T,56.18,56.18,56.18,56.18,0
20191120T,28.97,28.97,28.97,28.97,0
20191121T,23.4,23.4,23.4,23.4,0
20191122T,28.37,28.37,28.37,28.37,0
20191125T,45.14,45.14,45.14,45.14,0
20191126T,31.79,31.79,31.79,31.79,0
20191127T,30.16,30.16,30.16,30.16,0
20191128T,23.63,23.63,23.63,23.63,0
20191129T,42.01,42.01,42.01,42.01,0
20191202T,49.35,49.35,49.35,49.35,0
20191203T,40.83,40.83,40.83,40.83,0
20191204T,23.0,23.0,23.0,23.0,0
20191205T,26.33,26.33,26.33,26.33,0
20191206T,18.78,18.78,18.78,18.78,0
20191209T,33.16,33.16,33.16,33.16,0
20191210T,36.08,36.08,36.08,36.08,0
20191211T,29.71,29.71,29.71,29.71,0
20191212T,36.66,36.66,36.66,36.66,0
20191213T,35.57,35.57,35.57,35.57,0
20191216T,42.92,42.92,42.92,42.92,0
20191217T,24.56,24.56,24.56,24.56,0
20191218T,21.37,21.37,21.37,21.37,0
20191219T,40.01,40.01,40.01,40.01,0
20191220T,35.84,35.84,35.84,35.84,0
20191223T,35.34,35.34,35.34,35.34,0
20191224T,46.02,46.02,46.02,46.02,0
20191225T,46.02,46.02,46.02,46.02,0
20191226T,21.49,21.49,21.49,21.49,0
20191227T,47.01,47.01,47.01,47.01,0
20191230T,24.74,24.74,24.74,24.74,0
20191231T,15.66,15.66,15.66,15.66,0
20200101T,23.15,23.15,23.15,23.15,0
20200102T,35.85,35.85,35.85,35.85,0
20200103T,25.86,25.86,25.86,25.86,0
20200106T,46.23,46.23,46.23,46.23,0
20200107T,58.89,58.89,58.89,58.89,0
20200108T,34.58,34.58,34.58,34.58,0
20200109T,41.76,41.76,41.76,41.76,0
20200110T,44.92,44.92,44.92,44.92,0
20200113T,40.44,40.44,40.44,40.44,0
20200114T,37.62,37.62,37.62,37.62,0
20200115T,23.07,23.07,23.07,23.07,0
20200116T,16.49,16.49,16.49,16.49,0
20200117T,13.18,13.18,13.18,13.18,0
20200120T,12.89,12.89,12.89,12.89,0
20200121T,28.36,28.36,28.36,28.36,0
20200122T,20.57,20.57,20.57,20.57,0
20200123T,17.84,17.84,17.84,17.84,0
20200124T,18.18,18.18,18.18,18.18,0
20200127T,12.96,12.96,12.96,12.96,0
20200128T,14.11,14.11,14.11,14.11,0
20200129T,30.24,30.24,30.24,30.24,0
20200130T,27.75,27.75,27.75,27.75,0
20200131T,21.52,21.52,21.52,21.52,0
20200203T,24.31,24.31,24.31,24.31,0
20200204T,23.73,23.73,23.73,23.73,0
20200205T,32.9,32.9,32.9,32.9,0
20200206T,22.8,22.8,22.8,22.8,0
20200207T,21.34,21.34,21.34,21.34,0
20200210T,21.04,21.04,21.04,21.04,0
20200211T,49.93,49.93,49.93,49.93,0
20200212T,27.47,27.47,27.47,27.47,0
20200213T,31.09,31.09,31.09,31.09,0
20200214T,42.4,42.4,42.4,42.4,0
20200217T,56.61,56.61,56.61,56.61,0
20200218T,30.97,30.97,30.97,30.97,0
20200219T,34.11,34.11,34.11,34.11,0
