date,open,high,low,close,volume
20241203T,65.74,65.74,65.74,65.74,0
20241204T,61.61,61.61,61.61,61.61,0
20241205T,54.27,54.27,54.27,54.27,0
20241206T,52.29,52.29,52.29,52.29,0
20241209T,50.99,50.99,50.99,50.99,0
20241210T,56.92,56.92,56.92,56.92,0
20241211T,58.56,58.56,58.56,58.56,0
20241212T,59.66,59.66,59.66,59.66,0
20241213T,50.87,50.87,50.87,50.87,0
20241216T,59.7,59.7,59.7,59.7,0
20241217T,49.85,49.85,49.85,49.85,0
20241218T,51.95,51.95,51.95,51.95,0
20241219T,52.9,52.9,52.9,52.9,0
20241220T,48.6,48.6,48.6,48.6,0
20241223T,52.67,52.67,52.67,52.67,0
20241224T,58.51,58.51,58.51,58.51,0
20241225T,58.51,58.51,58.51,58.51,0
20241226T,52.01,52.01,52.01,52.01,0
20241227T,50.79,50.79,50.79,50.79,0
20241230T,49.11,49.11,49.11,49.11,0
20241231T,60.51,60.51,60.51,60.51,0
20250101T,48.93,48.93,48.93,48.93,0
20250102T,64.51,64.51,64.51,64.51,0
20250103T,58.12,58.12,58.12,58.12,0
20250106T,59.83,59.83,59.83,59.83,0
20250107T,58.14,58.14,58.14,58.14,0
20250108T,58.06,58.06,58.06,58.06,0
20250109T,59.07,59.07,59.07,59.07,0
20250110T,63.06,63.06,63.06,63.06,0
20250113T,51.42,51.42,51.42,51.42,0
20250114T,52.83,52.83,52.83,52.83,0
20250115T,51.08,51.08,51.08,51.08,0
20250116T,43.88,43.88,43.88,43.88,0
20250117T,51.36,51.36,51.36,51.36,0
20250120T,48.11,48.11,48.11,48.11,0
20250121T,66.47,66.47,66.47,66.47,0
20250122T,48.2,48.2,48.2,48.2,0
20250123T,57.54,57.54,57.54,57.54,0
20250124T,58.62,58.62,58.62,58.62,0
20250127T,54.7,54.7,54.7,54.7,0
20250128T,32.79,32.79,32.79,32.79,0
20250129T,56.23,56.23,56.23,56.23,0
20250130T,58.33,58.33,58.33,58.33,0
20250131T,66.62,66.62,66.62,66.62,0
20250203T,48.6,48.6,48.6,48.6,0
20250204T,46.17,46.17,46.17,46.17,0
20250205T,38.96,38.96,38.96,38.96,0
20250206T,45.47,45.47,45.47,45.47,0
20250207T,43.72,43.72,43.72,43.72,0
20250210T,49.46,49.46,49.46,49.46,0
20250211T,56.63,56.63,56.63,56.63,0
20250212T,32.74,32.74,32.74,32.74,0
20250213T,54.48,54.48,54.48,54.48,0
20250214T,66.85,66.85,66.85,66.85,0
20250217T,57.08,57.08,57.08,57.08,0
20250218T,60.05,60.05,60.05,60.05,0
20250219T,48.09,48.09,48.09,48.09,0
20250220T,49.03,49.03,49.03,49.03,0
20250221T,59.35,59.35,59.35,59.35,0
20250224T,56.03,56.03,56.03,56.03,0
20250225T,52.63,52.63,52.63,52.63,0
20250227T,50.37,50.37,50.37,50.37,0
20250228T,63.92,63.92,63.92,63.92,0
20250303T,56.9,56.9,56.9,56.9,0
20250304T,38.22,38.22,38.22,38.22,0
20250305T,42.04,42.04,42.04,42.04,0
20250306T,42.84,42.84,42.84,42.84,0
20250307T,43.18,43.18,43.18,43.18,0
20250310T,58.9,58.9,58.9,58.9,0
20250311T,47.89,47.89,47.89,47.89,0
20250312T,67.94,67.94,67.94,67.94,0
20250313T,52.32,52.32,52.32,52.32,0
20250317T,48.59,48.59,48.59,48.59,0
20250318T,59.63,59.63,59.63,59.63,0
20250319T,65.89,65.89,65.89,65.89,0
20250320T,54.51,54.51,54.51,54.51,0
20250321T,53.82,53.82,53.82,53.82,0
20250324T,23.02,23.02,23.02,23.02,0
20250325T,49.56,49.56,49.56,49.56,0
20250326T,50.71,50.71,50.71,50.71,0
20250327T,58.19,58.19,58.19,58.19,0
20250328T,52.37,52.37,52.37,52.37,0
20250401T,49.34,49.34,49.34,49.34,0
20250402T,50.21,50.21,50.21,50.21,0
20250403T,45.59,45.59,45.59,45.59,0
20250404T,49.68,49.68,49.68,49.68,0
20250407T,46.65,46.65,46.65,46.65,0
20250408T,45.53,45.53,45.53,45.53,0
20250409T,52.63,52.63,52.63,52.63,0
20250411T,49.81,49.81,49.81,49.81,0
20250415T,58.35,58.35,58.35,58.35,0
20250416T,55.93,55.93,55.93,55.93,0
20250417T,43.56,43.56,43.56,43.56,0
20250421T,31.33,31.33,31.33,31.33,0
20250422T,47.34,47.34,47.34,47.34,0
20250423T,52.87,52.87,52.87,52.87,0
20250424T,59.52,59.52,59.52,59.52,0
20250425T,56.49,56.49,56.49,56.49,0
20250428T,53.56,53.56,53.56,53.56,0
20250429T,45.62,45.62,45.62,45.62,0
20250430T,51.69,51.69,51.69,51.69,0
20250502T,46.75,46.75,46.75,46.75,0
20250505T,47.91,47.91,47.91,47.91,0
20250506T,50.34,50.34,50.34,50.34,0
20250507T,36.37,36.37,36.37,36.37,0
20250508T,45.95,45.95,45.95,45.95,0
20250509T,35.66,35.66,35.66,35.66,0
20250512T,57.22,57.22,57.22,57.22,0
20250513T,32.8,32.8,32.8,32.8,0
20250514T,42.68,42.68,42.68,42.68,0
20250515T,43.0,43.0,43.0,43.0,0
20250516T,43.63,43.63,43.63,43.63,0
20250519T,40.93,40.93,40.93,40.93,0
20250520T,39.73,39.73,39.73,39.73,0
20250521T,49.37,49.37,49.37,49.37,0
20250522T,53.14,53.14,53.14,53.14,0
20250523T,45.65,45.65,45.65,45.65,0
20250526T,65.58,65.58,65.58,65.58,0
20250527T,37.1,37.1,37.1,37.1,0
20250528T,38.16,38.16,38.16,38.16,0
20250529T,57.05,57.05,57.05,57.05,0
20250530T,41.17,41.17,41.17,41.17,0
20250602T,58.04,58.04,58.04,58.04,0
20250603T,55.33,55.33,55.33,55.33,0
20250604T,51.6,51.6,51.6,51.6,0
20250605T,39.34,39.34,39.34,39.34,0
20250606T,43.28,43.28,43.28,43.28,0
20250609T,53.9,53.9,53.9,53.9,0
20250610T,59.23,59.23,59.23,59.23,0
20250611T,53.19,53.19,53.19,53.19,0
20250612T,55.02,55.02,55.02,55.02,0
20250613T,49.44,49.44,49.44,49.44,0
20250616T,43.49,43.49,43.49,43.49,0
20250617T,62.93,62.93,62.93,62.93,0
20250618T,52.47,52.47,52.47,52.47,0
20250619T,61.48,61.48,61.48,61.48,0
