date,open,high,low,close,volume
20191001T,22.03,22.03,22.03,22.03,0
20191003T,23.29,23.29,23.29,23.29,0
20191004T,23.96,23.96,23.96,23.96,0
20191007T,15.75,15.75,15.75,15.75,0
20191008T,15.75,15.75,15.75,15.75,0
20191009T,18.25,18.25,18.25,18.25,0
20191010T,12.6,12.6,12.6,12.6,0
20191011T,21.71,21.71,21.71,21.71,0
20191014T,11.61,11.61,11.61,11.61,0
20191015T,20.13,20.13,20.13,20.13,0
20191016T,36.0,36.0,36.0,36.0,0
20191017T,20.94,20.94,20.94,20.94,0
20191018T,25.07,25.07,25.07,25.07,0
20191021T,25.07,25.07,25.07,25.07,0
20191022T,28.32,28.32,28.32,28.32,0
20191023T,21.1,21.1,21.1,21.1,0
20191024T,34.89,34.89,34.89,34.89,0
20191025T,36.92,36.92,36.92,36.92,0
20191028T,27.06,27.06,27.06,27.06,0
20191029T,34.61,34.61,34.61,34.61,0
20191030T,28.64,28.64,28.64,28.64,0
20191031T,41.37,41.37,41.37,41.37,0
20191101T,29.65,29.65,29.65,29.65,0
20191104T,31.34,31.34,31.34,31.34,0
20191105T,29.71,29.71,29.71,29.71,0
20191106T,23.07,23.07,23.07,23.07,0
20191107T,39.74,39.74,39.74,39.74,0
20191108T,31.67,31.67,31.67,31.67,0
20191111T,27.4,27.4,27.4,27.4,0
20191112T,27.4,27.4,27.4,27.4,0
20191113T,33.16,33.16,33.16,33.16,0
20191114T,29.39,29.39,29.39,29.39,0
20191115T,30.3,30.3,30.3,30.3,0
20191118T,12.98,12.98,12.98,12.98,0
20191119T,46.04,46.04,46.04,46.04,0
20191120T,31.94,31.94,31.94,31.94,0
20191121T,36.02,36.02,36.02,36.02,0
20191122T,20.96,20.96,20.96,20.96,0
20191125T,28.08,28.08,28.08,28.08,0
20191126T,52.18,52.18,52.18,52.18,0
20191127T,41.04,41.04,41.04,41.04,0
20191128T,45.84,45.84,45.84,45.84,0
20191129T,50.74,50.74,50.74,50.74,0
20191202T,56.72,56.72,56.72,56.72,0
20191203T,50.35,50.35,50.35,50.35,0
20191204T,37.34,37.34,37.34,37.34,0
20191205T,41.28,41.28,41.28,41.28,0
20191206T,23.42,23.42,23.42,23.42,0
20191209T,30.29,30.29,30.29,30.29,0
20191210T,35.33,35.33,35.33,35.33,0
20191211T,32.75,32.75,32.75,32.75,0
20191212T,21.58,21.58,21.58,21.58,0
20191213T,36.32,36.32,36.32,36.32,0
20191216T,31.38,31.38,31.38,31.38,0
20191217T,43.7,43.7,43.7,43.7,0
20191218T,49.35,49.35,49.35,49.35,0
20191219T,29.4,29.4,29.4,29.4,0
20191220T,43.75,43.75,43.75,43.75,0
20191223T,43.07,43.07,43.07,43.07,0
20191224T,24.62,24.62,24.62,24.62,0
20191225T,24.62,24.62,24.62,24.62,0
20191226T,23.94,23.94,23.94,23.94,0
20191227T,20.79,20.79,20.79,20.79,0
20191230T,22.89,22.89,22.89,22.89,0
20191231T,28.87,28.87,28.87,28.87,0
20200101T,20.13,20.13,20.13,20.13,0
20200102T,21.67,21.67,21.67,21.67,0
20200103T,47.4,47.4,47.4,47.4,0
20200106T,39.38,39.38,39.38,39.38,0
20200107T,10.08,10.08,10.08,10.08,0
20200108T,13.84,13.84,13.84,13.84,0
20200109T,25.56,25.56,25.56,25.56,0
20200110T,15.31,15.31,15.31,15.31,0
20200113T,18.26,18.26,18.26,18.26,0
20200114T,15.59,15.59,15.59,15.59,0
20200115T,33.81,33.81,33.81,33.81,0
20200116T,26.77,26.77,26.77,26.77,0
20200117T,26.93,26.93,26.93,26.93,0
20200120T,32.15,32.15,32.15,32.15,0
20200121T,19.89,19.89,19.89,19.89,0
20200122T,20.73,20.73,20.73,20.73,0
20200123T,24.3,24.3,24.3,24.3,0
20200124T,36.13,36.13,36.13,36.13,0
20200127T,36.04,36.04,36.04,36.04,0
20200128T,30.61,30.61,30.61,30.61,0
20200129T,29.61,29.61,29.61,29.61,0
20200130T,37.27,37.27,37.27,37.27,0
20200131T,37.44,37.44,37.44,37.44,0
20200203T,47.88,47.88,47.88,47.88,0
20200204T,33.25,33.25,33.25,33.25,0
20200205T,50.82,50.82,50.82,50.82,0
20200206T,33.24,33.24,33.24,33.24,0
20200207T,24.3,24.3,24.3,24.3,0
20200210T,46.84,46.84,46.84,46.84,0
20200211T,33.65,33.65,33.65,33.65,0
20200212T,34.32,34.32,34.32,34.32,0
20200213T,44.85,44.85,44.85,44.85,0
20200214T,31.37,31.37,31.37,31.37,0
20200217T,18.88,18.88,18.88,18.88,0
20200218T,25.65,25.65,25.65,25.65,0
20200219T,38.55,38.55,38.55,38.55,0
20200220T,38.23,38.23,38.23,38.23,0
