date,open,high,low,close,volume
20191001T,40.76,40.76,40.76,40.76,0
20191003T,41.64,41.64,41.64,41.64,0
20191004T,61.59,61.59,61.59,61.59,0
20191007T,51.56,51.56,51.56,51.56,0
20191008T,51.56,51.56,51.56,51.56,0
20191009T,48.52,48.52,48.52,48.52,0
20191010T,38.42,38.42,38.42,38.42,0
20191011T,44.16,44.16,44.16,44.16,0
20191014T,67.15,67.15,67.15,67.15,0
20191015T,45.88,45.88,45.88,45.88,0
20191016T,59.0,59.0,59.0,59.0,0
20191017T,75.49,75.49,75.49,75.49,0
20191018T,56.79,56.79,56.79,56.79,0
20191021T,56.79,56.79,56.79,56.79,0
20191022T,50.32,50.32,50.32,50.32,0
20191023T,58.37,58.37,58.37,58.37,0
20191024T,42.14,42.14,42.14,42.14,0
20191025T,46.27,46.27,46.27,46.27,0
20191028T,20.02,20.02,20.02,20.02,0
20191029T,44.15,44.15,44.15,44.15,0
20191030T,40.06,40.06,40.06,40.06,0
20191031T,33.22,33.22,33.22,33.22,0
20191101T,36.08,36.08,36.08,36.08,0
20191104T,38.47,38.47,38.47,38.47,0
20191105T,36.96,36.96,36.96,36.96,0
20191106T,60.6,60.6,60.6,60.6,0
20191107T,44.34,44.34,44.34,44.34,0
20191108T,31.35,31.35,31.35,31.35,0
20191111T,36.72,36.72,36.72,36.72,0
20191112T,36.72,36.72,36.72,36.72,0
20191113T,50.94,50.94,50.94,50.94,0
20191114T,29.86,29.86,29.86,29.86,0
20191115T,15.43,15.43,15.43,15.43,0
20191118T,18.37,18.37,18.37,18.37,0
20191119T,9.47,9.47,9.47,9.47,0
20191120T,12.86,12.86,12.86,12.86,0
20191121T,11.66,11.66,11.66,11.66,0
20191122T,24.98,24.98,24.98,24.98,0
20191125T,8.82,8.82,8.82,8.82,0
20191126T,22.48,22.48,22.48,22.48,0
20191127T,17.51,17.51,17.51,17.51,0
20191128T,18.16,18.16,18.16,18.16,0
20191129T,13.74,13.74,13.74,13.74,0
20191202T,11.7,11.7,11.7,11.7,0
20191203T,14.05,14.05,14.05,14.05,0
20191204T,3.71,3.71,3.71,3.71,0
20191205T,12.52,12.52,12.52,12.52,0
20191206T,12.0,12.0,12.0,12.0,0
20191209T,17.6,17.6,17.6,17.6,0
20191210T,15.11,15.11,15.11,15.11,0
20191211T,17.08,17.08,17.08,17.08,0
20191212T,25.84,25.84,25.84,25.84,0
20191213T,26.63,26.63,26.63,26.63,0
20191216T,29.5,29.5,29.5,29.5,0
20191217T,20.97,20.97,20.97,20.97,0
20191218T,20.22,20.22,20.22,20.22,0
20191219T,35.14,35.14,35.14,35.14,0
20191220T,17.63,17.63,17.63,17.63,0
20191223T,9.97,9.97,9.97,9.97,0
20191224T,6.34,6.34,6.34,6.34,0
20191225T,6.34,6.34,6.34,6.34,0
20191226T,8.9,8.9,8.9,8.9,0
20191227T,12.14,12.14,12.14,12.14,0
20191230T,10.86,10.86,10.86,10.86,0
20191231T,7.16,7.16,7.16,7.16,0
20200101T,4.1,4.1,4.1,4.1,0
20200102T,17.48,17.48,17.48,17.48,0
20200103T,16.53,16.53,16.53,16.53,0
20200106T,18.98,18.98,18.98,18.98,0
20200107T,22.79,22.79,22.79,22.79,0
20200108T,21.86,21.86,21.86,21.86,0
20200109T,17.35,17.35,17.35,17.35,0
20200110T,19.04,19.04,19.04,19.04,0
20200113T,15.68,15.68,15.68,15.68,0
20200114T,30.35,30.35,30.35,30.35,0
20200115T,25.68,25.68,25.68,25.68,0
20200116T,31.67,31.67,31.67,31.67,0
20200117T,25.3,25.3,25.3,25.3,0
20200120T,10.51,10.51,10.51,10.51,0
20200121T,9.41,9.41,9.41,9.41,0
20200122T,9.07,9.07,9.07,9.07,0
20200123T,9.81,9.81,9.81,9.81,0
20200124T,13.62,13.62,13.62,13.62,0
20200127T,14.15,14.15,14.15,14.15,0
20200128T,23.01,23.01,23.01,23.01,0
20200129T,27.67,27.67,27.67,27.67,0
20200130T,12.84,12.84,12.84,12.84,0
20200131T,12.57,12.57,12.57,12.57,0
20200203T,31.3,31.3,31.3,31.3,0
20200204T,22.66,22.66,22.66,22.66,0
20200205T,18.4,18.4,18.4,18.4,0
20200206T,16.22,16.22,16.22,16.22,0
20200207T,16.0,16.0,16.0,16.0,0
20200210T,22.9,22.9,22.9,22.9,0
20200211T,18.84,18.84,18.84,18.84,0
20200212T,13.68,13.68,13.68,13.68,0
20200213T,9.69,9.69,9.69,9.69,0
20200214T,23.66,23.66,23.66,23.66,0
20200217T,11.75,11.75,11.75,11.75,0
20200218T,21.33,21.33,21.33,21.33,0
20200219T,19.69,19.69,19.69,19.69,0
20200220T,35.66,35.66,35.66,35.66,0
20200221T,35.66,35.66,35.66,35.66,0
20200224T,17.59,17.59,17.59,17.59,0
20200225T,15.12,15.12,15.12,15.12,0
20200226T,21.64,21.64,21.64,21.64,0
20200227T,18.8,18.8,18.8,18.8,0
20200228T,26.13,26.13,26.13,26.13,0
20200302T,22.72,22.72,22.72,22.72,0
20200303T,14.9,14.9,14.9,14.9,0
20200304T,20.86,20.86,20.86,20.86,0
20200305T,21.31,21.31,21.31,21.31,0
20200306T,21.35,21.35,21.35,21.35,0
20200309T,16.23,16.23,16.23,16.23,0
20200310T,16.23,16.23,16.23,16.23,0
20200311T,17.37,17.37,17.37,17.37,0
20200312T,24.52,24.52,24.52,24.52,0
20200313T,43.07,43.07,43.07,43.07,0
20200316T,21.97,21.97,21.97,21.97,0
20200317T,28.42,28.42,28.42,28.42,0
20200318T,18.25,18.25,18.25,18.25,0
20200319T,48.11,48.11,48.11,48.11,0
20200320T,36.27,36.27,36.27,36.27,0
20200323T,43.52,43.52,43.52,43.52,0
20200324T,39.7,39.7,39.7,39.7,0
20200325T,45.06,45.06,45.06,45.06,0
20200326T,32.83,32.83,32.83,32.83,0
20200327T,43.11,43.11,43.11,43.11,0
20200330T,49.88,49.88,49.88,49.88,0
20200331T,40.38,40.38,40.38,40.38,0
20200401T,50.96,50.96,50.96,50.96,0
20200402T,50.96,50.96,50.96,50.96,0
20200403T,59.06,59.06,59.06,59.06,0
20200406T,59.06,59.06,59.06,59.06,0
20200407T,64.12,64.12,64.12,64.12,0
20200408T,40.35,40.35,40.35,40.35,0
20200409T,48.56,48.56,48.56,48.56,0
20200410T,48.56,48.56,48.56,48.56,0
20200413T,34.78,34.78,34.78,34.78,0
20200415T,39.6,39.6,39.6,39.6,0
20200416T,48.97,48.97,48.97,48.97,0
20200417T,44.0,44.0,44.0,44.0,0
20200420T,35.77,35.77,35.77,35.77,0
20200421T,41.57,41.57,41.57,41.57,0
20200422T,39.63,39.63,39.63,39.63,0
20200423T,33.63,33.63,33.63,33.63,0
20200424T,20.05,20.05,20.05,20.05,0
20200427T,17.19,17.19,17.19,17.19,0
20200428T,32.73,32.73,32.73,32.73,0
20200429T,25.07,25.07,25.07,25.07,0
20200430T,33.59,33.59,33.59,33.59,0
20200501T,33.59,33.59,33.59,33.59,0
20200504T,35.89,35.89,35.89,35.89,0
20200505T,6.48,6.48,6.48,6.48,0
20200506T,20.44,20.44,20.44,20.44,0
20200507T,13.2,13.2,13.2,13.2,0
20200508T,13.95,13.95,13.95,13.95,0
20200511T,17.92,17.92,17.92,17.92,0
20200512T,9.23,9.23,9.23,9.23,0
20200513T,11.94,11.94,11.94,11.94,0
20200514T,17.02,17.02,17.02,17.02,0
20200515T,12.59,12.59,12.59,12.59,0
20200518T,10.06,10.06,10.06,10.06,0
20200519T,14.36,14.36,14.36,14.36,0
20200520T,13.28,13.28,13.28,13.28,0
20200521T,18.65,18.65,18.65,18.65,0
20200522T,17.7,17.7,17.7,17.7,0
20200525T,17.7,17.7,17.7,17.7,0
20200526T,19.06,19.06,19.06,19.06,0
20200527T,21.59,21.59,21.59,21.59,0
20200528T,11.97,11.97,11.97,11.97,0
20200529T,9.3,9.3,9.3,9.3,0
20200601T,33.22,33.22,33.22,33.22,0
20200602T,22.36,22.36,22.36,22.36,0
20200603T,24.46,24.46,24.46,24.46,0
20200604T,25.74,25.74,25.74,25.74,0
20200605T,19.22,19.22,19.22,19.22,0
20200608T,38.59,38.59,38.59,38.59,0
20200609T,24.06,24.06,24.06,24.06,0
20200610T,15.21,15.21,15.21,15.21,0
20200611T,12.14,12.14,12.14,12.14,0
20200612T,9.02,9.02,9.02,9.02,0
20200615T,9.1,9.1,9.1,9.1,0
20200616T,24.43,24.43,24.43,24.43,0
20200617T,33.41,33.41,33.41,33.41,0
20200618T,21.32,21.32,21.32,21.32,0
20200619T,32.88,32.88,32.88,32.88,0
20200622T,16.8,16.8,16.8,16.8,0
20200623T,30.27,30.27,30.27,30.27,0
20200624T,25.24,25.24,25.24,25.24,0
20200625T,17.29,17.29,17.29,17.29,0
20200626T,34.0,34.0,34.0,34.0,0
20200629T,15.93,15.93,15.93,15.93,0
20200630T,26.8,26.8,26.8,26.8,0
20200701T,32.36,32.36,32.36,32.36,0
20200702T,25.91,25.91,25.91,25.91,0
20200703T,25.58,25.58,25.58,25.58,0
20200706T,34.33,34.33,34.33,34.33,0
20200707T,47.0,47.0,47.0,47.0,0
