date,open,high,low,close,volume
20240215T,71.05,71.05,71.05,71.05,0
20240216T,88.63,88.63,88.63,88.63,0
20240219T,76.48,76.48,76.48,76.48,0
20240220T,64.57,64.57,64.57,64.57,0
20240221T,80.04,80.04,80.04,80.04,0
20240222T,80.55,80.55,80.55,80.55,0
20240223T,15.26,15.26,15.26,15.26,0
20240226T,90.04,90.04,90.04,90.04,0
20240227T,74.16,74.16,74.16,74.16,0
20240228T,82.19,82.19,82.19,82.19,0
20240229T,65.65,65.65,65.65,65.65,0
20240301T,78.36,78.36,78.36,78.36,0
20240304T,76.8,76.8,76.8,76.8,0
20240305T,82.68,82.68,82.68,82.68,0
20240306T,56.67,56.67,56.67,56.67,0
20240307T,70.88,70.88,70.88,70.88,0
20240308T,70.88,70.88,70.88,70.88,0
20240311T,66.42,66.42,66.42,66.42,0
20240312T,87.16,87.16,87.16,87.16,0
20240313T,71.65,71.65,71.65,71.65,0
20240314T,88.17,88.17,88.17,88.17,0
20240315T,82.56,82.56,82.56,82.56,0
20240318T,78.6,78.6,78.6,78.6,0
20240319T,93.97,93.97,93.97,93.97,0
20240320T,99.19,99.19,99.19,99.19,0
20240321T,63.27,63.27,63.27,63.27,0
20240322T,81.91,81.91,81.91,81.91,0
20240325T,81.91,81.91,81.91,81.91,0
20240326T,92.1,92.1,92.1,92.1,0
20240327T,73.69,73.69,73.69,73.69,0
20240328T,80.72,80.72,80.72,80.72,0
20240329T,80.72,80.72,80.72,80.72,0
20240401T,85.54,85.54,85.54,85.54,0
20240402T,76.66,76.66,76.66,76.66,0
20240403T,75.68,75.68,75.68,75.68,0
20240404T,45.92,45.92,45.92,45.92,0
20240405T,85.94,85.94,85.94,85.94,0
20240408T,86.87,86.87,86.87,86.87,0
20240409T,84.29,84.29,84.29,84.29,0
20240410T,80.49,80.49,80.49,80.49,0
20240411T,80.49,80.49,80.49,80.49,0
20240412T,79.6,79.6,79.6,79.6,0
20240415T,90.47,90.47,90.47,90.47,0
20240416T,87.15,87.15,87.15,87.15,0
20240417T,87.15,87.15,87.15,87.15,0
20240418T,80.26,80.26,80.26,80.26,0
20240419T,77.81,77.81,77.81,77.81,0
20240422T,64.07,64.07,64.07,64.07,0
20240423T,38.97,38.97,38.97,38.97,0
20240424T,94.12,94.12,94.12,94.12,0
20240425T,88.43,88.43,88.43,88.43,0
20240426T,70.52,70.52,70.52,70.52,0
20240429T,97.62,97.62,97.62,97.62,0
20240430T,89.05,89.05,89.05,89.05,0
20240501T,89.05,89.05,89.05,89.05,0
20240502T,70.31,70.31,70.31,70.31,0
20240503T,75.86,75.86,75.86,75.86,0
20240506T,79.87,79.87,79.87,79.87,0
20240507T,48.41,48.41,48.41,48.41,0
20240508T,69.9,69.9,69.9,69.9,0
20240509T,54.51,54.51,54.51,54.51,0
20240510T,51.61,51.61,51.61,51.61,0
20240513T,46.76,46.76,46.76,46.76,0
20240514T,68.31,68.31,68.31,68.31,0
20240515T,59.5,59.5,59.5,59.5,0
20240516T,57.07,57.07,57.07,57.07,0
20240517T,58.15,58.15,58.15,58.15,0
20240520T,69.11,69.11,69.11,69.11,0
20240521T,99.51,99.51,99.51,99.51,0
20240522T,75.54,75.54,75.54,75.54,0
20240523T,93.9,93.9,93.9,93.9,0
20240524T,94.73,94.73,94.73,94.73,0
20240527T,82.47,82.47,82.47,82.47,0
20240528T,53.88,53.88,53.88,53.88,0
20240529T,87.86,87.86,87.86,87.86,0
20240530T,85.8,85.8,85.8,85.8,0
20240531T,69.75,69.75,69.75,69.75,0
20240603T,73.46,73.46,73.46,73.46,0
20240604T,66.65,66.65,66.65,66.65,0
20240605T,69.49,69.49,69.49,69.49,0
20240606T,83.38,83.38,83.38,83.38,0
20240607T,98.0,98.0,98.0,98.0,0
20240610T,50.67,50.67,50.67,50.67,0
20240611T,85.41,85.41,85.41,85.41,0
20240612T,90.82,90.82,90.82,90.82,0
20240613T,58.72,58.72,58.72,58.72,0
20240614T,77.59,77.59,77.59,77.59,0
20240617T,77.59,77.59,77.59,77.59,0
20240618T,92.85,92.85,92.85,92.85,0
20240619T,60.17,60.17,60.17,60.17,0
20240620T,94.91,94.91,94.91,94.91,0
20240621T,65.16,65.16,65.16,65.16,0
20240624T,47.9,47.9,47.9,47.9,0
20240625T,95.32,95.32,95.32,95.32,0
20240626T,94.74,94.74,94.74,94.74,0
20240627T,88.48,88.48,88.48,88.48,0
20240628T,92.61,92.61,92.61,92.61,0
20240701T,81.18,81.18,81.18,81.18,0
20240702T,76.76,76.76,76.76,76.76,0
20240703T,93.93,93.93,93.93,93.93,0
20240704T,88.19,88.19,88.19,88.19,0
20240705T,84.67,84.67,84.67,84.67,0
20240708T,78.54,78.54,78.54,78.54,0
20240709T,93.51,93.51,93.51,93.51,0
20240710T,85.07,85.07,85.07,85.07,0
20240711T,80.52,80.52,80.52,80.52,0
20240712T,78.95,78.95,78.95,78.95,0
20240715T,59.43,59.43,59.43,59.43,0
20240716T,78.83,78.83,78.83,78.83,0
20240717T,78.83,78.83,78.83,78.83,0
20240718T,72.06,72.06,72.06,72.06,0
20240719T,70.18,70.18,70.18,70.18,0
20240722T,67.26,67.26,67.26,67.26,0
20240723T,73.54,73.54,73.54,73.54,0
20240724T,62.12,62.12,62.12,62.12,0
20240725T,74.99,74.99,74.99,74.99,0
20240726T,75.04,75.04,75.04,75.04,0
20240729T,84.04,84.04,84.04,84.04,0
20240730T,77.32,77.32,77.32,77.32,0
20240731T,79.0,79.0,79.0,79.0,0
20240801T,65.86,65.86,65.86,65.86,0
20240802T,90.71,90.71,90.71,90.71,0
20240805T,78.23,78.23,78.23,78.23,0
20240806T,57.5,57.5,57.5,57.5,0
20240807T,64.66,64.66,64.66,64.66,0
20240808T,90.15,90.15,90.15,90.15,0
20240809T,11.07,11.07,11.07,11.07,0
20240812T,68.6,68.6,68.6,68.6,0
20240813T,64.34,64.34,64.34,64.34,0
20240814T,82.83,82.83,82.83,82.83,0
20240816T,91.02,91.02,91.02,91.02,0
20240819T,73.75,73.75,73.75,73.75,0
20240820T,89.43,89.43,89.43,89.43,0
20240821T,84.11,84.11,84.11,84.11,0
20240822T,63.84,63.84,63.84,63.84,0
20240823T,60.15,60.15,60.15,60.15,0
20240826T,71.31,71.31,71.31,71.31,0
20240827T,70.13,70.13,70.13,70.13,0
20240828T,87.96,87.96,87.96,87.96,0
20240829T,63.67,63.67,63.67,63.67,0
20240830T,72.59,72.59,72.59,72.59,0
20240902T,79.93,79.93,79.93,79.93,0
20240903T,82.31,82.31,82.31,82.31,0
20240904T,93.17,93.17,93.17,93.17,0
20240905T,78.47,78.47,78.47,78.47,0
20240906T,91.63,91.63,91.63,91.63,0
