date,open,high,low,close,volume
20191001T,60.07,60.07,60.07,60.07,0
20191003T,81.34,81.34,81.34,81.34,0
20191004T,77.77,77.77,77.77,77.77,0
20191007T,100.0,100.0,100.0,100.0,0
20191008T,100.0,100.0,100.0,100.0,0
20191009T,92.24,92.24,92.24,92.24,0
20191010T,80.6,80.6,80.6,80.6,0
20191011T,54.95,54.95,54.95,54.95,0
20191014T,64.45,64.45,64.45,64.45,0
20191015T,66.45,66.45,66.45,66.45,0
20191016T,71.8,71.8,71.8,71.8,0
20191017T,88.73,88.73,88.73,88.73,0
20191018T,61.4,61.4,61.4,61.4,0
20191021T,61.4,61.4,61.4,61.4,0
20191022T,60.05,60.05,60.05,60.05,0
20191023T,65.59,65.59,65.59,65.59,0
20191024T,67.7,67.7,67.7,67.7,0
20191025T,60.88,60.88,60.88,60.88,0
20191028T,82.88,82.88,82.88,82.88,0
20191029T,66.41,66.41,66.41,66.41,0
20191030T,57.83,57.83,57.83,57.83,0
20191031T,67.33,67.33,67.33,67.33,0
20191101T,54.29,54.29,54.29,54.29,0
20191104T,63.92,63.92,63.92,63.92,0
20191105T,49.71,49.71,49.71,49.71,0
20191106T,73.97,73.97,73.97,73.97,0
20191107T,77.56,77.56,77.56,77.56,0
20191108T,66.29,66.29,66.29,66.29,0
20191111T,64.23,64.23,64.23,64.23,0
20191112T,64.23,64.23,64.23,64.23,0
20191113T,64.44,64.44,64.44,64.44,0
20191114T,75.48,75.48,75.48,75.48,0
20191115T,76.99,76.99,76.99,76.99,0
20191118T,66.64,66.64,66.64,66.64,0
20191119T,74.86,74.86,74.86,74.86,0
20191120T,65.61,65.61,65.61,65.61,0
20191121T,68.8,68.8,68.8,68.8,0
20191122T,83.62,83.62,83.62,83.62,0
20191125T,73.9,73.9,73.9,73.9,0
20191126T,68.81,68.81,68.81,68.81,0
20191127T,74.07,74.07,74.07,74.07,0
20191128T,80.77,80.77,80.77,80.77,0
20191129T,63.67,63.67,63.67,63.67,0
20191202T,61.22,61.22,61.22,61.22,0
20191203T,80.56,80.56,80.56,80.56,0
20191204T,60.94,60.94,60.94,60.94,0
20191205T,84.55,84.55,84.55,84.55,0
20191206T,61.82,61.82,61.82,61.82,0
20191209T,65.12,65.12,65.12,65.12,0
20191210T,84.76,84.76,84.76,84.76,0
20191211T,68.53,68.53,68.53,68.53,0
20191212T,70.68,70.68,70.68,70.68,0
20191213T,81.29,81.29,81.29,81.29,0
20191216T,72.64,72.64,72.64,72.64,0
20191217T,82.81,82.81,82.81,82.81,0
20191218T,71.79,71.79,71.79,71.79,0
20191219T,67.87,67.87,67.87,67.87,0
20191220T,95.48,95.48,95.48,95.48,0
20191223T,81.36,81.36,81.36,81.36,0
20191224T,73.7,73.7,73.7,73.7,0
20191225T,73.7,73.7,73.7,73.7,0
20191226T,61.96,61.96,61.96,61.96,0
20191227T,73.66,73.66,73.66,73.66,0
20191230T,92.75,92.75,92.75,92.75,0
20191231T,83.98,83.98,83.98,83.98,0
20200101T,80.37,80.37,80.37,80.37,0
20200102T,57.85,57.85,57.85,57.85,0
20200103T,52.95,52.95,52.95,52.95,0
20200106T,51.45,51.45,51.45,51.45,0
20200107T,73.11,73.11,73.11,73.11,0
20200108T,62.18,62.18,62.18,62.18,0
20200109T,72.48,72.48,72.48,72.48,0
20200110T,75.32,75.32,75.32,75.32,0
20200113T,61.65,61.65,61.65,61.65,0
20200114T,55.79,55.79,55.79,55.79,0
20200115T,78.19,78.19,78.19,78.19,0
20200116T,79.53,79.53,79.53,79.53,0
20200117T,79.33,79.33,79.33,79.33,0
20200120T,81.57,81.57,81.57,81.57,0
20200121T,54.95,54.95,54.95,54.95,0
20200122T,94.07,94.07,94.07,94.07,0
20200123T,89.53,89.53,89.53,89.53,0
20200124T,78.56,78.56,78.56,78.56,0
20200127T,77.16,77.16,77.16,77.16,0
20200128T,42.83,42.83,42.83,42.83,0
20200129T,54.34,54.34,54.34,54.34,0
20200130T,72.67,72.67,72.67,72.67,0
20200131T,60.76,60.76,60.76,60.76,0
20200203T,63.04,63.04,63.04,63.04,0
20200204T,68.33,68.33,68.33,68.33,0
20200205T,76.35,76.35,76.35,76.35,0
20200206T,64.64,64.64,64.64,64.64,0
20200207T,61.44,61.44,61.44,61.44,0
20200210T,66.26,66.26,66.26,66.26,0
20200211T,71.82,71.82,71.82,71.82,0
20200212T,88.52,88.52,88.52,88.52,0
20200213T,69.71,69.71,69.71,69.71,0
20200214T,57.77,57.77,57.77,57.77,0
20200217T,85.38,85.38,85.38,85.38,0
20200218T,78.76,78.76,78.76,78.76,0
20200219T,69.74,69.74,69.74,69.74,0
20200220T,68.26,68.26,68.26,68.26,0
20200221T,68.26,68.26,68.26,68.26,0
20200224T,87.95,87.95,87.95,87.95,0
20200225T,92.25,92.25,92.25,92.25,0
20200226T,84.62,84.62,84.62,84.62,0
20200227T,67.15,67.15,67.15,67.15,0
20200228T,80.33,80.33,80.33,80.33,0
20200302T,79.7,79.7,79.7,79.7,0
20200303T,83.17,83.17,83.17,83.17,0
20200304T,61.95,61.95,61.95,61.95,0
20200305T,67.81,67.81,67.81,67.81,0
20200306T,67.52,67.52,67.52,67.52,0
20200309T,74.8,74.8,74.8,74.8,0
20200310T,74.8,74.8,74.8,74.8,0
20200311T,73.11,73.11,73.11,73.11,0
20200312T,78.39,78.39,78.39,78.39,0
20200313T,73.09,73.09,73.09,73.09,0
20200316T,60.27,60.27,60.27,60.27,0
20200317T,54.09,54.09,54.09,54.09,0
20200318T,84.64,84.64,84.64,84.64,0
20200319T,55.79,55.79,55.79,55.79,0
20200320T,70.95,70.95,70.95,70.95,0
20200323T,68.85,68.85,68.85,68.85,0
20200324T,87.54,87.54,87.54,87.54,0
20200325T,71.67,71.67,71.67,71.67,0
20200326T,81.14,81.14,81.14,81.14,0
20200327T,89.74,89.74,89.74,89.74,0
20200330T,79.33,79.33,79.33,79.33,0
20200331T,75.82,75.82,75.82,75.82,0
20200401T,60.17,60.17,60.17,60.17,0
20200402T,60.17,60.17,60.17,60.17,0
20200403T,55.07,55.07,55.07,55.07,0
20200406T,55.07,55.07,55.07,55.07,0
20200407T,79.24,79.24,79.24,79.24,0
20200408T,59.76,59.76,59.76,59.76,0
20200409T,52.24,52.24,52.24,52.24,0
20200410T,52.24,52.24,52.24,52.24,0
20200413T,61.12,61.12,61.12,61.12,0
20200415T,64.0,64.0,64.0,64.0,0
20200416T,54.62,54.62,54.62,54.62,0
20200417T,60.12,60.12,60.12,60.12,0
20200420T,59.43,59.43,59.43,59.43,0
20200421T,58.17,58.17,58.17,58.17,0
20200422T,35.27,35.27,35.27,35.27,0
20200423T,59.76,59.76,59.76,59.76,0
20200424T,63.87,63.87,63.87,63.87,0
20200427T,46.17,46.17,46.17,46.17,0
20200428T,59.9,59.9,59.9,59.9,0
20200429T,54.32,54.32,54.32,54.32,0
20200430T,72.35,72.35,72.35,72.35,0
20200501T,72.35,72.35,72.35,72.35,0
20200504T,56.42,56.42,56.42,56.42,0
20200505T,58.27,58.27,58.27,58.27,0
20200506T,75.87,75.87,75.87,75.87,0
20200507T,82.03,82.03,82.03,82.03,0
20200508T,57.48,57.48,57.48,57.48,0
20200511T,62.07,62.07,62.07,62.07,0
20200512T,94.41,94.41,94.41,94.41,0
20200513T,69.3,69.3,69.3,69.3,0
20200514T,75.08,75.08,75.08,75.08,0
20200515T,67.77,67.77,67.77,67.77,0
20200518T,71.13,71.13,71.13,71.13,0
20200519T,89.22,89.22,89.22,89.22,0
20200520T,72.7,72.7,72.7,72.7,0
20200521T,78.66,78.66,78.66,78.66,0
20200522T,81.3,81.3,81.3,81.3,0
20200525T,81.3,81.3,81.3,81.3,0
20200526T,74.62,74.62,74.62,74.62,0
20200527T,81.12,81.12,81.12,81.12,0
20200528T,77.18,77.18,77.18,77.18,0
20200529T,79.29,79.29,79.29,79.29,0
20200601T,41.1,41.1,41.1,41.1,0
20200602T,64.33,64.33,64.33,64.33,0
20200603T,80.68,80.68,80.68,80.68,0
20200604T,100.0,100.0,100.0,100.0,0
20200605T,100.0,100.0,100.0,100.0,0
20200608T,71.1,71.1,71.1,71.1,0
20200609T,67.66,67.66,67.66,67.66,0
20200610T,80.66,80.66,80.66,80.66,0
20200611T,68.75,68.75,68.75,68.75,0
20200612T,45.33,45.33,45.33,45.33,0
