date,open,high,low,close,volume
20240618T,42.23,42.23,42.23,42.23,0
20240619T,27.55,27.55,27.55,27.55,0
20240620T,31.85,31.85,31.85,31.85,0
20240621T,32.11,32.11,32.11,32.11,0
20240624T,41.35,41.35,41.35,41.35,0
20240625T,60.0,60.0,60.0,60.0,0
20240626T,36.37,36.37,36.37,36.37,0
20240627T,46.64,46.64,46.64,46.64,0
20240628T,45.7,45.7,45.7,45.7,0
20240701T,36.44,36.44,36.44,36.44,0
20240702T,40.51,40.51,40.51,40.51,0
20240703T,40.64,40.64,40.64,40.64,0
20240704T,42.86,42.86,42.86,42.86,0
20240705T,34.27,34.27,34.27,34.27,0
20240708T,49.92,49.92,49.92,49.92,0
20240709T,37.89,37.89,37.89,37.89,0
20240710T,47.73,47.73,47.73,47.73,0
20240711T,43.61,43.61,43.61,43.61,0
20240712T,40.92,40.92,40.92,40.92,0
20240715T,50.7,50.7,50.7,50.7,0
20240716T,38.16,38.16,38.16,38.16,0
20240717T,38.16,38.16,38.16,38.16,0
20240718T,46.45,46.45,46.45,46.45,0
20240719T,43.2,43.2,43.2,43.2,0
20240722T,49.0,49.0,49.0,49.0,0
20240723T,36.62,36.62,36.62,36.62,0
20240724T,50.81,50.81,50.81,50.81,0
20240725T,45.97,45.97,45.97,45.97,0
20240726T,36.97,36.97,36.97,36.97,0
20240729T,40.16,40.16,40.16,40.16,0
20240730T,59.17,59.17,59.17,59.17,0
20240731T,49.21,49.21,49.21,49.21,0
20240801T,55.71,55.71,55.71,55.71,0
20240802T,35.08,35.08,35.08,35.08,0
20240805T,37.2,37.2,37.2,37.2,0
20240806T,47.02,47.02,47.02,47.02,0
20240807T,39.53,39.53,39.53,39.53,0
20240808T,40.96,40.96,40.96,40.96,0
20240809T,50.5,50.5,50.5,50.5,0
20240812T,48.23,48.23,48.23,48.23,0
20240813T,50.21,50.21,50.21,50.21,0
20240814T,41.41,41.41,41.41,41.41,0
20240816T,45.01,45.01,45.01,45.01,0
20240819T,48.09,48.09,48.09,48.09,0
20240820T,44.59,44.59,44.59,44.59,0
20240821T,44.69,44.69,44.69,44.69,0
20240822T,38.82,38.82,38.82,38.82,0
20240823T,27.07,27.07,27.07,27.07,0
20240826T,46.85,46.85,46.85,46.85,0
20240827T,40.04,40.04,40.04,40.04,0
20240828T,49.77,49.77,49.77,49.77,0
20240829T,45.04,45.04,45.04,45.04,0
20240830T,53.93,53.93,53.93,53.93,0
20240902T,48.67,48.67,48.67,48.67,0
20240903T,51.09,51.09,51.09,51.09,0
20240904T,42.27,42.27,42.27,42.27,0
20240905T,46.4,46.4,46.4,46.4,0
20240906T,53.12,53.12,53.12,53.12,0
20240909T,46.83,46.83,46.83,46.83,0
20240910T,34.9,34.9,34.9,34.9,0
20240911T,39.98,39.98,39.98,39.98,0
20240912T,46.96,46.96,46.96,46.96,0
20240913T,53.12,53.12,53.12,53.12,0
20240916T,46.99,46.99,46.99,46.99,0
20240917T,56.4,56.4,56.4,56.4,0
20240918T,37.81,37.81,37.81,37.81,0
20240919T,48.31,48.31,48.31,48.31,0
20240920T,62.28,62.28,62.28,62.28,0
20240923T,56.59,56.59,56.59,56.59,0
20240924T,40.09,40.09,40.09,40.09,0
20240925T,49.74,49.74,49.74,49.74,0
20240926T,47.74,47.74,47.74,47.74,0
20240927T,49.59,49.59,49.59,49.59,0
20240930T,37.61,37.61,37.61,37.61,0
20241001T,51.98,51.98,51.98,51.98,0
20241003T,57.81,57.81,57.81,57.81,0
20241004T,39.78,39.78,39.78,39.78,0
20241007T,59.64,59.64,59.64,59.64,0
20241008T,49.32,49.32,49.32,49.32,0
20241009T,47.52,47.52,47.52,47.52,0
20241010T,54.54,54.54,54.54,54.54,0
20241011T,56.82,56.82,56.82,56.82,0
20241014T,41.14,41.14,41.14,41.14,0
20241015T,56.37,56.37,56.37,56.37,0
20241016T,52.69,52.69,52.69,52.69,0
20241017T,38.57,38.57,38.57,38.57,0
20241018T,51.22,51.22,51.22,51.22,0
20241021T,46.3,46.3,46.3,46.3,0
20241022T,59.5,59.5,59.5,59.5,0
20241023T,29.0,29.0,29.0,29.0,0
20241024T,48.43,48.43,48.43,48.43,0
20241025T,45.06,45.06,45.06,45.06,0
20241028T,44.53,44.53,44.53,44.53,0
20241029T,42.13,42.13,42.13,42.13,0
20241030T,43.9,43.9,43.9,43.9,0
20241031T,54.57,54.57,54.57,54.57,0
20241101T,57.13,57.13,57.13,57.13,0
20241104T,55.46,55.46,55.46,55.46,0
20241105T,46.97,46.97,46.97,46.97,0
20241106T,45.05,45.05,45.05,45.05,0
20241107T,43.69,43.69,43.69,43.69,0
20241108T,65.31,65.31,65.31,65.31,0
20241111T,52.34,52.34,52.34,52.34,0
20241112T,52.12,52.12,52.12,52.12,0
20241113T,46.95,46.95,46.95,46.95,0
20241114T,50.94,50.94,50.94,50.94,0
20241118T,40.26,40.26,40.26,40.26,0
20241119T,40.06,40.06,40.06,40.06,0
20241120T,40.06,40.06,40.06,40.06,0
20241121T,37.94,37.94,37.94,37.94,0
20241122T,38.52,38.52,38.52,38.52,0
20241125T,41.12,41.12,41.12,41.12,0
20241126T,54.54,54.54,54.54,54.54,0
20241127T,58.21,58.21,58.21,58.21,0
20241128T,58.76,58.76,58.76,58.76,0
20241129T,40.29,40.29,40.29,40.29,0
20241202T,61.06,61.06,61.06,61.06,0
20241203T,49.44,49.44,49.44,49.44,0
20241204T,48.54,48.54,48.54,48.54,0
20241205T,60.26,60.26,60.26,60.26,0
20241206T,58.66,58.66,58.66,58.66,0
20241209T,60.68,60.68,60.68,60.68,0
20241210T,67.12,67.12,67.12,67.12,0
20241211T,48.47,48.47,48.47,48.47,0
20241212T,39.59,39.59,39.59,39.59,0
20241213T,35.06,35.06,35.06,35.06,0
20241216T,40.55,40.55,40.55,40.55,0
20241217T,46.44,46.44,46.44,46.44,0
20241218T,37.36,37.36,37.36,37.36,0
20241219T,33.02,33.02,33.02,33.02,0
20241220T,48.35,48.35,48.35,48.35,0
20241223T,39.31,39.31,39.31,39.31,0
20241224T,49.31,49.31,49.31,49.31,0
20241225T,49.31,49.31,49.31,49.31,0
20241226T,40.28,40.28,40.28,40.28,0
20241227T,50.14,50.14,50.14,50.14,0
20241230T,45.49,45.49,45.49,45.49,0
20241231T,42.54,42.54,42.54,42.54,0
20250101T,31.99,31.99,31.99,31.99,0
20250102T,44.62,44.62,44.62,44.62,0
20250103T,66.71,66.71,66.71,66.71,0
20250106T,50.15,50.15,50.15,50.15,0
20250107T,31.45,31.45,31.45,31.45,0
20250108T,46.99,46.99,46.99,46.99,0
20250109T,42.95,42.95,42.95,42.95,0
20250110T,43.37,43.37,43.37,43.37,0
20250113T,38.92,38.92,38.92,38.92,0
20250114T,33.55,33.55,33.55,33.55,0
20250115T,48.16,48.16,48.16,48.16,0
20250116T,41.87,41.87,41.87,41.87,0
