date,open,high,low,close,volume
20191001T,50.25,50.25,50.25,50.25,0
20191003T,60.37,60.37,60.37,60.37,0
20191004T,41.93,41.93,41.93,41.93,0
20191007T,43.95,43.95,43.95,43.95,0
20191008T,43.95,43.95,43.95,43.95,0
20191009T,46.84,46.84,46.84,46.84,0
20191010T,51.19,51.19,51.19,51.19,0
20191011T,51.43,51.43,51.43,51.43,0
20191014T,51.33,51.33,51.33,51.33,0
20191015T,57.65,57.65,57.65,57.65,0
20191016T,57.52,57.52,57.52,57.52,0
20191017T,60.8,60.8,60.8,60.8,0
20191018T,49.7,49.7,49.7,49.7,0
20191021T,49.7,49.7,49.7,49.7,0
20191022T,71.95,71.95,71.95,71.95,0
20191023T,44.24,44.24,44.24,44.24,0
20191024T,39.83,39.83,39.83,39.83,0
20191025T,73.14,73.14,73.14,73.14,0
20191028T,33.8,33.8,33.8,33.8,0
20191029T,42.88,42.88,42.88,42.88,0
20191030T,37.32,37.32,37.32,37.32,0
20191031T,47.14,47.14,47.14,47.14,0
20191101T,51.33,51.33,51.33,51.33,0
20191104T,41.66,41.66,41.66,41.66,0
20191105T,50.15,50.15,50.15,50.15,0
20191106T,66.08,66.08,66.08,66.08,0
20191107T,58.65,58.65,58.65,58.65,0
20191108T,67.4,67.4,67.4,67.4,0
20191111T,59.79,59.79,59.79,59.79,0
20191112T,59.79,59.79,59.79,59.79,0
20191113T,57.76,57.76,57.76,57.76,0
20191114T,72.26,72.26,72.26,72.26,0
20191115T,66.27,66.27,66.27,66.27,0
20191118T,67.57,67.57,67.57,67.57,0
20191119T,54.71,54.71,54.71,54.71,0
20191120T,53.82,53.82,53.82,53.82,0
20191121T,49.67,49.67,49.67,49.67,0
20191122T,63.09,63.09,63.09,63.09,0
20191125T,57.96,57.96,57.96,57.96,0
20191126T,59.65,59.65,59.65,59.65,0
20191127T,58.29,58.29,58.29,58.29,0
20191128T,65.03,65.03,65.03,65.03,0
20191129T,52.92,52.92,52.92,52.92,0
20191202T,100.0,100.0,100.0,100.0,0
20191203T,80.88,80.88,80.88,80.88,0
20191204T,48.93,48.93,48.93,48.93,0
20191205T,45.6,45.6,45.6,45.6,0
20191206T,68.39,68.39,68.39,68.39,0
20191209T,99.76,99.76,99.76,99.76,0
20191210T,100.0,100.0,100.0,100.0,0
20191211T,50.16,50.16,50.16,50.16,0
20191212T,62.46,62.46,62.46,62.46,0
20191213T,51.66,51.66,51.66,51.66,0
20191216T,57.73,57.73,57.73,57.73,0
20191217T,54.65,54.65,54.65,54.65,0
20191218T,55.35,55.35,55.35,55.35,0
20191219T,57.78,57.78,57.78,57.78,0
20191220T,48.42,48.42,48.42,48.42,0
20191223T,99.59,99.59,99.59,99.59,0
20191224T,76.27,76.27,76.27,76.27,0
20191225T,76.27,76.27,76.27,76.27,0
20191226T,56.7,56.7,56.7,56.7,0
20191227T,58.48,58.48,58.48,58.48,0
20191230T,68.54,68.54,68.54,68.54,0
20191231T,50.22,50.22,50.22,50.22,0
20200101T,45.34,45.34,45.34,45.34,0
20200102T,43.37,43.37,43.37,43.37,0
20200103T,45.76,45.76,45.76,45.76,0
20200106T,56.6,56.6,56.6,56.6,0
