date,open,high,low,close,volume
20191001T,36.82,36.82,36.82,36.82,0
20191003T,36.66,36.66,36.66,36.66,0
20191004T,62.63,62.63,62.63,62.63,0
20191007T,42.29,42.29,42.29,42.29,0
20191008T,42.29,42.29,42.29,42.29,0
20191009T,44.33,44.33,44.33,44.33,0
20191010T,76.98,76.98,76.98,76.98,0
20191011T,62.04,62.04,62.04,62.04,0
20191014T,65.5,65.5,65.5,65.5,0
20191015T,53.99,53.99,53.99,53.99,0
20191016T,28.16,28.16,28.16,28.16,0
20191017T,32.56,32.56,32.56,32.56,0
20191018T,48.34,48.34,48.34,48.34,0
20191021T,48.34,48.34,48.34,48.34,0
20191022T,46.39,46.39,46.39,46.39,0
20191023T,19.41,19.41,19.41,19.41,0
20191024T,36.96,36.96,36.96,36.96,0
20191025T,43.07,43.07,43.07,43.07,0
20191028T,57.87,57.87,57.87,57.87,0
20191029T,49.22,49.22,49.22,49.22,0
20191030T,44.27,44.27,44.27,44.27,0
20191031T,55.46,55.46,55.46,55.46,0
20191101T,71.75,71.75,71.75,71.75,0
20191104T,38.12,38.12,38.12,38.12,0
20191105T,51.73,51.73,51.73,51.73,0
20191106T,68.28,68.28,68.28,68.28,0
20191107T,56.41,56.41,56.41,56.41,0
20191108T,35.72,35.72,35.72,35.72,0
20191111T,52.31,52.31,52.31,52.31,0
20191112T,52.31,52.31,52.31,52.31,0
20191113T,70.97,70.97,70.97,70.97,0
20191114T,51.99,51.99,51.99,51.99,0
20191115T,58.35,58.35,58.35,58.35,0
20191118T,64.93,64.93,64.93,64.93,0
20191119T,62.27,62.27,62.27,62.27,0
20191120T,59.08,59.08,59.08,59.08,0
20191121T,52.37,52.37,52.37,52.37,0
20191122T,56.89,56.89,56.89,56.89,0
20191125T,50.61,50.61,50.61,50.61,0
20191126T,52.22,52.22,52.22,52.22,0
20191127T,60.12,60.12,60.12,60.12,0
20191128T,76.37,76.37,76.37,76.37,0
20191129T,53.63,53.63,53.63,53.63,0
20191202T,55.25,55.25,55.25,55.25,0
20191203T,49.77,49.77,49.77,49.77,0
20191204T,31.83,31.83,31.83,31.83,0
20191205T,58.63,58.63,58.63,58.63,0
20191206T,54.55,54.55,54.55,54.55,0
20191209T,64.6,64.6,64.6,64.6,0
20191210T,66.14,66.14,66.14,66.14,0
20191211T,62.02,62.02,62.02,62.02,0
20191212T,57.77,57.77,57.77,57.77,0
20191213T,67.83,67.83,67.83,67.83,0
20191216T,27.85,27.85,27.85,27.85,0
20191217T,46.18,46.18,46.18,46.18,0
20191218T,57.62,57.62,57.62,57.62,0
20191219T,53.06,53.06,53.06,53.06,0
20191220T,38.73,38.73,38.73,38.73,0
20191223T,36.0,36.0,36.0,36.0,0
20191224T,35.63,35.63,35.63,35.63,0
20191225T,35.63,35.63,35.63,35.63,0
20191226T,42.1,42.1,42.1,42.1,0
20191227T,49.17,49.17,49.17,49.17,0
20191230T,48.67,48.67,48.67,48.67,0
20191231T,49.66,49.66,49.66,49.66,0
20200101T,51.54,51.54,51.54,51.54,0
20200102T,56.44,56.44,56.44,56.44,0
20200103T,57.95,57.95,57.95,57.95,0
20200106T,67.23,67.23,67.23,67.23,0
20200107T,64.27,64.27,64.27,64.27,0
20200108T,56.53,56.53,56.53,56.53,0
20200109T,33.75,33.75,33.75,33.75,0
20200110T,47.09,47.09,47.09,47.09,0
20200113T,42.82,42.82,42.82,42.82,0
20200114T,52.39,52.39,52.39,52.39,0
20200115T,43.78,43.78,43.78,43.78,0
20200116T,50.87,50.87,50.87,50.87,0
20200117T,52.76,52.76,52.76,52.76,0
20200120T,58.15,58.15,58.15,58.15,0
20200121T,46.56,46.56,46.56,46.56,0
20200122T,45.72,45.72,45.72,45.72,0
20200123T,53.12,53.12,53.12,53.12,0
20200124T,60.01,60.01,60.01,60.01,0
20200127T,52.03,52.03,52.03,52.03,0
20200128T,59.25,59.25,59.25,59.25,0
20200129T,52.73,52.73,52.73,52.73,0
20200130T,59.63,59.63,59.63,59.63,0
20200131T,63.99,63.99,63.99,63.99,0
20200203T,55.98,55.98,55.98,55.98,0
20200204T,58.72,58.72,58.72,58.72,0
20200205T,49.39,49.39,49.39,49.39,0
