date,open,high,low,close,volume
20221223T,40.34,40.34,40.34,40.34,0
20221226T,34.98,34.98,34.98,34.98,0
20221227T,26.19,26.19,26.19,26.19,0
20221228T,33.28,33.28,33.28,33.28,0
20221229T,40.65,40.65,40.65,40.65,0
20221230T,38.74,38.74,38.74,38.74,0
20230102T,44.36,44.36,44.36,44.36,0
20230103T,56.29,56.29,56.29,56.29,0
20230104T,53.12,53.12,53.12,53.12,0
20230105T,51.52,51.52,51.52,51.52,0
20230106T,41.29,41.29,41.29,41.29,0
20230109T,49.19,49.19,49.19,49.19,0
20230110T,36.14,36.14,36.14,36.14,0
20230111T,41.89,41.89,41.89,41.89,0
20230112T,28.95,28.95,28.95,28.95,0
20230113T,43.17,43.17,43.17,43.17,0
20230116T,52.84,52.84,52.84,52.84,0
20230117T,43.23,43.23,43.23,43.23,0
20230118T,28.92,28.92,28.92,28.92,0
20230119T,39.0,39.0,39.0,39.0,0
20230120T,46.98,46.98,46.98,46.98,0
20230123T,26.28,26.28,26.28,26.28,0
20230124T,19.85,19.85,19.85,19.85,0
20230125T,30.5,30.5,30.5,30.5,0
20230127T,37.23,37.23,37.23,37.23,0
20230130T,27.26,27.26,27.26,27.26,0
20230131T,26.25,26.25,26.25,26.25,0
20230201T,43.17,43.17,43.17,43.17,0
20230202T,18.08,18.08,18.08,18.08,0
20230203T,29.37,29.37,29.37,29.37,0
20230206T,38.04,38.04,38.04,38.04,0
20230207T,28.57,28.57,28.57,28.57,0
20230208T,35.79,35.79,35.79,35.79,0
20230209T,16.01,16.01,16.01,16.01,0
20230210T,42.08,42.08,42.08,42.08,0
20230213T,41.89,41.89,41.89,41.89,0
20230214T,43.93,43.93,43.93,43.93,0
20230215T,33.71,33.71,33.71,33.71,0
20230216T,21.4,21.4,21.4,21.4,0
20230217T,35.69,35.69,35.69,35.69,0
20230220T,46.58,46.58,46.58,46.58,0
20230221T,39.6,39.6,39.6,39.6,0
20230222T,40.39,40.39,40.39,40.39,0
20230223T,28.18,28.18,28.18,28.18,0
20230224T,45.36,45.36,45.36,45.36,0
20230227T,82.8,82.8,82.8,82.8,0
20230228T,68.4,68.4,68.4,68.4,0
20230301T,32.25,32.25,32.25,32.25,0
20230302T,36.44,36.44,36.44,36.44,0
20230303T,51.03,51.03,51.03,51.03,0
20230306T,50.37,50.37,50.37,50.37,0
20230307T,50.37,50.37,50.37,50.37,0
20230308T,43.36,43.36,43.36,43.36,0
20230309T,41.56,41.56,41.56,41.56,0
20230310T,51.57,51.57,51.57,51.57,0
20230313T,37.34,37.34,37.34,37.34,0
20230314T,36.05,36.05,36.05,36.05,0
20230315T,84.11,84.11,84.11,84.11,0
20230316T,52.19,52.19,52.19,52.19,0
20230317T,27.76,27.76,27.76,27.76,0
20230320T,56.08,56.08,56.08,56.08,0
20230321T,75.94,75.94,75.94,75.94,0
20230322T,49.2,49.2,49.2,49.2,0
20230323T,41.44,41.44,41.44,41.44,0
20230324T,52.12,52.12,52.12,52.12,0
20230327T,68.77,68.77,68.77,68.77,0
20230328T,48.19,48.19,48.19,48.19,0
