date,open,high,low,close,volume
20191001T,7.01,7.01,7.01,7.01,0
20191003T,5.91,5.91,5.91,5.91,0
20191004T,5.25,5.25,5.25,5.25,0
20191007T,4.6,4.6,4.6,4.6,0
20191008T,4.6,4.6,4.6,4.6,0
20191009T,9.64,9.64,9.64,9.64,0
20191010T,13.84,13.84,13.84,13.84,0
20191011T,6.21,6.21,6.21,6.21,0
20191014T,1.77,1.77,1.77,1.77,0
20191015T,12.51,12.51,12.51,12.51,0
20191016T,3.12,3.12,3.12,3.12,0
20191017T,9.63,9.63,9.63,9.63,0
20191018T,15.31,15.31,15.31,15.31,0
20191021T,15.31,15.31,15.31,15.31,0
20191022T,6.97,6.97,6.97,6.97,0
20191023T,5.24,5.24,5.24,5.24,0
20191024T,3.03,3.03,3.03,3.03,0
20191025T,9.51,9.51,9.51,9.51,0
20191028T,3.03,3.03,3.03,3.03,0
20191029T,11.93,11.93,11.93,11.93,0
20191030T,4.29,4.29,4.29,4.29,0
20191031T,12.29,12.29,12.29,12.29,0
20191101T,14.97,14.97,14.97,14.97,0
20191104T,8.23,8.23,8.23,8.23,0
20191105T,5.82,5.82,5.82,5.82,0
20191106T,14.03,14.03,14.03,14.03,0
20191107T,5.74,5.74,5.74,5.74,0
20191108T,15.24,15.24,15.24,15.24,0
20191111T,9.04,9.04,9.04,9.04,0
20191112T,9.04,9.04,9.04,9.04,0
20191113T,22.81,22.81,22.81,22.81,0
20191114T,28.33,28.33,28.33,28.33,0
20191115T,14.91,14.91,14.91,14.91,0
20191118T,24.69,24.69,24.69,24.69,0
20191119T,19.8,19.8,19.8,19.8,0
20191120T,8.42,8.42,8.42,8.42,0
20191121T,8.1,8.1,8.1,8.1,0
20191122T,19.0,19.0,19.0,19.0,0
20191125T,10.88,10.88,10.88,10.88,0
20191126T,23.99,23.99,23.99,23.99,0
20191127T,13.56,13.56,13.56,13.56,0
20191128T,22.17,22.17,22.17,22.17,0
20191129T,11.78,11.78,11.78,11.78,0
20191202T,6.38,6.38,6.38,6.38,0
20191203T,19.78,19.78,19.78,19.78,0
20191204T,16.34,16.34,16.34,16.34,0
20191205T,23.22,23.22,23.22,23.22,0
20191206T,18.67,18.67,18.67,18.67,0
20191209T,10.78,10.78,10.78,10.78,0
20191210T,16.25,16.25,16.25,16.25,0
20191211T,26.16,26.16,26.16,26.16,0
20191212T,21.05,21.05,21.05,21.05,0
20191213T,12.41,12.41,12.41,12.41,0
20191216T,21.03,21.03,21.03,21.03,0
20191217T,33.7,33.7,33.7,33.7,0
20191218T,14.91,14.91,14.91,14.91,0
20191219T,18.97,18.97,18.97,18.97,0
20191220T,5.66,5.66,5.66,5.66,0
20191223T,33.35,33.35,33.35,33.35,0
20191224T,38.99,38.99,38.99,38.99,0
20191225T,38.99,38.99,38.99,38.99,0
20191226T,48.51,48.51,48.51,48.51,0
20191227T,37.98,37.98,37.98,37.98,0
20191230T,29.59,29.59,29.59,29.59,0
20191231T,26.03,26.03,26.03,26.03,0
20200101T,6.93,6.93,6.93,6.93,0
20200102T,38.66,38.66,38.66,38.66,0
20200103T,30.78,30.78,30.78,30.78,0
20200106T,33.72,33.72,33.72,33.72,0
20200107T,18.81,18.81,18.81,18.81,0
20200108T,22.87,22.87,22.87,22.87,0
20200109T,38.83,38.83,38.83,38.83,0
20200110T,50.85,50.85,50.85,50.85,0
20200113T,30.94,30.94,30.94,30.94,0
20200114T,35.05,35.05,35.05,35.05,0
20200115T,22.87,22.87,22.87,22.87,0
20200116T,21.07,21.07,21.07,21.07,0
20200117T,13.29,13.29,13.29,13.29,0
20200120T,10.95,10.95,10.95,10.95,0
20200121T,20.71,20.71,20.71,20.71,0
20200122T,35.41,35.41,35.41,35.41,0
20200123T,15.48,15.48,15.48,15.48,0
20200124T,19.75,19.75,19.75,19.75,0
20200127T,53.86,53.86,53.86,53.86,0
20200128T,40.77,40.77,40.77,40.77,0
20200129T,13.45,13.45,13.45,13.45,0
20200130T,10.3,10.3,10.3,10.3,0
20200131T,19.53,19.53,19.53,19.53,0
20200203T,19.93,19.93,19.93,19.93,0
20200204T,26.56,26.56,26.56,26.56,0
20200205T,24.32,24.32,24.32,24.32,0
20200206T,30.02,30.02,30.02,30.02,0
20200207T,22.45,22.45,22.45,22.45,0
20200210T,51.71,51.71,51.71,51.71,0
20200211T,17.09,17.09,17.09,17.09,0
20200212T,23.54,23.54,23.54,23.54,0
20200213T,39.23,39.23,39.23,39.23,0
20200214T,25.85,25.85,25.85,25.85,0
20200217T,28.15,28.15,28.15,28.15,0
20200218T,35.1,35.1,35.1,35.1,0
20200219T,27.92,27.92,27.92,27.92,0
20200220T,37.22,37.22,37.22,37.22,0
20200221T,37.22,37.22,37.22,37.22,0
20200224T,33.24,33.24,33.24,33.24,0
20200225T,13.64,13.64,13.64,13.64,0
20200226T,22.89,22.89,22.89,22.89,0
