date,open,high,low,close,volume
20241015T,58.12,58.12,58.12,58.12,0
20241016T,57.11,57.11,57.11,57.11,0
20241017T,28.23,28.23,28.23,28.23,0
20241018T,36.42,36.42,36.42,36.42,0
20241021T,51.1,51.1,51.1,51.1,0
20241022T,52.2,52.2,52.2,52.2,0
20241023T,29.09,29.09,29.09,29.09,0
20241024T,30.32,30.32,30.32,30.32,0
20241025T,51.83,51.83,51.83,51.83,0
20241028T,41.21,41.21,41.21,41.21,0
20241029T,58.83,58.83,58.83,58.83,0
20241030T,49.14,49.14,49.14,49.14,0
20241031T,53.24,53.24,53.24,53.24,0
20241101T,80.05,80.05,80.05,80.05,0
20241104T,45.85,45.85,45.85,45.85,0
20241105T,42.44,42.44,42.44,42.44,0
20241106T,44.73,44.73,44.73,44.73,0
20241107T,37.78,37.78,37.78,37.78,0
20241108T,36.56,36.56,36.56,36.56,0
20241111T,55.42,55.42,55.42,55.42,0
20241112T,46.47,46.47,46.47,46.47,0
20241113T,34.75,34.75,34.75,34.75,0
20241114T,30.06,30.06,30.06,30.06,0
20241118T,40.16,40.16,40.16,40.16,0
20241119T,46.08,46.08,46.08,46.08,0
20241120T,46.08,46.08,46.08,46.08,0
20241121T,47.15,47.15,47.15,47.15,0
20241122T,49.16,49.16,49.16,49.16,0
20241125T,56.3,56.3,56.3,56.3,0
20241126T,43.36,43.36,43.36,43.36,0
20241127T,43.97,43.97,43.97,43.97,0
20241128T,36.31,36.31,36.31,36.31,0
20241129T,33.45,33.45,33.45,33.45,0
20241202T,41.11,41.11,41.11,41.11,0
20241203T,19.58,19.58,19.58,19.58,0
20241204T,35.62,35.62,35.62,35.62,0
20241205T,17.09,17.09,17.09,17.09,0
20241206T,22.46,22.46,22.46,22.46,0
20241209T,35.14,35.14,35.14,35.14,0
20241210T,40.85,40.85,40.85,40.85,0
20241211T,34.16,34.16,34.16,34.16,0
20241212T,46.85,46.85,46.85,46.85,0
20241213T,34.52,34.52,34.52,34.52,0
20241216T,50.89,50.89,50.89,50.89,0
20241217T,26.1,26.1,26.1,26.1,0
20241218T,27.14,27.14,27.14,27.14,0
20241219T,36.15,36.15,36.15,36.15,0
20241220T,42.63,42.63,42.63,42.63,0
20241223T,36.18,36.18,36.18,36.18,0
20241224T,59.36,59.36,59.36,59.36,0
20241225T,59.36,59.36,59.36,59.36,0
20241226T,29.44,29.44,29.44,29.44,0
20241227T,55.09,55.09,55.09,55.09,0
20241230T,35.28,35.28,35.28,35.28,0
20241231T,36.42,36.42,36.42,36.42,0
20250101T,45.68,45.68,45.68,45.68,0
20250102T,59.06,59.06,59.06,59.06,0
20250103T,59.09,59.09,59.09,59.09,0
20250106T,46.92,46.92,46.92,46.92,0
20250107T,38.23,38.23,38.23,38.23,0
20250108T,42.96,42.96,42.96,42.96,0
20250109T,48.65,48.65,48.65,48.65,0
20250110T,30.95,30.95,30.95,30.95,0
20250113T,43.97,43.97,43.97,43.97,0
20250114T,34.27,34.27,34.27,34.27,0
20250115T,40.83,40.83,40.83,40.83,0
20250116T,41.98,41.98,41.98,41.98,0
20250117T,51.36,51.36,51.36,51.36,0
20250120T,46.13,46.13,46.13,46.13,0
20250121T,48.1,48.1,48.1,48.1,0
20250122T,45.74,45.74,45.74,45.74,0
20250123T,39.73,39.73,39.73,39.73,0
20250124T,55.8,55.8,55.8,55.8,0
20250127T,23.74,23.74,23.74,23.74,0
20250128T,30.12,30.12,30.12,30.12,0
20250129T,55.2,55.2,55.2,55.2,0
20250130T,53.71,53.71,53.71,53.71,0
20250131T,57.62,57.62,57.62,57.62,0
20250203T,55.68,55.68,55.68,55.68,0
20250204T,61.94,61.94,61.94,61.94,0
20250205T,58.26,58.26,58.26,58.26,0
20250206T,54.02,54.02,54.02,54.02,0
20250207T,58.15,58.15,58.15,58.15,0
20250210T,56.09,56.09,56.09,56.09,0
20250211T,48.81,48.81,48.81,48.81,0
20250212T,49.73,49.73,49.73,49.73,0
20250213T,41.43,41.43,41.43,41.43,0
20250214T,54.78,54.78,54.78,54.78,0
20250217T,49.86,49.86,49.86,49.86,0
20250218T,58.08,58.08,58.08,58.08,0
20250219T,50.95,50.95,50.95,50.95,0
20250220T,59.45,59.45,59.45,59.45,0
20250221T,64.3,64.3,64.3,64.3,0
20250224T,46.68,46.68,46.68,46.68,0
20250225T,39.57,39.57,39.57,39.57,0
20250227T,55.32,55.32,55.32,55.32,0
20250228T,51.21,51.21,51.21,51.21,0
20250303T,49.55,49.55,49.55,49.55,0
20250304T,33.91,33.91,33.91,33.91,0
20250305T,42.64,42.64,42.64,42.64,0
20250306T,47.9,47.9,47.9,47.9,0
20250307T,44.11,44.11,44.11,44.11,0
20250310T,51.73,51.73,51.73,51.73,0
20250311T,32.81,32.81,32.81,32.81,0
20250312T,48.72,48.72,48.72,48.72,0
20250313T,66.1,66.1,66.1,66.1,0
20250317T,51.83,51.83,51.83,51.83,0
20250318T,53.19,53.19,53.19,53.19,0
20250319T,59.18,59.18,59.18,59.18,0
20250320T,42.48,42.48,42.48,42.48,0
20250321T,43.3,43.3,43.3,43.3,0
20250324T,53.26,53.26,53.26,53.26,0
20250325T,58.16,58.16,58.16,58.16,0
20250326T,57.58,57.58,57.58,57.58,0
20250327T,63.63,63.63,63.63,63.63,0
20250328T,55.99,55.99,55.99,55.99,0
20250401T,28.65,28.65,28.65,28.65,0
20250402T,39.09,39.09,39.09,39.09,0
20250403T,38.14,38.14,38.14,38.14,0
20250404T,31.9,31.9,31.9,31.9,0
20250407T,37.19,37.19,37.19,37.19,0
20250408T,29.02,29.02,29.02,29.02,0
20250409T,37.54,37.54,37.54,37.54,0
20250411T,51.95,51.95,51.95,51.95,0
20250415T,37.66,37.66,37.66,37.66,0
20250416T,41.7,41.7,41.7,41.7,0
20250417T,43.16,43.16,43.16,43.16,0
20250421T,39.61,39.61,39.61,39.61,0
20250422T,44.48,44.48,44.48,44.48,0
20250423T,48.54,48.54,48.54,48.54,0
20250424T,46.51,46.51,46.51,46.51,0
20250425T,51.58,51.58,51.58,51.58,0
20250428T,47.53,47.53,47.53,47.53,0
20250429T,46.79,46.79,46.79,46.79,0
20250430T,55.9,55.9,55.9,55.9,0
20250502T,49.5,49.5,49.5,49.5,0
20250505T,34.39,34.39,34.39,34.39,0
20250506T,50.88,50.88,50.88,50.88,0
20250507T,44.92,44.92,44.92,44.92,0
20250508T,49.66,49.66,49.66,49.66,0
20250509T,56.04,56.04,56.04,56.04,0
20250512T,54.69,54.69,54.69,54.69,0
20250513T,54.5,54.5,54.5,54.5,0
20250514T,52.82,52.82,52.82,52.82,0
20250515T,66.38,66.38,66.38,66.38,0
20250516T,63.17,63.17,63.17,63.17,0
20250519T,56.43,56.43,56.43,56.43,0
20250520T,54.25,54.25,54.25,54.25,0
20250521T,50.57,50.57,50.57,50.57,0
20250522T,63.05,63.05,63.05,63.05,0
20250523T,54.57,54.57,54.57,54.57,0
20250526T,69.24,69.24,69.24,69.24,0
20250527T,54.23,54.23,54.23,54.23,0
20250528T,59.81,59.81,59.81,59.81,0
20250529T,66.44,66.44,66.44,66.44,0
20250530T,67.91,67.91,67.91,67.91,0
20250602T,67.98,67.98,67.98,67.98,0
20250603T,69.79,69.79,69.79,69.79,0
20250604T,63.0,63.0,63.0,63.0,0
20250605T,65.36,65.36,65.36,65.36,0
20250606T,46.55,46.55,46.55,46.55,0
20250609T,48.39,48.39,48.39,48.39,0
20250610T,56.58,56.58,56.58,56.58,0
20250611T,63.89,63.89,63.89,63.89,0
20250612T,62.15,62.15,62.15,62.15,0
