date,open,high,low,close,volume
20200819T,42.19,42.19,42.19,42.19,0
20200820T,72.04,72.04,72.04,72.04,0
20200821T,55.23,55.23,55.23,55.23,0
20200824T,93.61,93.61,93.61,93.61,0
20200825T,62.19,62.19,62.19,62.19,0
20200826T,96.52,96.52,96.52,96.52,0
20200827T,61.47,61.47,61.47,61.47,0
20200828T,92.64,92.64,92.64,92.64,0
20200831T,58.98,58.98,58.98,58.98,0
20200901T,81.97,81.97,81.97,81.97,0
20200902T,97.98,97.98,97.98,97.98,0
20200903T,99.77,99.77,99.77,99.77,0
20200904T,89.15,89.15,89.15,89.15,0
20200907T,87.36,87.36,87.36,87.36,0
20200908T,93.53,93.53,93.53,93.53,0
20200909T,25.86,25.86,25.86,25.86,0
20200910T,63.1,63.1,63.1,63.1,0
20200911T,85.27,85.27,85.27,85.27,0
20200914T,16.2,16.2,16.2,16.2,0
20200915T,65.11,65.11,65.11,65.11,0
20200916T,52.77,52.77,52.77,52.77,0
20200917T,20.8,20.8,20.8,20.8,0
20200918T,58.65,58.65,58.65,58.65,0
20200921T,18.75,18.75,18.75,18.75,0
20200922T,22.99,22.99,22.99,22.99,0
20200923T,11.85,11.85,11.85,11.85,0
20200924T,16.13,16.13,16.13,16.13,0
20200925T,21.56,21.56,21.56,21.56,0
20200928T,99.0,99.0,99.0,99.0,0
20200929T,58.64,58.64,58.64,58.64,0
20200930T,94.37,94.37,94.37,94.37,0
20201001T,81.24,81.24,81.24,81.24,0
20201005T,71.69,71.69,71.69,71.69,0
20201006T,99.83,99.83,99.83,99.83,0
20201007T,61.47,61.47,61.47,61.47,0
20201008T,68.57,68.57,68.57,68.57,0
20201009T,74.87,74.87,74.87,74.87,0
20201012T,63.34,63.34,63.34,63.34,0
20201013T,90.59,90.59,90.59,90.59,0
20201014T,67.61,67.61,67.61,67.61,0
20201015T,56.8,56.8,56.8,56.8,0
20201016T,66.16,66.16,66.16,66.16,0
20201019T,75.44,75.44,75.44,75.44,0
20201020T,43.89,43.89,43.89,43.89,0
20201021T,70.29,70.29,70.29,70.29,0
20201022T,66.37,66.37,66.37,66.37,0
20201023T,62.02,62.02,62.02,62.02,0
20201026T,73.1,73.1,73.1,73.1,0
20201027T,55.87,55.87,55.87,55.87,0
20201028T,70.88,70.88,70.88,70.88,0
20201029T,82.18,82.18,82.18,82.18,0
20201030T,66.43,66.43,66.43,66.43,0
20201102T,47.47,47.47,47.47,47.47,0
20201103T,92.25,92.25,92.25,92.25,0
20201104T,99.19,99.19,99.19,99.19,0
20201105T,57.78,57.78,57.78,57.78,0
20201106T,86.3,86.3,86.3,86.3,0
20201109T,62.01,62.01,62.01,62.01,0
20201110T,94.86,94.86,94.86,94.86,0
20201111T,98.54,98.54,98.54,98.54,0
20201112T,92.52,92.52,92.52,92.52,0
20201113T,79.99,79.99,79.99,79.99,0
20201116T,99.72,99.72,99.72,99.72,0
20201117T,97.11,97.11,97.11,97.11,0
20201118T,69.27,69.27,69.27,69.27,0
20201119T,34.54,34.54,34.54,34.54,0
20201120T,56.26,56.26,56.26,56.26,0
20201123T,60.44,60.44,60.44,60.44,0
20201124T,80.82,80.82,80.82,80.82,0
20201125T,97.7,97.7,97.7,97.7,0
20201126T,76.96,76.96,76.96,76.96,0
20201127T,98.09,98.09,98.09,98.09,0
20201130T,98.09,98.09,98.09,98.09,0
20201201T,98.22,98.22,98.22,98.22,0
20201202T,69.85,69.85,69.85,69.85,0
20201203T,36.23,36.23,36.23,36.23,0
20201204T,58.64,58.64,58.64,58.64,0
20201207T,57.68,57.68,57.68,57.68,0
20201208T,77.71,77.71,77.71,77.71,0
20201209T,74.18,74.18,74.18,74.18,0
20201210T,17.52,17.52,17.52,17.52,0
20201211T,91.93,91.93,91.93,91.93,0
20201214T,30.96,30.96,30.96,30.96,0
20201215T,38.53,38.53,38.53,38.53,0
20201216T,37.24,37.24,37.24,37.24,0
20201217T,75.65,75.65,75.65,75.65,0
20201218T,50.78,50.78,50.78,50.78,0
20201221T,63.27,63.27,63.27,63.27,0
20201222T,64.12,64.12,64.12,64.12,0
20201223T,61.07,61.07,61.07,61.07,0
20201224T,76.49,76.49,76.49,76.49,0
20201225T,76.49,76.49,76.49,76.49,0
20201228T,77.01,77.01,77.01,77.01,0
20201229T,72.33,72.33,72.33,72.33,0
20201230T,82.54,82.54,82.54,82.54,0
20210202T,84.36,84.36,84.36,84.36,0
20210203T,85.15,85.15,85.15,85.15,0
20210204T,71.24,71.24,71.24,71.24,0
20210205T,57.24,57.24,57.24,57.24,0
20210208T,83.82,83.82,83.82,83.82,0
20210209T,35.31,35.31,35.31,35.31,0
20210210T,80.25,80.25,80.25,80.25,0
20210211T,60.57,60.57,60.57,60.57,0
20210212T,55.0,55.0,55.0,55.0,0
20210215T,62.15,62.15,62.15,62.15,0
20210216T,55.14,55.14,55.14,55.14,0
20210217T,56.57,56.57,56.57,56.57,0
20210218T,76.16,76.16,76.16,76.16,0
20210219T,77.27,77.27,77.27,77.27,0
20210222T,67.22,67.22,67.22,67.22,0
20210223T,51.12,51.12,51.12,51.12,0
20210224T,46.03,46.03,46.03,46.03,0
20210225T,50.75,50.75,50.75,50.75,0
20210226T,68.94,68.94,68.94,68.94,0
20210301T,56.74,56.74,56.74,56.74,0
20210302T,43.69,43.69,43.69,43.69,0
20210303T,59.81,59.81,59.81,59.81,0
20210304T,53.73,53.73,53.73,53.73,0
20210305T,90.48,90.48,90.48,90.48,0
20210308T,79.43,79.43,79.43,79.43,0
20210309T,89.84,89.84,89.84,89.84,0
20210310T,87.15,87.15,87.15,87.15,0
20210311T,87.15,87.15,87.15,87.15,0
20210312T,58.85,58.85,58.85,58.85,0
20210315T,60.0,60.0,60.0,60.0,0
20210316T,48.72,48.72,48.72,48.72,0
20210317T,35.89,35.89,35.89,35.89,0
20210318T,78.03,78.03,78.03,78.03,0
20210319T,56.3,56.3,56.3,56.3,0
20210322T,57.1,57.1,57.1,57.1,0
20210323T,50.78,50.78,50.78,50.78,0
20210324T,62.39,62.39,62.39,62.39,0
20210325T,93.31,93.31,93.31,93.31,0
20210326T,74.88,74.88,74.88,74.88,0
20210329T,74.88,74.88,74.88,74.88,0
20210330T,78.64,78.64,78.64,78.64,0
20210331T,86.67,86.67,86.67,86.67,0
20210401T,91.74,91.74,91.74,91.74,0
20210402T,91.74,91.74,91.74,91.74,0
20210405T,72.71,72.71,72.71,72.71,0
20210406T,38.23,38.23,38.23,38.23,0
20210407T,59.49,59.49,59.49,59.49,0
20210408T,27.72,27.72,27.72,27.72,0
20210409T,53.9,53.9,53.9,53.9,0
20210412T,45.63,45.63,45.63,45.63,0
20210413T,43.01,43.01,43.01,43.01,0
20210414T,43.01,43.01,43.01,43.01,0
20210415T,49.43,49.43,49.43,49.43,0
20210416T,46.18,46.18,46.18,46.18,0
20210419T,58.84,58.84,58.84,58.84,0
20210420T,53.4,53.4,53.4,53.4,0
20210421T,53.4,53.4,53.4,53.4,0
20210422T,57.21,57.21,57.21,57.21,0
20210423T,18.61,18.61,18.61,18.61,0
20210426T,61.55,61.55,61.55,61.55,0
20210427T,43.31,43.31,43.31,43.31,0
20210428T,54.88,54.88,54.88,54.88,0
20210429T,49.86,49.86,49.86,49.86,0
20210430T,75.07,75.07,75.07,75.07,0
20210503T,59.8,59.8,59.8,59.8,0
20210504T,45.3,45.3,45.3,45.3,0
20210505T,67.45,67.45,67.45,67.45,0
20210506T,49.68,49.68,49.68,49.68,0
20210507T,41.08,41.08,41.08,41.08,0
20210510T,46.21,46.21,46.21,46.21,0
20210511T,59.01,59.01,59.01,59.01,0
20210512T,46.7,46.7,46.7,46.7,0
20210513T,46.7,46.7,46.7,46.7,0
20210514T,51.46,51.46,51.46,51.46,0
20210517T,53.64,53.64,53.64,53.64,0
20210518T,47.91,47.91,47.91,47.91,0
20210519T,67.64,67.64,67.64,67.64,0
20210520T,51.41,51.41,51.41,51.41,0
20210521T,63.12,63.12,63.12,63.12,0
20210524T,65.5,65.5,65.5,65.5,0
20210525T,57.41,57.41,57.41,57.41,0
