date,open,high,low,close,volume
20191001T,87.21,87.21,87.21,87.21,0
20191003T,61.38,61.38,61.38,61.38,0
20191004T,53.96,53.96,53.96,53.96,0
20191007T,63.0,63.0,63.0,63.0,0
20191008T,63.0,63.0,63.0,63.0,0
20191009T,78.68,78.68,78.68,78.68,0
20191010T,80.73,80.73,80.73,80.73,0
20191011T,70.83,70.83,70.83,70.83,0
20191014T,78.44,78.44,78.44,78.44,0
20191015T,93.92,93.92,93.92,93.92,0
20191016T,64.77,64.77,64.77,64.77,0
20191017T,57.27,57.27,57.27,57.27,0
20191018T,65.53,65.53,65.53,65.53,0
20191021T,65.53,65.53,65.53,65.53,0
20191022T,66.15,66.15,66.15,66.15,0
20191023T,57.6,57.6,57.6,57.6,0
20191024T,69.31,69.31,69.31,69.31,0
20191025T,84.68,84.68,84.68,84.68,0
20191028T,49.73,49.73,49.73,49.73,0
20191029T,66.17,66.17,66.17,66.17,0
20191030T,72.32,72.32,72.32,72.32,0
20191031T,86.98,86.98,86.98,86.98,0
20191101T,39.8,39.8,39.8,39.8,0
20191104T,54.06,54.06,54.06,54.06,0
20191105T,23.72,23.72,23.72,23.72,0
20191106T,37.9,37.9,37.9,37.9,0
20191107T,55.2,55.2,55.2,55.2,0
20191108T,45.54,45.54,45.54,45.54,0
20191111T,57.75,57.75,57.75,57.75,0
20191112T,57.75,57.75,57.75,57.75,0
20191113T,75.19,75.19,75.19,75.19,0
20191114T,52.77,52.77,52.77,52.77,0
20191115T,56.64,56.64,56.64,56.64,0
20191118T,63.84,63.84,63.84,63.84,0
20191119T,53.19,53.19,53.19,53.19,0
20191120T,54.34,54.34,54.34,54.34,0
20191121T,68.81,68.81,68.81,68.81,0
20191122T,85.33,85.33,85.33,85.33,0
20191125T,57.9,57.9,57.9,57.9,0
20191126T,91.21,91.21,91.21,91.21,0
20191127T,71.51,71.51,71.51,71.51,0
20191128T,69.78,69.78,69.78,69.78,0
20191129T,94.39,94.39,94.39,94.39,0
20191202T,86.02,86.02,86.02,86.02,0
20191203T,60.97,60.97,60.97,60.97,0
20191204T,63.82,63.82,63.82,63.82,0
20191205T,65.16,65.16,65.16,65.16,0
20191206T,84.81,84.81,84.81,84.81,0
20191209T,76.23,76.23,76.23,76.23,0
20191210T,82.4,82.4,82.4,82.4,0
20191211T,76.82,76.82,76.82,76.82,0
20191212T,61.44,61.44,61.44,61.44,0
20191213T,65.17,65.17,65.17,65.17,0
20191216T,69.6,69.6,69.6,69.6,0
20191217T,83.28,83.28,83.28,83.28,0
20191218T,68.28,68.28,68.28,68.28,0
20191219T,73.73,73.73,73.73,73.73,0
20191220T,69.09,69.09,69.09,69.09,0
20191223T,61.66,61.66,61.66,61.66,0
20191224T,23.95,23.95,23.95,23.95,0
20191225T,23.95,23.95,23.95,23.95,0
20191226T,46.91,46.91,46.91,46.91,0
20191227T,54.33,54.33,54.33,54.33,0
20191230T,53.62,53.62,53.62,53.62,0
20191231T,56.8,56.8,56.8,56.8,0
20200101T,62.0,62.0,62.0,62.0,0
20200102T,68.78,68.78,68.78,68.78,0
20200103T,72.36,72.36,72.36,72.36,0
20200106T,72.11,72.11,72.11,72.11,0
20200107T,76.74,76.74,76.74,76.74,0
20200108T,62.92,62.92,62.92,62.92,0
20200109T,60.51,60.51,60.51,60.51,0
20200110T,51.73,51.73,51.73,51.73,0
20200113T,57.57,57.57,57.57,57.57,0
20200114T,55.39,55.39,55.39,55.39,0
