date,open,high,low,close,volume
20240619T,93.71,93.71,93.71,93.71,0
20240620T,95.3,95.3,95.3,95.3,0
20240621T,73.63,73.63,73.63,73.63,0
20240624T,25.41,25.41,25.41,25.41,0
20240625T,77.02,77.02,77.02,77.02,0
20240626T,86.12,86.12,86.12,86.12,0
20240627T,76.59,76.59,76.59,76.59,0
20240628T,65.92,65.92,65.92,65.92,0
20240701T,68.94,68.94,68.94,68.94,0
20240702T,91.97,91.97,91.97,91.97,0
20240703T,90.46,90.46,90.46,90.46,0
20240704T,84.26,84.26,84.26,84.26,0
20240705T,87.13,87.13,87.13,87.13,0
20240708T,87.2,87.2,87.2,87.2,0
20240709T,89.61,89.61,89.61,89.61,0
20240710T,93.05,93.05,93.05,93.05,0
20240711T,80.32,80.32,80.32,80.32,0
20240712T,96.18,96.18,96.18,96.18,0
20240715T,74.99,74.99,74.99,74.99,0
20240716T,96.69,96.69,96.69,96.69,0
20240717T,96.69,96.69,96.69,96.69,0
20240718T,86.09,86.09,86.09,86.09,0
20240719T,94.06,94.06,94.06,94.06,0
20240722T,83.15,83.15,83.15,83.15,0
20240723T,88.29,88.29,88.29,88.29,0
20240724T,78.04,78.04,78.04,78.04,0
20240725T,92.0,92.0,92.0,92.0,0
20240726T,92.14,92.14,92.14,92.14,0
20240729T,95.02,95.02,95.02,95.02,0
20240730T,91.28,91.28,91.28,91.28,0
20240731T,97.05,97.05,97.05,97.05,0
20240801T,79.66,79.66,79.66,79.66,0
20240802T,70.17,70.17,70.17,70.17,0
20240805T,83.78,83.78,83.78,83.78,0
20240806T,82.28,82.28,82.28,82.28,0
20240807T,95.85,95.85,95.85,95.85,0
20240808T,62.0,62.0,62.0,62.0,0
20240809T,96.08,96.08,96.08,96.08,0
20240812T,82.94,82.94,82.94,82.94,0
20240813T,74.16,74.16,74.16,74.16,0
20240814T,89.4,89.4,89.4,89.4,0
20240816T,87.64,87.64,87.64,87.64,0
20240819T,79.8,79.8,79.8,79.8,0
20240820T,65.53,65.53,65.53,65.53,0
20240821T,76.23,76.23,76.23,76.23,0
20240822T,84.67,84.67,84.67,84.67,0
20240823T,86.64,86.64,86.64,86.64,0
20240826T,88.89,88.89,88.89,88.89,0
20240827T,80.76,80.76,80.76,80.76,0
20240828T,90.67,90.67,90.67,90.67,0
20240829T,79.38,79.38,79.38,79.38,0
20240830T,87.57,87.57,87.57,87.57,0
20240902T,88.36,88.36,88.36,88.36,0
20240903T,69.94,69.94,69.94,69.94,0
20240904T,71.92,71.92,71.92,71.92,0
20240905T,78.0,78.0,78.0,78.0,0
20240906T,92.36,92.36,92.36,92.36,0
20240909T,86.03,86.03,86.03,86.03,0
20240910T,69.65,69.65,69.65,69.65,0
20240911T,66.64,66.64,66.64,66.64,0
20240912T,81.99,81.99,81.99,81.99,0
20240913T,81.14,81.14,81.14,81.14,0
20240916T,84.97,84.97,84.97,84.97,0
20240917T,90.39,90.39,90.39,90.39,0
20240918T,86.51,86.51,86.51,86.51,0
20240919T,78.81,78.81,78.81,78.81,0
20240920T,63.73,63.73,63.73,63.73,0
20240923T,65.63,65.63,65.63,65.63,0
20240924T,82.4,82.4,82.4,82.4,0
20240925T,89.0,89.0,89.0,89.0,0
20240926T,66.13,66.13,66.13,66.13,0
20240927T,82.26,82.26,82.26,82.26,0
20240930T,82.72,82.72,82.72,82.72,0
20241001T,83.4,83.4,83.4,83.4,0
20241003T,87.68,87.68,87.68,87.68,0
20241004T,82.85,82.85,82.85,82.85,0
20241007T,80.09,80.09,80.09,80.09,0
20241008T,81.05,81.05,81.05,81.05,0
20241009T,81.5,81.5,81.5,81.5,0
20241010T,82.26,82.26,82.26,82.26,0
20241011T,65.06,65.06,65.06,65.06,0
20241014T,81.07,81.07,81.07,81.07,0
20241015T,69.84,69.84,69.84,69.84,0
20241016T,80.44,80.44,80.44,80.44,0
20241017T,58.73,58.73,58.73,58.73,0
20241018T,76.84,76.84,76.84,76.84,0
20241021T,85.42,85.42,85.42,85.42,0
20241022T,87.42,87.42,87.42,87.42,0
20241023T,72.63,72.63,72.63,72.63,0
20241024T,84.36,84.36,84.36,84.36,0
20241025T,89.32,89.32,89.32,89.32,0
20241028T,79.79,79.79,79.79,79.79,0
20241029T,80.81,80.81,80.81,80.81,0
20241030T,90.48,90.48,90.48,90.48,0
20241031T,81.74,81.74,81.74,81.74,0
20241101T,89.74,89.74,89.74,89.74,0
20241104T,80.16,80.16,80.16,80.16,0
20241105T,61.05,61.05,61.05,61.05,0
20241106T,86.03,86.03,86.03,86.03,0
20241107T,78.88,78.88,78.88,78.88,0
20241108T,90.39,90.39,90.39,90.39,0
20241111T,85.52,85.52,85.52,85.52,0
20241112T,74.18,74.18,74.18,74.18,0
20241113T,86.49,86.49,86.49,86.49,0
20241114T,79.42,79.42,79.42,79.42,0
20241118T,71.82,71.82,71.82,71.82,0
20241119T,84.41,84.41,84.41,84.41,0
20241120T,84.41,84.41,84.41,84.41,0
20241121T,71.12,71.12,71.12,71.12,0
20241122T,59.07,59.07,59.07,59.07,0
20241125T,69.06,69.06,69.06,69.06,0
20241126T,68.79,68.79,68.79,68.79,0
20241127T,81.98,81.98,81.98,81.98,0
20241128T,85.66,85.66,85.66,85.66,0
20241129T,60.4,60.4,60.4,60.4,0
20241202T,65.51,65.51,65.51,65.51,0
20241203T,80.92,80.92,80.92,80.92,0
20241204T,80.43,80.43,80.43,80.43,0
20241205T,64.7,64.7,64.7,64.7,0
20241206T,77.13,77.13,77.13,77.13,0
20241209T,79.81,79.81,79.81,79.81,0
20241210T,56.45,56.45,56.45,56.45,0
20241211T,52.32,52.32,52.32,52.32,0
20241212T,73.61,73.61,73.61,73.61,0
20241213T,68.0,68.0,68.0,68.0,0
20241216T,74.59,74.59,74.59,74.59,0
20241217T,76.38,76.38,76.38,76.38,0
20241218T,71.4,71.4,71.4,71.4,0
20241219T,72.29,72.29,72.29,72.29,0
20241220T,68.28,68.28,68.28,68.28,0
20241223T,52.69,52.69,52.69,52.69,0
20241224T,68.04,68.04,68.04,68.04,0
20241225T,68.04,68.04,68.04,68.04,0
20241226T,81.1,81.1,81.1,81.1,0
20241227T,70.19,70.19,70.19,70.19,0
20241230T,77.09,77.09,77.09,77.09,0
20241231T,70.78,70.78,70.78,70.78,0
20250101T,58.32,58.32,58.32,58.32,0
20250102T,85.49,85.49,85.49,85.49,0
20250103T,83.56,83.56,83.56,83.56,0
20250106T,70.94,70.94,70.94,70.94,0
20250107T,54.26,54.26,54.26,54.26,0
20250108T,72.65,72.65,72.65,72.65,0
20250109T,77.97,77.97,77.97,77.97,0
20250110T,77.48,77.48,77.48,77.48,0
20250113T,80.47,80.47,80.47,80.47,0
20250114T,88.11,88.11,88.11,88.11,0
20250115T,83.92,83.92,83.92,83.92,0
20250116T,82.87,82.87,82.87,82.87,0
20250117T,80.61,80.61,80.61,80.61,0
20250120T,74.17,74.17,74.17,74.17,0
20250121T,87.78,87.78,87.78,87.78,0
20250122T,84.45,84.45,84.45,84.45,0
20250123T,69.64,69.64,69.64,69.64,0
20250124T,85.41,85.41,85.41,85.41,0
20250127T,84.47,84.47,84.47,84.47,0
20250128T,65.53,65.53,65.53,65.53,0
20250129T,74.92,74.92,74.92,74.92,0
20250130T,81.7,81.7,81.7,81.7,0
20250131T,56.54,56.54,56.54,56.54,0
20250203T,76.72,76.72,76.72,76.72,0
20250204T,56.95,56.95,56.95,56.95,0
20250205T,54.79,54.79,54.79,54.79,0
20250206T,73.16,73.16,73.16,73.16,0
20250207T,50.64,50.64,50.64,50.64,0
20250210T,67.0,67.0,67.0,67.0,0
20250211T,75.6,75.6,75.6,75.6,0
20250212T,72.89,72.89,72.89,72.89,0
20250213T,74.41,74.41,74.41,74.41,0
20250214T,73.89,73.89,73.89,73.89,0
20250217T,60.68,60.68,60.68,60.68,0
20250218T,68.12,68.12,68.12,68.12,0
20250219T,69.78,69.78,69.78,69.78,0
20250220T,43.48,43.48,43.48,43.48,0
20250221T,58.64,58.64,58.64,58.64,0
20250224T,61.68,61.68,61.68,61.68,0
20250225T,60.69,60.69,60.69,60.69,0
20250227T,79.94,79.94,79.94,79.94,0
20250228T,72.7,72.7,72.7,72.7,0
20250303T,75.73,75.73,75.73,75.73,0
20250304T,65.62,65.62,65.62,65.62,0
20250305T,75.03,75.03,75.03,75.03,0
20250306T,72.59,72.59,72.59,72.59,0
20250307T,63.84,63.84,63.84,63.84,0
20250310T,74.74,74.74,74.74,74.74,0
20250311T,49.81,49.81,49.81,49.81,0
20250312T,77.76,77.76,77.76,77.76,0
20250313T,69.2,69.2,69.2,69.2,0
20250317T,84.57,84.57,84.57,84.57,0
20250318T,61.28,61.28,61.28,61.28,0
20250319T,67.78,67.78,67.78,67.78,0
