date,open,high,low,close,volume
20191210T,100.0,100.0,100.0,100.0,0
20191211T,99.95,99.95,99.95,99.95,0
20191212T,100.0,100.0,100.0,100.0,0
20191213T,97.37,97.37,97.37,97.37,0
20191217T,100.0,100.0,100.0,100.0,0
20191218T,54.16,54.16,54.16,54.16,0
20191219T,100.0,100.0,100.0,100.0,0
20191220T,100.0,100.0,100.0,100.0,0
20191223T,100.0,100.0,100.0,100.0,0
20191224T,100.0,100.0,100.0,100.0,0
20191225T,100.0,100.0,100.0,100.0,0
20191226T,100.0,100.0,100.0,100.0,0
20191227T,78.99,78.99,78.99,78.99,0
20191230T,100.0,100.0,100.0,100.0,0
20191231T,98.79,98.79,98.79,98.79,0
20200101T,100.0,100.0,100.0,100.0,0
20200102T,100.0,100.0,100.0,100.0,0
20200103T,100.0,100.0,100.0,100.0,0
20200106T,100.0,100.0,100.0,100.0,0
20200107T,80.08,80.08,80.08,80.08,0
20200108T,100.0,100.0,100.0,100.0,0
20200109T,100.0,100.0,100.0,100.0,0
20200110T,99.96,99.96,99.96,99.96,0
20200113T,98.06,98.06,98.06,98.06,0
20200114T,100.0,100.0,100.0,100.0,0
20200115T,93.2,93.2,93.2,93.2,0
20200116T,84.91,84.91,84.91,84.91,0
20200117T,83.9,83.9,83.9,83.9,0
20200120T,55.4,55.4,55.4,55.4,0
20200121T,100.0,100.0,100.0,100.0,0
20200122T,73.62,73.62,73.62,73.62,0
20200123T,100.0,100.0,100.0,100.0,0
20200124T,97.84,97.84,97.84,97.84,0
20200128T,100.0,100.0,100.0,100.0,0
20200129T,100.0,100.0,100.0,100.0,0
20200130T,100.0,100.0,100.0,100.0,0
20200131T,99.88,99.88,99.88,99.88,0
20200203T,100.0,100.0,100.0,100.0,0
20200204T,100.0,100.0,100.0,100.0,0
20200205T,56.2,56.2,56.2,56.2,0
20200206T,99.06,99.06,99.06,99.06,0
20200207T,81.74,81.74,81.74,81.74,0
20200210T,78.38,78.38,78.38,78.38,0
20200211T,67.65,67.65,67.65,67.65,0
20200212T,95.24,95.24,95.24,95.24,0
20200213T,74.63,74.63,74.63,74.63,0
20200214T,94.44,94.44,94.44,94.44,0
20200217T,77.11,77.11,77.11,77.11,0
20200218T,86.54,86.54,86.54,86.54,0
20200219T,85.19,85.19,85.19,85.19,0
20200220T,87.39,87.39,87.39,87.39,0
20200221T,87.39,87.39,87.39,87.39,0
20200224T,99.34,99.34,99.34,99.34,0
20200225T,50.0,50.0,50.0,50.0,0
20200226T,87.28,87.28,87.28,87.28,0
20200227T,92.61,92.61,92.61,92.61,0
20200228T,100.0,100.0,100.0,100.0,0
20200302T,91.22,91.22,91.22,91.22,0
20200303T,97.04,97.04,97.04,97.04,0
20200304T,92.51,92.51,92.51,92.51,0
20200305T,72.82,72.82,72.82,72.82,0
20200306T,100.0,100.0,100.0,100.0,0
20200309T,76.45,76.45,76.45,76.45,0
20200310T,76.45,76.45,76.45,76.45,0
20200311T,68.75,68.75,68.75,68.75,0
20200312T,100.0,100.0,100.0,100.0,0
20200313T,100.0,100.0,100.0,100.0,0
20200316T,94.0,94.0,94.0,94.0,0
20200317T,96.79,96.79,96.79,96.79,0
20200318T,100.0,100.0,100.0,100.0,0
20200319T,86.04,86.04,86.04,86.04,0
20200320T,90.3,90.3,90.3,90.3,0
20200323T,99.85,99.85,99.85,99.85,0
20200324T,98.92,98.92,98.92,98.92,0
20200325T,81.84,81.84,81.84,81.84,0
20200326T,100.0,100.0,100.0,100.0,0
20200327T,99.97,99.97,99.97,99.97,0
20200330T,100.0,100.0,100.0,100.0,0
20200331T,67.14,67.14,67.14,67.14,0
20200401T,100.0,100.0,100.0,100.0,0
20200402T,100.0,100.0,100.0,100.0,0
20200403T,69.65,69.65,69.65,69.65,0
20200406T,69.65,69.65,69.65,69.65,0
20200407T,86.97,86.97,86.97,86.97,0
20200408T,56.99,56.99,56.99,56.99,0
20200409T,88.93,88.93,88.93,88.93,0
20200410T,88.93,88.93,88.93,88.93,0
20200928T,100.0,100.0,100.0,100.0,0
20220110T,100.0,100.0,100.0,100.0,0
20220111T,100.0,100.0,100.0,100.0,0
20220112T,100.0,100.0,100.0,100.0,0
20220113T,100.0,100.0,100.0,100.0,0
20220114T,100.0,100.0,100.0,100.0,0
20220117T,100.0,100.0,100.0,100.0,0
20220118T,100.0,100.0,100.0,100.0,0
20220119T,100.0,100.0,100.0,100.0,0
20220120T,100.0,100.0,100.0,100.0,0
20220121T,100.0,100.0,100.0,100.0,0
20220124T,74.75,74.75,74.75,74.75,0
20220125T,99.82,99.82,99.82,99.82,0
20220127T,48.1,48.1,48.1,48.1,0
20220128T,68.9,68.9,68.9,68.9,0
20220131T,62.74,62.74,62.74,62.74,0
20220201T,67.19,67.19,67.19,67.19,0
20220202T,88.49,88.49,88.49,88.49,0
20220203T,80.11,80.11,80.11,80.11,0
20220204T,74.13,74.13,74.13,74.13,0
20220207T,79.64,79.64,79.64,79.64,0
20220208T,76.75,76.75,76.75,76.75,0
20220209T,45.97,45.97,45.97,45.97,0
20220210T,62.98,62.98,62.98,62.98,0
20220211T,68.89,68.89,68.89,68.89,0
20220214T,81.37,81.37,81.37,81.37,0
20220215T,40.88,40.88,40.88,40.88,0
20220216T,18.68,18.68,18.68,18.68,0
20220217T,33.97,33.97,33.97,33.97,0
20220218T,31.16,31.16,31.16,31.16,0
20220221T,19.7,19.7,19.7,19.7,0
20220222T,100.0,100.0,100.0,100.0,0
20220223T,34.44,34.44,34.44,34.44,0
20220224T,29.97,29.97,29.97,29.97,0
20220225T,52.44,52.44,52.44,52.44,0
20220228T,84.1,84.1,84.1,84.1,0
20220301T,84.1,84.1,84.1,84.1,0
20220302T,74.5,74.5,74.5,74.5,0
20220303T,76.28,76.28,76.28,76.28,0
20220304T,41.35,41.35,41.35,41.35,0
20220307T,53.21,53.21,53.21,53.21,0
