date,open,high,low,close,volume
20191001T,95.0,95.0,95.0,95.0,0
20191003T,86.67,86.67,86.67,86.67,0
20191004T,58.77,58.77,58.77,58.77,0
20191009T,83.33,83.33,83.33,83.33,0
20191010T,62.32,62.32,62.32,62.32,0
20191011T,73.11,73.11,73.11,73.11,0
20191014T,66.88,66.88,66.88,66.88,0
20191015T,72.12,72.12,72.12,72.12,0
20191016T,20.0,20.0,20.0,20.0,0
20191017T,83.75,83.75,83.75,83.75,0
20191018T,67.95,67.95,67.95,67.95,0
20191021T,67.95,67.95,67.95,67.95,0
20191022T,94.58,94.58,94.58,94.58,0
20191023T,46.3,46.3,46.3,46.3,0
20191024T,16.9,16.9,16.9,16.9,0
20191025T,26.98,26.98,26.98,26.98,0
20191029T,5.13,5.13,5.13,5.13,0
20191030T,33.33,33.33,33.33,33.33,0
20191031T,55.4,55.4,55.4,55.4,0
20191104T,78.31,78.31,78.31,78.31,0
20191105T,70.73,70.73,70.73,70.73,0
20191106T,56.37,56.37,56.37,56.37,0
20191107T,77.19,77.19,77.19,77.19,0
20191111T,100.0,100.0,100.0,100.0,0
20191112T,100.0,100.0,100.0,100.0,0
20191113T,86.96,86.96,86.96,86.96,0
20191114T,49.28,49.28,49.28,49.28,0
20191115T,100.0,100.0,100.0,100.0,0
20191118T,55.95,55.95,55.95,55.95,0
20191119T,50.0,50.0,50.0,50.0,0
20191120T,83.87,83.87,83.87,83.87,0
20191122T,100.0,100.0,100.0,100.0,0
20191126T,67.82,67.82,67.82,67.82,0
20191127T,56.36,56.36,56.36,56.36,0
20191128T,40.0,40.0,40.0,40.0,0
20191202T,67.08,67.08,67.08,67.08,0
20191203T,74.44,74.44,74.44,74.44,0
20191204T,50.0,50.0,50.0,50.0,0
20191205T,48.1,48.1,48.1,48.1,0
20191206T,39.64,39.64,39.64,39.64,0
20191209T,40.0,40.0,40.0,40.0,0
20191210T,26.32,26.32,26.32,26.32,0
20191211T,58.7,58.7,58.7,58.7,0
20191212T,51.61,51.61,51.61,51.61,0
20191216T,33.33,33.33,33.33,33.33,0
20191217T,50.0,50.0,50.0,50.0,0
20191218T,80.26,80.26,80.26,80.26,0
20191219T,100.0,100.0,100.0,100.0,0
20191220T,100.0,100.0,100.0,100.0,0
20191226T,67.65,67.65,67.65,67.65,0
20191227T,91.3,91.3,91.3,91.3,0
20191230T,83.33,83.33,83.33,83.33,0
20191231T,100.0,100.0,100.0,100.0,0
20200101T,26.26,26.26,26.26,26.26,0
20200102T,28.57,28.57,28.57,28.57,0
20200103T,27.27,27.27,27.27,27.27,0
20200106T,24.66,24.66,24.66,24.66,0
20200107T,40.0,40.0,40.0,40.0,0
20200108T,74.53,74.53,74.53,74.53,0
20200110T,41.67,41.67,41.67,41.67,0
20200113T,50.6,50.6,50.6,50.6,0
20200114T,43.28,43.28,43.28,43.28,0
20200115T,78.63,78.63,78.63,78.63,0
20200116T,45.83,45.83,45.83,45.83,0
20200117T,46.81,46.81,46.81,46.81,0
20200120T,60.12,60.12,60.12,60.12,0
20200121T,45.45,45.45,45.45,45.45,0
20200122T,48.86,48.86,48.86,48.86,0
20200124T,57.33,57.33,57.33,57.33,0
20200127T,63.08,63.08,63.08,63.08,0
20200128T,87.5,87.5,87.5,87.5,0
20200129T,40.0,40.0,40.0,40.0,0
20200130T,68.91,68.91,68.91,68.91,0
20200131T,100.0,100.0,100.0,100.0,0
20200203T,65.48,65.48,65.48,65.48,0
20200204T,81.97,81.97,81.97,81.97,0
20200205T,60.71,60.71,60.71,60.71,0
20200207T,87.5,87.5,87.5,87.5,0
20200210T,99.18,99.18,99.18,99.18,0
20200211T,54.17,54.17,54.17,54.17,0
20200212T,100.0,100.0,100.0,100.0,0
20200213T,51.43,51.43,51.43,51.43,0
20200214T,90.44,90.44,90.44,90.44,0
20200217T,72.22,72.22,72.22,72.22,0
20200218T,38.6,38.6,38.6,38.6,0
20200219T,100.0,100.0,100.0,100.0,0
20200220T,46.15,46.15,46.15,46.15,0
20200221T,46.15,46.15,46.15,46.15,0
20200224T,100.0,100.0,100.0,100.0,0
20200225T,100.0,100.0,100.0,100.0,0
20200226T,63.8,63.8,63.8,63.8,0
20200227T,76.87,76.87,76.87,76.87,0
20200228T,60.0,60.0,60.0,60.0,0
20200302T,67.97,67.97,67.97,67.97,0
20200303T,21.68,21.68,21.68,21.68,0
20200304T,73.03,73.03,73.03,73.03,0
20200305T,40.0,40.0,40.0,40.0,0
20200306T,83.47,83.47,83.47,83.47,0
20200309T,35.06,35.06,35.06,35.06,0
20200310T,35.06,35.06,35.06,35.06,0
20200311T,100.0,100.0,100.0,100.0,0
20200312T,68.33,68.33,68.33,68.33,0
20200313T,76.61,76.61,76.61,76.61,0
20200316T,82.86,82.86,82.86,82.86,0
20200317T,70.75,70.75,70.75,70.75,0
20200318T,45.45,45.45,45.45,45.45,0
20200319T,85.22,85.22,85.22,85.22,0
20200320T,92.77,92.77,92.77,92.77,0
20200323T,53.85,53.85,53.85,53.85,0
20200324T,46.94,46.94,46.94,46.94,0
20200325T,61.88,61.88,61.88,61.88,0
20200326T,100.0,100.0,100.0,100.0,0
20200327T,59.34,59.34,59.34,59.34,0
20200330T,91.67,91.67,91.67,91.67,0
20200331T,86.36,86.36,86.36,86.36,0
20200401T,34.47,34.47,34.47,34.47,0
20200402T,34.47,34.47,34.47,34.47,0
20200403T,94.44,94.44,94.44,94.44,0
20200406T,94.44,94.44,94.44,94.44,0
20200407T,92.04,92.04,92.04,92.04,0
20200408T,54.41,54.41,54.41,54.41,0
20200409T,46.86,46.86,46.86,46.86,0
20200410T,46.86,46.86,46.86,46.86,0
20200413T,94.66,94.66,94.66,94.66,0
20200415T,83.05,83.05,83.05,83.05,0
20200416T,83.33,83.33,83.33,83.33,0
20200417T,94.26,94.26,94.26,94.26,0
20200420T,51.22,51.22,51.22,51.22,0
20200421T,54.72,54.72,54.72,54.72,0
20200422T,36.17,36.17,36.17,36.17,0
20200424T,69.77,69.77,69.77,69.77,0
20200427T,84.62,84.62,84.62,84.62,0
20200428T,69.58,69.58,69.58,69.58,0
20200429T,86.18,86.18,86.18,86.18,0
20200430T,43.13,43.13,43.13,43.13,0
20200501T,43.13,43.13,43.13,43.13,0
20200504T,66.27,66.27,66.27,66.27,0
20200505T,18.03,18.03,18.03,18.03,0
20200506T,50.0,50.0,50.0,50.0,0
20200507T,45.79,45.79,45.79,45.79,0
20200508T,43.54,43.54,43.54,43.54,0
20200511T,100.0,100.0,100.0,100.0,0
20200512T,81.65,81.65,81.65,81.65,0
20200513T,50.0,50.0,50.0,50.0,0
20200514T,84.62,84.62,84.62,84.62,0
20200515T,81.33,81.33,81.33,81.33,0
20200518T,67.86,67.86,67.86,67.86,0
20200519T,100.0,100.0,100.0,100.0,0
20200520T,68.54,68.54,68.54,68.54,0
20200521T,45.95,45.95,45.95,45.95,0
20200522T,50.0,50.0,50.0,50.0,0
20200525T,50.0,50.0,50.0,50.0,0
20200526T,66.67,66.67,66.67,66.67,0
20200527T,50.55,50.55,50.55,50.55,0
20200528T,51.02,51.02,51.02,51.02,0
20200529T,42.05,42.05,42.05,42.05,0
20200601T,79.39,79.39,79.39,79.39,0
20200602T,63.33,63.33,63.33,63.33,0
20200603T,13.99,13.99,13.99,13.99,0
20200604T,92.59,92.59,92.59,92.59,0
20200608T,24.67,24.67,24.67,24.67,0
20200609T,68.64,68.64,68.64,68.64,0
20200610T,71.13,71.13,71.13,71.13,0
20200611T,45.35,45.35,45.35,45.35,0
20200612T,71.88,71.88,71.88,71.88,0
20200615T,78.09,78.09,78.09,78.09,0
20200616T,72.35,72.35,72.35,72.35,0
20200617T,14.93,14.93,14.93,14.93,0
20200618T,100.0,100.0,100.0,100.0,0
20200619T,85.71,85.71,85.71,85.71,0
20200622T,67.21,67.21,67.21,67.21,0
20200623T,81.0,81.0,81.0,81.0,0
20200624T,73.53,73.53,73.53,73.53,0
20200625T,52.63,52.63,52.63,52.63,0
20200626T,100.0,100.0,100.0,100.0,0
20200629T,40.0,40.0,40.0,40.0,0
20200630T,86.76,86.76,86.76,86.76,0
20200701T,54.84,54.84,54.84,54.84,0
20200702T,74.49,74.49,74.49,74.49,0
20200703T,71.43,71.43,71.43,71.43,0
20200706T,69.75,69.75,69.75,69.75,0
20200707T,63.94,63.94,63.94,63.94,0
20200708T,75.78,75.78,75.78,75.78,0
20200709T,68.09,68.09,68.09,68.09,0
20200710T,100.0,100.0,100.0,100.0,0
20200713T,82.22,82.22,82.22,82.22,0
20200714T,90.91,90.91,90.91,90.91,0
20200715T,72.29,72.29,72.29,72.29,0
20200716T,52.94,52.94,52.94,52.94,0
20200717T,80.95,80.95,80.95,80.95,0
20200720T,77.61,77.61,77.61,77.61,0
20200721T,100.0,100.0,100.0,100.0,0
20200722T,72.73,72.73,72.73,72.73,0
20200723T,50.0,50.0,50.0,50.0,0
20200724T,60.0,60.0,60.0,60.0,0
20200727T,79.49,79.49,79.49,79.49,0
20200728T,52.64,52.64,52.64,52.64,0
