date,open,high,low,close,volume
20191001T,68.66,68.66,68.66,68.66,0
20191003T,67.55,67.55,67.55,67.55,0
20191004T,75.03,75.03,75.03,75.03,0
20191007T,57.36,57.36,57.36,57.36,0
20191008T,57.36,57.36,57.36,57.36,0
20191009T,49.31,49.31,49.31,49.31,0
20191010T,51.66,51.66,51.66,51.66,0
20191011T,50.3,50.3,50.3,50.3,0
20191014T,64.11,64.11,64.11,64.11,0
20191015T,61.82,61.82,61.82,61.82,0
20191016T,60.67,60.67,60.67,60.67,0
20191017T,57.0,57.0,57.0,57.0,0
20191018T,58.77,58.77,58.77,58.77,0
20191021T,58.77,58.77,58.77,58.77,0
20191022T,67.7,67.7,67.7,67.7,0
20191023T,60.52,60.52,60.52,60.52,0
20191024T,31.79,31.79,31.79,31.79,0
20191025T,61.72,61.72,61.72,61.72,0
20191028T,82.34,82.34,82.34,82.34,0
20191029T,49.84,49.84,49.84,49.84,0
20191030T,51.13,51.13,51.13,51.13,0
20191031T,51.78,51.78,51.78,51.78,0
20191101T,50.94,50.94,50.94,50.94,0
20191104T,65.41,65.41,65.41,65.41,0
20191105T,50.73,50.73,50.73,50.73,0
20191106T,44.99,44.99,44.99,44.99,0
20191107T,69.3,69.3,69.3,69.3,0
20191108T,23.66,23.66,23.66,23.66,0
20191111T,55.93,55.93,55.93,55.93,0
20191112T,55.93,55.93,55.93,55.93,0
20191113T,75.41,75.41,75.41,75.41,0
20191114T,70.75,70.75,70.75,70.75,0
20191115T,22.77,22.77,22.77,22.77,0
20191118T,59.29,59.29,59.29,59.29,0
20191119T,43.88,43.88,43.88,43.88,0
20191120T,62.02,62.02,62.02,62.02,0
20191121T,43.71,43.71,43.71,43.71,0
20191122T,55.07,55.07,55.07,55.07,0
20191125T,20.09,20.09,20.09,20.09,0
20191126T,38.37,38.37,38.37,38.37,0
20191127T,26.46,26.46,26.46,26.46,0
20191128T,59.39,59.39,59.39,59.39,0
20191129T,55.72,55.72,55.72,55.72,0
20191202T,47.68,47.68,47.68,47.68,0
20191203T,50.64,50.64,50.64,50.64,0
20191204T,38.04,38.04,38.04,38.04,0
20191205T,47.39,47.39,47.39,47.39,0
20191206T,63.21,63.21,63.21,63.21,0
20191209T,54.99,54.99,54.99,54.99,0
20191210T,57.96,57.96,57.96,57.96,0
20191211T,52.25,52.25,52.25,52.25,0
20191212T,15.15,15.15,15.15,15.15,0
20191213T,49.03,49.03,49.03,49.03,0
20191216T,57.43,57.43,57.43,57.43,0
20191217T,58.66,58.66,58.66,58.66,0
20191218T,23.84,23.84,23.84,23.84,0
20191219T,37.57,37.57,37.57,37.57,0
20191220T,66.29,66.29,66.29,66.29,0
20191223T,50.01,50.01,50.01,50.01,0
20191224T,48.75,48.75,48.75,48.75,0
20191225T,48.75,48.75,48.75,48.75,0
20191226T,29.68,29.68,29.68,29.68,0
20191227T,61.09,61.09,61.09,61.09,0
20191230T,54.12,54.12,54.12,54.12,0
20191231T,53.1,53.1,53.1,53.1,0
20200101T,55.54,55.54,55.54,55.54,0
20200102T,43.64,43.64,43.64,43.64,0
