date,open,high,low,close,volume
20250207T,76.48,76.48,76.48,76.48,0
20250210T,71.96,71.96,71.96,71.96,0
20250211T,72.23,72.23,72.23,72.23,0
20250212T,60.83,60.83,60.83,60.83,0
20250213T,88.85,88.85,88.85,88.85,0
20250214T,68.06,68.06,68.06,68.06,0
20250217T,95.84,95.84,95.84,95.84,0
20250218T,71.66,71.66,71.66,71.66,0
20250219T,92.78,92.78,92.78,92.78,0
20250220T,98.29,98.29,98.29,98.29,0
20250221T,97.84,97.84,97.84,97.84,0
20250224T,76.94,76.94,76.94,76.94,0
20250225T,75.19,75.19,75.19,75.19,0
20250227T,82.29,82.29,82.29,82.29,0
20250228T,81.79,81.79,81.79,81.79,0
20250303T,71.63,71.63,71.63,71.63,0
20250304T,56.88,56.88,56.88,56.88,0
20250305T,67.16,67.16,67.16,67.16,0
20250306T,70.63,70.63,70.63,70.63,0
20250307T,76.43,76.43,76.43,76.43,0
20250310T,63.0,63.0,63.0,63.0,0
20250311T,80.26,80.26,80.26,80.26,0
20250312T,89.11,89.11,89.11,89.11,0
20250313T,89.46,89.46,89.46,89.46,0
20250317T,67.84,67.84,67.84,67.84,0
20250318T,81.28,81.28,81.28,81.28,0
20250319T,65.88,65.88,65.88,65.88,0
20250320T,78.1,78.1,78.1,78.1,0
20250321T,66.59,66.59,66.59,66.59,0
20250324T,80.85,80.85,80.85,80.85,0
20250325T,81.84,81.84,81.84,81.84,0
20250326T,80.89,80.89,80.89,80.89,0
20250327T,82.38,82.38,82.38,82.38,0
20250328T,79.56,79.56,79.56,79.56,0
20250401T,77.31,77.31,77.31,77.31,0
20250402T,55.78,55.78,55.78,55.78,0
20250403T,50.44,50.44,50.44,50.44,0
20250404T,51.57,51.57,51.57,51.57,0
20250407T,56.47,56.47,56.47,56.47,0
20250408T,72.94,72.94,72.94,72.94,0
20250409T,57.23,57.23,57.23,57.23,0
20250411T,64.33,64.33,64.33,64.33,0
20250415T,54.46,54.46,54.46,54.46,0
20250416T,57.43,57.43,57.43,57.43,0
20250417T,68.6,68.6,68.6,68.6,0
20250818T,87.97,87.97,87.97,87.97,0
20250819T,83.44,83.44,83.44,83.44,0
20250820T,89.38,89.38,89.38,89.38,0
20250821T,90.43,90.43,90.43,90.43,0
20250822T,74.66,74.66,74.66,74.66,0
20250825T,95.82,95.82,95.82,95.82,0
20250826T,87.77,87.77,87.77,87.77,0
20250828T,92.75,92.75,92.75,92.75,0
20250829T,72.03,72.03,72.03,72.03,0
20250901T,90.69,90.69,90.69,90.69,0
20250902T,88.79,88.79,88.79,88.79,0
20250903T,87.66,87.66,87.66,87.66,0
20250904T,70.39,70.39,70.39,70.39,0
20250905T,72.4,72.4,72.4,72.4,0
20250908T,75.88,75.88,75.88,75.88,0
20250909T,75.97,75.97,75.97,75.97,0
20250910T,59.66,59.66,59.66,59.66,0
20250911T,77.66,77.66,77.66,77.66,0
20250912T,85.55,85.55,85.55,85.55,0
20250915T,59.17,59.17,59.17,59.17,0
20250916T,56.65,56.65,56.65,56.65,0
20250917T,77.49,77.49,77.49,77.49,0
20250918T,68.07,68.07,68.07,68.07,0
20250919T,77.04,77.04,77.04,77.04,0
20250922T,94.67,94.67,94.67,94.67,0
20250923T,95.52,95.52,95.52,95.52,0
20250924T,92.14,92.14,92.14,92.14,0
20250925T,76.63,76.63,76.63,76.63,0
20250926T,46.11,46.11,46.11,46.11,0
20250929T,78.67,78.67,78.67,78.67,0
20250930T,74.86,74.86,74.86,74.86,0
20251001T,89.38,89.38,89.38,89.38,0
20251003T,78.08,78.08,78.08,78.08,0
20251006T,74.17,74.17,74.17,74.17,0
20251007T,74.02,74.02,74.02,74.02,0
20251008T,69.01,69.01,69.01,69.01,0
20251009T,56.37,56.37,56.37,56.37,0
20251010T,76.89,76.89,76.89,76.89,0
20251013T,65.11,65.11,65.11,65.11,0
20251014T,64.78,64.78,64.78,64.78,0
20251015T,63.2,63.2,63.2,63.2,0
20251202T,84.86,84.86,84.86,84.86,0
20251203T,84.72,84.72,84.72,84.72,0
20251204T,79.73,79.73,79.73,79.73,0
20251205T,69.08,69.08,69.08,69.08,0
20251208T,59.74,59.74,59.74,59.74,0
20251209T,51.84,51.84,51.84,51.84,0
20251210T,76.24,76.24,76.24,76.24,0
20251211T,43.07,43.07,43.07,43.07,0
20251212T,70.31,70.31,70.31,70.31,0
20251215T,59.51,59.51,59.51,59.51,0
20251216T,80.71,80.71,80.71,80.71,0
20251217T,85.12,85.12,85.12,85.12,0
20251218T,80.4,80.4,80.4,80.4,0
20251219T,76.99,76.99,76.99,76.99,0
20251222T,78.03,78.03,78.03,78.03,0
20251223T,74.75,74.75,74.75,74.75,0
20251224T,79.16,79.16,79.16,79.16,0
20251225T,79.16,79.16,79.16,79.16,0
20251226T,86.36,86.36,86.36,86.36,0
20251229T,73.33,73.33,73.33,73.33,0
20251230T,88.5,88.5,88.5,88.5,0
20251231T,77.85,77.85,77.85,77.85,0
20260101T,93.5,93.5,93.5,93.5,0
20260102T,89.87,89.87,89.87,89.87,0
20260105T,72.1,72.1,72.1,72.1,0
20260106T,73.83,73.83,73.83,73.83,0
20260107T,79.6,79.6,79.6,79.6,0
20260108T,87.25,87.25,87.25,87.25,0
20260109T,81.05,81.05,81.05,81.05,0
20260112T,72.98,72.98,72.98,72.98,0
20260113T,72.33,72.33,72.33,72.33,0
20260114T,76.02,76.02,76.02,76.02,0
20260115T,76.02,76.02,76.02,76.02,0
20260116T,64.57,64.57,64.57,64.57,0
20260119T,85.12,85.12,85.12,85.12,0
20260120T,80.55,80.55,80.55,80.55,0
20260121T,67.53,67.53,67.53,67.53,0
20260122T,78.77,78.77,78.77,78.77,0
20260123T,60.94,60.94,60.94,60.94,0
20260127T,75.45,75.45,75.45,75.45,0
20260128T,92.8,92.8,92.8,92.8,0
20260129T,92.92,92.92,92.92,92.92,0
20260130T,80.93,80.93,80.93,80.93,0
20260202T,73.28,73.28,73.28,73.28,0
20260203T,91.81,91.81,91.81,91.81,0
20260204T,65.84,65.84,65.84,65.84,0
20260205T,78.81,78.81,78.81,78.81,0
20260206T,54.58,54.58,54.58,54.58,0
