date,open,high,low,close,volume
20191001T,64.15,64.15,64.15,64.15,0
20191003T,57.23,57.23,57.23,57.23,0
20191004T,59.57,59.57,59.57,59.57,0
20191007T,54.9,54.9,54.9,54.9,0
20191008T,54.9,54.9,54.9,54.9,0
20191009T,65.98,65.98,65.98,65.98,0
20191010T,81.57,81.57,81.57,81.57,0
20191011T,79.65,79.65,79.65,79.65,0
20191014T,51.52,51.52,51.52,51.52,0
20191015T,83.52,83.52,83.52,83.52,0
20191016T,73.0,73.0,73.0,73.0,0
20191017T,80.68,80.68,80.68,80.68,0
20191018T,73.75,73.75,73.75,73.75,0
20191021T,73.75,73.75,73.75,73.75,0
20191022T,49.8,49.8,49.8,49.8,0
20191023T,68.55,68.55,68.55,68.55,0
20191024T,70.69,70.69,70.69,70.69,0
20191025T,79.43,79.43,79.43,79.43,0
20191028T,86.15,86.15,86.15,86.15,0
20191029T,80.59,80.59,80.59,80.59,0
20191030T,76.78,76.78,76.78,76.78,0
20191031T,76.81,76.81,76.81,76.81,0
20191101T,81.41,81.41,81.41,81.41,0
20191104T,65.29,65.29,65.29,65.29,0
20191105T,92.25,92.25,92.25,92.25,0
20191106T,57.89,57.89,57.89,57.89,0
20191107T,82.76,82.76,82.76,82.76,0
20191108T,66.69,66.69,66.69,66.69,0
20191111T,61.9,61.9,61.9,61.9,0
20191112T,61.9,61.9,61.9,61.9,0
20191113T,78.05,78.05,78.05,78.05,0
20191114T,70.93,70.93,70.93,70.93,0
20191115T,81.84,81.84,81.84,81.84,0
20191118T,61.25,61.25,61.25,61.25,0
20191119T,80.19,80.19,80.19,80.19,0
20191120T,66.69,66.69,66.69,66.69,0
20191121T,86.68,86.68,86.68,86.68,0
20191122T,69.51,69.51,69.51,69.51,0
20191125T,74.7,74.7,74.7,74.7,0
20191126T,64.01,64.01,64.01,64.01,0
20191127T,60.97,60.97,60.97,60.97,0
20191128T,84.43,84.43,84.43,84.43,0
20191129T,83.33,83.33,83.33,83.33,0
20191202T,59.16,59.16,59.16,59.16,0
20191203T,46.46,46.46,46.46,46.46,0
20191204T,82.83,82.83,82.83,82.83,0
20191205T,63.13,63.13,63.13,63.13,0
20191206T,72.97,72.97,72.97,72.97,0
20191209T,59.89,59.89,59.89,59.89,0
20191210T,64.72,64.72,64.72,64.72,0
20191211T,71.94,71.94,71.94,71.94,0
20191212T,58.46,58.46,58.46,58.46,0
20191213T,75.48,75.48,75.48,75.48,0
20191216T,79.06,79.06,79.06,79.06,0
20191217T,33.9,33.9,33.9,33.9,0
20191218T,21.03,21.03,21.03,21.03,0
20191219T,80.81,80.81,80.81,80.81,0
20191220T,41.77,41.77,41.77,41.77,0
20191223T,25.49,25.49,25.49,25.49,0
20191224T,84.55,84.55,84.55,84.55,0
20191225T,84.55,84.55,84.55,84.55,0
20191226T,69.27,69.27,69.27,69.27,0
20191227T,54.66,54.66,54.66,54.66,0
20191230T,52.69,52.69,52.69,52.69,0
20191231T,64.55,64.55,64.55,64.55,0
20200101T,52.41,52.41,52.41,52.41,0
20200102T,67.84,67.84,67.84,67.84,0
20200103T,65.1,65.1,65.1,65.1,0
20200106T,84.29,84.29,84.29,84.29,0
20200107T,70.36,70.36,70.36,70.36,0
20200108T,43.3,43.3,43.3,43.3,0
20200109T,37.89,37.89,37.89,37.89,0
20200110T,69.89,69.89,69.89,69.89,0
20200113T,58.72,58.72,58.72,58.72,0
20200114T,64.9,64.9,64.9,64.9,0
20200115T,64.55,64.55,64.55,64.55,0
20200116T,55.61,55.61,55.61,55.61,0
20200117T,69.63,69.63,69.63,69.63,0
20200120T,62.96,62.96,62.96,62.96,0
20200121T,72.9,72.9,72.9,72.9,0
20200122T,69.69,69.69,69.69,69.69,0
20200123T,67.65,67.65,67.65,67.65,0
20200124T,71.61,71.61,71.61,71.61,0
20200127T,69.84,69.84,69.84,69.84,0
20200128T,96.35,96.35,96.35,96.35,0
20200129T,87.34,87.34,87.34,87.34,0
20200130T,42.22,42.22,42.22,42.22,0
20200131T,71.27,71.27,71.27,71.27,0
20200203T,82.49,82.49,82.49,82.49,0
20200204T,61.11,61.11,61.11,61.11,0
20200205T,74.31,74.31,74.31,74.31,0
20200206T,71.55,71.55,71.55,71.55,0
20200207T,72.64,72.64,72.64,72.64,0
20200210T,62.42,62.42,62.42,62.42,0
20200211T,58.03,58.03,58.03,58.03,0
20200212T,76.95,76.95,76.95,76.95,0
20200213T,55.33,55.33,55.33,55.33,0
20200214T,69.01,69.01,69.01,69.01,0
20200217T,64.88,64.88,64.88,64.88,0
20200218T,58.38,58.38,58.38,58.38,0
20200219T,60.83,60.83,60.83,60.83,0
20200220T,66.67,66.67,66.67,66.67,0
20200221T,66.67,66.67,66.67,66.67,0
20200224T,67.98,67.98,67.98,67.98,0
20200225T,70.42,70.42,70.42,70.42,0
20200226T,76.69,76.69,76.69,76.69,0
20200227T,57.14,57.14,57.14,57.14,0
20200228T,81.67,81.67,81.67,81.67,0
20200302T,62.99,62.99,62.99,62.99,0
20200303T,77.23,77.23,77.23,77.23,0
20200304T,90.46,90.46,90.46,90.46,0
20200305T,74.16,74.16,74.16,74.16,0
20200306T,77.09,77.09,77.09,77.09,0
20200309T,85.61,85.61,85.61,85.61,0
20200310T,85.61,85.61,85.61,85.61,0
20200311T,69.85,69.85,69.85,69.85,0
20200312T,78.81,78.81,78.81,78.81,0
20200313T,67.17,67.17,67.17,67.17,0
20200316T,76.83,76.83,76.83,76.83,0
20200317T,55.99,55.99,55.99,55.99,0
20200318T,45.07,45.07,45.07,45.07,0
20200319T,64.84,64.84,64.84,64.84,0
20200320T,74.44,74.44,74.44,74.44,0
20200323T,76.36,76.36,76.36,76.36,0
20200324T,69.94,69.94,69.94,69.94,0
20200325T,67.25,67.25,67.25,67.25,0
20200326T,79.38,79.38,79.38,79.38,0
20200327T,75.58,75.58,75.58,75.58,0
20200330T,64.28,64.28,64.28,64.28,0
20200331T,89.84,89.84,89.84,89.84,0
20200401T,74.97,74.97,74.97,74.97,0
20200402T,74.97,74.97,74.97,74.97,0
20200403T,69.32,69.32,69.32,69.32,0
20200406T,69.32,69.32,69.32,69.32,0
20200407T,87.13,87.13,87.13,87.13,0
20200408T,76.22,76.22,76.22,76.22,0
20200409T,71.79,71.79,71.79,71.79,0
