date,open,high,low,close,volume
20240903T,65.15,65.15,65.15,65.15,0
20240904T,48.96,48.96,48.96,48.96,0
20240905T,40.7,40.7,40.7,40.7,0
20240906T,47.81,47.81,47.81,47.81,0
20240909T,62.99,62.99,62.99,62.99,0
20240910T,64.43,64.43,64.43,64.43,0
20240911T,62.09,62.09,62.09,62.09,0
20240912T,63.23,63.23,63.23,63.23,0
20240913T,39.68,39.68,39.68,39.68,0
20240916T,53.91,53.91,53.91,53.91,0
20240917T,63.55,63.55,63.55,63.55,0
20240918T,64.88,64.88,64.88,64.88,0
20240919T,59.92,59.92,59.92,59.92,0
20240920T,59.59,59.59,59.59,59.59,0
20240923T,48.59,48.59,48.59,48.59,0
20240924T,67.49,67.49,67.49,67.49,0
20240925T,54.63,54.63,54.63,54.63,0
20240926T,63.0,63.0,63.0,63.0,0
20240927T,61.15,61.15,61.15,61.15,0
20240930T,61.52,61.52,61.52,61.52,0
20241001T,65.27,65.27,65.27,65.27,0
20241003T,51.04,51.04,51.04,51.04,0
20241004T,51.06,51.06,51.06,51.06,0
20241007T,53.08,53.08,53.08,53.08,0
20241008T,51.61,51.61,51.61,51.61,0
20241009T,74.05,74.05,74.05,74.05,0
20241010T,58.16,58.16,58.16,58.16,0
20241011T,65.7,65.7,65.7,65.7,0
20241014T,42.95,42.95,42.95,42.95,0
20241015T,71.07,71.07,71.07,71.07,0
20241016T,53.03,53.03,53.03,53.03,0
20241017T,56.16,56.16,56.16,56.16,0
20241018T,51.18,51.18,51.18,51.18,0
20241021T,60.07,60.07,60.07,60.07,0
20241022T,84.1,84.1,84.1,84.1,0
20241023T,74.42,74.42,74.42,74.42,0
20241024T,70.38,70.38,70.38,70.38,0
20241025T,61.77,61.77,61.77,61.77,0
20241028T,29.02,29.02,29.02,29.02,0
20241029T,82.56,82.56,82.56,82.56,0
20241030T,39.34,39.34,39.34,39.34,0
20241031T,60.7,60.7,60.7,60.7,0
20241101T,69.39,69.39,69.39,69.39,0
20241104T,64.58,64.58,64.58,64.58,0
20241105T,73.5,73.5,73.5,73.5,0
20241106T,67.96,67.96,67.96,67.96,0
20241107T,38.85,38.85,38.85,38.85,0
20241108T,59.97,59.97,59.97,59.97,0
20241111T,57.01,57.01,57.01,57.01,0
20241112T,82.84,82.84,82.84,82.84,0
20241113T,66.23,66.23,66.23,66.23,0
20241114T,90.21,90.21,90.21,90.21,0
20241118T,63.8,63.8,63.8,63.8,0
20241119T,61.16,61.16,61.16,61.16,0
20241120T,61.16,61.16,61.16,61.16,0
20241121T,57.22,57.22,57.22,57.22,0
20241122T,90.55,90.55,90.55,90.55,0
20241125T,74.59,74.59,74.59,74.59,0
20241126T,82.57,82.57,82.57,82.57,0
20241127T,93.07,93.07,93.07,93.07,0
20241128T,80.86,80.86,80.86,80.86,0
20241129T,65.58,65.58,65.58,65.58,0
20241202T,68.79,68.79,68.79,68.79,0
20241203T,65.65,65.65,65.65,65.65,0
20241204T,79.96,79.96,79.96,79.96,0
20241205T,77.27,77.27,77.27,77.27,0
20241206T,59.23,59.23,59.23,59.23,0
20241209T,87.63,87.63,87.63,87.63,0
20241210T,61.65,61.65,61.65,61.65,0
20241211T,67.53,67.53,67.53,67.53,0
20241212T,48.12,48.12,48.12,48.12,0
20241213T,73.63,73.63,73.63,73.63,0
20241216T,60.22,60.22,60.22,60.22,0
20241217T,72.59,72.59,72.59,72.59,0
20241218T,85.82,85.82,85.82,85.82,0
20241219T,73.63,73.63,73.63,73.63,0
20241220T,80.74,80.74,80.74,80.74,0
20241223T,55.0,55.0,55.0,55.0,0
20241224T,73.14,73.14,73.14,73.14,0
20241225T,73.14,73.14,73.14,73.14,0
20241226T,45.67,45.67,45.67,45.67,0
20241227T,83.38,83.38,83.38,83.38,0
20241230T,65.9,65.9,65.9,65.9,0
20241231T,50.17,50.17,50.17,50.17,0
20250101T,72.42,72.42,72.42,72.42,0
20250102T,58.53,58.53,58.53,58.53,0
20250103T,78.47,78.47,78.47,78.47,0
20250106T,41.54,41.54,41.54,41.54,0
20250107T,78.35,78.35,78.35,78.35,0
20250108T,63.6,63.6,63.6,63.6,0
20250109T,66.91,66.91,66.91,66.91,0
20250110T,82.8,82.8,82.8,82.8,0
20250113T,71.38,71.38,71.38,71.38,0
20250114T,77.81,77.81,77.81,77.81,0
20250115T,60.71,60.71,60.71,60.71,0
20250116T,69.51,69.51,69.51,69.51,0
20250117T,83.13,83.13,83.13,83.13,0
20250120T,58.45,58.45,58.45,58.45,0
20250121T,80.69,80.69,80.69,80.69,0
20250122T,63.12,63.12,63.12,63.12,0
20250123T,82.74,82.74,82.74,82.74,0
20250124T,67.71,67.71,67.71,67.71,0
20250127T,85.29,85.29,85.29,85.29,0
20250128T,56.95,56.95,56.95,56.95,0
20250129T,57.0,57.0,57.0,57.0,0
20250130T,65.9,65.9,65.9,65.9,0
