date,open,high,low,close,volume
20191001T,75.41,75.41,75.41,75.41,0
20191003T,99.54,99.54,99.54,99.54,0
20191004T,87.72,87.72,87.72,87.72,0
20191007T,60.52,60.52,60.52,60.52,0
20191008T,60.52,60.52,60.52,60.52,0
20191009T,100.0,100.0,100.0,100.0,0
20191010T,100.0,100.0,100.0,100.0,0
20191011T,78.18,78.18,78.18,78.18,0
20191014T,74.26,74.26,74.26,74.26,0
20191015T,57.52,57.52,57.52,57.52,0
20191016T,64.25,64.25,64.25,64.25,0
20191017T,69.74,69.74,69.74,69.74,0
20191018T,100.0,100.0,100.0,100.0,0
20191021T,100.0,100.0,100.0,100.0,0
20191022T,100.0,100.0,100.0,100.0,0
20191023T,100.0,100.0,100.0,100.0,0
20191024T,100.0,100.0,100.0,100.0,0
20191025T,79.3,79.3,79.3,79.3,0
20191028T,100.0,100.0,100.0,100.0,0
20191029T,87.04,87.04,87.04,87.04,0
20191030T,81.81,81.81,81.81,81.81,0
20191031T,81.25,81.25,81.25,81.25,0
20191101T,100.0,100.0,100.0,100.0,0
20191104T,72.61,72.61,72.61,72.61,0
20191105T,81.84,81.84,81.84,81.84,0
20191106T,57.68,57.68,57.68,57.68,0
20191210T,57.24,57.24,57.24,57.24,0
20191211T,94.22,94.22,94.22,94.22,0
20191212T,80.17,80.17,80.17,80.17,0
20191213T,94.27,94.27,94.27,94.27,0
20191216T,73.34,73.34,73.34,73.34,0
20191217T,60.05,60.05,60.05,60.05,0
20191218T,85.19,85.19,85.19,85.19,0
20191219T,99.92,99.92,99.92,99.92,0
20191220T,85.51,85.51,85.51,85.51,0
20191223T,100.0,100.0,100.0,100.0,0
20191224T,71.84,71.84,71.84,71.84,0
20191225T,71.84,71.84,71.84,71.84,0
20191226T,74.54,74.54,74.54,74.54,0
20191227T,51.89,51.89,51.89,51.89,0
20191230T,91.94,91.94,91.94,91.94,0
20191231T,88.49,88.49,88.49,88.49,0
20200101T,48.81,48.81,48.81,48.81,0
20200102T,98.18,98.18,98.18,98.18,0
20200103T,82.74,82.74,82.74,82.74,0
20200106T,94.46,94.46,94.46,94.46,0
20200107T,59.75,59.75,59.75,59.75,0
20200108T,93.55,93.55,93.55,93.55,0
20200109T,70.36,70.36,70.36,70.36,0
20200110T,83.88,83.88,83.88,83.88,0
20200113T,81.21,81.21,81.21,81.21,0
20200114T,94.06,94.06,94.06,94.06,0
20200115T,54.73,54.73,54.73,54.73,0
20200116T,99.56,99.56,99.56,99.56,0
20200117T,72.62,72.62,72.62,72.62,0
20200120T,92.29,92.29,92.29,92.29,0
20200121T,69.71,69.71,69.71,69.71,0
20200122T,78.37,78.37,78.37,78.37,0
20200123T,64.95,64.95,64.95,64.95,0
20200124T,77.16,77.16,77.16,77.16,0
20200127T,99.95,99.95,99.95,99.95,0
20200128T,68.42,68.42,68.42,68.42,0
20200129T,69.84,69.84,69.84,69.84,0
20200130T,76.86,76.86,76.86,76.86,0
20200131T,83.67,83.67,83.67,83.67,0
20200203T,77.3,77.3,77.3,77.3,0
20200204T,68.96,68.96,68.96,68.96,0
20200205T,100.0,100.0,100.0,100.0,0
20200206T,86.42,86.42,86.42,86.42,0
20200207T,99.41,99.41,99.41,99.41,0
20200210T,100.0,100.0,100.0,100.0,0
20200211T,96.48,96.48,96.48,96.48,0
20200212T,87.06,87.06,87.06,87.06,0
20200213T,91.96,91.96,91.96,91.96,0
20200214T,94.66,94.66,94.66,94.66,0
20200217T,88.19,88.19,88.19,88.19,0
20200218T,90.54,90.54,90.54,90.54,0
20200219T,67.47,67.47,67.47,67.47,0
20200220T,98.56,98.56,98.56,98.56,0
20200221T,98.56,98.56,98.56,98.56,0
20200224T,51.09,51.09,51.09,51.09,0
20200225T,80.92,80.92,80.92,80.92,0
20200226T,53.75,53.75,53.75,53.75,0
20200227T,100.0,100.0,100.0,100.0,0
20200228T,96.32,96.32,96.32,96.32,0
20200302T,73.49,73.49,73.49,73.49,0
20200303T,100.0,100.0,100.0,100.0,0
20200304T,100.0,100.0,100.0,100.0,0
20200305T,85.78,85.78,85.78,85.78,0
20200306T,100.0,100.0,100.0,100.0,0
20200309T,91.54,91.54,91.54,91.54,0
20200310T,91.54,91.54,91.54,91.54,0
20200311T,94.36,94.36,94.36,94.36,0
20200312T,90.46,90.46,90.46,90.46,0
20200313T,97.61,97.61,97.61,97.61,0
20200316T,100.0,100.0,100.0,100.0,0
20200317T,93.32,93.32,93.32,93.32,0
20200318T,100.0,100.0,100.0,100.0,0
20200319T,100.0,100.0,100.0,100.0,0
20200320T,89.35,89.35,89.35,89.35,0
20200323T,100.0,100.0,100.0,100.0,0
20200324T,100.0,100.0,100.0,100.0,0
20200325T,100.0,100.0,100.0,100.0,0
20200326T,99.02,99.02,99.02,99.02,0
20200327T,94.36,94.36,94.36,94.36,0
20200330T,100.0,100.0,100.0,100.0,0
20200331T,100.0,100.0,100.0,100.0,0
20200401T,75.0,75.0,75.0,75.0,0
20200402T,75.0,75.0,75.0,75.0,0
20200403T,71.43,71.43,71.43,71.43,0
20200406T,71.43,71.43,71.43,71.43,0
20200407T,66.97,66.97,66.97,66.97,0
20200408T,66.98,66.98,66.98,66.98,0
20200409T,64.75,64.75,64.75,64.75,0
20200410T,64.75,64.75,64.75,64.75,0
20200413T,100.0,100.0,100.0,100.0,0
20200415T,56.82,56.82,56.82,56.82,0
20200416T,100.0,100.0,100.0,100.0,0
20200417T,73.42,73.42,73.42,73.42,0
20200420T,89.08,89.08,89.08,89.08,0
20200421T,88.41,88.41,88.41,88.41,0
20200422T,100.0,100.0,100.0,100.0,0
20200423T,100.0,100.0,100.0,100.0,0
20200424T,100.0,100.0,100.0,100.0,0
20200427T,100.0,100.0,100.0,100.0,0
20200428T,93.61,93.61,93.61,93.61,0
20200429T,100.0,100.0,100.0,100.0,0
20200430T,92.03,92.03,92.03,92.03,0
20200501T,92.03,92.03,92.03,92.03,0
20200504T,96.98,96.98,96.98,96.98,0
20200505T,63.41,63.41,63.41,63.41,0
20200506T,84.65,84.65,84.65,84.65,0
20200507T,95.94,95.94,95.94,95.94,0
20200508T,100.0,100.0,100.0,100.0,0
20200511T,100.0,100.0,100.0,100.0,0
20200512T,100.0,100.0,100.0,100.0,0
20200513T,100.0,100.0,100.0,100.0,0
20200514T,65.0,65.0,65.0,65.0,0
20200515T,98.96,98.96,98.96,98.96,0
20200518T,100.0,100.0,100.0,100.0,0
20200519T,100.0,100.0,100.0,100.0,0
20200520T,66.67,66.67,66.67,66.67,0
20200521T,88.89,88.89,88.89,88.89,0
20200522T,100.0,100.0,100.0,100.0,0
20200525T,100.0,100.0,100.0,100.0,0
20200526T,91.42,91.42,91.42,91.42,0
20200527T,58.82,58.82,58.82,58.82,0
20200528T,77.15,77.15,77.15,77.15,0
20200529T,94.87,94.87,94.87,94.87,0
20200601T,90.99,90.99,90.99,90.99,0
20200602T,90.28,90.28,90.28,90.28,0
20200603T,90.48,90.48,90.48,90.48,0
20200604T,69.21,69.21,69.21,69.21,0
20200605T,65.57,65.57,65.57,65.57,0
20200608T,100.0,100.0,100.0,100.0,0
20200609T,96.97,96.97,96.97,96.97,0
20200610T,96.88,96.88,96.88,96.88,0
20200611T,100.0,100.0,100.0,100.0,0
20200612T,67.45,67.45,67.45,67.45,0
20200615T,89.67,89.67,89.67,89.67,0
20200616T,100.0,100.0,100.0,100.0,0
20200617T,100.0,100.0,100.0,100.0,0
20200818T,88.87,88.87,88.87,88.87,0
20200819T,81.13,81.13,81.13,81.13,0
20200820T,78.15,78.15,78.15,78.15,0
20200821T,78.77,78.77,78.77,78.77,0
20200824T,93.22,93.22,93.22,93.22,0
20200825T,91.68,91.68,91.68,91.68,0
20200826T,95.21,95.21,95.21,95.21,0
20200827T,78.84,78.84,78.84,78.84,0
20200828T,90.51,90.51,90.51,90.51,0
20200831T,61.86,61.86,61.86,61.86,0
20200901T,98.66,98.66,98.66,98.66,0
20200902T,87.89,87.89,87.89,87.89,0
20200903T,100.0,100.0,100.0,100.0,0
20200904T,76.67,76.67,76.67,76.67,0
20200907T,80.69,80.69,80.69,80.69,0
20200908T,78.23,78.23,78.23,78.23,0
20200909T,87.41,87.41,87.41,87.41,0
20201110T,60.32,60.32,60.32,60.32,0
20201111T,91.39,91.39,91.39,91.39,0
20201112T,97.84,97.84,97.84,97.84,0
20201113T,78.71,78.71,78.71,78.71,0
20201116T,82.81,82.81,82.81,82.81,0
20201117T,82.62,82.62,82.62,82.62,0
20201118T,83.94,83.94,83.94,83.94,0
20201119T,100.0,100.0,100.0,100.0,0
20201120T,84.91,84.91,84.91,84.91,0
20201123T,84.49,84.49,84.49,84.49,0
20201124T,75.82,75.82,75.82,75.82,0
20201125T,86.62,86.62,86.62,86.62,0
20201126T,65.12,65.12,65.12,65.12,0
20201127T,78.62,78.62,78.62,78.62,0
20201130T,78.62,78.62,78.62,78.62,0
20201201T,83.08,83.08,83.08,83.08,0
20201202T,69.55,69.55,69.55,69.55,0
20201203T,75.9,75.9,75.9,75.9,0
20210427T,78.66,78.66,78.66,78.66,0
20210428T,77.28,77.28,77.28,77.28,0
20210429T,70.3,70.3,70.3,70.3,0
20210430T,79.83,79.83,79.83,79.83,0
20210503T,70.23,70.23,70.23,70.23,0
20210504T,79.63,79.63,79.63,79.63,0
20210505T,65.12,65.12,65.12,65.12,0
20210506T,51.37,51.37,51.37,51.37,0
20210507T,67.28,67.28,67.28,67.28,0
20210510T,67.89,67.89,67.89,67.89,0
20210511T,59.16,59.16,59.16,59.16,0
20210512T,81.19,81.19,81.19,81.19,0
20210513T,81.19,81.19,81.19,81.19,0
20210514T,73.13,73.13,73.13,73.13,0
20210517T,71.91,71.91,71.91,71.91,0
20210518T,73.72,73.72,73.72,73.72,0
20210519T,58.06,58.06,58.06,58.06,0
20210520T,68.21,68.21,68.21,68.21,0
20210521T,48.46,48.46,48.46,48.46,0
20210524T,61.1,61.1,61.1,61.1,0
20210525T,54.7,54.7,54.7,54.7,0
20210526T,62.91,62.91,62.91,62.91,0
20210527T,67.87,67.87,67.87,67.87,0
20210528T,57.62,57.62,57.62,57.62,0
20210531T,82.23,82.23,82.23,82.23,0
20210601T,59.47,59.47,59.47,59.47,0
20210602T,66.37,66.37,66.37,66.37,0
20210603T,67.25,67.25,67.25,67.25,0
20210604T,66.64,66.64,66.64,66.64,0
20210607T,76.19,76.19,76.19,76.19,0
20210608T,64.16,64.16,64.16,64.16,0
20210609T,67.67,67.67,67.67,67.67,0
20210610T,70.3,70.3,70.3,70.3,0
20210611T,56.13,56.13,56.13,56.13,0
20210614T,55.79,55.79,55.79,55.79,0
20210615T,44.72,44.72,44.72,44.72,0
20210616T,68.97,68.97,68.97,68.97,0
20210617T,65.96,65.96,65.96,65.96,0
20210618T,57.81,57.81,57.81,57.81,0
20210621T,47.86,47.86,47.86,47.86,0
20210622T,67.98,67.98,67.98,67.98,0
20210623T,62.14,62.14,62.14,62.14,0
20210624T,69.48,69.48,69.48,69.48,0
20210625T,64.23,64.23,64.23,64.23,0
20210628T,70.79,70.79,70.79,70.79,0
20210629T,51.43,51.43,51.43,51.43,0
20210630T,66.14,66.14,66.14,66.14,0
20210701T,61.92,61.92,61.92,61.92,0
20210702T,66.95,66.95,66.95,66.95,0
20210705T,52.3,52.3,52.3,52.3,0
20210706T,56.24,56.24,56.24,56.24,0
20210707T,79.22,79.22,79.22,79.22,0
20210708T,66.11,66.11,66.11,66.11,0
20210709T,55.7,55.7,55.7,55.7,0
20210712T,64.56,64.56,64.56,64.56,0
20210713T,64.06,64.06,64.06,64.06,0
20210714T,56.47,56.47,56.47,56.47,0
20210715T,66.39,66.39,66.39,66.39,0
20210716T,69.03,69.03,69.03,69.03,0
20210719T,50.6,50.6,50.6,50.6,0
20210720T,47.96,47.96,47.96,47.96,0
20210721T,47.96,47.96,47.96,47.96,0
20210722T,50.32,50.32,50.32,50.32,0
20210723T,51.77,51.77,51.77,51.77,0
20210726T,59.31,59.31,59.31,59.31,0
20210727T,76.98,76.98,76.98,76.98,0
20210728T,61.37,61.37,61.37,61.37,0
20210729T,57.7,57.7,57.7,57.7,0
